,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Inner Mongolia,Anhui,Jiangsu,Sichuan,Heilongjiang,Guangdong,Hubei,Shaanxi,Shanghai,Zhejiang,Jilin,Hunan,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.17689799952,2.7606054009599994,0.42605011151999994,0.0373728168,0.09716932367999999,0.09218628143999999,0.02740673232,4.15834874928,1.7490478262399998,1.19343861648,0.09218628143999999,0.32140622448,1.7490478262399998,0.28154188655999995,1.4126924750399998,,0.062288028,1.4699974608000002,3.5529091171199996,0.11211845039999999,0.6029481110399999,0.90193064544,0.04484738016,0.6976259135999999,0.25164363312,2.3544874583999995,0.02740673232,0.01744064784,0.007474563359999999,,0.17191495727999995
Anhui,0.1010866716,0.8735077681200001,0.26698773851999996,0.02675823660000001,0.047570198400000006,0.030326001480000007,0.013676432040000002,,2.1311448883200006,0.08562635712000001,0.024974354159999997,0.11357384867999999,0.27412326828000005,0.07373380752,0.4834321412400001,0.58987046016,0.017838824399999998,0.10524906396,0.20693036304,0.02675823660000001,0.08859949452,0.055300355640000014,0.02021733432,0.04400243352,0.03151525644,0.05470572816000001,0.00951403968,0.005946274800000001,0.004162392360000001,0.0017838824399999996,0.12308788836
Fujian,0.05276036411999999,0.39837038976,0.09959259744,0.0177843924,0.03794003712,0.0326047194,0.010077822359999999,0.26617307292000003,0.1422751392,0.53768146356,0.02726940168,0.47840015556,0.40252008132,0.06995194344,0.12093386832,0.3586519134,0.01897001856,0.38117881044,1.08662637564,0.03616159788,,0.40370570748,0.021934083959999996,0.15472421388,0.12745481220000002,0.50448393108,0.01067063544,0.0059281308000000005,0.0029640654,0.00118562616,0.0770657004
Jiangxi,0.050489078760000014,0.15815453148000005,0.0718884234,0.008693483759999999,0.021064979879999998,0.017052602759999997,0.008693483759999999,0.21599963496,0.14444557632000002,0.08526301380000001,0.016049508480000002,0.5132499065999999,0.3413864199600001,0.036445758839999995,0.12003694884000002,0.3641232236400001,0.011034037079999998,0.4814852544000001,,0.022736803680000004,0.26782617276000004,0.05249526732000001,0.026414816040000004,0.050154714,0.07322588244,0.09863760419999999,0.005015471400000001,0.0040123771200000005,0.00367801236,0.0010030942800000001,0.05884819776000001
Shandong,1.0779674335200002,1.12243550688,,0.25454138544,0.17863898436,0.27370865844000003,0.09736974684000001,0.40711287852,1.1462029254000001,0.20317309379999998,0.28060887672,0.16330516596,0.19473949368000001,0.1763389116,0.2185069122,0.26067491280000005,0.15947171136,0.115003638,0.1073367288,0.07436901924,0.11347025615999999,0.07513571016,0.04753483704,0.08433600120000001,0.06056858268,0.07053556463999999,0.038334546,0.023000727599999996,0.013800436559999999,0.00153338184,0.6064525177200001
Henan,0.49445476380000003,,0.7829391992399999,0.07495556291999997,0.39556381104000005,0.05479944515999999,0.04031223552,0.8314398575999999,0.44343459072,0.1637684568,0.0377927208,0.3004521303599999,0.6292488013199999,0.3817064800799999,0.17258675831999998,0.24502280652,0.02645490456,0.15809954867999998,0.09952083144,0.05920859591999999,0.11211840504000001,0.07747507763999999,0.0755854416,0.06550738272000001,0.07054641216,0.05479944515999999,0.04409150759999999,0.01826648172,0.01700672436,0.00251951472,0.35084242475999994
Hubei,0.0976125168,0.7302521304,0.12708044640000002,0.017496583200000002,0.06630284160000001,0.034072293600000005,0.017957019600000002,0.2679739848,0.19752721560000006,0.1989085248,0.027165747599999998,0.33335595360000003,,0.16851972240000002,0.10129600800000002,0.16391535840000002,0.020719638000000002,0.653819688,0.3282911532,0.0488062584,0.12201564599999999,0.3678886836,0.03729534840000001,0.066763278,0.10359819,0.1095838632,0.0285470568,0.0105900372,0.007366982400000001,0.003223054800000001,0.1293826284
Hunan,0.06989325408,0.20554134588,0.08092903103999999,0.0137947212,0.03356715492,0.0275894424,0.0160938414,0.10208093687999999,0.11219706576,0.1448445726,0.01977243372,0.9679296042,0.7366381120800001,0.062076245400000014,0.06713430984,0.12691143504000002,0.0183929616,,0.42487741296,0.02391085008,0.10667917728,0.18576891216,0.054719060759999986,0.09702287244,0.3701583522,0.36923870412,0.020232257759999997,0.0091964808,0.00735718464,0.0022991202,0.0988621686
Guangdong,0.16607932847999998,1.90671844428,0.2235683268,0.03832599887999999,0.08942733072,0.10539649692,0.031938332400000005,0.54614548404,0.3161894907599999,2.4432824286000003,0.08303966423999999,,2.67962608836,0.37048465584,0.21718066031999997,0.34812782316,0.06068283155999999,6.63997930596,3.37588173468,0.09900883044,0.8240089759199999,1.21685046444,0.24911899272,0.7665199775999999,6.119384487839999,1.5522029546399998,0.031938332400000005,0.012775332959999998,0.009581499719999996,,0.24911899272
Guangxi,0.0592484544,0.11745134784000001,0.06343069824,0.01324377216,0.02335086144,0.02300234112,0.008713008000000001,0.05889993408,0.05820289343999999,0.16415307072000002,0.017426016000000003,1.18706020992,0.13069512,0.04112539776,0.03276091008,0.06343069824,0.014289333119999997,0.46806278976000004,0.10699573824,0.01638045504,0.08643303935999999,0.08956972223999997,0.05262656832,0.19133765568,,0.31575940992,0.00453076416,0.004879284480000001,0.00418224384,0.00034852031999999997,0.05158100736000001
