,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.079014852,0.1868136858,0.025962022799999998,0.28896860160000004,0.28106711640000004,1.2066696684,0.036121075200000005,0.046844519400000006,0.0191893212,0.9933295680000002,,0.1196510616,0.0654694488,0.1625448384,0.6355051668,0.025962022799999998,0.043458168600000006,0.1461774762,0.0191893212,0.29687008680000004,0.0852231618,0.409184055,0.08465877,0.050795262000000015,0.019753713,0.14956382699999998,0.0101590524,0.011287836,0.0050795262,0.0011287836000000002,0.1258593714
Anhui,0.06779165399999999,0.20970218304,0.02350110672,0.48041685468,0.12338081027999999,1.7002146823199995,0.03073221648,0.02169332928,0.00949083156,0.41669269991999996,0.6697815415199999,0.03705943752,0.04429054728,0.15230524932,,0.010846664639999998,0.015818052599999997,0.056493045,0.00858694284,0.06010859988,0.033895827,0.15185330496,0.02169332928,0.01852971876,0.01039472028,0.02078944056,0.005423332319999999,0.0036155548799999995,0.0036155548799999995,0.0009038887199999999,0.10259136972
Fujian,0.02374728192,0.044155102319999986,0.011688115320000001,0.06697475604,0.3979524978,0.10333778148,0.014842051200000001,0.01632625632,0.00686444868,0.08868125592000001,0.3024067932,0.057512948399999986,0.02207755116,0.0612234612,0.05621426891999999,0.0083486538,0.0213354486,0.06753133296,0.005380243559999999,,0.044155102319999986,0.22188866544,0.0343222434,0.042856422839999984,0.00946180764,0.05454453816,0.00352498716,0.00296841024,0.00148420512,0.0009276282000000001,0.05621426891999999
Jiangxi,0.02519315136,0.04433025672,0.005813804159999999,0.05547338136,0.52590703464,0.1199097108,0.010658640959999998,0.008720706239999999,0.0036336276,0.11918298528,0.4001835196799999,0.02713108608,0.016956928799999996,0.17514085032,0.13129507727999998,0.004844836799999999,0.019863830879999995,0.3098273133599999,0.00411811128,0.21850213968,0.0290690208,,0.02688884424,0.04747940064,0.005813804159999999,0.02737332792,0.0012112091999999998,0.00169569288,0.00096896736,0.00048448368,0.05062854455999999
Shandong,0.8760578652,,0.1811823552,0.7005374585999999,0.1477253862,0.9594429264,0.1384603794,0.13897510200000002,0.061251989399999984,0.17140262579999999,0.23522822820000006,0.08904700980000001,0.1111800816,0.0993414618,0.2388312864,0.07103171879999999,0.038089472400000005,0.072061164,0.049928092199999996,0.061766712,0.06331087980000001,0.0561047634,0.038604195,0.0442661436,0.025221407400000003,0.0298539108,0.014412232800000003,0.0149269554,0.0082355616,0.0015441677999999998,0.4004541828
Henan,0.40172244192,0.67417776144,0.061650473760000005,,0.27444404448000004,0.42359841648,0.3738802924799999,0.041266042919999996,0.03181959936,0.16556135292000002,0.32167626228,0.09098416692,0.28041021936,0.40719143556,0.50861640852,0.0149154372,0.046237855320000014,0.10888269156,0.013921074720000004,0.06612510492000001,0.06811382988,0.07109691732000001,0.043751949119999994,0.042260405400000006,0.044746311600000005,0.03579704928,0.01590979968,0.02883651192,0.013423893480000003,0.00447463116,0.28687357548000003
Hubei,0.05637298032000001,0.08204780303999999,0.01339555968,0.37451752272,0.35749399896,0.15963041951999998,0.02679111936,0.02037241368,0.008930373120000001,0.08539669296,0.16632819935999998,0.08288502552,0.09655965936000001,,0.14260689576000002,0.0072559281599999985,0.030698157600000005,0.3971225296800001,0.006697779839999999,0.06139631520000001,0.17330505336000002,0.18363079728,0.03711686328,0.044093717280000014,0.01172111472,0.0376750116,0.00530240904,0.00530240904,0.003907038240000001,0.0019535191200000003,0.10437373584
Hunan,0.04299167664,0.06090487524,0.01074791916,0.09705696696,1.0259377379999999,0.10226807928000002,0.01986736572,0.01921597668,0.00879375204,0.06872154371999999,0.14460836687999998,0.06611598755999999,0.03810625884,0.37520008704,0.056019457439999996,0.01009653012,0.04494584376,,0.008142363,0.06220765332000001,0.09347432723999999,0.30191882004,0.05960209716000001,0.23319727631999998,0.01107361368,0.19183407228,0.0022798616400000003,0.00521111232,0.003582639720000001,0.00130277808,0.08533196424
Guangdong,0.07322290163999999,0.1101583476,0.02462363064,0.22938855911999997,,0.2365164522,0.036935445959999993,0.046007309879999986,0.016847747280000002,0.178197327,0.27021194676,0.2462363064,0.09979050312000001,0.3045554316,0.11404628927999999,0.03304750428,0.18208526868,1.0050329242799998,0.02397564036,0.37842632352,0.15162972551999998,0.54495982548,0.16394154083999998,1.33939590876,0.02203166952,0.21124483128,0.007127893079999999,0.01166382504,0.00583191252,0.00259196112,0.20152497708
Guangxi,0.02080430892,0.029920803839999996,0.00631141956,0.029687047559999995,1.28308822092,0.0420761304,0.008882738639999999,0.01192157028,0.0037401004799999995,0.029687047559999995,0.04792003739999999,0.0514263816,0.014726645640000001,0.04184237411999999,0.01729796472,0.0072464446799999985,0.0420761304,0.21552329016,0.00420761304,0.03716724852,0.03880354248,0.03576471084,0.11337179579999998,,0.0067789321199999975,0.15124031315999995,0.00163629396,0.00210380652,0.0011687814,0.0011687814,0.03459592944
Hainan,0.023005956960000004,0.02038247064,0.010763020800000002,0.027714778560000004,0.16231980744000002,0.026033056560000004,0.014866422480000002,0.01399192704,0.007399576800000002,0.02482221672,0.0255621744,0.040092252480000014,0.015270035760000003,0.016682682240000003,0.011906591760000002,0.01500096024,,0.029665576080000006,0.0071305012800000015,0.014799153600000003,0.02576398104,0.011502978480000002,0.01399192704,0.04177397448000001,0.004776090479999999,0.01298289384,0.0041034016799999995,0.0025562174400000004,0.0010090332000000002,0.00020180664,0.04507014960000001
Chongqing,0.02808597888,0.041868912960000004,0.0104022144,0.045509688000000006,0.15447288384000002,0.06319345248000001,0.016383487680000003,0.010922325120000001,0.00806171616,0.05253118272,0.06787444896,1.0701278064,0.06267334176,0.19920240575999998,0.02938625568,0.006241328639999999,0.03692786112,0.09257970816,0.004420941120000001,0.039008304,,0.020544373440000003,0.0936199296,0.04628985408,0.01664354304,0.29776338719999995,0.004420941120000001,0.0078016608,0.0039008304,0.00806171616,0.05721217920000001
Sichuan,0.05774180256,0.06230036591999999,0.017474492879999998,0.08965174608,0.26249727348,0.1006682742,0.034948985759999995,0.024692218199999998,0.015575091479999997,0.07027785180000001,0.1025676756,,0.22868792856,0.08281390104,0.0360886266,0.01481533092,0.066479049,0.06230036591999999,0.009497007,0.05280335892,1.1426798822399995,0.02773126044,0.49346448372,0.06571928844,0.09269078832000001,0.3247976394,0.01025676756,0.02887090128,0.03153006324,0.049384436399999995,0.13333797828
Guizhou,0.012257308800000002,0.020020271040000003,0.004494346560000001,0.02737465632000001,0.21021284592000006,0.046782061920000007,0.007762962240000002,0.00653723136,0.0024514617600000003,0.026353213920000004,0.12788458848000006,0.2862081604800001,0.021041713440000002,0.031051848960000007,0.015730212960000003,0.0020428848000000003,0.022267444320000003,0.21102999984000004,0.0026557502400000005,0.050663543040000016,0.27558515952,0.02614892544,0.3944810548800001,0.17119374624000006,0.004290058080000001,,0.0014300193600000006,0.0010214424,0.00040857696000000013,0.0010214424,0.029417541120000005
Yunnan,0.022993146,0.025325784000000004,0.007164531000000002,0.032823549,0.15761968199999998,0.03998808,0.008830701000000002,0.010663488000000002,0.004332042,0.035656038000000015,0.07131207600000003,0.430038477,0.026492103000000003,0.030157677000000008,0.018161253,0.005664978000000001,0.015995231999999998,0.05498361000000001,0.004332042,0.028158272999999998,0.08330850000000001,0.020160657,,0.116132049,0.005498360999999999,0.35439435900000005,0.0011663190000000005,0.0029991059999999996,0.0019994039999999998,0.006498063000000001,0.040821165000000006
Tibet,0.0017163187199999998,0.0027711396000000004,0.00041120136,0.006722248319999999,0.0034505157599999995,0.0024135732000000005,0.0012157257600000002,0.0005363496,0.0001787832,0.0009654292800000001,0.00212752008,0.07288991064,0.0075088944,0.0015196572,0.00100118592,0.0005005929600000001,0.0011620908000000002,0.00153753552,0.0005721062400000001,0.00137663064,0.011853326159999998,0.0005005929600000001,0.00961853616,0.0012514824,0.005989237200000001,0.0012157257600000002,0.00048271464000000007,0.00137663064,0.03132281664,,0.00427291848
Shaanxi,0.08753167800000003,0.08564638031999999,0.01723700736,0.27121353768,0.1050380136,0.10315271592,0.38460072672,0.025047526320000003,0.23647019472,0.04416983136,0.05979086928000001,0.21519326375999998,,0.10773129599999999,0.04363117488000001,0.01104245784,0.02666349576,0.039321923040000005,0.00888783192,0.03258871704,0.06517743408,0.01777566384,0.031242075839999998,0.016967679120000002,0.32642582688,0.02343155688,0.12308300568000002,0.023700885120000004,0.03258871704,0.0053865648,0.11742711264
Gansu,0.01862983152,0.024294307319999996,0.007049125440000001,0.040028962319999986,0.0339868548,0.03688203132,0.016489918439999997,0.004028071679999999,0.05551186283999999,0.02039211288,0.02504957076,0.09793249272,0.36151943328,0.016489918439999997,0.00994430196,0.0017622813600000002,0.00969254748,0.009566670239999998,0.0013846496399999998,0.009440792999999998,0.01925921772,0.00516096684,0.010070179199999998,0.007300879919999999,,0.009440792999999998,0.15205970591999998,0.04846273739999999,0.15885707687999995,0.005035089599999999,0.04078422576
Qinghai,0.0063776419200000005,0.00805381704,0.00106294032,0.01806998544,0.008503522559999999,0.00829911096,0.0043744082400000005,0.0009811756799999998,0.00404734968,0.006704700479999999,0.006990876720000001,0.03540408912,0.033727914000000005,0.00404734968,0.0032705856,0.0006132348,0.00261646848,0.00404734968,0.0006132348,0.00257558616,0.0063776419200000005,0.00147176352,0.00233029224,0.0012264696,0.17673426935999995,0.00237117456,0.012264696,0.01647557496,,0.017579397599999998,0.01095646176
Ningxia,0.013892115600000001,0.010109286,0.0030001752000000004,0.0170227332,0.0142834428,0.015000876000000002,0.009587516400000001,0.0028697328,0.15405247440000006,0.007565659200000001,0.0099136224,0.0125876916,0.12881187,0.006000350400000001,0.0048263688,0.0005217696,0.0054785808,0.0055438020000000005,0.0015000876000000002,0.0049568112,0.006848226000000001,0.002608848,0.00326106,0.0025436268,0.16990122600000002,0.0029349540000000005,,0.0054785808,0.0098484012,0.0004565484000000001,0.019892466
Xinjiang,0.014292255600000001,0.0163838052,0.0023903424,0.045018115199999986,0.015935616,0.0180769644,0.0055774656,0.004730886,0.0100593576,0.0086649912,0.0117525168,0.0658340136,0.0389924604,0.007718814,0.005627264399999999,0.0017429579999999993,0.0086649912,0.0083163996,0.0015437628,0.00497988,0.019172538,0.0025895376,0.0048802824,0.0023903424,0.1065196332,0.0031373244,0.009810363599999998,,0.027887328,0.0027887328,0.021712276800000003
Taiwan,0.0001295676,0.0001617084,,6.47838e-05,0.0001295676,0.0001295676,6.47838e-05,6.47838e-05,,0.0012956760000000002,0.00035605980000000004,0.0001295676,,3.21408e-05,6.47838e-05,6.47838e-05,,3.21408e-05,3.21408e-05,0.0015226704,,3.21408e-05,6.47838e-05,6.47838e-05,,,,3.21408e-05,3.21408e-05,,0.0002591352
Hong Kong,3.0916079999999985e-05,6.421031999999999e-05,,6.421031999999999e-05,0.02254971312,,3.0916079999999985e-05,6.421031999999999e-05,,0.00025684128,6.421031999999999e-05,3.0916079999999985e-05,,3.0916079999999985e-05,,,9.512639999999997e-05,,,0.00012842063999999998,,,,0.00016171487999999998,,,,,,,6.421031999999999e-05
Macau,0.0022273056,0.0004711608,0.0004069116,0.0007067412,0.18893548079999997,0.0024200532,0.0003854952,0.0007067412,0.00014991480000000002,0.0025485516000000002,0.001713312,0.0013278168,0.00032124599999999997,0.0013920660000000002,0.000214164,0.00032124599999999997,0.0007281576,0.0015419808,6.424919999999999e-05,0.0013920660000000002,0.0005139935999999999,0.000856656,0.0004497444,0.0015205643999999998,2.1416399999999997e-05,0.0007067412,6.424919999999999e-05,2.1416399999999997e-05,2.1416399999999997e-05,,0.0016704792000000002
