,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Guangdong,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Shanghai,Hubei,Heilongjiang,Anhui,Hainan,Jilin,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.06836011848,0.021852824760000004,0.18098621532000006,0.28688836608,0.03305940156000001,1.27082580912,0.044826307200000005,0.27007850088,0.014568549840000002,0.112065768,,0.06948077616000001,0.90885337848,0.16305569244,0.02409414012,0.65222276976,0.034740388080000004,0.0196115094,0.15353010216,0.2857677084,0.07396340687999998,0.07956669528,0.44153912592,0.021292495919999998,0.047627951400000014,0.16305569244,0.010646247959999999,0.006723946079999999,0.005603288400000001,0.00112065768,0.12215168712000002
Anhui,0.06562270079999999,0.01804624272,0.184563846,0.4708428782399999,0.02009695212,1.6696875934799995,0.017225958959999996,0.11032816571999997,0.006972411959999999,0.031580924760000004,0.61029111744,0.0369127692,0.28832974164,0.13452653663999994,0.010253546999999998,,0.015995533319999998,0.007382553839999998,0.045525748679999985,0.05044745123999999,0.02173751964,0.02132737776,0.12017157084,0.010253546999999998,0.017636100840000002,0.016815817079999996,0.0049217025599999995,0.00287099316,0.0020507094,0.00041014188,0.08202837599999999
Fujian,0.02500260048,0.009470682,0.048111064559999986,0.06212767391999999,0.011743645679999998,0.10152571104000001,0.018941364,0.4324313401199999,0.0056824092,0.05909705568,0.29889472391999994,0.028412046,0.07462897415999999,0.06118060572,0.00909185472,0.05341464648,0.02121432768,0.00833420016,0.06515829215999999,,0.043943964479999986,0.03807214163999999,0.23373643176,0.0085236138,0.042618069,0.06118060572,0.00435651372,0.0037882728000000004,0.0030306182399999996,0.00037882727999999995,0.055119369239999993
Jiangxi,0.021088330560000004,0.006470283240000001,0.039061339560000005,0.05272082640000001,0.009106324559999998,0.11670473844,0.009825244919999998,0.5478173143199999,0.0026360413200000004,0.03067393536,0.3966043986,0.01869192936,0.07956051984000001,0.18644001336,0.00742884372,0.1294056648,0.0227658114,0.00383424192,0.32662948356000004,0.22310495172000006,0.02204689104,0.024682932360000003,,0.00694956348,0.03930097968,0.024682932360000003,0.0016774808400000006,0.00143784072,0.0011982006000000002,0.00023964012,0.03882169944000001
Shandong,0.7783201742400001,0.15453330335999999,,0.6435746719200001,0.10930404384000003,0.8631250358400001,0.14463940284,0.15547557960000002,0.055594298160000014,0.07868006604000001,0.22190605452000006,0.09988128144000002,0.12626501616000002,0.09941014332,0.08763169032000002,0.21860808768000006,0.03910446396000001,0.06219023184000001,0.05936340312000001,0.05276746944000002,0.04711381200000001,0.045700397640000015,0.05088291696000001,0.02544145848,0.03816218772000001,0.028268287200000006,0.014605281720000004,0.013663005480000002,0.006124795560000001,0.0014134143599999999,0.3802084628400001
Henan,0.36563304096,0.05909220864000001,0.5941536915600001,,0.30053927987999995,0.4131838026,0.03970257768,0.26268333371999997,0.027237814920000002,0.09094660236,0.29176778016000005,0.28114964892,0.11218286484,0.496282221,0.012926420640000002,0.4602729063600001,0.0553989456,0.012003104879999999,0.10064141784,0.06417044531999999,0.051705682560000014,0.04524247224,0.057707235,0.03416268312,0.03970257768,0.033701025239999995,0.024467867639999998,0.01246476276,0.01015647336,0.0032316051600000005,0.25529680764
Hubei,0.0496118196,0.012011282639999999,0.06527871,0.3632107424400001,0.02323922076,0.15719113367999998,0.01853915364,0.31307669316000003,0.00757233036,0.07937891136000001,0.15092437752,0.08381786364,0.05927306868000001,,0.009400134240000002,0.14387427684,0.03185601048,0.00626675616,0.42013377756,0.05979529836000001,0.14413539168,0.035772733080000015,0.1919194074,0.01148905296,0.038644996320000014,0.031594895639999995,0.004961181960000001,0.003655607760000001,0.00287226324,0.00156668904,0.08303451912000001
Hunan,0.0336243636,0.009254412,0.0453466188,0.07742858039999999,0.012647696399999998,0.08791691400000001,0.012339216,1.0392704676,0.006169608,0.057994315199999986,0.13017872879999998,0.033007402799999995,0.044729658,0.3751121664,0.0111052944,0.0434957364,0.0425702952,0.0064780884,,0.0613875996,0.072492894,0.054601030800000006,0.34056236160000003,0.00771201,0.2116175544,0.180461034,0.004627206,0.003084804,0.003084804,0.0006169608,0.0684826488
Guangdong,0.07301984759999999,0.025035376319999997,0.11961346464000001,0.23435893944000002,0.032685074639999985,0.22531838688000005,0.050070752639999994,,0.01529939664,0.24826748184,0.25174461744000004,0.09875065104,0.14464884096,0.3164193396,0.03755306448,0.10292321376,0.18846074952,0.029903366160000003,1.18361695824,0.46037275344,0.14325798672,0.16551165455999997,0.6112804384799999,0.02364452208,1.54245735216,0.20515100039999998,0.00973597968,0.008345125440000002,0.00556341696,0.0020862813600000005,0.191242458
Guangxi,0.0210091644,0.0024716664,0.026693997120000004,0.033367496400000016,0.007167832559999999,0.036086329439999995,0.00963949896,1.48448283984,0.00296599968,0.0506691612,0.04300699536,0.017548831440000003,0.02026766448,0.03806366256,0.008403665760000002,0.015818664960000003,0.049433328000000006,0.0034603329600000014,0.20737281096,0.03534482952,0.030895830000000006,0.10603448856,0.033614663040000006,0.00642633264,,0.13890765168000002,0.0017301664800000007,0.00148299984,0.00148299984,0.00074149992,0.03064866336
Hainan,0.0288302976,0.00783432,0.026871717600000004,0.030553847999999998,0.015041894399999997,0.0306321912,0.0209176344,0.164129004,0.008617752000000001,0.048572784,0.0277334928,0.019194084,0.0267933744,0.0217010664,0.0206042616,0.014180119199999999,,0.0112814208,0.032825800800000006,0.0180972792,0.0278901792,0.0184889952,0.01566864,0.006502485600000001,0.046222488000000006,0.0147285216,0.0043088760000000005,0.0031337279999999997,0.0024286392000000003,0.0007050888,0.06682674959999997
Chongqing,0.024323302080000005,0.0063572266799999996,0.0331681392,0.040354569360000016,0.012990854520000001,0.05693863896000001,0.011056046400000002,0.15174423684000002,0.005251622040000001,1.4154503403600005,0.06827108652000002,0.05306902272,0.032338935719999996,0.16307668440000006,0.005528023200000001,0.019900883520000003,0.04173657516,0.0046988197200000005,0.07545751668000003,0.040907371680000006,,0.09148878396,0.01962448236,0.013820058,0.041460174,0.2628575031600001,0.008568435959999999,0.0041460174,0.003593215080000001,0.005528023200000001,0.04532979024
Sichuan,0.045620415,0.01131386292,0.057299241240000014,0.07992696708000001,0.027007285680000003,0.0930656466,0.02226276252,0.24781009428000006,0.012408752880000002,,0.09525542652,0.19379552292,0.05182479144,0.07445251727999999,0.01131386292,0.028102175640000004,0.0693430308,0.00875911968,0.05328464472,0.04999997484,1.32956137476,0.4635034164,0.027372248999999998,0.07226273736000001,0.05109486480000001,0.27810204984000003,0.02080290924,0.009124083000000002,0.024817505760000004,0.03540144204,0.09781016976
Guizhou,0.01275595776,0.00318898944,0.0169415064,0.028302281279999994,0.006377978879999999,0.042852045599999986,0.005182107839999999,0.23339416464,0.0035876131199999994,0.3169058256,0.12377265264000001,0.02072843136,0.016742194559999996,0.0328864536,0.0023917420799999998,0.01554632352,0.02252223792,0.00219243024,0.18555932304,0.048632088959999986,0.30215674944000004,0.3404246227199999,0.02411673264,0.00438486048,0.14848732079999996,,0.0015944947199999998,0.00139518288,0.0011958710399999994,0.0009965591999999998,0.023917420800000002
Yunnan,0.021484569600000003,0.0063782316,0.026687863800000003,0.0355838184,0.0115815258,0.041794201800000014,0.010070892,0.15576312960000002,0.0038605085999999997,0.4776959772000001,0.0580754772,0.0278628012,0.033066095399999995,0.031555461599999994,0.0072174726,0.0149384898,0.0196382394,0.0040283568,0.0563969952,0.029373435000000007,0.08543473380000001,,0.018798998400000003,0.006546079800000001,0.108262089,0.3291503202,0.0038605085999999997,0.0023498748000000003,0.002517723,0.0043640532,0.0409549608
Tibet,0.0019359421200000003,0.00022673196,0.0023196423600000005,0.00666243144,0.00090692784,0.0023545242000000003,0.00092436876,0.0036451522799999993,0.00019185012000000004,0.07672260707999999,0.00115110072,0.01006341084,0.0008022823200000001,0.0018661784400000004,0.0005057866799999999,0.0009592506,0.00041858208,0.00027905472000000004,0.00212779224,0.0008720460000000001,0.010586638440000002,0.010028529,0.0005755503600000001,0.00838908252,0.00073251864,0.00099413244,0.00181385568,0.00038370024000000013,0.0230220144,,0.0026859016800000004
Shaanxi,0.08589614543999999,0.01227087792,0.08564571935999997,0.2614448275199999,0.3230496432,0.09666446687999997,0.020785364639999998,0.09941915375999998,0.22989114143999995,0.25643630591999994,0.05784842447999999,,0.030051129599999993,0.09240722351999997,0.009516191039999998,0.037563911999999984,0.02704601664,0.007262356319999998,0.034057946879999995,0.02779729488,0.05759799839999999,0.032555390399999995,0.01978366032,0.28623700944,0.020785364639999998,0.02103579072,0.0237904776,0.10868491871999998,0.02554346016,0.004507669439999999,0.1039268232
Gansu,0.01898734932,0.00504183852,0.02113281252,0.036687420719999995,0.012229140239999998,0.03046557744,0.003969106920000001,0.028534660560000005,0.04108562028,0.12036048552,0.019845534600000003,0.31795764624,0.008367306480000001,0.01480369608,0.0022527363600000003,0.00954731124,0.00740184804,0.00236000952,0.00740184804,0.00740184804,0.016412793480000003,0.00772366752,0.00504183852,,0.0048272922000000005,0.006114570119999999,0.04151471292,0.10931135004,0.13130234784000003,0.0037545606,0.02928557268
Qinghai,0.00659334816,0.0013343680800000002,0.0071035477200000014,0.01503126396,0.00518048784,0.00777073176,0.00188381376,0.0074567628,0.00302195124,0.034458093360000004,0.00553370292,0.03661662996,0.00259024392,0.00463104216,0.000981153,0.0029434590000000003,0.00337516632,0.00047095344,0.00259024392,0.00321818184,0.00675033264,0.00329667408,0.00164833704,0.17727472404,0.001962306,0.0012558758400000002,0.01503126396,0.0076529933999999996,,0.01503126396,0.00918359208
Ningxia,0.013329593279999998,0.0025799212799999995,0.011985884280000001,0.01408207032,0.00988969824,0.01096466544,0.00263366964,0.00983594988,0.12668488452,0.01547952768,0.00634230648,0.10362683808,0.00354739176,0.0051060942,0.00231117948,0.004084875359999999,0.00392363028,0.001343709,0.0032786499599999994,0.00290241144,0.006718544999999999,0.0033861466799999995,0.00225743112,0.1359833508,0.00311740488,0.0022036827599999998,0.00585857124,,0.007901008919999999,0.0005374835999999999,0.01483454736
Xinjiang,0.01448195112,0.0010091952000000001,0.016147123200000002,0.05167079424,0.007064366399999998,0.01584436464,0.00514689552,0.016651720800000002,0.008578159200000001,0.07074458351999999,0.01145436552,0.051468955199999986,0.0036835624799999994,0.00877999824,0.00191747088,0.0077708030400000004,0.0076698835199999985,0.0019679306399999997,0.00852769944,0.00620655048,0.01897286976,0.006761607840000001,0.00242206848,0.10157549688,0.00216976968,0.0030275856,,0.008880917759999999,0.021142639440000003,0.00095873544,0.02109217968
Taiwan,9.707688e-05,,3.22056e-05,,3.22056e-05,6.464124000000001e-05,,0.00019438380000000001,,3.22056e-05,,,0.0009719189999999999,,,6.464124000000001e-05,,,,0.00051828012,,3.22056e-05,,,,,,,,,
Hong Kong,,,6.18192e-05,3.09096e-05,,3.09096e-05,,0.02935175616,3.09096e-05,,9.581976000000001e-05,3.09096e-05,0.00038637,3.09096e-05,,,3.09096e-05,,,0.00022564008,,,3.09096e-05,3.09096e-05,3.09096e-05,,,3.09096e-05,,,0.00016072991999999998
Macau,0.0017293046399999997,0.00033625367999999995,0.0008406341999999999,0.0007445617200000001,0.0008406341999999999,0.0022577032799999995,0.0009607248,0.2115996372,9.607247999999999e-05,0.00103277916,0.0023777938799999995,0.0005283986400000001,0.0017293046399999997,0.0017293046399999997,0.00021616307999999996,0.00021616307999999996,0.00079259796,0.00031223555999999994,0.0017773408800000003,0.0014891234400000002,0.00079259796,0.00033625367999999995,0.00069652548,4.8036239999999995e-05,0.0016332321599999999,0.00033625367999999995,4.8036239999999995e-05,,,,0.0042271891200000005
