,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Liaoning,Jiangsu,Guangdong,Heilongjiang,Sichuan,Anhui,Shanghai,Shaanxi,Hubei,Jilin,Zhejiang,Hainan,Hunan,Gansu,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.06106033368,0.020590112519999995,0.5566430419199999,0.15265083419999995,0.03124017072,0.01136006208,0.0390502134,1.0273756143600001,0.17537095836,0.03408018623999999,0.24211132308,0.9244250517599998,0.923005044,0.08378045783999999,0.32163175764,0.0284001552,,0.02414013192,0.32163175764,0.03408018623999999,0.15833086523999998,0.27548150544,0.6425535114,0.22933125324,0.06674036471999999,0.59214323592,0.0071000388,0.0071000388,0.00284001552,,0.08094044231999999
Anhui,0.052649190000000005,0.01979609544,0.5142772879199999,0.15710518295999998,0.02190206304,0.00716028984,0.0147417732,1.81829242584,0.07328767248,0.010529838,0.03116832048,,0.39465832824,0.03748622328,0.13436073288,0.00716028984,0.5269130935199999,0.00968745096,0.04043457792,0.01010864448,0.02232325656,0.04380412608,0.11330105687999999,0.02063848248,0.01221461208,0.02021728896,0.0042119352,0.00252716112,0.0016847740799999999,,0.07876318824
Fujian,0.02350173852,0.01164306312,0.09939726108,0.03967265952,0.01336796136,0.00582153156,0.017033370120000002,0.07611113484,0.36718771284,0.012074287680000002,0.12764246976,0.059293377,0.0743862366,0.030401331480000002,0.09573185232,0.00797765436,0.26757483948000005,0.01250551224,0.0981035874,0.00905571576,0.08710736111999999,,0.28956729204,0.06640858224,0.037732149,0.15330033108,0.0030185719200000005,0.0015092859600000007,0.0012936736799999998,0.00021561228,0.03794776128
Jiangxi,0.02148562584,0.00591950916,0.06423763644,0.03639401928,0.009427366440000001,0.0035078572799999994,0.007892678879999998,0.093177459,0.46851818796,0.00855040212,0.0263089296,0.11290915619999999,0.09427366439999997,0.017320045319999998,0.18679340016,0.005700268079999999,0.32842313784000005,0.02323955448,0.30649902984,0.00811191996,0.018854732880000002,0.19556304336,,0.02280107232,0.03244767984,0.037709465760000005,0.00197316972,0.0026308929599999998,0.0021924108,0.00021924107999999996,0.038805671160000006
Shandong,0.8176212673200001,0.2184484302,0.6865522092000002,,0.11138469408,0.0552122406,0.14835288995999998,0.8617910598,0.10658362968,0.12434756795999999,0.0936207558,0.22661023968,0.14211150624000002,0.09410086224,0.09314064936,0.07729713683999999,0.16275608316,0.02640585420000001,0.05809287924000001,0.030246705720000006,0.035527876560000005,0.04657032468,0.050411176200000005,0.040809047400000006,0.02928649284,0.030246705720000006,0.01632361896,0.01104244812,0.0072015966,0.0004801064400000001,0.3864856842000001
Henan,0.33864600528000005,0.05530650840000001,,0.57518768736,0.30290949215999996,0.02297347272,0.032758470360000014,0.37906229988000006,0.17485365348000004,0.01744282188,0.08210889324,0.5271135685200001,0.14166974844000002,0.2467521144,0.41564968236,0.013613909760000004,0.19442364876000004,0.035311078440000004,0.08040715452000001,0.03913999056,0.036587382480000014,0.049350422879999994,0.0595608552,0.0340347744,0.027653254200000005,0.031482166320000005,0.028078688880000004,0.012337605719999999,0.00978499764,0.0017017387200000005,0.27780884604
Hubei,0.049945053600000004,0.01306255248,0.4018655851199999,0.06300760607999999,0.0281741328,0.0076838544,0.01767286512,0.12242941344000001,0.24152915664,0.01178191008,0.07837531487999999,0.1459932336,0.07222823135999999,0.09835333631999997,,0.006403211999999999,0.11551394448,0.024076077119999997,0.38496110544,0.016904479679999997,0.17519188032000002,0.05276246688,0.20541504096,0.033552830879999995,0.03816314352,0.049945053600000004,0.00922062528,0.0035857987200000004,0.0035857987200000004,0.0012806424000000002,0.07683854400000001
Hunan,0.0278491122,0.007691659559999999,0.079568892,0.03156232716,0.01538331912,0.006630741,0.00848734848,0.054106846560000005,0.84714347016,0.008222118839999999,0.04561949808,0.039253986719999995,0.04270197204,0.0278491122,0.3898875708,0.004508903880000001,0.08540394408,0.02493158616,,0.0074264299200000015,0.07187723244,0.048271794480000005,0.2758388256,0.041906283120000005,0.19653516324,0.18486505908,0.007956889200000001,0.00318275568,0.00212183712,0.00106091856,0.05092409088
Guangdong,0.0597600666,0.022984641,0.4569346630799999,0.08826102143999999,0.03309788304,0.01471017024,0.04413051072,0.14618231676,,0.04045296816,0.50658148764,0.11860074756,0.12043951884000001,0.1103262768,0.6352954772399999,0.02942034048,0.1700863434,0.13423030344,1.5123893777999995,0.034017268680000004,0.27213814944000003,0.36683487036,0.68402291616,0.33189821604,1.6962665058000002,0.5047427163600001,0.015629555880000003,0.00735508512,0.0045969282,0.00091938564,0.137907846
Guangxi,0.02627798112,0.0072490982400000015,0.038510834400000006,0.028769858640000007,0.01042057872,0.004530686400000001,0.01042057872,0.031261736160000005,1.24276727952,0.0077021668800000016,0.053462099520000014,0.018575814240000002,0.019255417200000003,0.01721660832,0.04281498648,0.0065694952800000005,0.035792422560000016,0.0317148048,0.20546662824000006,0.0065694952800000005,0.03556588824000001,0.02922292728,0.03262094208,0.11190795408000002,,0.1665027252,0.00203880888,0.0024918775200000005,0.0018122745600000004,0.00022653432000000005,0.0271841184
Hainan,0.02849475024,0.01015654464,0.03709960056,0.021300531119999997,0.01953724212,0.00902803968,0.01678651128,0.020595215519999998,0.14360225616000002,0.0144589698,0.04147255728,0.012060896760000002,0.02087734176,0.02165318892,0.02334594636,0.01255461768,0.01981936836,,0.033079301639999996,0.00733528224,0.025250298480000002,0.013118870160000002,0.01981936836,0.013471527959999998,0.03519524843999999,0.019255115880000003,0.007758471600000001,0.00331498332,0.001763289,7.053156e-05,0.048314118600000004
Chongqing,0.018602939520000004,0.0085671432,0.03745065456000001,0.023008898880000003,0.011014898400000004,0.0061193880000000025,0.007098490080000001,0.039164083200000005,0.09815498352000003,0.0044059593599999995,1.21433135472,0.02105069472,0.032799919680000005,0.050668532640000014,0.17942045616000005,0.004161183840000001,0.041856613920000015,0.02692530720000001,0.07441175808000003,0.014196980160000002,,0.02276412336000001,0.017868612960000002,0.07049534975999999,0.02692530720000001,0.3326499316800001,0.011014898400000004,0.003916408320000001,0.00293730624,0.004161183840000001,0.035247674879999996
Sichuan,0.0390670128,0.01074342852,0.06901838928,0.04460150628,0.02864914272,0.01074342852,0.0179057142,0.05729828544,0.16343033687999994,0.01009231164,,0.02539355832,0.05241490883999999,0.1839405186,0.07780846715999999,0.00944119476,0.05501937635999999,0.037113662159999984,0.04004368812,0.08497075283999997,1.2022873189199998,0.035485869959999986,0.02376576612,0.46554856920000004,0.040694805,0.30146711544,0.02409132456,0.007813402559999998,0.02539355832,0.02799802584,0.07325064899999999
Guizhou,0.01094148,0.00397872,0.03182976,0.015318072,0.00596808,0.0023872319999999995,0.00298404,0.028248911999999994,0.18063388800000002,0.002586168,0.32207738399999997,0.013726583999999998,0.018302112,0.01690956,0.038195711999999986,0.00198936,0.06346058399999999,0.017705303999999998,0.210474288,0.005172336,0.32426568,0.032625503999999986,0.03083508,0.41338900799999995,0.16889666399999997,,0.0011936159999999998,0.00099468,0.0005968079999999999,0.0005968079999999999,0.017307431999999998
Yunnan,0.020750460119999998,0.0064342512,0.04069663883999999,0.02380672944,0.01109908332,0.0045039758400000005,0.00932966424,0.032010399720000006,0.09184893588,0.00691682004,0.46487464920000005,0.01624648428,0.026541286200000003,0.02541529224,0.03152783088,0.004021407,0.039088076039999996,0.0096513768,0.04777431516,0.01029480192,0.08444954699999999,0.02300244804,0.01946360988,,0.10552171968,0.40471440048,0.00418226328,0.0030562693199999995,0.00209113164,0.00369969444,0.030401836919999998
Tibet,0.0027845532,0.0004498124399999999,0.008310820319999999,0.0015850533600000002,0.0017135712,0.0003212946,0.0007068481199999999,0.00280597284,0.00218480328,0.0005140713599999999,0.09439635348,0.00199202652,0.0007711070399999999,0.010881177119999998,0.00355566024,0.00027845532,0.0012851784,0.0010281427199999998,0.00242041932,0.0097459362,0.009574579079999998,0.0008996248799999998,0.00072826776,0.012594748319999998,0.0005140713599999999,0.00186350868,0.0007711070399999999,0.0010495623599999998,0.03592073628,,0.0022490622
Shaanxi,0.08083966535999998,0.017266724639999998,0.281238318,0.07717702679999999,0.37515883536,0.24330384719999998,0.01857480984,0.08005481424,0.07665379272,0.013080852,0.24487354943999995,0.05258502503999998,0.0379344708,,0.11694281687999998,0.01020306456,0.0444748968,0.026161704,0.0313940448,0.33617789639999995,0.052846642079999985,0.0248536188,0.01857480984,0.02511523584,0.013865703119999998,0.019621277999999995,0.02799302328,0.13159337112,0.024592001759999992,0.008110128239999998,0.09784477296
Gansu,0.01803648384,0.007148606400000002,0.041571895680000005,0.01627682688,0.015506976960000004,0.044431338240000014,0.00461909952,0.02540504736,0.01627682688,0.00230954976,0.08831278367999999,0.00978809184,0.00978809184,0.3348847152,0.018916312320000003,0.0010997856000000002,0.014187234240000002,0.0064887350400000005,0.007918456320000001,,0.013747320000000002,0.006598713600000001,0.0059388422400000005,0.006708692160000001,0.005498928000000001,0.004179185280000001,0.04971030912,0.15056064864000002,0.14209229952000002,0.0020895926400000004,0.027714597120000004
Qinghai,0.00557832096,0.0012477823199999998,0.01713865716,0.0076701913199999985,0.00433053864,0.0044039376,0.0012477823199999998,0.00741329496,0.006899502239999999,0.0008807875199999998,0.03090096216,0.00337635216,0.00242216568,0.0267906204,0.0060554142,0.0007339896000000001,0.0038534453999999998,0.0038534453999999998,0.0017248755599999998,0.175240017,0.003926844360000001,0.00190837296,0.00135788076,0.00304605684,0.00099088596,0.00044039376,0.01159703568,0.00924826896,,0.0139458024,0.008147284559999999
Ningxia,0.01340500752,0.0022035628800000004,0.018607864320000004,0.009242722080000002,0.009609982560000004,0.14268069648,0.0022035628800000004,0.009181512,0.008018520480000001,0.0024484032000000005,0.012242016000000005,0.005570117280000001,0.0044683358400000005,0.12786785712,0.0055089072000000005,0.0016526721600000007,0.00605979792,0.00538648704,0.0037338148799999997,0.17683592112000002,0.003978655200000001,0.0022035628800000004,0.0018363024000000003,0.0034277644800000014,0.0022647729600000005,0.0015914620800000002,0.004958016480000002,,0.007406419680000002,0.00024484032000000004,0.016281881280000004
Xinjiang,0.018400465440000003,0.0049953153600000005,0.07455033936000001,0.021435593760000003,0.010117094400000002,0.009927398880000002,0.004742388,0.02074004352,0.02156205744,0.003414519360000001,0.0724004568,0.013531613760000005,0.00961123968,0.047866502880000016,0.017451987840000002,0.0028454328000000004,0.011381731200000002,0.00904215312,0.01112880384,0.14853159215999998,0.02124589824,0.005437938240000001,0.00328805568,0.00657611136,0.0031615920000000004,0.0024660417600000004,,0.011634658559999999,0.018906320160000004,0.00037939104,0.02421779472
Taiwan,0.00022400064,0.000193104,0.00042096672,0.000289656,3.0896640000000015e-05,3.0896640000000015e-05,0.00032055264000000003,0.0037578038399999998,0.00906816384,9.6552e-05,0.0006140707200000001,0.00090372672,0.005993948160000001,0.00035531136000000005,0.0005175187200000001,0.000289656,0.0022979376000000005,0.00012744864000000002,0.00045186336,0.000193104,0.0007106227200000001,0.005020704000000001,0.00035531136000000005,0.00035531136000000005,0.0005484153599999999,6.179328000000003e-05,,,,,0.0016838668800000002
Hong Kong,0.00033223608000000003,0.00057386232,0.00093630168,0.00096650496,0.00024162624,,0.0007248787199999999,0.00295992144,0.24153563016,0.00027182952,0.00111752136,0.0005134557599999999,0.006825941279999999,0.00036243936,0.000755082,0.0003020328,0.0036243936,0.0012081312,0.0018121968,6.040656e-05,0.0007852852799999999,0.008094479040000001,0.0006946754399999999,0.00054365904,0.00193300992,0.00063426888,3.020328e-05,3.020328e-05,,,0.00456069528
Macau,0.0016339158000000002,0.00077239656,0.0024657274800000003,0.0016636233600000002,0.00151508556,0.00020795292000000005,0.0010397646,0.00849636216,0.23353112915999996,0.00044561339999999995,0.0013962553199999995,0.00151508556,0.0060900497999999996,0.00077239656,0.0040105206,0.00038619828,0.00603063468,0.0008912267999999999,0.00273309552,0.00029707560000000004,0.0012477175199999998,0.0031192938000000003,0.00258455772,0.00077239656,0.00202011408,0.0008912267999999999,0.00020795292000000005,0.00014853780000000002,,,0.00442642644
