,Hebei,Tianjin,Shandong,Henan,Jiangsu,Guangdong,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Hainan,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.08102616300000001,0.0312100776,0.177057171,0.28629244260000003,1.3096228716,0.27128759760000004,0.0378122094,1.1727786852,0.0522168606,0.015605038799999997,,0.1254405042,0.06662151179999999,0.1674540702,0.6554116296,0.024007752,0.1554501942,0.021006783,0.3193031016,0.0768248064,0.0318102714,0.4423428306,0.075024225,0.0246079458,0.051616666799999995,0.156050388,0.009002907000000001,0.0114036822,0.0054017442,0.0018005813999999996,0.13564379880000002
Anhui,0.0702275184,0.0269365824,0.209239524,0.4959217224,1.8451558944,0.1279487664,0.0298226448,0.4627320048,0.0182783952,0.0110632392,0.7325788392,0.043290935999999995,0.050987102400000005,0.1553663592,,0.006734145600000001,0.0601263,0.0072151559999999995,0.0615693312,0.032227696800000004,0.014430311999999999,0.1447841304,0.0235695096,0.0115442496,0.0197214264,0.0211644576,0.0052911144000000005,0.004810104,0.0028860624,0.0014430312,0.10486026720000001
Fujian,0.02700268488,0.01418126616,0.0398241036,0.06430135751999999,0.10937058696,0.41650184448,0.01612390536,0.1097591148,0.02000918376,0.00854761248,0.32403221856,0.060998870880000014,0.02700268488,0.06041607912,0.05691932856,0.007576292879999999,0.06974074727999999,0.00660497328,,0.04157247888,0.01923212808,0.22961995344,0.03283060248,0.00990745992,0.04215527063999999,0.05478242544,0.0019426392000000002,0.00252543096,0.00213690312,0.0005827917599999999,0.0592504956
Jiangxi,0.0267426522,0.0085680342,0.0433594458,0.06413043780000001,0.14331984479999998,0.5748372036,0.010645133399999998,0.1334536236,0.010125858599999999,0.0033752862,0.4377486564,0.0321950376,0.0199920798,0.17681306940000002,0.14331984479999998,0.0033752862,0.32688348660000005,0.004154198400000001,0.23055801120000002,0.0223288164,0.017914980599999998,,0.026483014800000003,0.005452385400000001,0.0410227092,0.0301179384,0.0020770992000000003,0.0015578244,0.001298187,0.0005192748000000001,0.049331106
Shandong,0.88732365624,0.22522761828,,0.71278531632,0.99497305152,0.13691330855999997,0.14004872784000003,0.20484739296,0.13795844832,0.059050396439999986,0.25135611228,0.07472749284,0.11444280372000001,0.09563028804,0.24717555324,0.0627083856,0.059050396439999986,0.044941009680000005,0.05852782656000001,0.04023788076,0.028741343400000008,0.05539240727999999,0.03344447232,0.02560592412,0.037625031360000005,0.02456078436,0.015154526519999998,0.015154526519999998,0.007315978320000001,0.00156770964,0.42380417268
Henan,0.41280822504000003,0.08169028199999999,0.7041702308399999,,0.52989762924,0.32621652612,0.3692400746399999,0.20858252004,0.040300539119999985,0.038666733479999986,0.3888457423199999,0.09203771771999998,0.30170944151999995,0.42370026264,0.5435126762399999,0.01742726016,0.12416922863999995,0.012525843239999996,0.07951187448,0.04955877108,0.03703292784,0.08169028199999999,0.047380363559999986,0.04465735415999999,0.041389742880000004,0.040845141,0.013615046999999998,0.033765316559999994,0.014159648879999997,0.00435681504,0.33384095243999995
Hubei,0.06009701040000001,0.018887631840000002,0.07526435112,0.364874706,0.17943250247999998,0.3534276564,0.02604203784,0.10416815136,0.02089086552,0.0085852872,0.18057720744,0.08900081064,0.10102021272,,0.14738076360000002,0.00686822976,0.40551173208,0.006009701039999999,0.06696524016,0.16827162912000002,0.026614390320000004,0.19288278575999998,0.03663055872,0.01545351696,0.0414955548,0.03691673496,0.0057235248,0.00515117232,0.0042926436,0.0020032336800000004,0.10502668008
Hunan,0.036764798400000014,0.012366341280000002,0.045454659840000015,0.09057509424,0.10461256272,1.1029439520000002,0.018382399200000003,0.07620340032,0.017045497439999998,0.008355636000000001,0.15474637872000002,0.06651086256000001,0.03977282736,0.3826881288,0.05614987392000001,0.008355636000000001,,0.00802141056,0.06985311696,0.08756706528000001,0.033422544000000005,0.32152487328,0.055481423040000005,0.01270056672,0.23262090624,0.192179628,0.0046791561600000005,0.006684508800000001,0.00401070528,0.00200535264,0.08422481088000001
Guangdong,0.07422954048,0.03385908863999999,0.10418181120000003,0.23701362048000005,0.2435249836800001,,0.03776590656000001,0.20966589504,0.049486360320000006,0.017580680640000002,0.28845338976,0.25264089215999996,0.10027499328000003,0.31059202464,0.11069317440000002,0.031254543360000005,0.9727976620800002,0.022138634880000004,0.3984954278400001,0.1497613536,0.14194771775999998,0.53914087296,0.15497044416,0.024743180160000003,1.3185510480000002,0.22529316672,0.009115908480000002,0.011069317440000002,0.007813635840000001,0.003906817920000001,0.20836362240000006
Guangxi,0.024331104,0.0066910536,0.0295014636,0.031022157600000006,0.0437959872,1.9376682948,0.0094283028,0.0343676844,0.0124696908,0.0033455268,0.05687395560000001,0.0556574004,0.0170317728,0.0389297664,0.0206814384,0.0066910536,0.2177633808,0.003041388,0.039538044,0.034975962,0.0401463216,0.0459249588,0.1100982456,0.00760347,,0.1663639236,0.0021289716,0.0036496656,0.0009124164,0.0009124164,0.033455267999999996
