,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Sichuan,Heilongjiang,Shanghai,Shaanxi,Hubei,Zhejiang,Jilin,Hunan,Jiangxi,Fujian,Hainan,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.15100334604000004,0.04014012996,0.33067821348000004,1.8579145867200004,0.0764573904,0.07836882516,0.028671521400000007,1.9229033685600003,2.7906947495999996,0.32303247444,0.7091422959600001,0.06881165136,1.61133950268,0.21408069312000005,1.2615469416000002,,0.05160873852000001,1.1793552469200002,2.5097138398800003,0.573430428,0.04014012996,0.6537106879200001,0.08028025992,0.4491871686000001,0.18540917172,1.64765676312,0.0191143476,0.0095571738,0.003822869520000001,,0.18349773696
Anhui,0.09832807403999999,0.03030236244,0.27705017088000006,0.8095059680399999,0.0401970114,0.032157609119999986,0.01113148008,2.3685315947999994,,0.1205910342,0.07173620496000001,0.02349979128,0.49411403244,0.0680257116,0.25231354848000004,0.71055947844,0.016078804559999996,0.10080173627999997,0.1917088236,0.08657817839999997,0.017934051240000002,0.0494732448,0.020407713480000002,0.03772334916,0.029065531319999994,0.04205225808,0.008039402279999998,0.005565740039999999,0.00371049336,0.00247366224,0.14656448772
Fujian,0.053535482280000005,0.02226227976,0.08692890191999998,0.31485224232,0.032863365359999994,0.02968303968,0.01007103132,0.13834416707999994,0.1961200836,0.5851799251199999,0.35089593336,0.023322388319999998,0.12615291863999994,0.06254640503999999,0.34241506488000006,0.44206526952,0.0159016284,0.36997788744000004,0.8443764680399999,,0.023852442600000003,0.32121289367999994,0.03816390816,0.1272130272,0.14258460132,0.4521363008399999,0.011661194159999999,0.0058305970799999995,0.00212021712,0.00106010856,0.08215841339999999
Jiangxi,0.05274658116000001,0.01291753008,0.08109338327999999,0.15752210292000002,0.026552700719999996,0.019017474840000003,0.01004696784,0.16254558684,0.21600980856,0.56908896408,0.07786400076000001,0.021888037080000002,0.12415181688,0.04413489444,0.32867937648,0.42986669544,0.013276350359999998,0.5052189542400001,,0.29028560651999996,0.03193500492,0.05633478396000001,0.03014090352,0.05238776088,0.07068759515999999,0.09365209307999997,0.007894046160000001,0.00609994476,0.00502348392,0.00143528112,0.07355815739999999
Shandong,1.205373312,0.33901124399999993,,1.2019489559999998,0.207173538,0.326169909,0.08732107800000001,1.43822952,0.452871081,0.17207388899999995,0.225151407,0.23200011899999995,0.24826580999999995,0.210597894,0.22001487299999994,0.30562377299999993,0.14895948599999995,0.12156463799999995,0.107867214,0.11129157,0.04194836099999999,0.08132845499999998,0.065918853,0.08132845499999998,0.059926229999999976,0.07019929799999998,0.029107026,0.026538759,0.011129156999999995,0.0008560889999999999,0.7079856029999999
Henan,0.55073902968,0.08576502264000001,0.8704086595200001,,0.3593625328800001,0.06520976928000001,0.04181930856,0.67477935168,0.8378037748800001,0.34306009056000003,0.17507405448000005,0.042528110400000006,0.2339046072000001,0.4295339150400001,0.65705930568,0.3182520261600001,0.029769677280000007,0.20271732624,0.11553469992,0.12474912384000005,0.06733617480000001,0.08222101343999999,0.07017138216,0.06379216560000002,0.07158898584000001,0.05883055272000001,0.038275299360000015,0.01984645152000001,0.017720046000000003,0.0014176036800000002,0.41748428376
Hubei,0.11875581720000003,0.025816482,0.13992533244000002,0.7822394046000001,0.07641678672000002,0.035626745160000015,0.02271850416000001,0.23647897512000005,0.29947119120000004,0.3986064820800001,0.19723792248,0.030979778400000012,0.12237012468000005,0.18484601112,,0.21840743772000007,0.0180715374,0.7213125070800003,0.3795022854,0.12546810252000004,0.04027371192000001,0.3712410111600001,0.05627993076000001,0.08416173132000002,0.12546810252000004,0.13321304712000004,0.032012437680000005,0.013940900280000005,0.00981026316,0.0030979778399999997,0.13940900280000004
Hunan,0.08351009280000002,0.016210782719999997,0.08449256447999999,0.2038628736,0.035860216320000006,0.02800044288,0.018175726080000003,0.12919502592,0.09972087552000002,1.11707030016,0.11838783744,0.021614376960000004,0.07515908352000003,0.07368537600000001,0.7358712883200001,0.15375681792,0.02259684864,,0.50499044352,0.11642289408000002,0.05256223488000001,0.19010827008,0.03143909376,0.0957909888,0.35516351232000004,0.35663721983999996,0.02259684864,0.012280896,0.008351009280000002,0.005403594240000001,0.11986154496
Guangdong,0.13627302623999998,0.04193016192,0.18082382328,1.3810747082400001,0.07337778336000003,0.08910159408000001,0.0262063512,0.3013730388,0.37999209240000004,,1.5854842476,0.07337778336000003,0.23323652568000003,0.25682224176,2.0834049204,0.35116510608,0.0524127024,5.18623690248,2.57608432296,0.7914318062400001,0.22013335008,0.96177308904,0.07337778336000003,0.63157306392,5.47974803592,1.3286620058399998,0.028826986319999998,0.01048254048,0.00524127024,,0.26992541736000003
Guangxi,0.06365698955999999,0.0160031538,0.06259011264,0.09957517919999996,0.02062628712,0.01813690764,0.006756887159999999,0.054055097279999985,0.04516445628,1.3229273808000002,0.14865151751999994,0.01209127176,0.03662944092,0.041252574239999985,0.10455393815999997,0.06187886135999999,0.01138002048,0.44951080896000006,0.09281829204,0.07397013311999999,0.05369947164,0.08357202539999999,0.016358779440000002,0.23222354292,,0.34922437848000004,0.003556256399999999,0.00497875896,0.0032006307599999994,0.00035562564,0.050143215240000004
