,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Jiangsu,Shaanxi,Hunan,Guangdong,Jilin,Sichuan,Gansu,Zhejiang,Guizhou,Heilongjiang,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Guangxi,0.01042008948,0.00183883932,0.0245178576,0.009194196600000001,0.00367767864,0.00490357152,0.00061294644,0.01042008948,0.02635669692,0.00490357152,0.16120491372,5.26398402672,0.00183883932,0.03922857216,0.0030647322,0.09010312668,0.17714152116,0.00061294644,0.01287187524,0.042293304360000006,0.044745090120000004,0.028808482679999994,0.12810580596,0.01409776812,,0.0061294644,0.00061294644,0.00061294644,0.00061294644,,0.00796830372
Hainan,0.01169997696,0.0014580518399999998,0.019239171840000003,0.005583271680000001,0.006294516480000001,0.008286001920000001,0.0039118464,0.00270273024,0.0051920870400000005,0.00839268864,0.012233410559999998,0.13936841855999998,0.00949511808,0.0183145536,0.00362734848,0.011913350400000002,0.01294465536,0.009459555840000002,0.0056899583999999994,0.00433859328,0.0067568256,,0.0018492364800000002,0.013584775680000003,0.01614525696,0.00149361408,0.00064012032,0.00056899584,0.00099574272,,0.012446783999999999
Chongqing,0.0157468212,0.0051535051200000005,0.03235255992,0.017750962080000002,0.00973439856,0.005439810959999999,0.00200414088,0.022045549680000002,0.09419462136,0.04953091032,0.16033127039999998,0.5250849105600001,0.00114522336,0.65678559696,0.01231115112,0.35730968831999993,0.314936424,0.0008589175199999999,0.04265957016,0.17722331496000002,0.053825497919999986,0.01259745696,0.13112807472000002,,0.06928601327999999,0.06470511983999999,0.00171783504,0.00114522336,0.00372197592,0.00458089344,0.01259745696
Sichuan,0.026291770560000004,0.008365563360000002,0.1224957492,0.0478032192,0.03107209248,0.01553604624,0.00776802312,0.040632736319999994,0.27128326896000005,0.24260133744,0.1105449444,1.17834935328,0.00239016096,,0.07409498976,0.6363803556000001,0.58319927424,0.00239016096,0.0776802312,0.21989480832,0.04899829968,0.026291770560000004,0.66207458592,1.210018986,0.1882251756,0.019718827919999998,0.00776802312,0.004182781680000001,0.020316368159999997,0.039437655839999995,0.04003519608
Guizhou,0.0045419616,0.0016516224,0.011974262399999998,0.009909734399999998,0.0033032448,0.0008258111999999999,0.0008258111999999999,0.0202323744,0.1152006624,0.011148451200000001,0.3901957919999999,0.9472054464,,0.2531111328,0.0033032448,0.9050890752,,0.0004129056,0.0280775808,0.2262722688,0.12634911359999998,0.007845206399999999,0.5008544927999999,0.233291664,0.2964662208,0.007845206399999999,,0.0004129056,0.0004129056,0.0004129056,0.015277507199999997
Yunnan,0.008559911520000001,0.0016194427200000002,0.01480633344,0.01203014592,0.0046269792,0.00300753648,0.00138809376,0.01318689072,0.0705614328,0.01318689072,0.09207688607999999,0.3944499768000001,0.00092539584,0.4286896228800001,0.0039329323200000006,0.35558335152000003,0.5087363630399999,0.00069404688,0.02406029184,0.061307474400000006,0.028687271039999997,0.0032388854400000004,,0.04372495344,0.20312438688,0.0032388854400000004,0.00092539584,0.00069404688,0.00046269792,0.0020821406399999997,0.01017935424
Tibet,0.00019230372,3.15252e-05,0.0009394509599999999,0.00016077852000000002,6.30504e-05,9.45756e-05,9.45756e-05,6.30504e-05,0.00016077852000000002,0.00035623476000000003,0.0007124695200000001,0.00032155704000000004,3.15252e-05,0.011434190040000002,0.0027836751600000004,0.0003877599600000001,0.00029003183999999995,6.30504e-05,3.15252e-05,6.30504e-05,0.00016077852000000002,,0.0022666618800000005,0.0007124695200000001,3.15252e-05,3.15252e-05,0.00016077852000000002,,0.00971921916,,0.00012925332
Shaanxi,0.042390125279999996,0.01269836352,0.14080244256,0.04724538192,0.26442474624,0.007843106879999999,0.17478923903999996,0.03940227503999999,0.16881353855999998,,0.02371606128,0.1521936216,0.0022408876800000003,0.11223112464000001,0.2119506264,0.14733836496,0.029318280480000007,0.0014939251199999999,0.033426574560000005,0.02184865488,0.011951400959999999,0.00354807216,0.02296909872,0.02782435536,0.014565769919999999,0.01904754528,0.005975700479999999,0.055835451359999996,0.0177403608,0.00242762832,0.04817908512
Gansu,0.0128110248,0.0121809744,0.0311874948,0.017746419599999997,0.0121809744,0.002100168,0.056914552800000004,0.010605848400000001,0.090307224,0.27963736920000004,0.0066155292,0.0390631248,0.0007350588000000001,0.05943475440000001,,0.054184334400000006,0.007350587999999998,0.0004200336,0.025517041200000003,0.0096607728,0.0069305543999999995,0.0013651092,0.005880470400000001,0.0112358988,0.003570285600000001,0.0029402352000000003,0.018166453200000002,0.110783862,0.13273061760000002,0.0033602688000000003,0.0228918312
Qinghai,0.0010591171199999998,0.00031043088,0.00387125568,0.00197214912,0.00228258,0.0001826064,0.00231910128,0.0009312926400000001,0.00377995248,0.008765107199999999,0.0012234628799999998,0.00231910128,0.00034695215999999994,0.007596426239999998,0.12039239952,0.00226431936,0.00031043088,0.00031043088,0.0009312926400000001,0.0007121649599999999,0.0005478191999999999,9.13032e-05,0.0005478191999999999,0.0008034681599999999,0.0002739096,0.00031043088,0.0024469257599999995,0.004163425919999999,,0.00971466048,0.0015156331200000001
Ningxia,0.00338151024,0.0017545572000000006,0.006093098639999999,0.0025201821600000004,0.00443424456,0.00041471351999999997,0.08252799048000001,0.0022330728,0.0061569007200000005,0.06124999680000001,0.0015950520000000002,0.0067630204800000005,0.00012760416,0.0024563800800000003,0.10772981208000004,0.00673111944,0.00092513016,0.0001595052,0.0031901040000000005,0.0013398436800000002,0.0008613280800000001,0.00038281248,0.0017545572000000006,0.0013079426400000001,0.0006699218400000001,0.00041471351999999997,0.00169075512,,0.00532747368,0.00012760416,0.004274739360000001
Xinjiang,0.00191194992,0.0005064768,0.006444917279999999,0.0032034657599999995,0.00100029168,0.0006077721599999999,0.007318589759999999,0.00131683968,0.00492548688,0.005153401439999999,0.0036592948799999995,0.012180767039999998,0.00029122416,0.0120921336,0.03903669935999999,0.003975842879999999,0.000316548,0.00029122416,0.00333008496,0.0008736724799999999,0.00096230592,0.00158274,0.0006077721599999999,0.0019372737600000002,0.0009369820800000002,0.0004431671999999999,,0.0017726687999999997,0.00388720944,8.863344000000001e-05,0.005735849759999999
Taiwan,,,0.0001938816,0.00029082239999999985,3.193344e-05,9.69408e-05,,9.69408e-05,0.0014575334399999998,,0.00016194815999999996,0.0030770150399999988,,0.00029082239999999985,,0.0004527705599999999,,,0.0016844889599999995,0.0024292224,0.00012887423999999998,,9.69408e-05,0.00012887423999999998,,,,,,,3.193344e-05
Hong Kong,6.4638e-05,3.2319e-05,0.00016159499999999995,9.6957e-05,3.2319e-05,0.000129276,6.4638e-05,,0.000355509,3.2319e-05,9.6957e-05,0.036968318999999986,,0.00032318999999999995,3.2319e-05,0.000517104,6.4638e-05,6.4638e-05,0.0009372509999999998,0.0017452260000000001,0.000129276,0.000258552,0.000226233,6.4638e-05,0.000387828,,,,,,0.000581742
Macau,9.45756e-05,,0.0002567052,6.30504e-05,,9.45756e-05,,0.00031975559999999995,0.0002567052,3.15252e-05,0.0007746192,0.039235363200000005,,3.15252e-05,3.15252e-05,0.00022518,,,6.30504e-05,0.0004188348,0.00031975559999999995,,3.15252e-05,9.45756e-05,0.00031975559999999995,,,,,,0.00031975559999999995
