,Hebei,Tianjin,Shandong,Henan,Liaoning,Jiangsu,Shanxi,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Hainan,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.09626715216,0.03891650832,0.20414098224,0.35297955792,0.05803338960000001,1.4815582991999998,0.041647491360000004,0.30177362591999995,1.32657501168,0.01775138976,,0.13996288079999994,0.07783301663999999,0.20209274496,0.80086077648,0.02867532192,0.17273467728,0.0238961016,0.08602596575999999,0.34956582912,0.034137287999999995,0.48679772688,0.07373654208,0.02526159312,0.05257142352,0.15771427055999998,0.00955844064,0.01160667792,0.00546196608,0.00068274576,0.15566603327999998
Anhui,0.07501243464,0.03094918632,0.2386759284,0.55288885392,0.0209824992,2.0090742984,0.03094918632,0.13481255735999995,0.48941679384,0.012064937040000001,0.7831717826399999,0.049308873119999985,0.05088256056,0.17887580568,,0.0104912496,0.07238962223999999,0.00839299968,0.03357199872,0.06557031,0.014163186959999999,0.16943368104000003,0.024129874080000002,0.012589499519999998,0.019933374240000003,0.02203162416,0.004721062319999999,0.004721062319999999,0.00367193736,0.0015736874399999998,0.1127809332
Fujian,0.027161023680000004,0.01638283968,0.053244228960000015,0.07307608752,0.023496441119999996,0.12890708064,0.015089457599999996,0.43651645200000005,0.11467987775999999,0.00668247408,0.36818276544,0.06359128559999999,0.02823884208,0.07523172432,0.06833368656000001,0.00819141984,0.0732916512,0.007760292479999998,0.048717391679999986,,0.0183229128,0.26190987120000003,0.03901702608,0.010347056640000001,0.049795210080000006,0.05863332096,0.005173528320000001,0.00344901888,0.0025867641600000003,0.0006466910400000001,0.062082339839999987
Jiangxi,0.028224612000000007,0.009596368079999999,0.04769959428,0.06943254552,0.012701075400000005,0.16172702676000006,0.012136583159999999,0.5602585482000001,0.13745386044000002,0.00536267628,0.4651416057600001,0.036974241719999995,0.023426427960000003,0.21422480508000002,0.16624296468,0.004515937920000001,0.3909108762,0.004515937920000001,0.029071350360000005,0.24555412440000002,0.018063751680000004,,0.026813381400000003,0.007056153000000002,0.05447350116000001,0.02935359648,0.0019757228400000006,0.00169347672,0.0005644922400000001,0.0002822461200000001,0.052497778320000014
Shandong,0.97555915296,0.24102723204,,0.77403519648,0.1603031472,1.0705960187999999,0.14828041116,0.14255529876000006,0.21411920376000004,0.06927386004000001,0.2667902378400001,0.09045677592,0.12938754024000002,0.11507475924,0.27423288395999995,0.07557148368000001,0.07213641624,0.05095350036,0.049235966639999997,0.06125870268000001,0.033205651919999996,0.06297623640000001,0.042365831760000014,0.03263314068,0.0400757868,0.029770584480000004,0.016602825959999998,0.016602825959999998,0.008587668599999999,0.00171753372,0.44999383464
Henan,0.4601604167999999,0.0983042568,0.7828154928,,0.048247488,0.5620832352,0.3932170272,0.3419540712,0.2116858536,0.0416134584,0.43483048560000004,0.1109692224,0.3684901896,0.4897120031999999,0.6012843192,0.0186959016,0.14353627679999995,0.0186959016,0.06272173439999999,0.08383001039999999,0.0410103648,0.0826238232,0.04523202,0.054278424000000006,0.0470413008,0.0446289264,0.0199020888,0.036185616000000004,0.0174897144,0.0048247488,0.35461903679999995
Hubei,0.066522708,0.0209071368,0.08457887160000001,0.4203601596,0.0240748848,0.18341260920000002,0.0281929572,0.3725271648,0.11245505399999997,0.0091864692,0.2033694216,0.0975666384,0.1099208556,,0.17549323919999998,0.0076025951999999985,0.4713609024000001,0.00791937,0.19101520440000003,0.068106582,0.025341983999999998,0.20653716960000001,0.0399136248,0.0155219652,0.0487833192,0.0376962012,0.0060187212,0.0053851716,0.0038012976,0.0019006488,0.1149892524
Hunan,0.0406527336,0.0129668202,0.055021372200000015,0.096375015,0.0171722754,0.1128463812,0.017873184599999998,1.0643306202,0.08235683099999999,0.0056072736000000005,0.15770457,0.0686891016,0.040302279,0.4531377978,0.0599277366,0.0080604558,,0.007359546599999998,0.0942722874,0.068338647,0.0399518244,0.3599168742,0.058876372799999986,0.011565001799999999,0.2607382224,0.2008104858,0.0042054552,0.0063081828,0.0038550006,0.001752273,0.08586137699999999
Guangdong,0.08412776640000001,0.0381690792,0.1191810024,0.2819838096,0.052969334400000005,0.2773100448,0.042842844000000005,,0.2406988872,0.01947402,0.3123632808,0.2975630256,0.112949316,0.3879224784000001,0.1238547672,0.0319373928,1.2595796136,0.026484667200000003,0.1768241016,0.4479024600000001,0.27575212320000003,0.6364109736,0.1690344936,0.0319373928,1.5914169143999999,0.2305723968,0.0093475296,0.010905451200000004,0.0062316864,0.0054527256000000005,0.237583044
Guangxi,0.024695668799999997,0.00987826752,0.03457393632,0.0421279056,0.01133095392,0.047648113919999985,0.00987826752,1.64967067584,0.04038468192,0.0043580592,0.05607369503999999,0.06624249983999997,0.02062814688,0.047648113919999985,0.023533519680000003,0.00668235744,0.24899044896,0.0049391337600000005,0.038641458239999996,0.0450332784,0.0479386512,0.05462100863999999,0.1220256576,0.008425581120000001,,0.18536278464,0.0020337609600000004,0.00261483552,0.0014526864,0.0014526864,0.03980360736
