,Hebei,Shandong,Henan,Shanxi,Liaoning,Heilongjiang,Tianjin,Inner Mongolia,Jilin,Guangdong,Jiangsu,Anhui,Sichuan,Shaanxi,Hunan,Gansu,Zhejiang,Shanghai,Fujian,Jiangxi,Chongqing,Hainan,Guizhou,Guangxi,Xinjiang,Yunnan,Ningxia,Hubei,Qinghai,Tibet,Beijing
Zhejiang,0.029635133040000008,0.08570945340000001,0.13713512544,0.02149999848,0.03312161928,0.02382432264,0.0188851338,0.013074323400000002,0.026439187319999998,0.14962836780000002,0.4605067242000001,0.30564862704,0.09558783107999999,0.0406756728,0.08396621028000001,0.02789188992,,0.62989184736,0.15892566444,0.18972295956000002,0.0406756728,0.01045945872,0.11360134332000002,0.031378376160000006,0.00987837768,0.05897972556,0.00552026988,0.014236485480000002,0.004939188840000001,0.00029054052000000003,0.06827702220000001
Anhui,0.11613498768,0.20429585424,0.47810316096,0.0339080256,0.05170973904,0.0127155096,0.07035915312,0.01610631216,0.018649414080000003,0.339080256,3.6383311468800006,,0.059339044800000004,0.07629305760000002,0.06951145248,0.0254310192,1.22323202352,1.3105451894400002,0.12969819792,0.17293093056000006,0.03475572624,0.007629305759999999,0.027974121119999997,0.01949711472,0.011867808960000002,0.02204021664,0.0127155096,0.031364923680000004,0.007629305759999999,0.0008477006400000001,0.23905158048
Fujian,0.01888995168,0.04021731648,0.05499413352000001,0.01096835904,0.0175189068,0.00944497584,0.01325343384,0.00807393096,0.00822626928,0.36302221655999994,0.11532010824,0.050728660560000007,0.05941194480000001,0.0220890564,0.052252043760000005,0.01173005064,0.17945454096000002,0.11623413816,,0.13055394024,0.033971445360000005,0.007921592639999999,0.04905293904,0.028334927520000008,0.00441781128,0.02483114616,0.00289442808,0.0099019908,0.00289442808,0.00015233832,0.051033337200000015
Jiangxi,0.02860070148,0.0455953212,0.046009824119999994,0.00953356716,0.01160608176,0.004974035039999999,0.01906713432,0.005803040880000001,0.004974035039999999,1.5759401018399999,0.31253520168000004,0.12559438475999998,0.062175437999999986,0.02569918104,0.25947882792,0.01160608176,0.5570919244799999,0.26611087463999994,0.38714572728,,0.040206783239999995,0.018652631399999998,0.05927391756,0.06549146136,0.0029015204400000003,0.040206783239999995,0.0029015204400000003,0.03647625696,0.0029015204400000003,0.00041450292000000003,0.10445473584
Shandong,0.4811081054400001,,0.3453988651200001,0.08199099936000001,0.22759570512000005,0.11167739568000004,0.3392731008000001,0.06879704544000001,0.09047282688,0.1484319816,0.91980707328,0.15314410800000006,0.06644098224000003,0.10649405664,0.03722579856000001,0.024503057280000004,0.22146994080000004,0.3265503595200001,0.03863943648,0.044765200800000016,0.02638790784000001,0.00989546544,0.017434867680000004,0.016021229760000002,0.017434867680000004,0.020733356160000004,0.017434867680000004,0.010837890720000002,0.011780316,0.0009424252800000002,0.7185992760000001
Henan,0.2989860595199999,0.39428042112,,0.1548533376,0.08278697663999998,0.018463282559999995,0.12269149056,0.03990451392,0.02620594944,0.8356124332799998,0.86420074176,0.5360307839999999,0.12566943935999994,0.25789036607999993,0.13460328575999994,0.08636051519999999,0.4550305766399999,0.3853465747199999,0.09469877184,0.08933846399999998,0.054794257919999985,0.01965446208,0.04466923199999999,0.03633097535999999,0.05717661695999999,0.035139795839999995,0.03692656511999999,0.0952943616,0.033948616319999986,0.00238235904,0.5241189888000001
Hubei,0.00896238432,0.00896238432,0.07709390784,0.00287144352,0.0036545644799999997,0.0016532553600000007,0.003741577920000001,0.0020013091199999997,0.0026974166400000003,0.26974166400000005,0.040809303360000014,0.026539099200000003,0.025320911040000005,0.02401570944,0.12486428640000001,0.003915604800000001,0.03802487328,0.020013091200000003,0.02271050784,0.031063798080000003,0.06978477888,0.0030454704,0.00896238432,0.00939745152,0.00417664512,0.0126169488,0.0014792284800000002,,0.0012181881600000005,0.00017402688000000004,0.0187078896
Hunan,0.03274498872,0.0363833208,0.06852192083999999,0.01152138492,0.0121277736,0.005457498119999999,0.01637249436,0.005457498119999999,0.004851109439999999,3.5504057214,0.19889548704,0.06488358876,0.11278829448,0.04365998496,,0.01091499624,0.242555472,0.13097995488,0.10247968691999998,0.25589602296,0.12067134732000001,0.02910665664,0.26559824184,0.35231182308,0.005457498119999999,0.09217107936,0.0030319434,0.1273416228,0.0030319434,0.0012127773599999998,0.13886300772
Guangdong,0.048760911360000006,0.07444746288,0.18111195648,0.035264587680000015,0.04963164191999999,0.0391828752,0.01828534176,0.02481582096,0.035264587680000015,,0.11711326032,0.08402549903999999,0.24641674848,0.08228403792,0.6434698838399999,0.034393857119999996,0.11798399088,0.10100474496,0.18198268704,0.29300083344,0.12364373952,0.11363033808,0.18546560928,0.80063674992,0.01828534176,0.07270600176,0.00914267088,0.05180846832,0.011319497279999998,0.0008707305599999999,0.09621572688
Guangxi,0.039115557720000006,0.0292452768,0.055566025920000005,0.01242924264,0.013160374559999998,0.00804245112,0.009139149000000001,0.006580187279999999,0.00987028092,2.20545943668,0.04971697056,0.02266508952,0.1425707244,0.02485848528,0.24200466552,0.009139149000000001,0.06909196644,0.039846689639999995,0.03765329388,0.057028289759999996,0.09358488576,0.03326650236,0.2394457038,,0.0054834893999999995,0.11807780508,0.0025589617200000004,0.016450468200000002,0.00438679152,,0.04350234924
Hainan,0.0779763834,0.04493292588,0.09820392048,0.03983743944,0.02964646656,0.039528622080000006,0.0185290416,0.02841119712,0.03535958772,0.3153025245600001,0.0478666908,0.02069076312,0.09202757328,0.040763891520000005,0.06284433276000001,0.02069076312,0.04508733456,0.04446969984,0.011889468359999999,0.035050770360000004,0.0625355154,,0.08013810492000001,0.08554240872000002,0.016984954800000004,0.01513205064,0.006021938520000001,0.00988215552,0.00818366004,0.00015440868000000002,0.10422585900000003
Chongqing,0.030087586080000006,0.030468441600000007,0.051034639680000014,0.015234220800000003,0.01256823216,0.004951121760000001,0.01409165424,0.008378821440000002,0.0057128328,0.36409787711999997,0.09826072416,0.036181274400000005,1.79725719888,0.05865175008000001,0.13825055375999998,0.03389614128,0.09978414624,0.057128328,0.06588800496,0.038466407519999996,,0.017138498400000004,0.42160706064,0.06017517216000001,0.022089620159999997,0.14548680864,0.0057128328,0.09826072416,0.00685539936,0.0053319772800000005,0.05560490592
Sichuan,0.08109406367999998,0.06950919744,0.12607060320000002,0.051109703999999985,0.03339167328,0.012947791680000001,0.025895583360000002,0.02112534432,0.0136292544,0.7128100051199999,0.23033439936,0.06337603296,,0.25486705728,0.14378863391999994,0.14038132032,0.18467639712,0.1056267216,0.09608624352,0.04838385312,2.43214044768,0.02453265792,0.7019066016,0.13152230495999995,0.049065315839999984,0.73734266304,0.017718030719999996,0.059968719360000006,0.05928725664,0.05042824128000001,0.12061890144000001
Guizhou,0.01085262948,0.01561719852,0.02673452628,0.00449987076,0.0039704742,0.0010587931199999999,0.00370577592,0.00185288796,0.00185288796,0.32319659988000005,0.07067444076,0.03070500048,0.42431134284,0.019852371,0.231610995,0.0034410776399999995,0.13393732968,0.028058017680000002,0.0489691818,0.05135146632,0.37613625588,0.013499612280000002,,0.19322974440000001,0.0013234914000000001,0.5741305693200001,0.00079409484,0.011117327759999998,0.0005293965599999999,,0.033087285
Yunnan,0.031420872,0.04713130800000001,0.06205622220000001,0.0225182916,0.019638045,0.0112591458,0.0123065082,0.0107354646,0.008117058600000001,0.16312669380000006,0.0623180628,0.028016944200000005,0.8496727470000001,0.049487873400000014,0.07331536799999999,0.015710436,0.08038506420000001,0.0416326554,0.024874857,0.020685407400000005,0.166268781,0.005760493200000001,0.5831190162000001,0.1233269226,0.007331536800000002,,0.005760493200000001,0.012568348799999999,0.007069696200000001,0.005236812,0.0612707004
Tibet,0.0008743139999999997,0.00219161376,0.00300764016,0.0006411636,0.00038469816,0.00018652032,0.00038469816,0.00044298576,0.00018652032,0.005117651279999999,0.0013872448799999995,0.0007693963199999999,0.030647620079999993,0.0044998027199999995,0.0011307794400000001,0.007029484559999999,0.00100254672,0.0017486279999999995,0.0008743139999999997,0.0007111087199999997,0.0077988808799999984,2.331504e-05,0.0012240396,0.0008743139999999997,0.0004779583199999999,0.004138419599999999,0.0006061910399999999,0.00012823271999999998,0.0354388608,,0.00249470928
Shaanxi,0.07189112232000001,0.06789717108000001,0.14420266056000006,0.19381173912,0.024173915400000003,0.01114102188,0.027537242760000004,0.14336182872,0.006936862679999999,0.12948810336000002,0.13894746155999999,0.043302839759999996,0.18981778787999998,,0.043302839759999996,0.23459208336000004,0.057807189,0.057386773080000016,0.020390172119999998,0.012822685559999998,0.049819286520000006,0.00651644676,0.022492251720000002,0.01135122984,0.033843481560000006,0.017447260680000003,0.12633498396,0.031110778080000005,0.04141096812,0.00252249552,0.1355841342
Gansu,0.01949616216,0.02161020384,0.03370722012,0.012684250079999999,0.005050210679999999,0.00246638196,0.010687655160000002,0.051676574400000015,0.00187914816,0.026425521,0.039109771080000015,0.0111574422,0.08056847736000003,0.29807987688,0.0076340394000000015,,0.016090206120000002,0.019026375120000005,0.004110636599999999,0.00399318984,0.016559993159999998,0.00281872224,0.003523402800000001,0.00305361576,0.11298378312000001,0.00493276392,0.18709268868,0.003523402800000001,0.12895654248000002,0.00199659492,0.041341259520000014
Qinghai,0.0026514216,0.0044958888,0.0078389856,0.00119890368,0.00108362448,0.0006686193599999999,0.0008069544000000001,0.00283586832,0.0001152792,0.0036889344,0.00442672128,0.0016369646400000001,0.01664631648,0.0197127432,0.00106056864,0.11590170768,0.00154474128,0.00283586832,0.0008069544000000001,0.00048417264000000004,0.00394254864,0.00177529968,0.00043806096,0.00089917776,0.008161767359999999,0.001152792,0.007147310400000001,0.00152168544,,0.0087612192,0.00594840672
Ningxia,0.006988116240000001,0.006477748199999999,0.0073414479600000014,0.00541775304,0.00164888136,0.0005888862,0.00227702664,0.07726186944,0.00125629056,0.008048111399999999,0.00722367072,0.0028659128399999997,0.007851816000000001,0.08307221328,0.0007066634399999999,0.12350906568,0.00396516708,0.004161462479999999,0.00164888136,0.0013740678,0.0028266537599999997,0.0007851816,0.00102073608,0.00082444068,0.005614048440000001,0.0016881404399999998,,0.00035333171999999996,0.00761626152,0.00015703632,0.01723473612
Xinjiang,0.005497291800000001,0.010712671200000001,0.01823973228,0.003749434920000001,0.00276274152,0.0012686058000000002,0.00372124368,0.00307284516,0.000704781,0.0198748242,0.010712671200000001,0.0034957137599999997,0.0319970574,0.019085469480000002,0.00335475756,0.06951959784,0.006427602719999999,0.009866934,0.0039467736,0.00104307588,0.007752591,0.0029600802000000004,0.0015787094400000002,0.0016350919199999998,,0.00177604812,0.00820365084,0.00146594448,0.007498869840000002,0.00047925108,0.018888130800000003
Taiwan,0.00016132608,0.0008419204799999999,0.0005142268800000001,0.000126036,0.00145697616,0.00019157472,0.00019157472,6.0497279999999986e-05,3.024864e-05,0.0113684472,0.00858557232,0.00064530432,0.00090241776,0.0005142268800000001,0.00054951696,9.578736e-05,0.00213757056,0.007839439200000001,0.0060245208,0.00022182336,0.0003529008,6.0497279999999986e-05,0.00016132608,0.00016132608,3.024864e-05,0.00019157472,,3.024864e-05,,,0.00087216912
Hong Kong,0.00109616976,0.00252373968,0.00160601616,0.0005098464,0.00122363136,0.0004843540800000001,0.00145306224,0.00017844624000000004,0.00017844624000000004,0.16781594256,0.0059142182400000005,0.00160601616,0.004359186720000001,0.00145306224,0.00372187872,0.0005098464,0.007622203680000002,0.0100694664,0.00948314304,0.0018099547199999998,0.00193741632,0.00135109296,0.0011471544000000002,0.0022943088000000004,0.00015295392,0.0010196928,5.098464e-05,0.00053533872,7.647696e-05,,0.008539927200000002
Macau,0.0011580019199999999,0.00313341696,0.00190729728,0.0013396492800000002,0.00140776704,0.00043141248,0.00118070784,0.00011352959999999999,0.0006130598400000001,0.1520161344,0.00626683392,0.0016348262400000002,0.0039508300799999995,0.0017029439999999999,0.0026111807999999997,9.082368e-05,0.0086282496,0.010785312000000002,0.00265659264,0.00229329792,0.0015212966400000002,0.00161212032,0.0013396492800000002,0.0023841216000000005,2.2705920000000007e-05,0.0006584716800000001,2.2705920000000007e-05,0.00186188544,,,0.00433683072
