,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Liaoning,Shanxi,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hubei,Anhui,Hainan,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Jilin,Heilongjiang,Guangxi,Guizhou,Gansu,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08196514416,0.20134915848,0.0237580128,0.31063601735999996,0.30172676256,1.2829326912,0.05404947912000001,0.03444911856,0.01425480768,,0.11997796464,0.9936788853599999,0.06889823712,0.1752153444,0.6723517622399999,0.03801282048,0.16214843736,0.32192107344,0.08612279639999999,0.08849859768,0.47100260376,0.014848758,0.01722455928,0.053455528800000006,0.16571213928,0.0207882612,0.0089092548,0.007721354159999998,0.005345552879999999,0.00118790064,0.1306690704
Anhui,0.0649346544,0.2007071136,0.0198177192,0.4663488816,0.1227011976,1.6617368375999997,0.0193960656,0.025299216,0.008854725599999998,0.6156142559999999,0.0362622096,0.3339496511999999,0.040057092,0.132820884,,0.016866144,0.052285046399999986,0.053128353600000004,0.0261425232,0.024455908799999995,0.1319775768,0.0046381896,0.0046381896,0.0185527584,0.017709451199999997,0.0092763792,0.005059843199999999,0.0037948824,0.0029515752,0.0004216536,0.090655524
Fujian,0.026876043,0.0571364766,0.0095559264,0.06430342139999999,0.43797996,0.1156665258,0.01990818,0.0121439898,0.006569699399999999,0.31853088,0.0583309674,0.08401251959999999,0.0340429878,0.060520867199999995,0.057733722,0.021301752599999998,0.07166944800000001,,0.046784223,0.0424044234,0.2414862234,0.005574290400000001,0.0085605174,0.0435989142,0.0623126034,0.0087595992,0.0035834724,0.0023889816,0.0021898998,0.0003981636,0.0603217854
Jiangxi,0.025463814480000003,0.04343827176,0.00574184052,0.06066379332000001,0.5542124328,0.13131339624000002,0.008737583399999999,0.007988647679999999,0.0029957428799999995,0.41516003412,0.0324538812,0.11708361755999999,0.01697587632,0.17300415132,0.13655594627999998,0.02047090968,0.31754874528,0.22992326604,0.02221842636,0.02446523352,,0.0029957428799999995,0.0029957428799999995,0.04393756223999999,0.03220423596,0.007239711959999998,0.0014978714399999998,0.00224680716,0.0012482262,0.0004992904799999999,0.05017869323999999
Shandong,0.811811808,,0.1628573688,0.6717247704000001,0.1569172824,0.9474437808,0.1539472392,0.13018689360000002,0.0475206912,0.22324824720000006,0.0811811808,0.1588973112,0.1123666344,0.096526404,0.237603456,0.039600576000000005,0.0688060008,0.06979601519999999,0.041085597599999996,0.0405905904,0.058905856799999996,0.039600576000000005,0.0509857416,0.0405905904,0.031185453600000006,0.024255352799999998,0.01237518,0.014850216,0.007920115200000001,0.0024750360000000003,0.405905904
Henan,0.3862968732,0.6939669492,0.058603824000000006,,0.2896005636,0.43122647159999994,0.04883652,0.3672506304,0.0297902772,0.3091351716,0.0898591968,0.13332369959999998,0.2720194164,0.39069216,0.5074114428000001,0.056650363199999984,0.1054868832,0.0669060324,0.0473714244,0.0429761376,0.0678827628,0.007325478000000001,0.009767304000000001,0.0385808508,0.03662739,0.0385808508,0.027836816399999995,0.0166044168,0.014162590799999996,0.004395286799999999,0.2852052768
Hubei,0.05381456616,0.07550103312,0.012048037200000002,0.36920540664000007,0.3410933198400001,0.1552858128,0.02356060608,0.026773416,0.00776429064,0.15849862272,0.08112345048,0.07041408408000001,0.09397469016000001,,0.1311897384,0.03052169424,0.37723743144,0.06639807167999999,0.15448261032,0.03962465568,0.18205922880000006,0.0040160123999999995,0.0056224173600000005,0.047656680480000005,0.03775051656,0.01285123968,0.00508694904,0.0040160123999999995,0.00348054408,0.0013386708,0.09879390504
Hunan,0.036955154879999993,0.050308698240000005,0.00838478304,0.09378535104,1.02573845856,0.09595918368,0.01894339872,0.016148471039999997,0.005900402879999999,0.14813116703999998,0.0590040288,0.057761838720000014,0.03757624992,0.35961402816,0.04813486559999999,0.03881844,,0.06397278912,0.08446892544000001,0.06117786144,0.29222521632,0.0034160227200000005,0.005900402879999999,0.21086176608,0.17918591903999995,0.00900587808,0.00558985536,0.0034160227200000005,0.0031054752,0.00093164256,0.07453140479999999
Guangdong,0.07530558336000001,0.12690385344000002,0.02858823072,0.23567858496,,0.24892678944000002,0.055084639680000005,0.036258243839999996,0.016734574080000002,0.28239593760000004,0.24334859808000003,0.1778048496,0.09831562272,0.32562692064,0.10947200544000002,0.19105305408,1.05915908448,0.42603436512,0.15828117984,0.17641030176,0.59407737984,0.02161549152,0.025101861119999996,1.52772715872,0.226614024,0.023010039359999998,0.011156382720000002,0.009761834880000002,0.006275465279999999,0.0027890956800000004,0.2161549152
Guangxi,0.01927520712,0.029654164800000007,0.005189478839999999,0.036820587960000005,1.3895447389200002,0.04250430288,0.012355902000000002,0.006919305120000003,0.0027182984400000005,0.049423608000000015,0.04769378172,0.028418574600000007,0.013838610240000005,0.040774476600000005,0.020016561240000005,0.049423608000000015,0.21746387520000005,0.040527358560000004,0.032372463239999996,0.11812242312,0.04126871268,0.0034596525600000014,0.00444812472,,0.16729891308,0.00469524276,0.00222406236,0.0017298262800000007,0.00098847216,0.00098847216,0.03533787972
Hainan,0.02492293536,0.02448569088,0.00940075632,0.02747352816,0.17183708064,0.030752861760000003,0.0204047424,0.014283319680000003,0.00903638592,0.029514002400000006,0.041465351520000006,0.0265990392,0.015595053120000002,0.020331868319999998,0.013408830719999999,,0.03381357312,0.016032297600000002,0.02448569088,0.01515780864,0.01515780864,0.005829926400000001,0.012388593600000004,0.041902596000000014,0.01508493456,0.004955437440000001,0.0027692150400000005,0.00225909648,0.0020404742400000004,7.287408000000001e-05,0.0557486712
Chongqing,0.029916864,0.046422720000000015,0.00773712,0.046680624,0.16196371199999998,0.068086656,0.013668912,0.017021664,0.008252928,0.075050064,1.0695278879999999,0.035848656,0.06060744,0.18440136,0.026564112,0.035848656,0.083045088,0.042038352,,0.10187208,0.023211360000000004,0.0043843680000000005,0.00386856,0.040233024,0.292978944,0.014958432,0.01031616,0.005673888,0.004642272,0.006963408000000001,0.052612415999999995
Sichuan,0.046553201280000005,0.06561435455999999,0.01209650112,0.08870767487999999,0.27198799488000003,0.10263697919999998,0.02419300224,0.03628950336,0.0146624256,0.11216755584,,0.06561435455999999,0.21847014144000002,0.08027678015999999,0.033357018239999994,0.06194874815999999,0.061582187519999984,0.06048250559999999,1.0897847827200002,0.48129412032,0.027492048,0.00513184896,0.008430894719999998,0.061582187519999984,0.31011030144,0.08394238656,0.02236019904,0.009164016,0.03262389696,0.042521034239999984,0.12792966336
Guizhou,0.0132500448,0.01948536,0.0033125112000000003,0.028058918399999997,0.2001146472,0.045595742399999986,0.0062353152,0.007014729599999999,0.0017536823999999998,0.1167173064,0.2753281368,0.0257206752,0.0210441888,0.030007454399999998,0.016952263199999998,0.01948536,0.19193079600000001,0.0508567896,0.2872142064,0.33709672799999996,0.028838332799999998,0.0015588288,0.0013639752000000002,0.17341970400000006,,0.00487134,0.0013639752000000002,0.001948536,0.0007794144,0.0015588288,0.032150844000000005
Yunnan,0.0202116222,0.0263920356,0.007349680799999999,0.03340764,0.15016734180000002,0.0474388488,0.012694903200000001,0.0101893302,0.0038418785999999997,0.0641426688,0.43429932,0.0339087546,0.023051271600000003,0.030400952400000007,0.0172049346,0.017539011,0.0552896442,0.030400952400000007,0.0913698954,,0.0212138514,0.0026726112,0.005011146,0.11675970179999999,0.3529517166,0.005512260600000001,0.0033407640000000004,0.0015033438000000001,0.0018374201999999998,0.0040089168,0.0429288174
Tibet,0.0015438567599999995,0.00232465788,0.00035490959999999987,0.00573179004,0.004045969439999999,0.0033538957199999997,0.0007985465999999999,0.0008695285199999997,0.00021294575999999995,0.00196974828,0.07493916203999998,0.0009937468800000002,0.007932229559999998,0.0022536759599999998,0.0010292378399999998,0.0005501098799999999,0.0022004395199999994,0.0015083657999999998,0.011232888839999995,0.008642048759999998,0.0007985465999999999,0.00035490959999999987,0.0005146189199999999,0.0009227649599999998,0.0012244381199999993,0.0050397163199999975,0.0009937468800000002,0.0007098191999999997,0.03013182504,,0.004045969439999999
Shaanxi,0.08488291320000001,0.09342459000000003,0.012812515200000001,0.28561231800000003,0.1022331942,0.11184258060000002,0.022955756400000003,0.3560811516,0.2346291846,0.07020190620000001,0.2140757748,0.037369836000000003,,0.10356783120000003,0.041907601800000006,0.029628941400000008,0.0349674894,0.025358102999999996,0.0584571006,0.0277604496,0.023222683799999998,0.004003911000000001,0.007473967200000002,0.0157487166,0.0245573208,0.3280537746,0.023489611200000003,0.1259897328,0.0317643606,0.005338548,0.1278582246
Gansu,0.018675036000000002,0.02203654248,0.006225011999999999,0.041334079680000003,0.033117063839999995,0.03697657128,0.00572701104,0.0143175276,0.0547801056,0.02216104272,0.09960019199999999,0.01593603072,0.37673772623999996,0.017554533839999997,0.01132952184,0.00883951704,0.008715016800000001,0.0105825204,0.0161850312,0.00983551896,0.006349512240000001,0.0008715016800000001,0.00211650408,0.00672301296,0.00672301296,,0.052041100319999985,0.14765728464000002,0.14840428608,0.0046065088799999996,0.036852071039999997
Qinghai,0.006475117320000001,0.00679686228,0.00116632548,0.013271979599999999,0.007480570320000002,0.00949147632,0.0014880704400000002,0.00414246636,0.00370006704,0.00587184552,0.0378050328,0.00293592276,0.0367995798,0.00394137576,0.0030967952399999998,0.0032174496,0.0034989764399999995,0.00370006704,0.00760122468,0.003016359,0.0014880704400000002,0.00044239932,0.00048261744000000005,0.00132719796,0.00132719796,0.17398358712,0.015685066799999998,0.0106578018,,0.016972046640000002,0.013633942680000002
Ningxia,0.013155145200000001,0.0125134308,0.0022460004,0.018032174640000002,0.015336974159999999,0.0137968596,0.0037219435200000002,0.01174337352,0.1498403124,0.0102674304,0.014438574,0.0033369148800000002,0.13084556615999998,0.0056470867200000005,0.004684515120000001,0.004299486480000001,0.00526205808,0.004748686560000001,0.0077005728,0.00301605768,0.0023743432800000003,0.0004492000800000001,0.0016684574400000001,0.00301605768,0.0030802291200000003,0.15856762824,0.004748686560000001,,0.01065245904,0.00025668576000000004,0.02130491808
Xinjiang,0.012293739360000002,0.01676886624,0.00252047376,0.04665448368,0.0182605752,0.01687174272,0.00560676816,0.007612859520000002,0.01167648048,0.01285956,0.06913299456000001,0.006018274079999999,0.04156209792,0.01008189504,0.0068927241600000005,0.00740710656,0.00987614208,0.00714991536,0.01764331632,0.0069441624,0.0030862944,0.0018003383999999996,0.0018003383999999996,0.0027776649600000005,0.002571912,0.10946057472,,0.0095160744,0.026336378880000004,0.00118307952,0.0210896784
Taiwan,,3.197556e-05,3.197556e-05,6.440148e-05,0.00016167923999999998,0.00022653107999999995,,0.00019410516,3.197556e-05,0.00016167923999999998,,0.00113355612,3.197556e-05,3.197556e-05,6.440148e-05,3.197556e-05,,0.001587519,,3.197556e-05,3.197556e-05,,6.440148e-05,9.68274e-05,,,3.197556e-05,,,3.197556e-05,0.00022653107999999995
Hong Kong,,,,,0.022711343760000002,,3.125304e-05,,,,6.250607999999999e-05,0.00029089368,,,,3.125304e-05,6.250607999999999e-05,0.00025723656000000003,3.125304e-05,,,,3.125304e-05,9.61632e-05,,3.125304e-05,,,,,0.0001923264
Macau,0.00103092912,0.00114988248,0.00015860448000000002,0.0007930224,0.17565446159999998,0.00194290488,0.00047581344000000004,0.0005352901200000001,0.00015860448000000002,0.0018437770800000003,0.0006344179200000001,0.0022204627200000005,0.00031720896000000004,0.0010904058,0.00021808116000000005,0.00041633676,0.0015067425599999999,0.00166534704,0.00031720896000000004,0.00025773228,0.0007731968400000001,0.0002775578400000001,0.00015860448000000002,0.0015463936800000002,0.0007930224,1.9825560000000006e-05,1.9825560000000006e-05,1.9825560000000006e-05,,,0.00194290488
