,Hebei,Henan,Shandong,Tianjin,Shanxi,Anhui,Jiangsu,Sichuan,Guangdong,Inner Mongolia,Liaoning,Shanghai,Hubei,Zhejiang,Shaanxi,Hainan,Heilongjiang,Hunan,Jiangxi,Jilin,Chongqing,Gansu,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.046278232200000005,1.08599584896,0.23550478164000002,0.01645448256,0.045249827039999996,1.46342054268,1.16004102048,0.38256671952,0.2108230578,0.0154260774,0.031880559960000006,0.8782580066399999,0.54094111416,,0.11106775728,0.022624913519999998,0.02879534448,0.57385007928,1.3389835183199998,0.023653318680000004,0.2725273674,0.0565622838,0.31777719444,0.29001025512,0.95230317816,0.102840516,0.0154260774,0.009255646440000001,0.0051420258,0.00102840516,0.03393737028
Anhui,0.02589081408,0.56168682768,0.17584177895999997,0.01150702848,0.01869892128,,1.4257927476,0.03919581576,0.07515527975999999,0.008630271359999999,0.008630271359999999,0.28336057631999995,0.13125204359999998,0.41029748424,0.033801896160000004,0.007551487439999998,0.007551487439999998,0.051062438880000005,0.12370055615999999,0.006113108879999999,0.02481203016,0.014024190959999999,0.046387708560000004,0.01833932664,0.02589081408,0.014024190959999999,0.006113108879999999,0.0035959464,0.00251716248,0.00071918928,0.02732919264
Fujian,0.014002450560000004,0.15677743751999998,0.05200910208000001,0.008751531600000001,0.02475433224,0.09926737272,0.08701522848,0.16627910040000002,0.33230815704,0.005751006479999999,0.007501312800000002,0.06976220904000001,0.12052109232,0.23929187832000004,0.03300577632,0.016002800640000002,0.006751181520000001,0.1337734116,0.41182207272,0.006501137760000001,0.11201960448000002,0.02175380712,,0.06901207776,0.20553597072000004,0.06426124631999999,0.00850148784,0.0040007001600000005,0.0017503063200000005,0.0012502188,0.014252494319999998
Jiangxi,0.019191974760000004,0.0887370876,0.04994040744,0.006397324920000001,0.010318266,0.134137458,0.1000871802,0.03982850676000001,0.37290213324,0.00536549832,0.009492804720000001,0.07491061116,0.18841153716000006,0.2569248234,0.017953782839999998,0.012794649840000002,0.007016420880000001,0.29943607932000005,,0.00598459428,0.030954798,0.012794649840000002,0.1692195624,0.02909751012,0.057575924279999996,0.03632029632,0.0033018451200000003,0.002889114480000001,0.0020636532,0.0010318266,0.015477399
Shandong,0.37355564448,0.70354242576,,0.1060807104,0.1155522024,0.25156282752000003,0.8789544576,0.08978974416000003,0.09585149904,0.04394772288,0.07842395376,0.12161395728,0.09357834096000002,0.15533246879999998,0.10456527168,0.01742754528,0.0606175488,0.060238689120000015,0.0549346536,0.04319000352,0.034097371200000004,0.02992991472,0.048494039040000006,0.03258193248,0.028035616319999998,0.027277896960000006,0.01212350976,0.00909263232,0.0068194742400000015,0.0007577193600000001,0.10494413136
Henan,0.12379571820000003,,0.5318392672800001,0.03086854272,0.2501638149600001,0.50997404952,0.2762091478800001,0.07459897824,0.14501784132,0.020257481160000004,0.018006649920000006,0.09324872279999999,0.34019706456000004,0.14694712524000006,0.19260684468000006,0.01832819724,0.00836023032,0.07845754608000001,0.05112602388000001,0.007074041040000001,0.0369779418,0.03086854272,0.045338172120000006,0.0225083124,0.02508069096000001,0.02733152220000001,0.0225083124,0.012861892800000002,0.009967966920000002,0.0025723785600000005,0.05755697028
Hubei,0.01839447792,0.3700793772,0.05868714384,0.0087592752,0.01729956852,0.13423589244,0.10489232051999997,0.07467282108,0.20168231148,0.00481760136,0.00678843828,0.05671630692,,0.08978257079999999,0.07532976672,0.01839447792,0.005474547,0.38059050744,0.19029525372,0.0043796376,0.16664521068,0.015109749719999998,0.05124175991999999,0.025620879959999995,0.038321829,0.031971354480000005,0.005474547,0.00372269196,0.0021898188,0.00087592752,0.02365004304
Hunan,0.02086051968,0.11152354752000003,0.045732677760000014,0.009093047040000002,0.01524422592,0.0561629376,0.06873273792000001,0.07033739328000001,0.7095251116800001,0.007755834240000001,0.012302357759999999,0.03851172863999999,0.3987568569600001,0.07648857216,0.034767532800000014,0.026209370880000003,0.01043025984,,0.27118675584,0.007220949120000001,0.0976165344,0.0187209792,0.05990713344000001,0.04760477568,0.21047729472000004,0.19790749440000005,0.012302357759999999,0.004813966079999999,0.006686064,0.0008023276799999999,0.022197732480000003
Guangdong,0.038559855600000005,0.6589198854,0.1145454534,0.0204140412,0.039693969,0.1746534636,0.19166516460000002,0.6929432874,,0.018145814399999998,0.0328892886,0.1519711956,0.8619261840000001,0.1950675048,0.12702070080000002,0.1667146698,0.0306210618,2.3873087070000003,1.1919531834,0.0204140412,0.39807380340000004,0.039693969,0.42869486520000005,0.32549054580000003,0.6850044936,2.120792058,0.013609360800000001,0.0056705670000000005,0.0056705670000000005,0.0011341133999999999,0.058973896799999995
Guangxi,0.019172350079999997,0.05994114048,0.03988730304,0.004627808639999999,0.009255617279999998,0.026444620799999995,0.03327614784,0.077130144,0.9698564678399998,0.003966693119999999,0.0099167328,0.02159644032,0.06192448703999999,0.037022469119999984,0.02049458112,0.027766851839999995,0.005729667839999999,0.25937765567999993,0.057076306559999984,0.006611155199999999,0.049583663999999986,0.008814873599999998,0.03790395648,0.12451008959999997,0.21067547904,,0.00286483392,0.0022037184,0.0017629747199999996,,0.010137104639999998
