,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Inner Mongolia,Jiangsu,Shanghai,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Anhui,Hubei,Hunan,Jilin,Fujian,Gansu,Hainan,Chongqing,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Chongqing,0.038348141039999985,0.014932019519999997,0.044796058560000004,0.0610855344,0.029524674959999993,0.014592655439999996,0.28370837087999995,0.015950111759999996,0.08348356367999997,0.07398136943999999,0.11097205416,1.2807600379200001,0.09298575792000001,0.007805373839999998,0.033597043919999986,0.2307675744,0.11640187944,0.006787281599999999,0.060406806239999986,0.04988651975999999,0.025791670079999995,,0.0288459468,0.14117545727999994,0.05361952464,0.35497482768,0.019004388480000002,0.010859650559999998,0.013913927279999995,0.014253291359999996,0.07499946167999999
Sichuan,0.07610689368,0.03376573452,0.09486563508,0.11630419668,0.06592357692,0.03269380644,0.468968535,0.03162187836,0.16132517604,0.14524625484,0.16454096027999998,,0.32747402844,0.017686813319999998,0.0509165838,0.13077522576,0.09754545527999998,0.013399101,0.08629021044,0.21116983176,0.044485015319999995,1.47229321788,0.04770079956,0.54346753656,0.08789810255999997,0.41698002312,0.0509165838,0.0187587414,0.07021128924,0.09164985083999999,0.18061988148
Guizhou,0.02143307628,0.012525823799999999,0.0320104386,0.034793955,0.00890725248,0.01280417544,0.43784712972,0.005567032800000001,0.08684571167999999,0.06012395424,0.21989779559999997,0.31008372696,0.029505273839999995,0.00584538444,0.022546482840000003,0.0584538444,0.24272263008,0.006958791,0.08990757972,0.01363923036,0.02059802136,0.34070240736,0.04898988864,0.39414592224,0.20904208164000002,,0.00445362624,0.00306186804,0.0016701098399999998,0.00222681312,0.04147439436
Yunnan,0.0244768878,0.013491197999999998,0.029487904199999998,0.0323788752,0.012527541,0.0098293014,0.207186255,0.0069383304000000005,0.055506643200000004,0.0599394654,0.080947188,0.4648681368,0.0364262346,0.0071310618,0.0186949458,0.0391244742,0.060710390999999995,0.0061674048,0.0391244742,0.0121420782,0.0175385574,0.0957875058,0.0258260076,,0.140693922,0.35308392479999995,0.0061674048,0.0042400908000000005,0.005396479200000001,0.011756615399999998,0.045870073199999986
Tibet,0.00329975532,0.0015445663199999998,0.0033933653999999995,0.004680504,0.00170838396,0.0007722831599999999,0.012005492759999998,0.0008892957599999998,0.00634208292,0.006576108119999999,0.004516686359999999,0.06667377948,0.01177146756,0.0008892957599999998,0.00205942176,0.0026210822399999997,0.00322954776,0.00044464788,0.0023168494799999995,0.006950548440000001,0.00053825796,0.01247354316,0.0014041512,0.01680300936,0.0019424091600000002,0.0017785915199999996,0.0045868939200000005,0.0007956856800000001,0.0408373974,,0.009805655880000002
Shaanxi,0.12375332928,0.03572640756,0.12485826972000001,0.32153766804,0.45670871520000006,0.028728451439999997,0.1859983074,0.29317753008,0.16500443904000006,0.11123067095999999,0.10349608787999999,0.2688688404,,0.01252265832,0.06187666464,0.12412164275999998,0.058193529840000015,0.01141771788,0.03609472104,0.4217189346,0.02320374924,0.08176559256,0.027991824480000004,0.04014616932,0.027623511,0.03756797496,0.04898569284,0.14511551111999998,0.058193529840000015,0.008839523520000002,0.23351074632
Gansu,0.0366931944,0.033227726039999995,0.04036251384,0.05870911103999999,0.030373810919999997,0.01365802236,0.05320513188,0.10477945512,0.07257098448,0.05157432324,0.043624131120000006,0.14942284164000005,0.5247126799199999,0.005096277000000001,0.01488112884,0.030373810919999997,0.02221976772,0.005503979159999999,0.01916200152,,0.0065232345600000005,0.03913940736,0.01447342668,0.01080410724,0.00958100076,0.011415660480000004,0.11497200912000001,0.19345467491999999,0.2272939542,0.007542489960000002,0.08989832628000001
Qinghai,0.00934233912,0.00476276112,0.0149599548,0.02424123288,0.00751050792,0.0028088078399999996,0.01074674304,0.00928127808,0.017097091199999997,0.010197193680000001,0.00989188848,0.04964262552,0.06112210104,0.00116015976,0.0036636624,0.0082432404,0.0062892871200000006,0.00189289224,0.003053052,0.24870161591999995,0.00195395328,0.01489889376,0.003053052,0.00433533384,0.0024424416,0.00293092992,0.02204303544,0.01367767296,,0.02448547704,0.015204198960000003
Ningxia,0.02123449344,0.006635779200000001,0.017501867639999998,0.02347406892,0.01849723452,0.004727992679999999,0.018580181759999998,0.18123971940000005,0.01940965416,0.016008817319999997,0.012193244280000001,0.02015617932,0.15569196948,0.00340083684,0.0070505154,0.009041249159999999,0.00879240744,0.00240546996,0.0038985202799999993,0.18978328512,0.00364967856,0.009870721559999998,0.004230309240000001,0.00481093992,0.00273725892,0.00348378408,0.00920714364,,0.01434987252,0.00132715584,0.034754893560000014
Xinjiang,0.01866193992,0.009496608480000002,0.023023754280000003,0.041685694200000005,0.006791179320000001,0.007398520560000002,0.023189392800000003,0.012698953200000002,0.019324494000000005,0.022747690080000004,0.01612214928,0.045053677440000016,0.047593468080000007,0.0034231960800000004,0.007398520560000002,0.009386182800000002,0.01082171664,0.002760642,0.00657032796,0.10380013920000003,0.00447224004,0.017668108800000002,0.0038648988,0.005797348200000001,0.0025397906399999997,0.0017115980400000002,,0.008613203040000001,0.028158548399999997,0.0022085136000000003,0.038317710960000015
Taiwan,0.00012923712,3.230928e-05,0.00016154640000000002,3.230928e-05,6.461856e-05,6.461856e-05,0.00025847424,6.461856e-05,0.00012923712,0.00330452136,0.00016154640000000002,3.230928e-05,6.461856e-05,3.230928e-05,3.230928e-05,0.00016154640000000002,3.230928e-05,3.230928e-05,0.0033691399200000004,3.230928e-05,3.230928e-05,,,,3.230928e-05,3.230928e-05,6.461856e-05,,,,0.00022616496
Hong Kong,,,,,3.154788e-05,,0.0218044386,,,0.00109932228,3.154788e-05,,,3.154788e-05,3.154788e-05,6.309576e-05,,,0.0006479449199999999,3.154788e-05,6.309576e-05,3.154788e-05,,,3.154788e-05,3.154788e-05,,,,,9.70704e-05
Macau,0.0006030287999999999,0.000251262,0.0013568148,0.0005779025999999999,0.00037689300000000005,0.0009547956,0.22613579999999997,7.537859999999997e-05,0.0016834554,0.0029146392,0.0024121151999999995,0.0009296694000000001,0.0005779025999999999,0.000125631,0.0005276501999999999,0.002135727,0.0015075720000000002,7.537859999999997e-05,0.0013568148,0.0002763882,0.0004020192,0.0004773978,0.0007286597999999999,0.0005779025999999999,0.0016080768,0.0006030287999999999,7.537859999999997e-05,5.02524e-05,2.51262e-05,5.02524e-05,0.001381941
