,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Heilongjiang,Inner Mongolia,Guangdong,Jilin,Jiangsu,Anhui,Sichuan,Shaanxi,Zhejiang,Hunan,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Chongqing,Xinjiang,Yunnan,Guangxi,Guizhou,Ningxia,Hubei,Qinghai,Tibet,Beijing
Anhui,0.10547248140000001,0.2153703816,0.5930061191999999,0.0324530712,0.0354033504,0.0612182934,0.0103259772,0.0103259772,0.2256963588,0.011801116799999999,3.3655309974,,0.052367455800000004,0.07449454979999999,0.9603158796,0.0656437122,0.0213895242,0.8939345975999999,0.0914586552,0.1748040426,0.007375698000000001,0.033190641,0.006638128199999999,0.0154889658,0.014751396000000002,0.025077373200000003,0.0044254188,0.0317155014,0.0029502791999999997,0.0007375697999999999,0.21832066079999998
Fujian,0.02219226984,0.04675623263999999,0.07589417472000001,0.012874904640000002,0.0237169296,0.01321371792,0.011350244879999999,0.009147958559999999,0.36524071584,0.010842024960000002,0.12468328704,0.07165900872000001,0.06539096304,0.02727446904,0.2168404992,0.059461730639999995,0.010333805040000001,0.10367686368,,0.17296417944000006,0.008639738640000002,0.03862471392,0.00609863904,0.023039303040000004,0.02490277608,0.05709003768,0.0028799128800000005,0.01541600424,0.0028799128800000005,0.0003388132800000001,0.04760326584
Jiangxi,0.029274106319999996,0.045877330800000005,0.05548972392000001,0.007864685279999999,0.01267088184,0.016166297519999998,0.006116977440000001,0.003932342639999999,1.60002652752,0.005243123519999999,0.33599683224000004,0.16035219431999995,0.060295920479999994,0.028837179360000003,0.61999935624,0.31720897296,0.01136010096,0.23987290104000006,0.40459436496,,0.01922478624,0.046751184720000005,0.0030584887200000004,0.03888649944,0.07602529104,0.07471451016,0.0021846348,0.046314257760000005,0.00174770784,,0.08782231895999998
Shandong,0.6413495274000001,,0.45942089651999996,0.0996519186,0.23558735628000002,0.4829285285999999,0.09403052832,0.06234632855999999,0.089431209,0.09249742187999999,0.970967412,0.19777073076,0.059791151159999986,0.11498298299999997,0.17784034704,0.036283519079999986,0.02759591592,0.23201010792,0.02964005784,0.03883869648,0.011242780559999999,0.024018667559999998,0.013286922479999998,0.01737520632,0.012264851519999998,0.0153310644,0.011242780559999999,0.011242780559999999,0.009198638640000001,0.00051103548,0.8294105840399999
Henan,0.38921018399999996,0.4994864028,,0.19979456112,0.09470781144,0.16346827728000002,0.018163141920000004,0.035028916560000005,0.67073888376,0.024649978319999998,0.93605049252,0.6817665056400001,0.14011566624000002,0.4073733259200001,0.4657548535200001,0.15438670632,0.11351963700000002,0.30942209627999995,0.07394993495999999,0.10573543332,0.02789339652,0.060327578520000015,0.03697496748,0.03373154928,0.033082865640000014,0.047353905720000006,0.029839447440000007,0.10962753515999998,0.028542080160000007,0.0012973672800000002,0.5805718578
Hubei,0.025940075040000003,0.02831626512,0.1098987912,0.0069305543999999995,0.010098807840000001,0.012276982079999998,0.00435634848,0.0045543643200000004,0.7605788414399999,0.00514841184,0.113859108,0.045543643200000004,0.06316705296,0.04237538976,0.11088887039999998,0.18435274704,0.012276982079999998,0.058414672800000005,0.05326626096,0.053860308479999994,0.009504760319999998,0.09286942896,0.004950396,0.04673173824,0.027722217599999998,0.02910832848,0.00376230096,,0.00257420592,,0.0524741976
Hunan,0.033950210400000014,0.03564772092,0.09109973124,0.01358008416,0.009053389440000002,0.014145921000000002,0.00679004208,0.006224205240000001,3.0758890622400004,0.0056583684000000006,0.16748770464,0.07355878920000003,0.12391826796,0.04356943668,0.212188815,,0.011882573640000001,0.09675809964,0.09562642596000001,0.30951275148,0.03225269988,0.13919586264,0.0073558789199999995,0.07469046288,0.36100390392,0.3083810778,0.0028291842000000003,0.15447345732000006,0.00169751052,0.0011316736800000002,0.12901079952
Guangdong,0.054248211,0.093457314,0.245459727,0.04296888,0.06015643200000001,0.016650441000000002,0.040283325,0.024169995000000003,,0.034375104000000004,0.147705525,0.1074222,0.304541937,0.10043975699999999,0.13911174899999998,0.847024047,0.037060659,0.11118197699999999,0.24062572800000004,0.407667249,0.130517973,0.148779747,0.025244217,0.08701198200000003,1.0253448989999998,0.22236395399999997,0.009130886999999999,0.079492428,0.01074222,0.0016113329999999995,0.10312531199999997
Guangxi,0.045754291799999985,0.0331324182,0.07036694532000001,0.014515154639999996,0.01388406096,0.008204217839999998,0.009781952039999998,0.00694203048,1.6641940341600001,0.00694203048,0.042283276560000006,0.01924835724,0.14168053115999998,0.025559294040000003,0.056167337519999985,0.2855698902,0.009150858359999998,0.02745257508,0.03344796504,0.060269446439999985,0.032816871359999986,0.09245522412,0.004102108919999999,0.12274772076,,0.25874840879999994,0.00347101524,0.01388406096,0.00220882788,,0.03881226132
Hainan,0.07344815616,0.04264731648,0.07803866592,0.03094892064,0.027987301440000004,0.020435172480000003,0.03124508256,0.025469925120000004,0.37627371936,0.030208515840000005,0.04560893568,0.0214717392,0.08662736160000001,0.03998185920000001,0.046053178560000005,0.054938036160000016,0.017177391360000002,0.039389535360000005,0.015696581759999998,0.032429730239999996,,0.05434571232000001,0.015844662720000003,0.015252338880000002,0.06796916064,0.05938046496,0.007848290879999999,0.005034752640000001,0.00695980512,0.00044424288,0.10602596736
