,Hebei,Shandong,Tianjin,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Shaanxi,Anhui,Heilongjiang,Zhejiang,Hubei,Guangdong,Jilin,Sichuan,Shanghai,Hunan,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.08294417495999998,0.23206721292,0.02735393004,0.48001735296000003,0.04588401168,0.05117832071999999,0.022059621,1.98713065968,0.08912086883999999,1.3235772599999998,0.032648239079999995,,0.29030461236,0.24000867648000002,0.022059621,0.13588726535999998,1.5053485370399995,0.24971490972,0.9256216971600001,0.032648239079999995,0.48442927716000006,0.0926504082,0.030883469399999995,0.07853225075999999,0.05647262976,0.17294742863999998,0.00970623324,0.01058861808,0.008823848399999999,0.00264715452,0.08294417495999998
Anhui,0.10530262115999997,0.372281994,0.04892849064,0.8434846321199999,0.04999215347999999,0.02871889668,0.01276395408,4.5833231775600005,0.10423895832,,0.01170029124,2.23581928968,0.2978255952,0.14997646044000001,0.01170029124,0.05531046768,0.92432300796,0.10849360968,0.30527123508000004,0.01914593112,0.10530262115999997,0.035100873719999995,0.01382761692,0.02020959396,0.02233691964,0.02340058248,0.005318314199999999,0.00744563988,0.00638197704,0.00106366284,0.11062093536
Fujian,0.023937375960000003,0.048451556160000006,0.012689693280000004,0.08190620207999999,0.018746137800000003,0.015573714480000004,0.00836366148,0.12920414976000005,0.034031450160000004,0.08767424448000001,0.009228867840000002,0.5410423771200001,0.09488429747999999,0.7411934484000001,0.004614433920000001,0.07094692152000001,0.0994987314,0.10440156744000002,0.4758634980000001,0.01240129116,,0.05075877312000001,0.01788093144,0.035473460760000006,0.043260318000000006,0.06835130244000001,0.0020188148400000004,0.00374922756,0.00346082544,0.0011536084800000002,0.03576186288
Jiangxi,0.029516432400000008,0.053735043600000004,0.012109305600000002,0.08854929719999999,0.012866137199999999,0.0090819792,0.0045409896,0.2815413552000001,0.0317869272,0.2822981868,0.0052978212,1.9193249376,0.3814431264,2.2311395568,0.0052978212,0.03784158,0.19374888960000006,0.7954300115999999,,0.0083251476,0.9399848472,0.032543758799999996,0.0181639584,0.022704948000000003,0.0635738544,0.0476803908,0.0007568316000000001,0.0022704948,0.0022704948,,0.0408689064
Shandong,1.135408752,,0.5498152992,1.0280742912,0.2241610848,0.1876527648,0.08981046720000001,1.4449993056000001,0.178890768,0.3555910368,0.10587412799999997,0.3446385408,0.1212076224,0.116826624,0.07374680639999999,0.09419146560000001,0.21612925440000003,0.0744769728,0.06571497600000001,0.040159152,0.0671753088,0.044540150399999985,0.017523993600000003,0.0386988192,0.0335876544,0.028476489599999998,0.0211748256,0.020444659200000003,0.014603328,0.0021904992000000003,0.5534661312
Henan,0.6563128291199999,1.10448326304,0.14525682047999994,,0.7749982799999998,0.05137131455999999,0.05225702687999999,0.97162641504,0.7599411705599999,0.9857978121600001,0.017714246399999998,0.6155700623999999,0.7856268278399997,0.3852848591999999,0.02037138336,0.12754257407999994,0.25331372352,0.19574242271999995,0.11779973856,0.07705697183999997,0.09034265664,0.06554271167999999,0.03365706815999999,0.03719991744,0.044285615999999986,0.03719991744,0.023028520319999995,0.03719991744,0.0265713696,0.0044285616,0.34808494175999993
Hubei,0.07655923008000001,0.10473728004,0.020203130160000003,0.7001979584400002,0.052102809360000016,0.020734791480000004,0.013291533000000005,0.2812488382800001,0.23605762608000005,0.2940087099600001,0.007974919799999999,0.41310084564000005,,0.6672349566000001,0.007974919799999999,0.14408021772,0.11909213568000004,0.9968649750000002,0.42745570128,0.023393098080000004,0.11483884512000002,0.28869209676,0.035621308440000006,0.036152969760000014,0.06433101972000001,0.05741942256000001,0.006379935840000001,0.005848274520000001,0.008506581120000002,0.0015949839600000002,0.08028085932000001
Hunan,0.04120313184,0.06180469776000001,0.015054990480000002,0.14262622560000002,0.023771037600000003,0.01426262256,0.00871604712,0.1347025464,0.05863522608000001,0.08636810328000001,0.00871604712,0.2931761304000001,0.88111312704,3.78514155384,0.006338943360000001,0.09666888624,0.08636810328000001,,0.71075402424,0.01663972632,0.13074070680000002,0.15292700856,0.04833444312,0.06259706568000001,0.59506830792,0.36607397904,0.005546575440000002,0.0079236792,0.00713131128,0.0015847358400000002,0.06101232984
Guangdong,0.07893544932,0.13406496948000002,0.02631181644,0.43602438672,0.0501177456,0.05137068923999999,0.02881770372,0.21300041879999998,0.14158263132,0.18543565872,0.032576534639999995,0.30321236088000003,0.8144133659999999,,0.02631181644,0.37087131744,0.14910029315999998,2.6574934604400005,1.38199683492,0.0438530274,0.91840768812,0.22678279884,0.31198296636,0.19545920784,2.9531881594800002,0.38214781020000005,0.01503532368,0.018794154599999998,0.018794154599999998,0.0075176618399999985,0.1378238004
Guangxi,0.02199716352,0.025789777920000003,0.0075852288,0.04323580416,0.009860797440000001,0.0075852288,0.0037926144,0.045511372800000005,0.02199716352,0.020480117760000003,0.00606818304,0.0644744448,0.05992330752000001,5.96426540544,0.005309660160000001,0.0644744448,0.03868466688,0.4475284992,0.05916478464000001,0.008343751679999999,0.05006251008,0.049303987199999996,0.0644744448,0.14867048447999998,,0.30416767488,0.00151704576,0.00151704576,0.00151704576,0.00075852288,0.02503125504
Hainan,0.015290570880000002,0.01426139784,0.005807476440000001,0.0283022586,0.010879829280000001,0.009924168600000002,0.00455776632,0.02933143164,0.01852511472,0.01330573716,0.009777143879999999,0.0301400676,0.03293353728,0.19679258772,0.00705718656,0.036535642919999986,0.0305076294,0.04498956432,0.017937015839999997,0.0027199573200000003,0.01903970124,0.0268320114,,0.01411437312,0.052193775599999985,0.01933375068,0.00213185844,0.001837809,0.00102917304,0.00022053708,0.0371237418
Chongqing,0.0303359256,0.043934788799999985,0.010460664,0.062240950799999986,0.0251055936,0.010983697199999998,0.0115067304,0.0690403824,0.17469308879999998,0.0355662576,0.005230332,0.0951920424,0.33787944719999996,0.18829195199999998,0.0047072988,2.855761272,0.0455038884,0.17835432119999994,0.0350432244,0.047072987999999996,0.051780286799999985,,0.0329510916,0.1270970676,0.0716555484,0.5842280844,0.012029763600000002,0.01307583,0.01307583,0.0088915644,0.0402735564
Sichuan,0.06018679728,0.0769831128,0.02169524088,0.10427712552000001,0.05318833248,0.02589431976,0.02169524088,0.12107344104000001,0.5262845529599999,0.046889714160000005,0.0139969296,0.13577021712,0.13367067768,0.31073183711999997,0.00979785072,,0.08748081,0.10077789312,0.04059109584,0.227450106,0.07068449448,3.2206935009600004,0.047589560639999993,0.629861832,0.08118219167999999,0.56407626288,0.017496162,0.032892784559999985,0.05738741136,0.0664854156,0.07978249871999997
Guizhou,0.017777656439999998,0.02582791596,0.008050259519999999,0.03890958768,0.01039825188,0.006037694640000001,0.0050314122,0.06473750363999999,0.03454903044,0.02247364116,0.0050314122,0.21970499940000002,0.05635181663999999,0.36091996848,0.00268341984,0.45886479264,0.03756787776,0.35521770132,0.052997541839999995,0.00939196944,0.08016716772,0.5628473114399999,0.028175908319999995,0.53701939548,0.30892870908000003,,0.0030188473200000003,0.00201256488,0.0030188473200000003,0.00268341984,0.02784048084
Yunnan,0.019583259840000002,0.02511765936,0.009153045359999999,0.0404436888,0.0117073836,0.009153045359999999,0.005108676479999999,0.04746811896000001,0.0329935356,0.017880367680000002,0.0074501531999999985,0.0819516852,0.03746362752,0.15219598680000002,0.0044700919200000005,0.60708105504,0.038740796640000005,0.0670513788,0.02405335176,0.010643076000000001,0.032567812560000006,0.13027125024000002,0.015751752480000002,,0.15368601744000002,0.4897943575200001,0.0031929228,0.00361864584,0.00276719976,0.015751752480000002,0.02745913608
Tibet,0.0025818069600000004,0.0031287999600000003,0.0009845874000000002,0.00562308804,0.00137842236,0.00111586572,0.00063451188,0.003872710440000001,0.01048038588,0.0023630097600000005,0.0008095496400000003,0.0029975216400000004,0.00231925032,0.0050104558799999995,0.0003063160800000001,0.07946714304000001,0.0031069202400000003,0.0040477482,0.0007001510400000003,0.007548503400000002,0.0014440615200000005,0.01428745716,0.00041571468000000007,0.014243697719999998,0.00137842236,0.0020566936800000004,0.0006126321600000001,0.003872710440000001,0.03783003588,,0.003850830720000001
Shaanxi,0.11948715,0.13382560799999998,0.025809224400000004,0.6074726706000001,0.6973270074000001,0.0277210188,0.4119916932,0.13621535099999998,,0.0707363928,0.011948715,0.0759938274,0.2059958466,0.0941558742,0.009081023399999999,0.5243096142000001,0.05353024320000002,0.061655369400000014,0.028676916000000007,0.6954152130000001,0.0339343506,0.15294355199999998,0.0219856356,0.0325005048,0.021507687000000004,0.033456402,0.2929824918,0.031544607599999996,0.0702584442,0.005257434599999999,0.0845969022
Gansu,0.028897793280000007,0.035587097280000014,0.017392190400000004,0.06555517920000001,0.03665738592,0.00882988128,0.12067504416,0.05511986496,0.9017181792,0.015519185280000002,0.003746010240000001,0.036389813760000014,0.02702478816,0.03692495808,0.0040135824,0.2889779328000001,0.034516808639999993,0.01980033984,0.009097453440000002,,0.015251613119999997,0.050035993920000015,0.00508387104,0.010435314240000002,0.00963259776,0.013378608,0.30182139648,0.08535551904,0.3874444876800001,0.005351443199999999,0.04120611264
Qinghai,0.00790121304,0.01138454352,0.00246381912,0.025317865440000004,0.0073064980799999995,0.00229390056,0.0077312944799999995,0.012149177040000002,0.06728774976,0.004672760400000001,0.00067967424,0.00747641664,0.00875080584,0.009005683680000001,0.00110447064,0.07450928856000001,0.0064569052799999995,0.00586219032,0.00229390056,0.4811244026400001,0.00229390056,0.01155446208,0.00178414488,0.00314349336,0.00186910416,0.00390812688,0.02480810976,0.018691041600000003,,0.02446827264,0.010195113600000002
Ningxia,0.016002716400000002,0.015129840960000003,0.0053342388,0.02123996904,0.02056106592,0.0033945156,0.23383363176,0.014547924,0.22277720952,0.00591615576,0.0019397232,0.01202628384,0.00707998968,0.01086244992,0.00223068168,0.017069564159999998,0.009698616,0.00591615576,0.00320054328,0.27553768056,0.00281259864,0.006789031199999999,0.00223068168,0.00358848792,0.00232766784,0.00300657096,,0.007564920480000002,0.017748467280000003,0.0004849308,0.017748467280000003
Xinjiang,0.019247155199999998,0.021835008,0.0059844096,0.0507326976,0.009165312,0.005337446399999999,0.0096505344,0.0222124032,0.052619673599999986,0.0084105216,0.0025339391999999994,0.013909708799999998,0.010513152,0.0169288704,0.0025339391999999994,0.0486300672,0.016281907199999997,0.009704448,0.003234816,0.11526727679999997,0.005175705599999999,0.0165514752,0.0036661247999999996,0.0038278656,0.0027495936,0.00269568,0.009380966399999998,,0.0251237376,0.0016713215999999995,0.022805452799999997
Taiwan,0.00029115936,0.00029115936,6.427188e-05,0.00048552372,0.00022611312,0.00035620560000000005,0.00012931812000000002,0.00022611312,,0.00016184124,0.00019436436,0.00025863624000000004,0.00016184124,0.00032368248000000003,9.6795e-05,0.00019436436,0.0012629811599999998,0.00025863624000000004,0.00012931812000000002,0.00016184124,0.0014255967600000005,9.6795e-05,,0.00025863624000000004,0.00025863624000000004,6.427188e-05,,3.174876e-05,3.174876e-05,3.174876e-05,
Hong Kong,,3.1415040000000006e-05,,,,,,3.1415040000000006e-05,,,3.1415040000000006e-05,,9.686304e-05,0.0117610056,,,0.00035603712000000014,0.00016100208000000002,,,0.00012958704,6.413904e-05,6.413904e-05,3.1415040000000006e-05,0.00016100208000000002,,,,,,3.1415040000000006e-05
Macau,0.00053519616,0.00053519616,0.00028432295999999995,0.0006020956799999999,0.00028432295999999995,0.0007358947199999999,1.672488e-05,0.0014550645599999998,0.00053519616,0.00015052391999999994,0.00015052391999999994,0.0017059377599999998,0.00209061,0.14672737224000001,0.00028432295999999995,0.00105366744,0.00239165784,0.0015721387199999993,0.0005017463999999999,,0.00152196408,0.00035122247999999986,0.00045157176,0.00031777272,0.0014216148000000001,0.00031777272,,1.672488e-05,,,0.0008696937599999997
