,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Jiangsu,Inner Mongolia,Shanghai,Sichuan,Zhejiang,Shaanxi,Hubei,Anhui,Heilongjiang,Jilin,Hunan,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Hainan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hubei,0.0545698296,0.017350407359999997,0.06352487856000001,0.41109271632,0.02826437328,0.016510871519999998,0.33329572847999994,0.1441203192,0.01063412064,0.09486754992,0.08423342928,0.15643351151999998,0.10606136112,,0.15475443983999998,0.00755582256,0.0055969056,0.41640977664000006,0.0615659616,0.17406376415999994,0.20736535248,0.029943444960000003,0.014831799839999996,0.015671335680000002,0.038898493919999985,0.03190236191999999,0.009234894240000001,0.0047573697600000004,0.004197679199999999,0.0019589169600000003,0.0937481688
Hunan,0.03818887884,0.014532051240000001,0.04798956456,0.09327549168,0.01926341676,0.01723568868,1.0615156498799998,0.09766890252,0.0077729576400000005,0.07806753107999999,0.06792889067999999,0.14058914688,0.040554561600000004,0.44339654016,0.051707066040000006,0.00878682168,0.00608318424,,0.06556320792,0.10510390548000001,0.34403786424000005,0.052382975400000004,0.01216636848,0.0270363744,0.22609168091999995,0.202772808,0.008110912319999998,0.00371750148,0.00540727488,0.00135181872,0.08516457936
Guangdong,0.0796575384,0.033311334240000004,0.10210648104,0.24331757184,0.040552928640000006,0.0506911608,,0.2100062376,0.01882814544,0.17669490336,0.25780076064,0.26142155784000004,0.09920984328,0.3150093564,0.11152055375999999,0.02751805872,0.023897261519999997,1.06596269568,0.41711583744,0.16148755512,0.5757067548,0.16800499008,0.028966377600000006,0.08979577056,2.0653027228800003,0.22231694808000002,0.021724783199999997,0.00941407272,0.007965753840000001,0.0036207972,0.19697136767999998
Guangxi,0.0272970486,0.007358334839999999,0.02682231732,0.03940269624,0.01281774456,0.00878252868,1.2672951519600002,0.04865995619999999,0.005934141,0.04058952444,0.058629313079999995,0.046286299799999986,0.01756505736,0.04011479316,0.0189892512,0.0075957004799999985,0.00427258152,0.231431499,0.03631694292,0.03655430856,0.03869059931999999,0.10586507544,0.00854516304,0.0201760794,,0.16117126956,0.0035604846000000002,0.00213629076,0.0011868282,0.0011868282,0.043437912120000005
Hainan,0.0106802874,0.00519355152,0.01181114136,0.02022972084,0.00665947332,0.009381899520000002,0.08732705580000001,0.021234924359999997,0.005570502840000001,0.01847061468,0.0215699922,0.01964335212,0.0081672786,0.01583195544,0.0098426178,0.009130598640000001,0.00665947332,0.02291026356,0.0121462092,0.014449800600000003,0.01168549092,0.007790327280000001,0.003141261,,0.018847566,0.01202055876,0.0016334557200000002,0.00092143656,0.00096332004,0.00012565044,0.023706049680000004
Chongqing,0.0337254192,0.01440995184,0.044149639680000005,0.05457386016,0.026673740640000002,0.020235251519999997,0.18824915807999998,0.08860587408000001,0.007051678559999999,0.06407829647999999,1.3205034590400002,0.08523333216,0.08216738496,0.22166798255999998,0.040777097760000006,0.00827805744,0.005518704960000001,0.10730815200000003,0.0444562344,,0.03587158224,0.08737949519999999,0.0214616304,0.01900887264,0.04353645024,0.29678368895999996,0.01165059936,0.006745083840000001,0.006745083840000001,0.00582529968,0.0674508384
Sichuan,0.0545687118,0.02506118616,0.05941926395999999,0.09296891639999998,0.040421268,0.03152858904,0.26233402931999994,0.11722167719999994,0.016168507199999998,0.0990321066,,0.12126380399999998,0.2675887941599999,0.09054364032,0.040825480679999984,0.01576429452,0.009701104319999996,0.06588666683999997,0.05739820055999999,1.2906510872399997,0.030315950999999994,0.4664614327199999,0.11317955039999995,0.029103312959999995,0.06265296539999997,0.30760584948,0.0363791412,0.008488466279999997,0.03799599191999999,0.05658977519999999,0.12773120687999998
Guizhou,0.01670958072,0.00486481464,0.01924774488,0.030669483599999995,0.00782600616,0.007402978799999999,0.21510941256,0.051397824239999994,0.005076328319999999,0.040822140239999985,0.29886882984,0.13071545423999995,0.02601618264,0.03320764776,0.018613203840000002,0.00359573256,0.00190362312,0.22864628808,0.0571086936,0.31155965064,0.031092510959999993,0.33821037431999995,0.005287841999999999,0.013113848159999998,0.17280667655999996,,0.0021151368,0.0012690820799999994,0.0012690820799999994,0.0006345410399999997,0.03638035296
Yunnan,0.018224115480000004,0.008669724840000002,0.023001310800000008,0.034501966200000005,0.011146789080000002,0.012031454880000004,0.15587811396000004,0.048833552160000016,0.004777195320000001,0.050249017440000016,0.46515727764,0.07095019716,0.03839449572000001,0.029017038239999994,0.017162516520000004,0.006015727440000002,0.004600262160000001,0.061041940200000026,0.030255570360000008,0.08351245152000003,0.021408912360000004,,0.007608125880000002,0.00831585852,0.12721494204000006,0.3680209728000001,0.005307994800000001,0.0015923984400000005,0.00212319792,0.008669724840000002,0.042640891560000005
Tibet,0.00219452328,0.0010280649599999998,0.00258993288,0.00595091448,0.0008303601599999999,0.00152232696,0.007730257679999999,0.0026887852799999997,0.00041518008,0.0038552436,0.07162844903999999,0.0027480967199999995,0.0071569137599999996,0.00213521184,0.00241199856,0.0009292125599999998,0.00027678672,0.0028667195999999995,0.00179911368,0.010043403840000001,0.0012257697599999998,0.012198386159999998,0.006010225920000001,5.9311439999999985e-05,0.0013839335999999995,0.00199681848,0.0025108509600000003,0.00035586863999999995,0.034716962879999994,,0.006148619279999999
Shaanxi,0.09483133968,0.0232714944,0.08668631663999998,0.29991138408,0.4299408590399999,0.02879847432,0.10588529951999999,0.11548479096,0.24784141536,0.06225124752,0.24696873431999997,0.06516018432000001,,0.101812788,0.05148818136,0.012217534559999998,0.008435916719999999,0.04305226464,0.02821668696,0.06370571591999999,0.021817026,0.0319983048,0.36041726951999997,0.01541736504,0.01803540816,0.027344005919999997,0.03839796576000001,0.11548479096,0.02879847432,0.006108767279999999,0.12450249504
Gansu,0.022080833280000003,0.01249310304,0.02382405696,0.043871129280000004,0.02048287824,0.007844506559999999,0.034428667680000004,0.04082048784,0.06261078383999999,0.02498620608,0.112583196,0.025567280640000002,0.39789080496,0.01350998352,0.012347834399999999,0.0020337609600000004,0.00261483552,0.012347834399999999,0.016270087680000003,0.02367878832,0.00740870064,0.0101688048,,0.00522967104,0.00900665568,0.0094424616,0.07060055904,0.1699643088,0.20613620016,0.00610128288,0.044016397919999985
Qinghai,0.00640858068,0.0014903676,0.00909124236,0.016294685759999997,0.00457046064,0.00168908328,0.013462987319999998,0.01078032564,0.00452078172,0.00462013956,0.04575428532,0.01003514184,0.03447717048,0.007402159079999999,0.00442142388,0.0004967891999999999,0.00064582596,0.005464681200000001,0.00377559792,0.00675633312,0.00129165192,0.0034278454799999995,0.22618812276,0.00119229408,0.00258330384,0.00139100976,0.0216103302,0.01147583052,,0.02175936696,0.012916519199999999
Ningxia,0.017795998080000004,0.005013951839999999,0.01257018912,0.021891902400000003,0.01151090352,0.0031778568000000004,0.01497123648,0.01567742688,0.15974026848,0.01108718928,0.010945951200000002,0.0120052368,0.13848393744,0.007344380159999999,0.00543766608,0.00381342816,0.00233042832,0.007909332480000001,0.004307761439999999,0.005578904159999999,0.0021891902399999996,0.00338971392,0.180078552,0.00275414256,0.0020479521600000002,0.0036015710400000007,0.00748561824,,0.011299046399999998,0.00063557136,0.02005580736
Xinjiang,0.02063534616,0.008974544039999999,0.019780627680000003,0.046582157159999985,0.0067156452,0.00799772292,0.027473094,0.022711091040000003,0.01245446928,0.01959747372,0.05457988008,0.01880380656,0.054518828759999985,0.01520177868,0.008974544039999999,0.0027473094000000004,0.00231995016,0.01269867456,0.007631415,0.01752172884,0.0032357199600000002,0.00506725956,0.11984374115999999,0.00476200296,0.004029387120000001,0.00378518184,,0.01031767308,0.032845610160000004,0.00280836072,0.035104509
Taiwan,0.00012939263999999995,,0.00019408896000000002,9.704448000000001e-05,6.469631999999999e-05,0.00012939263999999995,0.00022643712000000002,0.00022643712000000002,3.2348159999999994e-05,0.00181419264,0.00012939263999999995,0.0001617408,3.2348159999999994e-05,3.2348159999999994e-05,9.704448000000001e-05,9.704448000000001e-05,3.2348159999999994e-05,6.469631999999999e-05,0.00174949632,0.00012939263999999995,3.2348159999999994e-05,0.0001617408,0.00012939263999999995,,9.704448000000001e-05,6.469631999999999e-05,3.2348159999999994e-05,,,,0.00025878527999999995
Hong Kong,6.357852e-05,3.0763800000000005e-05,6.357852e-05,3.0763800000000005e-05,,3.0763800000000005e-05,0.018757714319999997,3.0763800000000005e-05,3.0763800000000005e-05,0.00045325332,3.0763800000000005e-05,0.00019278648,,,,3.0763800000000005e-05,,3.0763800000000005e-05,0.0004204386,,,,,,,,,,,,0.00012920796
Macau,0.0011201652,0.0004800708,0.0009601416,0.000800118,0.0007681132799999999,0.000800118,0.28394587584000003,0.0049607316000000005,,0.0033284908800000003,0.0014722171200000002,0.0033604956000000004,0.00019202831999999998,0.00204830208,0.0007361085600000001,0.00019202831999999998,0.00012801888,0.0024963681600000003,0.0025283728800000005,0.00028804248,0.00134419824,0.00038405663999999996,6.400944000000001e-05,0.00060808968,0.00310445784,0.0006720991200000001,9.601415999999999e-05,6.400944000000001e-05,6.400944000000001e-05,,0.0026243870399999996
