,Hebei,Henan,Shandong,Tianjin,Heilongjiang,Liaoning,Shanxi,Inner Mongolia,Jilin,Anhui,Hunan,Guangdong,Shaanxi,Sichuan,Jiangsu,Gansu,Shanghai,Zhejiang,Jiangxi,Guizhou,Hainan,Chongqing,Fujian,Xinjiang,Yunnan,Guangxi,Ningxia,Hubei,Qinghai,Beijing,Tibet
Zhejiang,0.022155657839999995,0.08381527163999998,0.05873339484,0.01316798532,0.01755731376,0.02340975168,0.012122907119999995,0.007315547399999999,0.020065501439999998,0.16658546507999994,0.06019650431999999,0.13627819727999996,0.02863514268,0.06542189531999999,0.32585538276,0.0188114076,0.50121950472,,0.13000772807999994,0.07420055219999998,0.00794259432,0.035950690079999986,0.12122907119999995,0.006479484839999999,0.040549034160000004,0.02654498628,0.00480735972,0.008360625600000001,0.00376228152,0.05768831664,0.0006270469199999997
Anhui,0.0817410204,0.35777415852,0.13078563263999998,0.05910504551999999,0.012575541599999998,0.04778705808,0.0220071978,0.01131798744,0.015719427,,0.0534460518,0.35777415852,0.0660215934,0.056589937199999996,2.12778163872,0.016348204079999998,1.2449786184,0.97397569692,0.1226115306,0.02074964364,0.0094316562,0.02892374568,0.13707340344,0.016976981159999998,0.021378420719999996,0.027666191519999998,0.01006043328,0.024522306119999997,0.00503021664,0.21504176136,0.00125755416
Fujian,0.011790852479999999,0.029477131200000006,0.02425163976,0.00978104808,0.010049022,0.01045098288,0.007369282800000002,0.00428758272,0.0058954262399999995,0.0308170008,0.0422058924,0.395261532,0.01420261776,0.03845425752,0.08802943272000002,0.007503269760000001,0.11469283776000005,0.15502291272000002,0.10946734632,0.034300661760000004,0.01232680032,0.0274673268,,0.0026797391999999996,0.024117652800000004,0.03671242704,0.00214379136,0.006699348000000001,0.00160784352,0.04649347512000001,
Jiangxi,0.02272583304,0.03651035472,0.029804371200000002,0.015647294880000003,0.0037255464000000003,0.008568756720000001,0.009313866,0.00409810104,0.00335299176,0.08494245791999999,0.20937570768,1.4425315660799998,0.0223532784,0.05103998568,0.21272869944,0.011549193840000001,0.23992518816,0.49065446088,,0.051785094959999986,0.02160816912,0.037255464,0.47128161960000003,0.0037255464000000003,0.042843783600000004,0.06184407024,0.0018627732000000001,0.032039699039999994,0.0026078824800000004,0.09090333216,0.00074510928
Shandong,0.42657922944,0.26680733856,,0.38985903936,0.08672215104,0.16797533759999994,0.06679949471999999,0.04922068032,0.06484629312000001,0.10117584288,0.02812610304,0.14141179584000002,0.09648815904,0.05820540768,0.5961171283199999,0.02070393696,0.28282359168000004,0.16250637312000002,0.031641865920000005,0.019532016,0.009375367679999998,0.022266498239999998,0.04140787392,0.01836009504,0.021094577280000002,0.019141375680000003,0.01836009504,0.008203446719999999,0.013672411199999998,0.6676043068799999,0.00078128064
Henan,0.26009911296,,0.31191573312,0.1092213072,0.012700152,0.05994471744,0.14274970848,0.02641631616,0.018288218880000002,0.41859700992,0.10820529504000001,0.8534502144,0.23215877856000006,0.10312523424,0.5039420313599999,0.04775257152,0.3835445904,0.40792888224,0.08229698496000001,0.032004383039999994,0.01320815808,0.041656498560000005,0.12852553824000001,0.06756480864,0.03505241952,0.03860846208,0.02387628576,0.07721692416,0.02387628576,0.5054660496,0.00152401824
Hubei,0.0032384447999999995,0.05651086175999999,0.003319405919999999,0.0011739362399999995,0.0006881695200000001,0.0008500917599999998,0.0011334556800000001,0.0008500917599999998,0.00093105288,0.01534213224,0.09367201583999997,0.06618571559999999,0.016475587919999996,0.014208676559999998,0.011132153999999998,0.0009715334399999998,0.005667278399999999,0.011658401279999998,0.02319536088,0.0030765225599999994,0.0008500917599999998,0.056956147919999985,0.0042099782399999995,0.0012548973599999995,0.00259075584,0.00271219752,0.0004857667199999999,,0.00016192224,0.0045338227200000004,0.00016192224
Hunan,0.02284449804,0.05096080332,0.02870206164,0.014643908999999998,0.00351453816,0.00995785812,0.008786345400000001,0.00351453816,0.00351453816,0.0410029452,,3.57135652692,0.033388112519999985,0.0966497994,0.13706698823999994,0.007614832679999998,0.11832278472,0.22727346768000004,0.21204380232,0.26007582384,0.029287817999999997,0.12183732288,0.12418034832000001,0.006443319960000001,0.1083649266,0.36551196864,0.0017572690799999998,0.11480824656,0.0029287818,0.1112937084,0.00117151272
Guangdong,0.026839307880000003,0.12617960328,0.04078180548,0.011502560520000002,0.03694761864,0.03520480644,0.022656558599999998,0.014988184919999998,0.029976369839999996,0.05542142796,0.57233952648,,0.05507286552,0.165567159,0.07215242508,0.022656558599999998,0.06239267676,0.07250098751999999,0.23562820944,0.14569909992000002,0.095854671,0.09271760904,0.15650453556,0.017428122,0.05960417723999999,0.6817881326399999,0.00766837368,0.03450768156,0.00906262344,0.06831823824,0.00069712488
Guangxi,0.024652045440000003,0.035527947840000004,0.014863733280000003,0.007250601600000002,0.00797566176,0.00797566176,0.00652554144,0.00398783088,0.006163011360000001,0.018126503999999998,0.2102674464,2.48478116832,0.01667638368,0.10585878336,0.039515778720000005,0.006163011360000001,0.029364936480000006,0.06271770384,0.05220433152,0.17727720912,0.03154011696,0.05836734288,0.039153248640000006,0.0036253008,0.11165926464000002,,0.00326277072,0.00942578208,0.00290024064,0.03335276736,
