,Hebei,Tianjin,Shandong,Henan,Shanghai,Jiangsu,Shanxi,Guangdong,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Jiangxi,Chongqing,Yunnan,Hainan,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08979496703999999,0.03900928896,0.17958993408,0.30692214144,1.8297564595200002,1.54417902336,0.05078567808,0.32164262784000003,0.0515217024,0.020608680960000004,,0.14058064512000001,0.08611484543999999,0.18989427456,0.7198317849600001,0.02796892416,0.18253403136,0.02281675392,0.4003972300800001,0.4835679782400001,0.0846427968,0.08390677247999999,0.03164904576,0.025024826880000003,0.05593784832,0.16118932608,0.019872656640000003,0.01177638912,0.00956831616,0.0029440972800000003,0.17370173952
Anhui,0.0775378494,0.0378673218,0.2205921762,0.5511799062,0.694234233,2.4259128696000003,0.0378673218,0.144256464,0.0222395382,0.011420303400000002,0.8727516071999999,0.047484419400000005,0.0583036542,0.17250668819999998,,0.0096170976,0.057101517000000004,0.0078138918,0.0793410552,0.16529386499999998,0.03005343,0.022840606800000003,0.0192341952,0.0162288522,0.024042744,0.0276491556,0.0102181662,0.006010686,0.0054096174,0.0018032058,0.144256464
Fujian,0.033798027599999995,0.0179197596,0.0444591504,0.07077170880000001,0.14086292039999998,0.1197675072,0.024271066800000005,0.508104576,0.0188270892,0.0093001284,0.3586220244000001,0.0789376752,0.036973681200000004,0.0689570496,0.0651008988,0.012475782000000005,0.08007183720000001,0.0065781395999999995,,0.25949626560000005,0.0455933124,0.035159022000000005,0.020414916,0.014517273600000003,0.045139647600000006,0.059203256399999994,0.007031804399999999,0.003402486000000001,0.0029488212,0.0011341620000000002,0.07077170880000001
Jiangxi,0.028598222880000003,0.009729292320000001,0.038917169280000004,0.059555062079999985,0.1872151704,0.15360488783999998,0.012087908639999995,0.6571694721599999,0.009729292320000001,0.0058965408,0.49324563792,0.03213614736,0.02476547136,0.19664963568,0.14888765519999994,0.00471723264,0.3753148219199999,0.0044224056,0.272715012,,0.0235861632,0.027124087679999995,0.01857410352,0.007665503039999999,0.047467153439999986,0.03184132032,0.0038327515199999993,0.0026534433599999995,0.00206378928,0.0008844811199999998,0.062208505439999985
Shandong,0.91805494608,0.27328408235999996,,0.71940491496,0.252521226,1.03477586832,0.15263505215999998,0.14646231108,0.13131103751999998,0.058360461120000005,0.252521226,0.08529605856000001,0.12794408783999994,0.09876385728,0.24690964320000006,0.07743984263999999,0.06790015188,0.04938192864,0.05667698628,0.058360461120000005,0.040964554439999995,0.03535297164,0.02300748948,0.029741388839999997,0.0364752882,0.028057914,0.023568647760000002,0.014590115280000001,0.01234548216,0.0028057914000000003,0.5471293230000001
Henan,0.4683313728,0.11517388380000003,0.7483120848,,0.2697995952,0.6197754852,0.4562412966000001,0.3792466008000001,0.052178223600000004,0.0464513454,0.44924177880000005,0.1107196452,0.3557027682,0.4950568044000001,0.6115033278,0.015907995,0.13617243720000002,0.0165443148,0.0897210918,0.0878121324,0.0534508632,0.044542386,0.03181599,0.05599614240000001,0.050905584,0.039451827599999996,0.045815025599999996,0.019725913799999998,0.0203622336,0.004454238600000001,0.4632408144000001
Hubei,0.06972960816000001,0.028996470719999997,0.06869401992,0.4383990216000001,0.15430264776,0.19814254992,0.034519608,0.45669441384,0.019330980480000003,0.012427058880000001,0.21988990296,0.10114245144000003,0.12047343192,,0.17777598120000002,0.01001068632,0.46981186488,0.006903921600000001,0.08077588272000001,0.22921019712,0.1881318636,0.04349470608,0.026925294239999998,0.02036656872,0.051434215920000005,0.045911078640000005,0.01104627456,0.006213529440000001,0.00759431376,0.0020711764800000003,0.14394676535999998
Hunan,0.047088280800000014,0.01669493592,0.053509410000000014,0.11643647616,0.12157337952,0.12285760535999998,0.02440029096,1.57617318096,0.019263387600000004,0.011129957279999998,0.19306195127999998,0.08090622792,0.05308133472,0.4614651518399999,0.06549551784,0.00941765616,,0.008133430320000001,0.08903965823999999,0.36686051496,0.09374848632,0.06463936728,0.03767062464,0.013698408960000002,0.24999596351999998,0.21360956471999998,0.013698408960000002,0.006849204480000001,0.005136903359999999,0.0021403764,0.13441563792000005
Guangdong,0.08159044788,0.038222552159999985,0.10070172396,0.25138678536,0.27637845407999995,0.25138678536,0.051453435599999986,,0.05733382824,0.02425661964,0.29254953384,0.28740419028,0.11907795096,0.35429365655999995,0.12054804911999994,0.035282355839999995,1.08272729484,0.02499166872,0.45352528236,0.5777485768799999,0.16465099392000002,0.16538604299999998,0.22492501848000002,0.04116274848,1.4627476691999997,0.22271987123999995,0.034547306759999986,0.0110257362,0.0147009816,0.00588039264,0.22124977308
Guangxi,0.02601491904,0.0103468428,0.02897115984,0.0354748896,0.04493486016,0.0472998528,0.0103468428,1.7583720278400001,0.01212058728,0.00561685752,0.05823794376,0.06148980863999999,0.02453679864,0.0472998528,0.02187618192,0.007390602,0.26133168672,0.00325186488,0.0458217324,0.049369221359999986,0.0354748896,0.10553779655999998,0.02749303944,0.009164346479999998,,0.15963700320000002,0.0029562408,0.0026606167200000004,0.00236499264,0.00118249632,0.04345673976
Hainan,0.018359369280000003,0.008159719680000002,0.019889316719999998,0.0284133096,0.03657302928,0.029578983839999996,0.01508091048,0.18410367528000002,0.010491068159999999,0.006921190799999999,0.027247635360000005,0.037083011760000006,0.0244063044,0.021492118799999998,0.017266549680000003,0.015153765119999999,0.03693730248,0.00641120832,0.01828651464,0.01391523624,0.023313484800000003,0.01704798576,,0.003642732,0.024843432239999998,0.020763572400000003,0.0018942206399999999,0.0024770577600000004,0.0027684763199999998,0.00021856392000000002,0.0542767068
Chongqing,0.033243329879999985,0.013494817079999995,0.033243329879999985,0.07372778112,0.07208207171999999,0.08228546999999999,0.023369073479999995,0.19221885792,0.015798810239999996,0.010861682039999996,0.09742599648,1.4320963198799996,0.08458946315999998,0.2287536066,0.03686389056,0.008886830759999999,0.10400883408,0.0059245538399999974,0.052991842679999984,0.0296227692,,0.09742599648,0.02731877604,0.027647917919999997,0.044105011919999985,0.34625725775999994,0.014153100839999997,0.007241121359999998,0.007899405119999998,0.009545114519999995,0.07274035547999998
Sichuan,0.06317605043999998,0.025906725719999992,0.05863101083999999,0.09362781575999997,0.12862462068,0.13089714047999998,0.04726841183999999,0.3063356690399999,0.030451765319999994,0.017725654440000002,0.13135164443999994,,0.2958820779599999,0.09044628804,0.04226886828,0.013635118799999995,0.07635666527999999,0.009999087119999998,0.07408414547999997,0.03408779699999999,1.4162343393599996,0.5044993955999999,0.048177419759999986,0.15089531471999998,0.07317513755999998,0.3395144581199999,0.04545039599999999,0.014998630679999996,0.04454138807999999,0.07226612964,0.15725837015999994
Guizhou,0.0156555828,0.00626223312,0.01758242376,0.032033730960000006,0.049616154720000014,0.05756437368000001,0.0096342048,0.28444989672000004,0.0096342048,0.005057957520000001,0.18184561559999998,0.30395916144,0.029866034880000007,0.03540570264,0.02215867104,0.0024085512,0.23098006008,0.0026494063200000004,0.06912541944,0.036850833360000015,0.32924894904,0.3959658172800001,0.023362946640000003,0.007707363840000002,0.19822376375999998,,0.003853681920000001,0.0016859858400000006,0.0021676960800000003,0.0016859858400000006,0.037573398720000005
Yunnan,0.021463622999999998,0.0115716924,0.025756347599999996,0.034341796800000005,0.06252446700000001,0.047593250999999996,0.011944972800000002,0.18290739600000006,0.0117583326,0.007838888399999999,0.07297631820000001,0.461001294,0.0390078018,0.0321021144,0.0184773798,0.006532407,0.060844705199999995,0.0044793648,0.036394839000000005,0.025009786800000003,0.081188487,,0.0143712954,0.011944972800000002,0.1345675842,0.3688010352000001,0.0052259256,0.003732804,0.0035461638,0.011385052199999999,0.0535657374
Tibet,0.00258393564,0.00115316136,0.00247716144,0.00634238748,0.0038865808799999997,0.007645032719999998,0.0014094194400000003,0.00809348436,0.00151619364,0.0007260645599999999,0.00241309692,0.07081264943999999,0.009481548959999999,0.00260529048,0.0017938065600000002,0.00076877424,0.0023490323999999997,0.0008541936,0.0016656775199999998,0.0010036774800000002,0.011360774879999999,0.01349625888,0.00057658068,0.005552258399999999,0.0010036774800000002,0.00177245172,0.0029683227600000002,0.00108909684,0.0381183894,,0.007645032719999998
Shaanxi,0.10475837892,0.0271219104,0.08780718492,0.36512871876,0.08373889836000001,0.14069491020000002,0.4705651454400001,0.1237437162,0.03085117308,0.27223617563999997,0.08373889836000001,0.2695239846,,0.11764128636,0.05661698796,0.0135609552,0.050853582,0.011865835799999998,0.03525848352,0.02949507756,0.07085599092,0.037292626800000006,0.01932436116,0.40784572764,0.02407069548,0.030173125319999997,0.0491584626,0.14611929228,0.04373408052,0.007797549240000001,0.17391925044
Gansu,0.021156299280000002,0.016400232,0.02197631088,0.04854468672,0.03312846864,0.042312598560000005,0.02017228536,0.04116458231999999,0.00885612528,0.07544106719999999,0.03640851504,0.1246417632,0.43493415264,0.016236229680000002,0.014104199519999997,0.00262403712,0.01443220416,0.00262403712,0.01508821344,0.007708109039999998,0.02312432712,0.012300174,0.004756067279999999,,0.00967613688,0.01098815544,0.08675722728,0.17646649632,0.25272757512,0.005576078879999999,0.0565808004
Qinghai,0.0068979924000000005,0.00244082808,0.008277590880000001,0.016926612119999997,0.007959222,0.01496333736,0.00403267248,0.01268169372,0.00127347552,0.004138795440000001,0.01294700112,0.043404290639999996,0.037302220440000006,0.00498777912,0.0041918569200000005,0.0010612296,0.005889824280000001,0.00063673776,0.00472247172,0.00196327476,0.0077469760800000015,0.0052000250399999995,0.0020693977200000003,0.23166642168,0.0018040903200000004,0.0027591969600000003,0.029449121400000007,0.01294700112,,0.023559297120000003,0.015759259560000002
Ningxia,0.015511176000000003,0.0035675704800000006,0.012021161399999999,0.01907874648,0.014347837800000002,0.01574384364,0.010625155560000002,0.01869096708,0.00380023812,0.19241613827999998,0.013572279000000005,0.015588731880000001,0.145417275,0.008453590920000002,0.005661579240000001,0.0026368999200000005,0.008531146800000002,0.0017837852400000003,0.0058942468800000005,0.00224912052,0.008453590920000002,0.0058942468800000005,0.00442068516,0.18481566204,0.0028695675600000003,0.0027144558,0.013649834880000005,,0.012564052560000004,0.0006980029200000001,0.022956540480000003
Xinjiang,0.021768464879999998,0.0092188854,0.016831900440000002,0.04401274320000001,0.024147532080000002,0.02212532496,0.008326735200000001,0.026467122600000004,0.006780341519999999,0.012609056160000002,0.018616200840000003,0.05049570132,0.05555121912,0.01058684904,0.009397315440000002,0.0030927873600000003,0.010765279080000002,0.00273592728,0.008326735200000001,0.00368755416,0.018080910720000003,0.0071372016,0.006304528080000001,0.10188355284,0.0039849375599999995,0.0030333106800000003,,0.011003185800000002,0.03170107044,0.00279540396,0.04228791948
Taiwan,0.00012956760000000002,3.20436e-05,0.0001943514,3.20436e-05,0.0021706056,0.0001943514,9.68274e-05,0.00025913520000000003,0.0001616112,,0.0003559626,3.20436e-05,6.478380000000001e-05,3.20436e-05,,3.20436e-05,6.478380000000001e-05,,0.002267433,,,6.478380000000001e-05,,,6.478380000000001e-05,,3.20436e-05,3.20436e-05,,,0.0001943514
Hong Kong,6.4395e-05,3.09096e-05,6.4395e-05,,0.000321975,3.09096e-05,,0.024233126400000003,,,0.00012879,,,6.4395e-05,,,3.09096e-05,,0.0002910654,,6.4395e-05,,,,6.4395e-05,,,,,,0.00012879
Macau,0.0008371641599999997,0.0007375017599999999,0.00053817696,0.0008969615999999998,0.0037871712,0.0025912224,0.0004783795199999999,0.16992439199999998,0.00053817696,5.979743999999999e-05,0.0028104796799999997,0.0010962863999999998,0.00043851456,0.0019733155199999994,0.0005182444799999999,0.00017939231999999995,0.00255135744,0.00015945983999999998,0.00181385568,0.0008570966399999997,0.00027905472000000004,0.0004783795199999999,0.0009567590399999998,0.00025912223999999994,0.0019932479999999995,0.00053817696,,5.979743999999999e-05,1.993248e-05,,0.0016344633599999995
