,Hebei,Tianjin,Henan,Shandong,Jiangsu,Guangdong,Shanghai,Shanxi,Sichuan,Zhejiang,Anhui,Inner Mongolia,Hubei,Heilongjiang,Shaanxi,Hainan,Hunan,Liaoning,Chongqing,Fujian,Jilin,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.051492915,0.0212837382,0.37486842119999997,0.154478745,1.2811437252,0.2705094468,1.6965199062,0.024030026999999995,0.1297621458,,0.7071693659999999,0.0109851552,0.21695681519999999,0.0219703104,0.0714035088,0.0350151822,0.20459851559999997,0.0199105938,0.1125978408,0.30483805680000003,0.0185374494,0.5128694334,0.13800101219999994,0.0199105938,0.3302412282,0.048746626200000004,0.0082388664,0.0041194332,0.0027462888,,0.0611049258
Anhui,0.05093932536,0.02183113944,0.5199780484800001,0.18126461232,2.8373865775200002,0.12635598887999994,1.0948647204000002,0.019184940719999998,0.032415934319999985,0.99827846712,,0.0066154968,0.17994151296,0.0066154968,0.04630847759999999,0.013892543279999996,0.05557017311999999,0.007277046479999999,0.02249268912,0.06350876927999999,0.005953947119999999,0.15281797607999995,0.02183113944,0.007277046479999999,0.0198464904,0.01786184136,0.003969298079999999,0.00198464904,0.0013230993599999998,0.0006615496799999999,0.08533990871999997
Fujian,0.0164570616,0.009243007199999998,0.0771002064,0.035393954400000004,0.11610118800000001,0.5947086095999998,0.14924075039999998,0.009017567999999998,0.06830807759999999,0.33567896880000003,0.060643144799999986,0.0027052703999999998,0.08048179439999999,0.0054105407999999995,0.0272781432,0.019162332,0.0818344296,0.0054105407999999995,0.0538799688,,0.0051851016,0.2653419384,0.04756767119999999,0.005861419199999999,0.0985169304,0.0410299344,0.0029307095999999994,0.0018035136,0.0009017568,0.0004508784,0.0302088528
Jiangxi,0.01762458264,0.005035595040000001,0.06330462336,0.03309105312,0.16761337776000002,1.10171625768,0.23775202296000006,0.0064743364800000005,0.0251779752,0.6157813363200001,0.1420757172,0.0025177975200000005,0.22444366464000004,0.00431622432,0.01870363872,0.02050206552,0.4125591079200001,0.0035968536000000008,0.02373923376,0.30825035351999996,0.00287748288,,0.026616716640000003,0.006114651120000001,0.03992507496,0.04424129928,0.0017984268000000004,0.0017984268000000004,0.00107905608,0.00035968536,0.032011997040000004
Shandong,0.6289065698399999,0.25941121884,0.7022959912800001,,1.0692430984799999,0.14728849164000002,0.27826822296,0.10396834704,0.09275607432,0.24310245851999995,0.2777585742,0.041791198319999986,0.10600694208,0.07899555779999999,0.10447799579999996,0.03465611568,0.063706095,0.05962890491999999,0.0433201446,0.0535131198,0.050964876,0.06013855368,0.04382979336,0.02089559916,0.032617520639999995,0.03465611568,0.012741219,0.013250867759999998,0.007135082640000002,0.0010192975199999998,0.42198917328
Henan,0.30504252672000004,0.07467186852,,0.5761914393600001,0.6249135096000001,0.27220808808,0.29762829864,0.28703654424,0.0767902194,0.34687995660000004,0.5994932990400001,0.02330185968,0.5544783428400001,0.01218051756,0.34105449168000007,0.04448536848,0.12816022824,0.014298868440000003,0.04130784216,0.06884640360000001,0.010062166680000002,0.08791156152000001,0.03918949128,0.03124567548,0.03071608776,0.038130315840000005,0.02224268424,0.013239693000000002,0.009002991240000001,0.0026479386000000005,0.3124567548000001
Hubei,0.046248255720000006,0.01341552456,0.43565150807999997,0.06813674316,0.22665175704,0.54121050396,0.17087141807999998,0.028243209600000006,0.08261138807999999,0.22488655644000005,0.18428694264000003,0.00811992276,,0.007766882640000002,0.11156067792000003,0.03247969104,0.53873922312,0.0067077622800000005,0.17652006000000006,0.07272626472000003,0.00811992276,0.26654529060000004,0.04695433596000001,0.016945925759999998,0.060722900640000015,0.05719249944000001,0.011650323960000002,0.004942561680000002,0.004236481439999999,0.0028243209600000005,0.06672458267999999
Hunan,0.02447284752,0.00784978128,0.10897343424,0.036478395360000006,0.10574117136,2.11436167536,0.10943518608,0.0092350368,0.05587197264,0.16807766976,0.06326000208,0.005541022079999999,0.5319381196799999,0.005541022079999999,0.03278438064,0.036478395360000006,,0.00415576656,0.08496233855999999,0.07110978336,0.00369401472,0.38925680111999994,0.0554102208,0.0069262776,0.23687869391999997,0.27889811136,0.005541022079999999,0.00277051104,0.00184700736,0.0013852555199999998,0.05033095056
Guangdong,0.047153327040000005,0.020802938400000002,0.28153309967999995,0.08459861615999999,0.20248193375999998,,0.19346732712,0.0277372512,0.27806594327999995,0.25032869208,0.10193439816,0.01178833176,0.40843102392,0.02843068248,0.09708037919999997,0.190693602,1.16912513808,0.01941607584,0.17959870152,0.41328504288,0.02010950712,0.60120491976,0.1941607584,0.01594891944,0.30580319448000004,1.36536619032,0.010401469200000001,0.0055474502400000006,0.0034671564,0.00208029384,0.08875920384000001
Guangxi,0.014969888639999996,0.003742472159999999,0.03555348551999999,0.023390451,0.0343059948,2.1310260224400004,0.03149914068,0.00436621752,0.04085532108,0.04085532108,0.0171529974,0.00249498144,0.039607830359999985,0.00592558092,0.01933610616,0.04428592055999999,0.22267709351999995,0.00405434484,0.029939777279999993,0.033058504079999995,0.0031187268,0.03836033964,0.11196229212,0.00280685412,0.15624821267999994,,0.00124749072,0.00062374536,0.00124749072,0.00031187268,0.016529252039999998
