,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Shaanxi,Zhejiang,Anhui,Heilongjiang,Hubei,Hainan,Sichuan,Jilin,Hunan,Fujian,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Guangdong,0.0737102592,0.028764979199999995,0.1114642944,0.2325169152,0.032360601600000004,,0.19056798719999998,0.014382489599999998,0.0395518464,0.15640957439999995,0.0934861824,0.2115424512,0.09288691199999999,0.0395518464,0.2984366592,0.1725898752,0.19056798719999998,0.032959872,0.937858176,0.3451797504,0.155810304,0.46443456,0.13843146239999998,0.0185773824,1.2770452224,0.22472640000000002,0.0131839488,0.005992704000000001,0.0047941632,0.0023970816,0.1612037376
Guangxi,0.02296433916,0.005017418639999999,0.030490467120000007,0.030490467120000007,0.0069471950400000005,1.02876379884,0.034350019919999995,0.00250870932,0.0115786584,0.02277136152,0.0164030994,0.035700863400000005,0.018332875800000002,0.00906994908,0.035700863400000005,0.03743766216,0.030490467120000007,0.0061752844799999995,0.183328758,0.02875366836,0.0974537082,0.03415704228,0.02238540624,0.005210396280000001,,0.13932985607999998,0.0017367987600000001,0.0015438211199999999,0.0009648882000000001,0.00019297763999999998,0.02431518264
Hainan,0.03166467876,0.0121787226,0.0306313326,0.034321854600000014,0.01837879956,0.15027805584,0.02856464028,0.009152494559999998,0.02229075288,0.03070514304,0.02037168144,0.026571758400000003,0.01350731052,0.020150250119999998,0.01837879956,,0.033657560639999994,0.014319225359999998,0.03195992052,0.01527876108,0.013138258319999999,0.01188348084,0.02081454408,0.00450243684,0.034690906800000004,0.01542638196,0.003911953320000001,0.004576247279999999,0.00125477748,,0.06332935752
Chongqing,0.0177842952,0.0067144788000000006,0.027765277200000004,0.033935338800000006,0.010706871599999999,0.10035423720000003,0.043734848400000005,0.003992392800000001,0.005625644399999999,0.031757670000000016,0.04573104480000001,0.042827486399999996,0.018691657200000003,0.004173865200000001,0.132474852,0.031576197599999994,0.7672653072000001,0.003629448,0.06514859160000001,0.027039387600000003,0.06641889840000001,0.014699264400000004,,0.0110698164,0.028309694400000005,0.21849276960000005,0.007440368399999999,0.0038109204,0.0021776688,0.0047182824,0.03266503200000001
Sichuan,0.0279289782,0.008985845159999999,0.034971937919999994,0.053672210279999986,0.01627166556,0.14085919439999994,0.04930071804,0.005585795639999999,0.00922870584,0.03618624132,0.12993046379999998,0.05731512048,0.01967171508,0.0072858203999999985,0.042014897639999986,0.04152917628,,0.006071516999999999,0.03351477384,0.03132902772,0.37691977536,0.01651452624,0.8553553149600001,0.056829399119999985,0.03472907724,0.2149317018,0.01020014856,0.006314377679999999,0.01967171508,0.02695753548,0.0534293496
Guizhou,0.01122286752,0.004052702159999999,0.016990174440000002,0.02618669088,0.00607905324,0.13935060504000002,0.034603841520000005,0.0017146047600000002,0.00374095584,0.01823715972,0.016990174440000002,0.06546672719999999,0.01278159912,0.00187047792,0.0249397056,0.01979589132,0.21775480452000004,0.00187047792,0.16460205696,0.030239393039999996,0.303952662,0.02166636924,0.23864180796,0.00561143376,0.14387092667999998,,0.0010911121200000002,0.00187047792,0.0006234926400000001,0.0006234926400000001,0.01917239868
Yunnan,0.0212550318,0.00703809,0.0268855038,0.0326567376,0.010416373199999999,0.107682777,0.0377241624,0.003800568600000001,0.011260943999999998,0.031249119600000007,0.028293121799999994,0.0449030142,0.014216941799999999,0.007178851800000002,0.0277300746,0.011823991200000002,0.3538751652,0.005911995600000001,0.046169870399999986,0.0250556004,,0.0170321778,0.0699586146,0.0060527574,0.0951549768,0.3161510028,0.0032375214000000003,0.0026744741999999997,0.0012668561999999999,0.0050674247999999995,0.033642070200000006
Tibet,0.0012169342800000002,0.0006760746000000001,0.0023887969199999997,0.006415196759999999,0.00103664772,0.00297472824,0.00491280876,0.00012019103999999999,0.0008413372800000001,0.0006460268400000001,0.009525139920000002,0.00109674324,0.00171272232,0.0004507164,0.0032301342,0.00057090744,0.05258358,0.00057090744,0.0016075551600000005,0.0007662178800000001,0.00829318176,0.00103664772,0.011823793560000002,0.0067006504800000005,0.00048076415999999996,0.0009615283199999999,0.00126200592,0.0004507164,0.02303160804,,0.00267425064
Shaanxi,0.0721357164,0.015738701759999998,0.07301008871999998,0.22908554784,0.27520868772,0.07803772955999998,0.08503270812000001,0.19279909656,0.015520108679999997,0.038472382079999985,,0.04699751219999999,0.03912816131999999,0.01224121248,0.09836688599999996,0.02448242496,0.17443727784000002,0.008962316279999997,0.030384438119999992,0.023826645719999998,0.030603031199999988,0.014427143279999997,0.04437439523999999,0.28482678323999994,0.013989957119999995,0.019017597959999997,0.021640714919999998,0.10448749223999998,0.02491961111999999,0.00590201316,0.08437692887999998
Gansu,0.01632742272,0.007289027999999999,0.019923343200000002,0.031488600960000016,0.01049620032,0.02322770256,0.02429676,0.037319823360000004,0.0038874815999999997,0.01477243008,0.29428235711999995,0.01661898384,0.008941207679999999,0.0021381148800000004,0.0160358616,0.00699746688,0.0685168632,0.0014578056000000002,0.010982135520000002,0.00942714288,0.00903839472,0.004179042720000001,0.01389774672,,0.0046649779200000005,0.0063171576000000005,0.038097319680000005,0.11847100175999999,0.12595440384000006,0.0030127982399999996,0.0228389544
Qinghai,0.0041701229999999995,0.00127332,0.006621264,0.015057009,0.0034379640000000004,0.006716762999999999,0.005889105,0.003565296000000001,0.0008594910000000001,0.002992302,0.028681533,0.00509328,0.002387475,0.000827658,0.005156946000000001,0.002451141,0.023938416,0.00063666,0.0031833,0.001400652,0.0028649700000000005,0.0011459880000000001,0.00413829,0.142452675,0.0008594910000000001,0.000923157,0.012223871999999998,0.007735419,,0.01336986,0.007767252
Ningxia,0.011141307,0.00257487984,0.00980435016,0.01525121136,0.009309180959999998,0.00831884256,0.01252778076,0.11829592187999999,0.0019806768,0.00549637812,0.10071741527999999,0.0064371995999999996,0.00455555664,0.00143599068,0.004307972039999999,0.00435748896,0.007724639520000001,0.0017330921999999995,0.00366425208,0.00217874448,0.00227777832,0.0011884060799999998,0.005149759679999999,0.125030223,0.00158454144,0.0008913045599999998,0.004654590479999999,,0.006536233440000001,0.0002475846,0.01505314368
Xinjiang,0.01651931496,0.0030270996000000003,0.017297712,0.047093020920000006,0.006962329079999999,0.01478954376,0.01716797916,0.008908321680000001,0.0040649623200000005,0.00817316892,0.048649815000000006,0.01089755856,0.00618393204,0.00298385532,0.008908321680000001,0.007221794759999999,0.028714201919999998,0.0022919468399999997,0.00903805452,0.00501633648,0.004756870800000001,0.0015135498000000002,0.01703824632,0.08614260575999999,0.0017730154799999996,0.00276763392,,0.008346146039999999,0.019459926000000002,0.00077839704,0.0153517194
Taiwan,0.00029113992,,0.0004535287200000001,0.00032361768000000005,0.0001942866,0.00035609544000000004,0.0001942866,6.437555999999999e-05,0.0001942866,0.00055038204,6.437555999999999e-05,0.0001942866,0.00016180884000000002,0.00029113992,9.685332e-05,3.1897800000000005e-05,0.00022676436000000004,0.00012933108,0.00012933108,0.000971433,0.00022676436000000004,6.437555999999999e-05,0.00012933108,6.437555999999999e-05,3.1897800000000005e-05,9.685332e-05,3.1897800000000005e-05,,6.437555999999999e-05,,
Hong Kong,0.00012913344,,3.0222720000000006e-05,,3.0222720000000006e-05,0.0249474816,9.61632e-05,3.0222720000000006e-05,6.319296e-05,0.0007445779200000001,6.319296e-05,6.319296e-05,,3.0222720000000006e-05,6.319296e-05,6.319296e-05,0.00012913344,3.0222720000000006e-05,3.0222720000000006e-05,0.00015935616000000002,3.0222720000000006e-05,6.319296e-05,,3.0222720000000006e-05,3.0222720000000006e-05,6.319296e-05,3.0222720000000006e-05,3.0222720000000006e-05,,,0.0001923264
Macau,0.0008218260000000001,0.000475794,0.0010597229999999998,0.0008001989999999999,0.000951588,0.186446367,0.0032873040000000004,0.000108135,0.0008218260000000001,0.0027682559999999998,0.00043254,0.0032007959999999997,0.000281151,0.000237897,0.001989684,0.000735318,0.0006055559999999999,0.00043254,0.002054565,0.002357343,0.000562302,0.00043254,0.0007569449999999999,2.1626999999999998e-05,0.001708533,0.00041091300000000006,,2.1626999999999998e-05,,,0.001924803
