,Hebei,Henan,Shandong,Shanxi,Liaoning,Tianjin,Anhui,Heilongjiang,Inner Mongolia,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Zhejiang,Gansu,Jiangxi,Shanghai,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.23085365148000003,3.52709313084,0.70424974692,0.1607208966,0.12857671728,0.03506637744,6.4726688357999995,0.12565451916,0.03798857556,2.25593694864,1.87605119304,1.33836673896,0.41787433115999995,0.09351033984,0.35943036876,1.5896757772799999,,0.15195430223999998,3.88360130148,1.1864124367199995,0.73639392624,0.06721055676,0.7889934923999999,0.64872798264,0.292219812,1.81760723064,0.02337758496,0.01753318872,0.00584439624,,0.17825408531999998
Anhui,0.12765781439999999,1.1676935376000002,0.30475174320000004,0.049436114400000016,0.03128868,0.0262824912,,0.023153623199999997,0.0131412456,2.0907095976,0.3110094792,0.1038784176,0.0863567568,0.01564434,0.1182712104,0.13579287120000005,0.5294044656000001,0.0262824912,0.2709599688,0.3798445752,0.1101361536,0.0168958872,0.0575711712,0.043804152,0.037546416000000006,0.0544423032,0.0068835096000000005,0.0043804152,0.0031288680000000004,0.0012515472,0.09449181360000003
Fujian,0.06931327788000001,0.60491587968,0.14042690064000002,0.04860931176,0.03690707004,0.02070396612,0.45638742708,0.029705690519999998,0.01170224172,0.18723586752,0.71743743468,0.8740674392400001,0.12062310696000003,0.021604138560000003,0.46989001368,0.66252691584,0.3780724248,0.044108449560000006,2.15411264892,0.09721862352,,0.025204828320000004,0.61931863872,0.20343897144,0.17193293604,0.6895320890400001,0.00990189684,0.009001724400000001,0.0027005173200000004,0.0009001724400000002,0.07471431252
Jiangxi,0.06062299848,0.20322049176,0.08731236887999999,0.02249532648,0.020588942880000002,0.009150641279999998,0.29243924424,0.014869792080000001,0.007625534399999999,0.1677617568,0.46820781216,0.10904514192,0.05032852704,0.01220085504,0.49604101272,0.60356104776,0.3633567141599999,0.02249532648,,0.08159321807999999,0.30349626912,0.02745192384,0.07129874664,0.048040866720000006,0.08883747575999999,0.10599492816,0.0038127671999999995,0.0057191508,0.0019063835999999998,,0.05185363392
Shandong,1.13853458736,1.27038123576,,0.23499726156,0.32651434692,0.18691201332,0.48395475648,0.3544348136400001,0.1085795928,1.16490391704,0.21560804856,0.19544326704,0.1861364448,0.19932110964000002,0.13107107988,0.10935516132,0.21560804856,0.07910798904,0.10237504464,0.14968472436,0.12176425764000005,0.04420740564,0.07367900940000001,0.07600571496,0.04808524824,0.05584093344,0.028696035239999997,0.019389213,0.01628693892,0.0015511370400000002,0.39786665076
Henan,0.526854861,,0.826280676,0.39026286,0.058539429000000004,0.06594096599999999,1.108884816,0.037680552000000006,0.035661951000000004,0.427943412,0.7206405570000001,0.18840276,0.40573880100000004,0.024896078999999998,0.30817308600000004,0.214644573,0.23550345000000006,0.066613833,0.12784473,0.127171863,0.11236878900000001,0.091509912,0.09083704500000002,0.069978168,0.067959567,0.051810759000000005,0.036334818000000005,0.016821675,0.012111606,0.003364335,0.26107239600000004
Hubei,0.13334130252000004,0.9493022772000004,0.15199811028000002,0.06913993464000001,0.04280091192000001,0.0192055374,0.33856618788000004,0.034021237680000004,0.018108078120000003,0.21784566708000005,,0.2551592826000001,0.2085172632,0.021400455960000002,0.37697726268,0.8384588899200001,0.17559348480000006,0.045544560120000015,0.4494095751600001,0.0795657978,0.14651081388,0.04444710084000002,0.4570917901200001,0.06804247536000001,0.10809973907999999,0.09602768700000004,0.01426697064,0.008779674240000002,0.004389837120000001,0.0010974592800000002,0.09712514628000002
Hunan,0.0820121436,0.2693943198,0.088240914,0.0394488792,0.0249150816,0.012457540799999998,0.13132324259999995,0.0197244396,0.012976605,0.11730850919999998,1.0142514468000001,0.1801152774,0.07630243739999999,0.0176481828,0.8979810659999999,,0.134956692,0.025434145800000002,0.5694134274,0.051387355799999986,0.1328804352,0.06332583239999999,0.1967253318,0.0944696844,0.3960459845999999,0.4344567354,0.012976605,0.0051906420000000005,0.0031143851999999995,0.0010381284,0.0679974102
Guangdong,0.19108606968000005,2.6976856896000005,0.34845106824000005,0.13488428447999998,0.12926410596,0.04496142816000001,0.9104689202400004,0.11802374892000002,0.04496142816000001,0.4158932104800001,4.102730319600002,3.270943898640001,0.5620178520000001,0.09554303484000004,,11.656250250480001,0.4720949956800001,0.14050446300000002,7.654683144240002,0.20794660524000005,1.7591158767600004,0.5114362453200001,1.4893473078,1.0790742758399998,14.77544932908,1.8883799827200003,0.033721071119999994,0.016860535559999997,0.0056201785200000005,,0.23604749784000004
Guangxi,0.07619790852000001,0.16081547543999994,0.07956577188,0.026100941040000002,0.026942906880000003,0.013050470520000001,0.07619790852000001,0.017681282639999997,0.010524573,0.07661889143999999,0.20038786992,0.21512227211999999,0.055148762520000005,0.015155385119999996,1.14170567904,0.7447187854799999,0.08756444735999999,0.017260299719999997,0.1831275702,0.026100941040000002,0.1620784242,0.0547277796,0.11113949088,0.21301735752,,0.34436402856,0.005051795039999999,0.005051795039999999,0.00252589752,,0.047571069960000004
