,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Heilongjiang,Shanghai,Anhui,Shaanxi,Hubei,Zhejiang,Hainan,Sichuan,Jilin,Hunan,Yunnan,Fujian,Gansu,Jiangxi,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.0722439648,0.021922306560000004,0.16342083072,0.30093348096000005,0.02740288320000001,0.21075308352,0.9870020294399999,0.012455856,0.02939582016,0.02839935168,0.834542352,0.5973828537600001,0.05580223488000001,0.15245967744000002,,0.03387992832,0.08968216320000001,0.021922306560000004,0.14648086656,0.10263625344,0.24513124608000003,0.021424072319999998,0.37417391424,0.07622983872000001,0.05131812672,0.2316789216000001,0.00846998208,0.00647704512,0.003487639680000001,0.0009964684800000002,0.06377398272000001
Anhui,0.055835422200000005,0.0186118074,0.16495170480000002,0.4152987612,0.0197066196,0.1007227224,1.4863900302000002,0.007663685399999998,0.012772808999999998,0.010583184599999998,0.3112916022,,0.033574240799999995,0.1138604688,0.5006941128000001,0.0131377464,0.020436494399999998,0.007663685399999998,0.042332738399999986,0.0208014318,0.0441574254,0.010218247199999999,0.10729159560000001,0.01824687,0.016787120399999998,0.0171520578,0.004744186199999999,0.0036493740000000004,0.0021896244,0.0007298748,0.0613094832
Fujian,0.024776208719999998,0.01114097976,0.044397635760000005,0.06701216184000001,0.012471246,0.35152285392000004,0.0931186368,0.00548734824,0.014134078800000003,0.01030956336,0.07482747599999999,0.049884984,0.026272758240000003,0.05537233224000001,0.24293987208000006,0.016628328,0.045229052160000005,0.00798159744,0.06102596376,0.03957542064,,0.009145580400000002,0.19488400416000004,0.045229052160000005,0.03758002128,0.06767729496000001,0.004157082,0.002327965920000001,0.002327965920000001,0.00033256656000000005,0.038078871119999996
Jiangxi,0.02338363728,0.005442743160000001,0.040115032920000016,0.05200843464,0.007458573960000002,0.4779534826800001,0.09998520768,0.002822163120000001,0.006853824720000001,0.0052411600800000005,0.08103639816000001,0.10643586624,0.01532031408,0.15400947312000002,0.30418886772000003,0.017739311040000004,0.017739311040000004,0.004636410840000001,0.26387225172,0.019150392600000003,0.18223110432,0.00483799392,,0.017134561800000003,0.03809920212,0.02802004812,0.0014110815600000006,0.0016126646400000002,0.0016126646400000002,0.00020158308000000006,0.030842211240000007
Shandong,0.71493414912,0.16880389631999998,,0.6152060159999999,0.10188675072,0.11570190336,0.7986885119999999,0.05094337536,0.10706743296,0.10620398592000001,0.13253912063999998,0.21197624832000003,0.09195710976,0.0906619392,0.18477766656000005,0.03799166976,0.10318192127999999,0.07166610432000001,0.05526061056,0.049648204800000005,0.051375098880000004,0.02460824064,0.048784757759999985,0.03755994624,0.03324271104,0.02763030528,0.0129517056,0.01381515264,0.0073392998400000015,0.00129517056,0.24090172415999997
Henan,0.3197649636,0.05671303127999999,0.52328832408,,0.26948745360000004,0.22805878536,0.35395367040000003,0.0261443052,0.030166506000000003,0.017295463440000002,0.11825270352,0.4524975900000001,0.23127654600000006,0.36441139248,0.2574208512,0.04545086904,0.07320405456000001,0.01327326264,0.09210839832,0.041428668239999994,0.06475743288000001,0.032579826480000004,0.05952857184000001,0.043037548560000013,0.03981978792,0.03097094616,0.023328764640000003,0.011664382320000001,0.011262162240000002,0.0024133204800000003,0.18019459584000005
Hubei,0.050085459000000006,0.011051721,0.069132042,0.33954649200000003,0.028452302999999998,0.28146617100000004,0.133561224,0.008935434,0.012462579,0.009876006,0.065134611,0.132620652,0.083475765,,0.12909350700000002,0.028452302999999998,0.053612604,0.008935434,0.339311349,0.038798595000000005,0.050555745,0.020222298,0.16224867,0.121333788,0.047969172,0.043971741000000016,0.008700291,0.004938003,0.0047028600000000005,0.001410858,0.055964034
Hunan,0.02717091216,0.00794621016,0.04024370952000001,0.07843678416000001,0.01256013864,0.8574217092000002,0.07151589143999999,0.0048702578399999995,0.00794621016,0.008715198240000001,0.044601308640000004,0.03921839208,0.026914582800000003,0.32630727528000003,0.10176275592,0.037167757200000005,0.037167757200000005,0.006151904640000001,,0.04690827288,0.05536714176000001,0.008458868880000001,0.249921126,0.05716144728000001,0.18865840895999997,0.15918053256,0.005639245920000001,0.0025632935999999997,0.00230696424,0.00025632936000000004,0.043832320560000006
Guangdong,0.07469261099999999,0.027617436,0.102937716,0.25295060700000005,0.035149464000000005,,0.183279348,0.016947063000000002,0.037032471,0.046447506000000006,0.145619208,0.10042704,0.094778019,0.34710095700000004,0.203992425,0.168842961,0.205247763,0.033894126000000004,0.99171702,0.17511965100000002,0.35902666800000005,0.023851422,0.504018207,0.15377890500000002,1.368946089,0.254833614,0.013808718,0.0075320280000000005,0.005649021,0.0025106760000000003,0.128672145
Guangxi,0.023797709280000003,0.005949427320000001,0.029306438280000006,0.03547621476,0.00815291892,1.27207570068,0.03547621476,0.00264418992,0.010797108840000002,0.00903431556,0.024238407599999998,0.01740758364,0.0187296786,0.03481516728,0.040544245439999994,0.0396628488,0.03701865888,0.006169776480000001,0.18795783348,0.09805537620000003,0.0341541198,0.00374593572,0.03217097736,0.02511980424,,0.13904031995999994,0.00242384076,0.00132209496,0.00132209496,0.00022034916,0.02137386852
Hainan,0.034670044440000006,0.012950040240000002,0.03335864796,0.03737479968,0.020818419119999997,0.17294041080000006,0.030735855000000006,0.01155668148,0.021556079640000003,0.02188392876,0.036883026000000006,0.01540890864,0.02532634452,0.021638041920000003,0.02852287344,,0.035981440919999996,0.015490870920000004,0.03458808216,0.014589285840000002,0.015572833200000004,0.0045898876800000024,0.01376966304,0.023195325240000002,0.03581751636000001,0.01975290948,0.0045079254000000004,0.004180076280000001,0.0031145666400000005,0.00024588683999999996,0.06647140908
Chongqing,0.019339793280000003,0.005838428160000001,0.02408351616,0.032111354880000005,0.00930499488,0.10089533663999999,0.040868997120000014,0.0027367632,0.0054735264,0.00346656672,0.031016649599999998,0.01660303008,0.04342330944,0.127715616,0.04488291648,0.027914984639999998,0.8193869020799999,0.00346656672,0.06349290624,0.06604721856000001,0.027002730239999998,0.01131195456,0.01514342304,,0.026637828480000004,0.21292017695999998,0.005291075520000001,0.00437882112,0.0029192140800000004,0.00328411584,0.02408351616
Sichuan,0.030096230400000007,0.007994311200000001,0.0333880056,0.056900685599999994,0.017869636799999998,0.1500108984,0.0465551064,0.0056430432,0.0096401988,0.007288930799999999,0.030566484000000005,0.017869636799999998,0.1302602472,0.042793077600000014,0.05172789600000001,0.0392661756,,0.004702535999999999,0.035739273599999996,0.37291110479999995,0.0268044552,0.056900685599999994,0.0166940028,0.8133036012000001,0.0312718644,0.20949797879999998,0.0098753256,0.004702535999999999,0.0225721728,0.0221019192,0.0418525704
Guizhou,0.012779856000000001,0.002858652,0.016479287999999998,0.026568647999999997,0.005212835999999999,0.199937484,0.040693752,0.002354184,0.003867588,0.002186028,0.019169784,0.012275388,0.016479287999999998,0.029090988,0.09635338800000001,0.021692124,0.221797764,0.001177092,0.16681075199999998,0.318319308,0.038339568,0.004708368,0.025055243999999997,0.226674288,0.14797728000000002,,0.001513404,0.0010089359999999998,0.00084078,0.00033631199999999996,0.01597482
