,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Liaoning,Jiangsu,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Xinjiang,Guangxi,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08656065,0.033590699999999994,0.16407765,0.28358302499999993,0.04521825,0.279707175,0.051677999999999995,1.429542675,1.380448575,0.02196315,,0.1317789,0.08139285,0.6899012999999999,0.16859947499999994,0.02713095,0.16601557499999994,0.022609125,0.33978285,0.08010089999999999,0.451536525,0.082038825,0.025193025,0.02713095,0.0180873,0.05684580000000001,0.14599035,0.0103356,0.008397674999999999,0.0025839,0.13500877499999994
Anhui,0.07437786767999999,0.02914808328,0.1834319034,0.53722932804,0.03065574276,0.12513573684,0.02311744536,2.00920753368,0.44676975923999995,0.01105616952,0.7427735704799999,0.0477425502,0.049250209680000004,,0.15478637328,0.009548510040000001,0.05477829444,0.0075382973999999995,0.07085999556,0.028645530119999995,0.1583042454,0.022614892200000004,0.01457404164,0.014071488480000002,0.01055361636,0.02060467956,0.025127657999999997,0.007035744240000001,0.00402042528,0.0015076594799999998,0.10252084464
Fujian,0.0321116724,0.016780938480000004,0.046406545920000014,0.06339465647999999,0.02361761712,0.42387407568,0.01740245472,0.11187292320000003,0.10793665368,0.01118729232,0.33085381176,0.07686084168,0.0352192536,0.06380900063999999,0.06608789352000001,0.00994425984,0.07209588384,0.00600799032,,0.047442406320000005,0.24508457064,0.0393626952,0.02113155216,0.013673357280000001,0.0062151624,0.04122724392,0.06318748440000001,0.00559364616,0.003936269520000001,0.0010358604,0.06132293568
Jiangxi,0.026601644159999997,0.00844090632,0.034019410320000006,0.05857477416,0.010742971680000001,0.55684403208,0.01099875672,0.12482309952,0.12431152944,0.004604130719999999,0.4194874656,0.033507840239999996,0.023020653600000003,0.14221648224000003,0.18569993904,0.00485991576,0.34710029928,0.0038367756,0.22969496592,0.026090074080000004,,0.02404379376,0.012789252,0.007929336240000001,0.0033252055199999996,0.036065690639999995,0.03018263472,0.00306942048,0.00204628032,0.0007673551199999999,0.05780741904
Shandong,0.90454696164,0.22601173392,,0.6770351498399999,0.1300067496,0.13400695728,0.12850667171999994,0.93304844136,0.18450957924000003,0.05650293348,0.20851082532,0.07950412763999999,0.112505841,0.22301157816,0.087504543,0.07250376419999999,0.06400332287999999,0.04550236236000001,0.05900306328,0.04150215468,0.05100264791999999,0.035501843160000005,0.017500908599999997,0.03100160952,0.02150111628,0.036001869119999995,0.0300015576,0.01550080476,0.0100005192,0.0020001038399999997,0.37451944404
Henan,0.4326908382,0.08929416024000003,0.68403736332,,0.42773005151999993,0.34560147204,0.044647080120000016,0.4867082931600001,0.20339225388,0.04078869048,0.35662544243999994,0.10638131435999998,0.31142716379999996,0.57710485044,0.44702199972,0.01543355856,0.11520049068,0.01543355856,0.08157738096,0.04740307272,0.07000221204,0.04189108752,0.03252071268,0.050159065319999994,0.046300675679999986,0.044095881600000005,0.0385838964,0.0192919482,0.01763835264,0.00440958816,0.30922236972
Hubei,0.05502601512,0.01757375352,0.06107599584,0.38143687968,0.032266563840000005,0.38143687968,0.01843803648,0.15729949872,0.11206869048,0.010659489840000001,0.17141612039999998,0.09046161648,0.10457823816,0.15211380096,,0.007778546640000001,0.40045110479999996,0.006338075039999999,0.07317595728,0.16248519647999998,0.19273510008000003,0.03341894112,0.025928488800000003,0.01814994216,0.010659489840000001,0.043502242319999995,0.03601179,0.0060499807200000005,0.00662616936,0.0014404716,0.10400204952
Hunan,0.039190716,0.018919656000000003,0.05405616,0.091557621,0.024325272000000002,1.097340048,0.017568252,0.09730108800000001,0.090881919,0.009797678999999998,0.148992291,0.072637965,0.050001948,0.051015501,0.394609968,0.008446275,,0.0057434669999999995,0.068921604,0.08446275,0.32197200299999995,0.051691203000000005,0.036825759,0.012500487,0.014189741999999997,0.227373723,0.18548019899999998,0.0060813180000000005,0.006419169000000001,0.0027028079999999997,0.08040853799999999
Guangdong,0.07492595904,0.0371254752,0.09180117504,0.23760304128,0.04320055296,,0.0573757344,0.22207784255999996,0.23220297216,0.024975319680000004,0.26392837824000004,0.27000345600000003,0.1147514688,0.11205143424000001,0.32467915584,0.030375388800000007,1.0530134784,0.022275285120000002,0.42998050368,0.14580186624000002,0.5582321452800001,0.16605212544,0.11340145152,0.038475492479999984,0.03105039744,1.4492435500799998,0.21397773888,0.01147514688,0.01282516416,0.00405005184,0.185627376
Guangxi,0.027500893200000008,0.0087502842,0.025250820120000003,0.03725120988,0.011250365400000005,1.37979481428,0.011000357280000005,0.04925159964,0.04375142100000001,0.0040001299200000005,0.05700185136,0.05825189196000001,0.022750738920000003,0.02175070644,0.040001299200000014,0.007500243600000001,0.22550732424000006,0.0037501218000000006,0.03925127484000001,0.03400110432000001,0.037001201760000005,0.10600344288000002,0.024250787640000004,0.01025033292,0.0040001299200000005,,0.15950518056,0.00200006496,0.00300009744,0.0012500406000000002,0.03925127484000001
