,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Anhui,Hainan,Hubei,Heilongjiang,Jilin,Hunan,Fujian,Sichuan,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Jiangxi,0.022131254159999995,0.0071601116399999986,0.04816802375999999,0.05597905463999999,0.4818972106799999,0.11629757087999998,0.008678923199999999,0.009112869359999998,0.002820650039999999,0.08852501663999998,0.3493266587999999,0.0141032502,0.10978837847999998,0.021914281079999997,0.15795640223999996,0.004773407759999999,0.005858273159999999,0.27512186543999995,0.19744550279999995,0.016706927159999996,0.02516887727999999,,0.022565200319999992,0.005424327,0.040356992880000005,0.02755558115999999,0.0021697308,0.0017357846399999994,0.0015188115599999998,0.0008678923199999997,0.04447948139999999
Shandong,0.77185152072,0.17927845991999994,,0.6578565336,0.15969341807999998,0.93305148048,0.11951897327999997,0.14663672351999998,0.061266028319999985,0.16371086255999998,0.2335139604,0.11299062599999997,0.23753140488000002,0.0426853476,0.10796882039999997,0.10646227871999997,0.07683362568,0.07231400063999999,0.0677943756,0.07080745895999999,0.05423550048,0.06176820888,0.04620061152,0.025109028,0.047707153200000005,0.029126472479999995,0.01606977792,0.01355887512,0.00803488896,0.0015065416799999998,0.3866790312
Henan,0.3466583406000001,0.06382186667999999,0.60745560876,,0.24656361444,0.4237955607600001,0.2846730744000001,0.038109459960000015,0.02708985708,0.13039863408000002,0.29064202596,0.26355216888000005,0.4655782216800001,0.05234311368,0.4173674590800001,0.016529404320000003,0.016529404320000003,0.1170832806,0.08494277220000003,0.07300486908000002,0.04912906284000002,0.07438231944000002,0.05050651320000001,0.035354559240000014,0.04821076260000001,0.035354559240000014,0.025712406720000008,0.016070254200000002,0.014692803840000003,0.003214050840000001,0.26447046912000005
Hubei,0.05006432447999999,0.01210085568,0.07426603584,0.32719764672,0.28069239744,0.14544753983999995,0.0249135264,0.016609017599999994,0.007592693759999998,0.07260513408,0.13927847615999994,0.08351963135999999,0.12266945855999994,0.030608046719999994,,0.008541780479999999,0.007355422079999998,0.3559075199999999,0.05599611647999999,0.03986164223999999,0.0391498272,0.16324291583999995,0.12290673023999997,0.01210085568,0.04128527231999999,0.030608046719999994,0.00664360704,0.00379634688,0.0023727168,0.0011863584,0.08731597823999998
Hunan,0.026789292000000003,0.00884046636,0.051167547720000005,0.07956419724000001,0.8671693820399999,0.08652941316000001,0.01312675308,0.010179930960000002,0.004554179640000001,0.05277490524,0.11278291932,0.03268293624,0.039648152160000005,0.04393443888,0.33486615000000003,0.00964414512,0.005893644240000001,,0.05732908488000001,0.030539792880000003,0.053846476920000004,0.25235513064000004,0.06054379992,0.00884046636,0.19073975903999998,0.15912839448000002,0.0048220725600000005,0.0032147150399999998,0.0032147150399999998,0.0010715716800000002,0.06777690876
Guangdong,0.07860720168,0.029064847680000006,0.12484673208000002,0.24639064056000004,,0.23714273448000006,0.038973318480000005,0.052184612880000016,0.015853553280000002,0.18429755688,0.26026249968000004,0.10040583743999999,0.11097487296,0.19552715712000004,0.31707106560000003,0.040955012639999996,0.033688800720000016,1.05492185784,0.4128529500000001,0.17571021552000005,0.18561868632000006,0.5330757290400001,0.14796649728000005,0.02444089464000001,1.3052758867200005,0.22657369896000004,0.011229600240000002,0.007926776640000001,0.005284517760000001,0.002642258880000001,0.2199680517600001
Guangxi,0.02453014044,0.0060762733200000005,0.03398212116,0.03218174388,1.2670155108,0.037807922880000004,0.007426556280000001,0.01260264096,0.0033757074,0.0247551876,0.0461346678,0.018228819960000003,0.0191290086,0.05221094112,0.03510735696,0.00967702788,0.006301320480000001,0.19106503884,0.035557451280000006,0.0326318382,0.10824768396,0.03465726264,0.0270056592,0.00585122616,,0.13345296588,0.0022504716,0.0015753301200000002,0.0015753301200000002,0.00022504716,0.031281555239999995
Hainan,0.03241319328,0.013994778239999998,0.035308664639999994,0.03353920992,0.17236097567999994,0.0317697552,0.02147474592,0.02340506016,0.009812430720000001,0.03064373856,0.027748267200000003,0.022922481600000003,0.016970679359999997,,0.022118184,0.02155517568,0.01471864608,0.037399838399999996,0.019624861440000002,0.03193061472,0.015442513919999996,0.01302962112,0.023083341119999996,0.00546922368,0.038284565759999986,0.015120794879999996,0.00474535584,0.00466492608,0.00193031424,0.00032171904,0.06024189024000001
Chongqing,0.019804237560000004,0.007647180840000002,0.034706436119999996,0.03647117016000001,0.12059015940000005,0.05627540772000001,0.014902198560000003,0.008627588640000001,0.004902039,0.036079007040000007,0.05196161340000001,0.04882430844000001,0.02352978720000001,0.032157375839999995,0.14431602816000005,0.004313794320000001,0.00470595744,0.07392274812,0.03411819144,0.7668749811600001,0.07784437932000003,0.017843421960000005,,0.014510035440000003,0.030196560240000007,0.2237290599600001,0.008431507080000001,0.004313794320000001,0.0025490602800000003,0.008431507080000001,0.045098758800000006
Sichuan,0.0296325054,0.0090185886,0.039939463800000005,0.05978035872,0.16594203024,0.06003803268000001,0.019583220959999998,0.010822306319999999,0.00669952296,0.037878072119999995,0.06519151188000001,0.14378206968,0.02319065640000001,0.044062247160000005,0.04483526904,0.006441849,0.0048958052399999995,0.038393420039999994,0.032982266880000013,,0.4200085548,0.0180371772,0.8518701117599999,0.058234314960000005,0.038908767960000014,0.21541543055999998,0.010049284440000002,0.00618417504,0.020356242840000004,0.02989017936,0.06055338060000001
Guizhou,0.01179277056,0.00448457472,0.01710782208,0.02624306688,0.17905079808,0.036707074560000004,0.005813337599999999,0.00431847936,0.0029897164799999997,0.02126020608,0.09600311808,0.02026363392,0.014616391680000004,0.022921159680000004,0.02591087616,0.0023253350400000003,0.0016609536000000002,0.1669258368,0.035710502400000003,0.20994453504,0.31093051392,0.02591087616,0.23651979264000003,0.00315581184,0.14549953536,,0.00066438144,0.0024914304,0.00066438144,0.00066438144,0.02541259008
Yunnan,0.023662679040000002,0.007584191999999999,0.032612025600000004,0.03731422464,0.14622322176,0.04762872576,0.01122460416,0.013954913279999998,0.00470219904,0.03306707712,0.055819653119999986,0.028364878080000003,0.0166852224,0.01683690624,0.03200529023999999,0.008645978879999999,0.004398831359999999,0.04975229952,0.028061510400000003,0.35448513408,,0.02002226688,0.07523518464,0.0060673536,0.10875731328,0.28804761216,0.004853882879999999,0.0022752576,0.00182020608,0.0045505152,0.04944893184
Tibet,0.00258473916,0.0001547748,0.0017025228,0.00803281212,0.00242996436,0.00264664908,0.0009905587199999998,0.0007119640799999999,0.0006345766799999999,0.0008667388800000001,0.0016096579199999998,0.0087447762,0.0013465407599999998,0.00035598204,0.00273951396,0.0008357839200000001,0.00018572976,0.0030026311199999995,0.0008048289599999999,0.05438786472,0.00803281212,0.0008357839200000001,0.01010679444,0.0077696949599999985,0.0006345766799999999,0.0009286488000000001,0.0010989010800000001,0.000386937,0.027147499920000002,,0.00284785632
Shaanxi,0.07915605120000001,0.016107335999999996,0.09273223439999999,0.2307951144,0.09434296799999996,0.108149256,0.292233096,0.0211696416,0.1965094992,0.039117816,0.0607476672,,0.041418864,0.0306039384,0.09066129119999998,0.010814925599999995,0.0078235632,0.0361264536,0.0301437288,0.14174455679999998,0.0349759296,0.0174879648,0.04418012159999999,0.27060324480000003,0.0209395368,0.0200191176,0.0225502704,0.10308695039999999,0.024161004,0.004602096,0.11436208559999995
Gansu,0.01892583468,0.006238124279999999,0.020511798480000003,0.037005822,0.02505822804,0.032988047039999996,0.01342782684,0.004863622319999999,0.04028348052,0.01469659788,0.02178056952,0.32755439016,0.01078455384,0.00941005188,0.013216365,0.0016916947199999998,0.0019031565600000002,0.01036163016,0.00909285912,0.06491878488,0.008247011759999999,0.00444069864,0.01448513604,,0.00570946968,0.00718970256,0.04609868112,0.11799570672,0.13047195528,0.0040177749600000005,0.032036468759999985
Qinghai,0.006375062879999999,0.0008237440799999997,0.0077360313599999985,0.016403251679999998,0.008523960479999999,0.007198806959999998,0.0039396456,0.0012893385599999998,0.00254286216,0.00218471256,0.00462012984,0.03717592848,0.00275775192,0.00361731096,0.004691759760000001,0.0007162992,0.00039396456,0.00372475584,0.0023279724,0.022348535040000003,0.0030442716,0.0013609684799999998,0.00390383064,0.15246428471999998,0.00114607872,0.0012535235999999994,0.01658232648,0.009670039200000001,,0.01937589336,0.00945514944
Ningxia,0.014852253960000002,0.0027054291600000003,0.01220203764,0.017060767560000002,0.01291980456,0.016287787800000002,0.010876929479999999,0.0022085136000000003,0.12516750828000006,0.006294263760000001,0.008613203040000001,0.10943184888000004,0.006680753640000001,0.005134794120000001,0.005907773880000002,0.001380321,0.00115946964,0.005079581279999999,0.0045274528799999995,0.008447564520000003,0.005631709680000001,0.0014355338400000002,0.005355645480000001,0.12500186976000002,0.0028710676800000005,0.0019876622399999998,0.0076745847599999995,,0.007950648959999999,0.0004969155599999999,0.015956510760000004
Xinjiang,0.02022259608,0.0020169518399999996,0.02526497568,0.05578464168,0.01847103264,0.020965683600000003,0.007218564480000002,0.00461775816,0.01104015744,0.007590108240000002,0.01507406112,0.05477616576,0.009925526160000002,0.00737779752,0.008598584160000002,0.00228234024,0.00196387416,0.011146312800000002,0.007802418960000002,0.035084346480000014,0.0066877876800000005,0.0023354179200000004,0.017197168320000004,0.1053591948,0.00276003936,0.002388495600000001,,0.010774769040000002,0.02537113104,0.0007961652000000001,0.029086568640000005
Taiwan,0.00012938616,,3.214728e-05,3.214728e-05,6.456024000000001e-05,3.214728e-05,,,,0.0006801408,9.69732e-05,3.214728e-05,,,,,,,0.00129598704,3.214728e-05,,,3.214728e-05,,3.214728e-05,3.214728e-05,,,,,
Hong Kong,,,,,0.02513991168,3.2348159999999994e-05,,,6.469631999999999e-05,0.00067931136,3.2348159999999994e-05,,,,6.469631999999999e-05,,,3.2348159999999994e-05,0.00029113344000000004,6.469631999999999e-05,,,3.2348159999999994e-05,,6.469631999999999e-05,,,,,,0.00012939263999999995
Macau,0.00106546752,0.0002219724,0.001664793,0.0009988758000000005,0.18898730136000005,0.0032851915200000003,0.0005993254800000001,0.0012208482,0.00035515584,0.0027524577600000003,0.00261927432,0.00039955032,0.0009322840800000001,0.00079910064,0.001664793,0.0004439448000000001,0.00017757792,0.00268586604,0.0027968522399999998,0.00064371996,0.00064371996,0.00108766476,0.00039955032,2.219724e-05,0.0012208482,0.00053273376,2.219724e-05,2.219724e-05,4.439448e-05,,0.0030410218800000005
