,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Hubei,Heilongjiang,Anhui,Hunan,Hainan,Jilin,Fujian,Jiangxi,Yunnan,Chongqing,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Yunnan,0.01918845936,0.0075825363599999985,0.022128626519999996,0.03296082132,0.1408185324,0.00866575584,0.011915414280000002,0.03682946232,0.0052613517600000005,0.04920911352,0.06685011647999999,0.41301611316,0.026461504440000002,0.02738997828,0.005416097399999999,0.016093546559999998,0.052458771960000004,0.011915414280000002,0.00355914972,0.028782689040000007,0.01949795064,,0.07536112668,0.0982634814,0.0058803343200000005,0.30995551692,0.0023211846,0.0029401671600000003,0.00201169332,0.00603507996,0.03605573412
Tibet,0.00112490856,0.0006044284799999999,0.00206513064,0.00491937624,0.0043653168,0.0007387459200000001,0.0008394839999999999,0.0038112573600000005,0.00021826584,0.00245129328,0.00280387656,0.06809894208,0.006984506879999999,0.002518452,0.0005036903999999999,0.0012592259999999998,0.0024177139199999995,0.00047011104000000006,0.00035258327999999987,0.0016453886399999998,0.000419742,0.01004022864,0.00980517312,0.0011920672799999993,0.005204800799999999,0.0010913292,0.00031900391999999995,0.0010913292,0.02672917056,,0.0034922534399999994
Shaanxi,0.07448152176000003,0.017011211760000002,0.0758608092,0.23355933984000002,0.09218237723999999,0.32712100452000004,0.017700855480000003,0.09057320856000001,0.20252537244000005,0.05241292272,0.05724042876,0.19241059787999998,,0.09011344607999999,0.00965501208,0.03930969204,0.03770052336,0.025057055159999998,0.00666655596,0.02160883656,0.01333311192,0.02896503624,0.05218304148,0.015631924319999997,0.26298413855999997,0.01976978664,0.09976845815999999,0.02022954912,0.025516817639999998,0.004367743560000001,0.08896403988
Gansu,0.019044376560000003,0.00963691344,0.01950327720000001,0.036941501519999996,0.028910740320000006,0.01216086696,0.004589006400000001,0.033729197040000006,0.05185577232,0.021338879760000002,0.02283030684,0.09281265444000003,0.31882121964000004,0.014684820480000003,0.0018356025600000003,0.008719112159999999,0.010669439880000004,0.009866363760000002,0.0018356025600000003,0.01158724116,0.005047907040000001,0.007571860560000002,0.018585475920000004,0.007112959920000002,,0.009292737960000002,0.14019414552000006,0.041415782760000006,0.14822490672000002,0.004130105760000001,0.032352495120000005
Qinghai,0.006281588879999999,0.0007803215999999999,0.006749781839999999,0.01435791744,0.01084647024,0.0031993185599999995,0.00132654672,0.0083884572,0.00374554368,0.00397964016,0.0064376532,0.03417808608,0.030276478080000002,0.0040966884,0.0005462251200000001,0.0031212864,0.00382357584,0.0030822703200000003,0.00046819296,0.00323833464,0.00132654672,0.0021458844,0.00472094568,0.00187277184,0.17252910575999994,0.0016776914399999998,0.00998811648,0.01798641288,,0.017947396799999998,0.010534341599999998
Ningxia,0.01359099,0.003585707999999999,0.012202973999999998,0.01648269,0.013648824,0.010583622,0.002544696,0.012376476,0.13498455599999998,0.0086751,0.008790768000000001,0.012607812,0.10751340599999999,0.006246071999999999,0.001214514,0.005262894000000001,0.005494229999999999,0.00520506,0.00046267199999999996,0.0037013759999999997,0.0017928539999999995,0.00375921,0.005436396,0.002544696,0.14238730800000002,0.003412206,,0.0046845540000000005,0.008617266,0.00034700399999999993,0.019258722
Xinjiang,0.01545063012,0.0040563601200000006,0.01695467376,0.0407914866,0.01326293028,0.006699830759999999,0.00350943516,0.01736486748,0.007702526519999998,0.0095711868,0.0109384992,0.059705974800000006,0.0369174348,0.00738348696,0.00246116232,0.00697329324,0.00961676388,0.00606175164,0.0017319290399999997,0.00492232464,0.002278854,0.005560403759999999,0.01690909668,0.003418281,0.09010588716,0.00268904772,0.00724675572,,0.023973544080000003,0.0008659645199999999,0.01991718396
Taiwan,0.0001936872,3.1752e-05,0.0004207139999999999,0.00035562239999999996,0.0004207139999999999,0.0003238704,0.0003881682,0.0003238704,0.0001619352,0.0015550541999999998,0.00025877879999999993,0.00035562239999999996,3.1752e-05,6.42978e-05,9.684359999999998e-05,0.00012938939999999996,9.684359999999998e-05,9.684359999999998e-05,0.00029132459999999986,0.0014574167999999994,6.42978e-05,0.0001619352,3.1752e-05,9.684359999999998e-05,0.00012938939999999996,6.42978e-05,,3.1752e-05,3.1752e-05,,
Hong Kong,6.431724e-05,,6.431724e-05,3.1334040000000005e-05,0.01490345892,,6.431724e-05,3.1334040000000005e-05,,0.00051783624,3.1334040000000005e-05,3.1334040000000005e-05,,3.1334040000000005e-05,6.431724e-05,,,0.00012863448,,3.1334040000000005e-05,,3.1334040000000005e-05,,3.1334040000000005e-05,,,,3.1334040000000005e-05,,,0.00016161768
Macau,0.0013823297999999995,0.0006790392000000001,0.0006305363999999999,0.0006305363999999999,0.2169045216,0.00048502800000000003,0.0006305363999999999,0.0019886147999999995,9.70056e-05,0.0034436988,0.0026434026,0.0014065811999999995,0.00024251400000000002,0.0018673578,0.0003880224,0.0006305363999999999,0.0009943073999999995,0.0003880224,0.00029101679999999995,0.0009700560000000001,0.0013823297999999995,0.0005092793999999999,0.0001940112,0.0013580784,2.42514e-05,0.00033951960000000003,,4.85028e-05,,,0.0016005923999999998
