,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Inner Mongolia,Jiangsu,Heilongjiang,Sichuan,Hubei,Guangdong,Shaanxi,Shanghai,Jilin,Zhejiang,Hunan,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.19382808492,3.26417731416,0.50002027704,0.11798231255999997,0.036518334839999986,0.10112769648,5.404713556319998,0.030900129480000003,1.9073807197200001,0.10112769648,1.2809508220799997,1.86524417952,0.32866501355999994,0.3230468082,1.38488762124,0.07303666967999999,,1.72197994284,3.99454401096,0.12079141524,0.6769937458799999,0.94947670584,0.05056384824,0.7078938753599999,0.26967385728,2.39616458604,0.02247282144,0.014045513400000001,0.00561820536,,0.17416436615999994
Anhui,0.11526342120000002,0.95512878216,0.2866009392,0.04984364160000001,0.027414002880000003,0.03239836704,,0.015576138000000003,2.161967954400001,0.02242963872,0.09844119216000002,0.28473180264000003,0.11650951224000003,0.07912678104000001,0.4971903249600001,0.01931441112,0.60622329096,0.12024778535999998,0.22242725064,0.02866009392,0.10529469287999998,0.06479673408,0.019937456640000004,0.047351459520000014,0.03551359464,0.05545105128,0.009968728320000002,0.005607409680000001,0.004984364160000001,0.0012460910400000002,0.12523214952
Fujian,0.06053736528,0.46455847704,0.11252053764,0.03355875684,0.02237250456,0.034216771679999994,0.33690359808,0.01184426712,0.16187165064,0.02697860844,0.5922133559999999,0.45600428412,0.47377068479999995,0.08488391435999999,0.12107473056,0.02039846004,0.36717228071999997,0.4408699428,1.28510298252,0.03224272716,,0.45337222476000005,0.025662578760000002,0.1612136358,0.13291899767999998,0.5316759907199999,0.007896178079999998,0.00592213356,0.00263205936,0.00131602968,0.07830376596
Jiangxi,0.05182200504,0.18776603196,0.08305718615999999,0.02165165964,0.00958352148,0.018457152480000003,0.24633199656,0.007808795279999999,0.14801216508,0.0159725358,0.09264070764,0.3709177758,0.5004727884000001,0.04152859308,0.11500225776000003,0.01100330244,0.37766173536,0.5345475314399999,,0.02271649536,0.27579245148000003,0.06637475988,0.02946045492,0.05182200504,0.07950773376,0.10399895532,0.004614288120000001,0.0039043976399999996,0.0031945071600000003,0.0007098904800000001,0.060695636039999994
Shandong,1.1360052748799998,1.22369413824,,0.20460734784,0.24647680511999998,0.29624616,0.45661408128,0.09716874048,1.2007844352,0.30177608832,0.20697731712,0.21171725568,0.15088804415999998,0.17695770624,0.20381735808,0.16984779839999994,0.24805678464000003,0.1303483104,0.1026986688,0.06872910911999999,0.10822859712,0.08215893503999999,0.0434494368,0.078998976,0.05687926271999999,0.06398917056,0.031599590399999995,0.01895975424,0.01263983616,0.00157997952,0.54430294464
Henan,0.52993618524,,0.8113239287999999,0.37282266251999996,0.07855676135999999,0.05473216980000001,0.8686317301200001,0.03734665704,0.44494034508,0.0386344728,0.17385512760000002,0.64905914304,0.29104636176,0.37797392556,0.15840133848,0.02511240732,0.25627533624000004,0.18029420640000002,0.11203997111999997,0.06567860376000001,0.11203997111999997,0.07791285347999999,0.07276159044,0.06052734071999999,0.0708298668,0.056019985559999985,0.04314182796,0.022536775800000002,0.016097697,0.0032195394,0.3573688734
Hubei,0.12186645372,0.8103390886800002,0.13837426020000002,0.06603122592,0.02379066228,0.034957707840000005,0.30296680128000003,0.017478853920000002,0.21071729447999998,0.028645899480000004,0.2112028182,,0.33646793795999996,0.17284644432,0.097104744,0.01844990136,0.16556358852,0.68070425544,0.34812050724000004,0.048552372,0.13400454672,0.40249916388,0.03689980272,0.06506017848000001,0.10147445748,0.0995323626,0.02136304368,0.00825390324,0.006797332080000001,0.0019420948800000005,0.12526511976000002
Hunan,0.07234362720000001,0.2439278712,0.0797634864,0.03478059,0.013912236,0.025042024800000003,0.1131528528,0.0134484948,0.111297888,0.0227233188,0.15488956080000002,0.7619267916000001,0.9131064228000002,0.0635325444,0.0588951324,0.018085906800000003,0.13216624200000002,,0.46049501159999995,0.025042024800000003,0.11361659400000003,0.18225029160000006,0.0588951324,0.09738565200000003,0.35800820640000003,0.3696017364,0.015767200800000002,0.006956118000000001,0.005101153200000001,0.0013912235999999998,0.090429534
Guangdong,0.17090863920000002,2.2329585252,0.2526475536,0.1003159404,0.0408694572,0.10403134560000002,0.6984961775999999,0.037154052,0.34181727840000004,0.0966005352,2.5636295880000004,2.9834703756,,0.4161253824000001,0.22292431199999999,0.0668772936,0.3752559252,7.9992673955999996,4.3693165152,0.11146215599999999,0.9920131884000001,1.3338304668,0.2563629588,0.8136737387999999,7.4976876936,1.6607861244,0.0297232416,0.0148616208,0.0074308104,,0.241501338
Guangxi,0.06251031144,0.13622189255999995,0.07009826831999999,0.02420919576,0.009394613279999998,0.027099846,0.0650396304,0.0108399384,0.061064986319999986,0.019511889119999997,0.16765771391999998,0.1589857632,1.13891619456,0.0469730664,0.0307131588,0.013730588640000001,0.0614263176,0.52356902472,0.12791127312,0.01878922656,0.10189542095999997,0.08780350104000001,0.053477029440000004,0.19728687888000002,,0.3230301643199999,0.005419969199999999,0.004335975359999999,0.00289065024,0.00036133128,0.0469730664
Hainan,0.046787861519999994,0.07886255903999999,0.03545872524,0.024129588959999997,0.02000990304,0.0264836952,0.037077173279999986,0.012359057759999998,0.040461201,0.023393930759999997,0.11638112724,0.06826908095999999,0.28411119684,0.03648864672,0.04163825412,0.018391455,0.044875150199999984,0.09534130271999999,0.056057154840000005,0.01309471596,0.03795996312,0.053555916960000005,,0.0242767206,0.09828393552,0.04031406936,0.011182004639999998,0.00456108084,0.0026483695199999995,0.00014713164,0.07312442507999999
Chongqing,0.052143102,0.1104485706,0.06446783519999999,0.032233917599999995,0.012324733199999998,0.0170650152,0.0535651866,0.0127987614,0.07916270939999999,0.011850705,2.3734591974,0.33181974000000003,0.1369941498,0.10807842959999997,0.046454763600000004,0.0090065358,0.0654158916,0.1488448548,0.056883384,0.0393443406,0.05546129939999999,,0.050721017400000006,0.16022153159999994,0.0606756096,0.5195349072,0.02370141,0.0099545922,0.009480564,0.0085325076,0.0635197788
Sichuan,0.102859146,0.21297893760000003,0.102859146,0.0653458104,0.0260173134,0.0405386046,0.0774468864,0.0235970982,0.1246410828,0.0260173134,,0.2069283996,0.257147865,0.3376200204,0.0828923706,0.0199667754,0.1070945226,0.1355320512,0.0889429086,0.15186850379999994,0.08591763959999997,1.9948623786,0.07321150979999999,0.7774941329999999,0.0919681776,0.5106654071999999,0.058085164799999985,0.017546560200000002,0.0411436584,0.0405386046,0.14763312719999994
Guizhou,0.0376097904,0.09619427160000002,0.037971423,0.015550201800000003,0.005786121600000001,0.009764080200000002,0.04809713580000001,0.005062856400000001,0.0520750944,0.006871019400000001,0.649130517,0.128379573,0.1417599792,0.043395912000000016,0.0238677516,0.005062856400000001,0.09004651740000001,0.4520407500000001,0.09149304779999999,0.012295508400000002,0.08570692620000002,0.5833133838000001,0.0358016274,0.6679354122,0.2430171072,,0.0028930608000000005,0.0014465304000000005,0.0010848978,0.0007232652000000001,0.032908566600000015
Yunnan,0.05762452752,0.11668072032,0.051539950080000015,0.02469622608,0.012169154880000005,0.01896956496,0.051539950080000015,0.00930582432,0.05726661120000001,0.013242903840000002,0.9953652859200002,0.12849195888,0.13457653632000002,0.057982443840000016,0.034002050400000004,0.011453322240000004,0.09270032687999999,0.21331812672000006,0.08733158207999998,0.01646415072,0.08088908832000001,0.27559556640000005,0.0143166528,,0.1914852312,0.7501926067200001,0.007874159040000002,0.003937079520000001,0.0042949958399999995,0.0060845774400000024,0.052255782720000005
Tibet,0.00440098596,0.015221455200000001,0.0035075527200000007,0.0022832182800000002,0.0005294419200000001,0.00152214552,0.004930427879999999,0.0010919739599999998,0.00251484912,0.00125742456,0.14404129236000002,0.0064856635200000005,0.00168759612,0.01876209804,0.0015552356400000001,0.00039708144,0.0018530467200000005,0.004136265,0.00191922696,0.0167105106,0.0011581541999999998,0.019390810320000004,0.0011250640800000002,0.01608179832,0.0004963518,0.00327592188,0.00089343324,0.00122433444,0.04778213328,,0.004169355120000001
Shaanxi,0.19870511436000002,0.5866100870400001,0.16702092756,0.49925225772,0.0316841868,0.04164207408,0.15615777779999998,0.29013662484,0.15796830275999998,0.02579998068,0.44629440264,0.23401035108,0.10682097264,,0.06065258616,0.02127366828,0.08464204187999999,0.08418941064000003,0.06517889856,0.4888417392000001,0.06970521096,0.11361044123999997,0.03983154912,0.04888417392,0.03530523672,0.03711576168,0.045263124,0.17743144608,0.03756839292,0.0049789436400000005,0.15706304027999998
Gansu,0.054097363079999995,0.12195801287999998,0.04434836832,0.03192317892,0.0105136218,0.01070477856,0.03326127624,0.06786064979999999,0.06938990387999999,0.0051612325200000005,0.17165877048,0.04702456296,0.036510941160000004,0.49815451656000004,0.02217418416,0.00592585956,0.03173202216,0.02351228148,0.01643948136,,0.02351228148,0.03459937356,0.0181598922,0.01491022728,0.01032246504,0.009557838,0.08105046624,0.16840910556000002,0.1930683276,0.00611701632,0.04568646563999999
Qinghai,0.0200722536,0.061242350399999985,0.019046663999999998,0.0115012548,0.0019046664,0.0023442048,0.0165559464,0.005127947999999999,0.0175082796,0.0024174612,0.0671761188,0.0138454596,0.01281987,0.0642458628,0.0035895636,0.0017581536,0.0094500756,0.0097431012,0.0057139992,0.29002208760000003,0.0076919219999999995,0.010695434399999999,0.0071791272,0.0054209736,0.0028569996,0.0026372303999999997,0.010622178000000001,0.0112082292,,0.022709484,0.014284998
Ningxia,0.040380525000000014,0.06175845000000001,0.032634900000000015,0.025508925000000002,0.00433755,0.005267025000000001,0.024372900000000003,0.174638025,0.02334015,0.004440825000000001,0.02664495,0.016524,0.014768325,0.20179935,0.010017675,0.0025818750000000004,0.01466505,0.009811125,0.007332525,0.23154255,0.008571825,0.01218645,0.008158725000000002,0.007022700000000001,0.006196500000000001,0.0033048000000000005,0.011463525,,0.011360250000000002,0.000516375,0.02953665
Xinjiang,0.048709699919999995,0.20194860060000006,0.056575862640000016,0.023295943440000005,0.00635343912,0.00953015868,0.03902826888,0.02480866704,0.04659188688000001,0.00816870744,0.15913852272,0.03373373628,0.02707775244,0.11526953832000003,0.01346324004,0.005445804960000001,0.028741748400000006,0.03040574436,0.01013524812,0.41388117696,0.0181526832,0.04583552508,0.0181526832,0.01406832948,0.007109800920000001,0.008471252160000001,,0.0249599394,0.031162106160000005,0.00030254472000000013,0.039330813600000014
Taiwan,0.0006144336000000003,0.0008727750000000001,0.0022971438,0.00018851940000000006,0.0010333656000000005,0.0014872085999999998,0.0009007038000000001,9.07686e-05,0.0079317792,0.00018851940000000006,0.0010333656000000005,0.0010962054000000002,0.016296454800000002,0.0007121844000000003,0.008643963600000002,0.0006144336000000003,0.003917014200000001,0.0009007038000000001,0.0003840210000000001,0.00018851940000000006,0.009977563800000002,0.0015849594000000005,0.0007121844000000003,0.00016059060000000002,0.0008378640000000001,0.0006144336000000003,,0.00022343040000000005,,,0.0020667312000000005
Hong Kong,0.0014819112,0.00122786928,0.0028791417600000004,0.00029638224000000005,0.00093148704,0.0006774451200000001,0.00114318864,0.00029638224000000005,0.005673602880000001,0.00025404192000000005,0.003302544960000001,0.0020323353600000004,0.33376874256000005,0.00152425152,0.01041571872,0.00038106288,0.00618168672,0.00300616272,0.0019053144000000003,0.00021170160000000005,0.013294860480000005,0.00152425152,0.00228637728,0.00110084832,0.0025404192000000004,0.0013548902400000002,,4.2340320000000013e-05,,,0.010288697760000002
Macau,0.00307037952,0.0031620326399999996,0.00284124672,0.00238298112,0.0017872358400000004,0.0018330623999999998,0.0029328998399999998,0.00027495936,0.006599024639999999,0.0006415718400000001,0.0027495936,0.0041702169600000005,0.36349627392,0.00132897024,0.0119149056,0.0007790515200000001,0.0093944448,0.0054991872,0.00375777792,0.00027495936,0.00394108416,0.0014664499199999999,0.0017872358400000004,0.00096235776,0.0036661247999999996,0.00123731712,9.165311999999999e-05,0.00036661247999999997,,,0.007057290240000001
