,Hebei,Shandong,Henan,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Hubei,Heilongjiang,Jilin,Zhejiang,Hunan,Shanghai,Sichuan,Guangdong,Jiangxi,Gansu,Fujian,Chongqing,Yunnan,Hainan,Guangxi,Guizhou,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Zhejiang,0.15496949159999998,0.4117760776800001,1.14234653808,0.03984929784,0.07305704603999999,0.07527089592000001,0.024352348680000004,4.35685656384,5.18705026884,0.14832794196,0.9076784508,0.037635447960000006,0.02656619856,,0.63758876544,2.22934682916,0.19481878944000006,0.36749908008,4.133257725959999,0.048704697360000014,1.1091387898799998,0.15718334148,0.09298169496,0.033207748200000005,0.08634014531999999,0.2435234868,0.008855399520000001,0.013283099279999998,0.0110692494,0.0022138498800000003,0.14390024220000006
Anhui,0.1787640192,0.47487057408,1.4722821273599995,0.03850301952,0.052254097919999985,0.02841889536,0.01100086272,3.34792922112,,0.10634167295999998,0.44828515584,0.01191760128,0.01191760128,1.1092536575999998,0.17143011072,0.65271785472,0.05867126784,0.13201035264,0.42261647616,0.02200172544,0.11642579712000001,0.04858714368,0.02016824832,0.0137510784,0.02200172544,0.025668679680000004,0.004583692800000001,0.004583692800000001,0.004583692800000001,0.00091673856,0.137510784
Fujian,0.0432577908,0.07230230748,0.16746944724,0.016067179440000003,0.01915702164,0.01668514788,0.008033589720000001,0.17735694228,0.24965924976,0.04263982236,0.30095063028,0.01174140036,0.008033589720000001,0.6420692091600001,0.33246702071999995,0.13162727772,0.10134682416,0.7984152244800001,2.610916659,0.01668514788,,0.09145932912,0.04387575924,0.01668514788,0.06303278088,0.11185228764,0.0030898422000000003,0.004325779080000001,0.004943747520000001,0.0024718737600000003,0.056235128040000006
Jiangxi,0.0593170614,0.0932947956,0.2372682456,0.0184286016,0.016125026400000003,0.0120937698,0.0063348318,0.2614557852,0.5004517122,0.0472232916,0.7883986122,0.006910725599999999,0.008062513200000001,0.7607557098000001,1.0216356012,0.1911967416,0.05528580479999999,0.8120102579999999,,0.011517876000000002,0.521183889,0.054709910999999986,0.027642902399999995,0.0178527078,0.0771697692,0.06450010560000001,0.0023035752,0.0028794690000000004,0.0017276813999999995,0.0005758938,0.07083493739999999
Shandong,2.13994338048,,1.73870399664,0.33236993736,0.32538318191999993,0.29543994432,0.10579943951999997,1.9413199044,0.6347966371199999,0.19363293648,0.20561023152,0.12276727415999998,0.09282403656,0.29144751264,0.1097918712,0.2195837424,0.1097918712,0.13374646127999998,0.10180700784,0.04790918015999999,0.07385998608,0.052899719759999984,0.031939453439999994,0.0199621584,0.027947021760000003,0.028945129679999994,0.015969726719999997,0.014971618799999998,0.01896405048,0.0029943237599999997,0.5319915213599999
Henan,0.8987896565999999,1.3236720397199997,,0.11439141084,0.7834369734000001,0.056715069239999985,0.050947435079999985,0.7747855221600001,1.23908007204,0.8391907702799999,1.1073857587199998,0.024031809,0.01634163012,0.37297367568,0.264349899,0.20571228504,0.18360302076,0.26531117136,0.14611339871999998,0.10862377667999998,0.08651451240000001,0.10285614252,0.03748962204,0.03652834968,0.044218528560000005,0.04229598384,0.02595435372,0.02691562608,0.035567077319999994,0.0038450894399999994,0.3806638545599999
Hubei,0.17817509735999998,0.18059376384000006,1.65839898312,0.02338044264,0.07497866088000002,0.02660533128,0.017736887520000005,0.37247463791999996,0.6022479535199999,0.3265199748000001,,0.01048088808,0.01048088808,0.29265864408000003,1.57535810064,0.15479465472,0.22171109400000005,0.4829270738400001,0.6965759462400001,0.03950488584,0.15640709904000002,0.5313004034400001,0.045954663119999996,0.03386133072,0.09674665920000003,0.08223466032000001,0.007255999440000002,0.008868443760000002,0.007255999440000002,0.0016124443200000002,0.1289955456
Hunan,0.08168484852,0.08168484852,0.3327346123200001,0.017985654719999997,0.03672071172,0.02098326384000001,0.011990436480000002,0.16187089248000006,0.16187089248000006,0.08018604396000002,1.6254535453200003,0.010491631920000005,0.008992827359999999,0.24430514328000003,,0.10266811236,0.13714061724,1.5145420078799998,1.3077069786,0.017236252440000002,0.15437686968000006,0.2473027524,0.07269202116000001,0.04946055048,0.4773692523600001,0.41441946084,0.0074940228000000015,0.00674462052,0.0074940228000000015,0.0022482068399999997,0.08318365308000003
Guangdong,0.15773320511999994,0.21031094016,0.8445298690799998,0.039433301279999985,0.07229438567999999,0.07886660255999997,0.0328610844,0.33846916932,0.410763555,0.2300275908,1.93223176272,0.039433301279999985,0.0328610844,0.44362463939999996,8.0016740514,0.22674148236,0.6835105555199998,,6.38819480736,0.0657221688,1.8040735335599998,0.42062188032,0.28917754272,0.3220386271199999,8.68847071536,0.6210744951599999,0.01314443376,0.023002759080000004,0.023002759080000004,0.009858325319999998,0.20373872328
Guangxi,0.035037969120000005,0.041408508960000014,0.07826663232,0.0077356555200000015,0.0136511568,0.01183100256,0.005005424160000001,0.060975167040000014,0.04277362464,0.027302313600000003,0.14834257056,0.006825578400000001,0.00364030848,0.06871082256000001,1.0329375312,0.0409534704,0.12650071968,1.7614542657599999,0.15243791760000006,0.01092092544,0.07326120816000001,0.10465886880000001,0.19293634944,0.047779048800000015,,0.40680447264,0.00091007712,0.0022751928000000004,0.0022751928000000004,0.00045503856,0.034127892
Hainan,0.0218593404,0.023585077799999996,0.04153274676,0.009894227759999999,0.01219521096,0.01231026012,0.00506216304,0.037275927840000014,0.02450547108,0.023815176119999996,0.04245314004,0.01231026012,0.0077082937199999995,0.03716087868,0.07915382207999999,0.0414176976,0.046709958960000006,0.37920203136,0.03532009212,0.00506216304,0.025080716880000003,0.030603076560000005,0.0178326198,,0.09422526204,0.02427537276,0.0026461306800000003,0.00184078656,0.00253108152,0.00023009832000000005,0.05050658124
Chongqing,0.0535211712,0.05789024640000001,0.13434906240000002,0.015291763200000003,0.0393216768,0.015291763200000003,0.012014956800000002,0.098304192,0.0666283968,0.27088266240000003,0.5428575936,0.006553612800000001,0.005461344000000001,0.0917505792,0.3102043392,0.05789024640000001,7.030934265600001,0.2009774592,0.07536654720000001,0.1234263744,0.054613440000000006,,0.2260996416,0.038229408,0.1485485568,1.1152064448000003,0.0098304192,0.021845376000000003,0.013107225600000001,0.008738150400000002,0.06007478400000001
Sichuan,0.098934858,0.0962366346,0.2095620174,0.024284010600000003,0.0872425566,0.029680457400000002,0.026082826200000003,0.14570406360000002,0.0773490708,0.6079996727999999,0.2824140492,0.016189340400000002,0.0116923014,0.130414131,0.1834791912,0.1016330814,,0.2779170102,0.08454433319999999,0.32738443920000004,0.0701538084,3.9528972810000003,0.8652303036,0.0440709822,0.1322129466,0.7707924845999999,0.0206863794,0.0665561772,0.0350769042,0.08364492540000001,0.1205206452
