,Hebei,Shandong,Henan,Guangdong,Tianjin,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hainan,Hubei,Heilongjiang,Anhui,Fujian,Jilin,Hunan,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.08714077199999999,0.21146160672000006,0.30208800960000004,0.3137067792000001,0.019170969840000003,1.21822799256,0.037761001200000005,0.04996070928,0.0174281544,,0.12315895775999999,0.92892062952,0.06796980216,0.037761001200000005,0.16672934375999998,0.0319516164,0.62218511208,0.32706836424,0.02439941616,0.16440558984,0.09353109527999999,0.0900454644,0.43454198303999997,0.05983666343999999,0.02439941616,0.17137685160000002,0.008133138720000002,0.01278064656,0.0058093848,0.00116187696,0.14465368152000002
Anhui,0.07027202952,0.21537920735999996,0.4403409642,0.12411683136,0.01688353956,1.76957747064,0.02829133656,0.02099034648,0.01049517324,0.7063707902399999,0.0410680692,0.39881658312,0.04289331671999999,0.022815594,0.13734987588,0.011864108879999998,,0.05840792063999999,0.00821361384,0.05430111372,0.026922400919999995,0.03148551972,0.13963143528,0.02372821776,0.012776732640000002,0.02099034648,0.0031941831600000004,0.00501943068,0.0022815594,0.0009126237599999999,0.10905853932
Fujian,0.0286330464,0.05644800576,0.0654469632,0.4661050910399999,0.00797634864,0.11678192496,0.01554365376,0.02822400288,0.00858991392,0.31844038032,0.06012939744,0.08753531328000001,0.0286330464,0.02536069824,0.06524244143999999,0.013293914399999999,0.054607309919999986,,0.00899895744,0.06483339792000001,0.043767656640000006,0.04622191776,0.22845080592,0.04479026544,0.011453218559999999,0.06626505024000001,0.00327234816,0.00429495696,0.0020452176,0.0008180870400000001,0.06708313728
Jiangxi,0.02495100348,0.04475747015999999,0.05813326583999999,0.6294340774799999,0.00463008312,0.13452963732,0.0102890736,0.009002939399999998,0.0038584025999999993,0.4408868037599999,0.0282949524,0.10957863383999998,0.016976971440000002,0.02366486928,0.16411072391999995,0.0066878978399999974,0.11858157324,0.23664869279999995,0.004372856279999999,0.30146985648,0.02855217924,0.02340764244,,0.0463008312,0.00694512468,0.032925035519999986,0.0020578147199999995,0.0025722684,0.0010289073599999998,0.0005144536799999999,0.05298872904
Shandong,0.8894527542,,0.7022867184,0.17612379179999998,0.1523829672,1.0225117944,0.15459141599999998,0.16397732339999999,0.06128445420000001,0.265013856,0.0922027374,0.19765616760000002,0.1225689084,0.047481649199999997,0.1043492058,0.0955154106,0.2440335924,0.0761914836,0.060180229800000005,0.0734309226,0.0513464346,0.0485858736,0.0668055762,0.0507943224,0.029814058799999998,0.0364394052,0.0143549172,0.0198760392,0.0093859074,0.0016563365999999998,0.48144183840000004
Henan,0.3958633036800001,0.6879866803200001,,0.3241227571200001,0.056773094400000015,0.47895846912,0.3509609472000001,0.04748295168,0.035612213760000004,0.35199318528000006,0.10115933184,0.16412585472000002,0.2704463769600001,0.057289213440000014,0.38502480384,0.01961252352,0.4903130880000001,0.0748372608,0.014451333120000003,0.12386856960000002,0.04851518976,0.05522473728000001,0.08154680832000001,0.04851518976,0.04438623744,0.040773404160000006,0.015483571200000002,0.030451023360000006,0.015999690240000003,0.0051611904000000005,0.33392901888
Hubei,0.057370637879999985,0.08176008779999999,0.35364702384,0.3788679322799999,0.0097003494,0.16379732843999995,0.028269589680000002,0.020786463,0.01053180792,0.17432913635999994,0.08674883892000002,0.07815710088,0.08952036732,0.031872576599999994,,0.0097003494,0.13774496147999998,0.07011966852000001,0.0083145852,0.37859077944,0.04212723168,0.14744531087999999,0.1815351102,0.04822459416,0.014134794840000001,0.037138480560000006,0.00443444544,0.00637451532,0.0041572926,0.00194006988,0.10808960759999997
Hunan,0.03454311744,0.05048609472,0.08702208432,1.17114453936,0.006975052559999999,0.1013043348,0.015942977280000003,0.014946541200000003,0.006975052559999999,0.14481537696,0.0647683452,0.07174339776000001,0.03553955352,0.04849322256,0.34509902904,0.01096079688,0.048161077199999985,0.06609692664,0.00730719792,,0.06941838024000001,0.08170775856000001,0.2873057364,0.23980894992,0.01062865152,0.19563361704,0.0033214536,0.0056464711200000005,0.00265716288,0.00132858144,0.08569350288
Guangdong,0.0839454192,0.13221403524,0.24763898664,,0.017488629000000002,0.24064353504,0.0384749838,0.052465887,0.02028680964,0.28961169624,0.26302898016,0.15180129972,0.0944385966,0.21266172864,0.31199714136,0.052465887,0.10842949980000001,0.43441754436,0.03008044188,1.0353268368,0.19657218996,0.16299402228,0.5673311247599999,1.4907307359600002,0.025883170919999997,0.2343476286,0.00909408708,0.01329135804,0.0076949967599999995,0.00279818064,0.2343476286
Guangxi,0.023508377280000003,0.035007040079999996,0.033984936720000004,1.42557866136,0.0038328876,0.04267281528,0.00817682688,0.01456497288,0.00306631008,0.05187174552,0.053660426399999996,0.03168520416,0.01482049872,0.0523827972,0.035773617599999995,0.010476559439999998,0.02478600648,0.04931648712,0.0048549909600000005,0.20774250792000004,0.1239300324,0.03296283336,0.045483599519999994,,0.00664367184,0.16839152855999998,0.00204420672,0.00153315504,0.00153315504,0.00102210336,0.038328876
Hainan,0.03102705648,0.026092834559999997,0.034539553439999995,0.17980639199999998,0.0091993968,0.035292231359999995,0.015220820159999999,0.0238348008,0.009533920319999998,0.02893628448,0.04733507808,0.03537586224,0.022831230240000003,,0.02207855232,0.022914861119999998,0.011290168799999998,0.01806427008,0.0117083232,0.03504133872,0.016642545119999998,0.02809997568,0.015388081919999998,0.04608061488,0.00443243664,0.01747885392,0.0033452352000000003,0.00367975872,0.00242529552,0.00025089263999999995,0.07643862432000001
Chongqing,0.02682882,0.038901788999999985,0.04668214679999999,0.167680125,0.006707205,0.06519403260000001,0.017707021200000003,0.016365580199999997,0.008048646,0.07807186619999999,1.1096399951999998,0.0370237716,0.0625111506,0.041584671000000004,0.17894822939999994,0.008853510600000001,0.0238776498,0.043730976599999985,0.0048291876,0.08799852959999999,0.1161687906,,0.023341073399999995,0.043462688400000005,0.016365580199999997,0.31979953440000003,0.0042926112,0.010194951599999998,0.006170628599999999,0.0077803577999999984,0.059828268600000005
Sichuan,0.05297752188,0.06689862252,0.08313990660000001,0.28267568244,0.0116009172,0.09667431,0.035962843320000014,0.028615595760000005,0.015081192360000004,0.1121421996,,0.07347247559999999,0.21384357372,0.06728531976,0.08700687900000001,0.01624128408,0.034802751600000015,0.05916467772000001,0.010827522720000005,0.06535183356,0.5367357691200001,1.12838254632,0.033255962640000004,0.07192568664000001,0.0928073376,0.3248256816,0.009667430999999999,0.028615595760000005,0.034029357120000006,0.050270641200000014,0.13495733676000002
Guizhou,0.013194721800000002,0.020908559160000003,0.030043366560000007,0.22654322352000006,0.00243594864,0.04283209692,0.0071048501999999986,0.007307845920000001,0.0030449358,0.13133823084000001,0.28196105508,0.023141512080000003,0.021111554879999998,0.022329529200000003,0.03410328096,0.0026389443599999997,0.016442653320000004,0.049936947120000005,0.00243594864,0.19264293827999998,0.3655952917200001,0.27911911500000003,0.02821640508,0.17883922932000004,0.005277888719999999,,0.0016239657600000002,0.00223295292,0.0008119828800000001,0.0018269614800000002,0.031667332320000005
Yunnan,0.027266544,0.03144741408,0.035991838080000005,0.17396055072000002,0.004907977920000001,0.05326064928000001,0.0109066176,0.01199727936,0.006180416640000001,0.06834813696,0.44735309856000005,0.038900269439999996,0.030902083200000006,0.01854124992,0.03253807584,0.009088848,0.02199501216,0.033992291519999995,0.005453308800000001,0.06198594336,,0.08925248736000001,0.023631004800000004,0.13251540384000002,0.0067257475199999995,0.37500586848000006,0.00236310048,0.0036355391999999998,0.00218132352,0.006180416640000001,0.04853444831999999
Tibet,0.0017134545599999994,0.00205979112,0.006379884000000001,0.005140363679999999,0.00030988007999999996,0.0018775087200000001,0.0008020425599999999,0.0008567272799999997,0.00038279303999999993,0.00216916056,0.07861839912,0.00142180272,0.007838143199999998,0.0007291295999999999,0.00293474664,0.00030988007999999996,0.00113015088,0.0008384990399999999,0.00021873888,0.00216916056,0.00900475056,0.011684301840000001,0.00071090136,0.00138534624,0.00605177568,0.00180459576,0.00038279303999999993,0.0015858568799999998,0.02801680488,,0.0034815938399999995
Shaanxi,0.08350630848000003,0.09381572928000002,0.26005513968000005,0.10876438944,0.008505272159999999,0.10902212496000002,0.33634485360000005,0.02113431264,0.22113707616000006,0.06623802864,0.21340501056,0.038144856960000015,,0.029639584800000007,0.09175384512,0.01056715632,0.0399490056,0.028350907200000008,0.009020743199999999,0.03350561760000001,0.034021088639999995,0.060825582720000014,0.022938461280000003,0.017268279840000005,0.2987154676800001,0.028093171680000004,0.11933154576000002,0.02551581648,0.03350561760000001,0.004896974880000001,0.12551719824000002
Gansu,0.01872048672,0.02172056472,0.04068105768,0.030120783119999994,0.0048001248,0.0366009516,0.01548040248,0.00624016224,0.04968129168,0.0228005928,0.10584275184,0.01668043368,0.33132861431999994,0.00936024336,0.01392036192,0.0020400530400000003,0.00936024336,0.00888023088,0.00168004368,0.0102002652,0.009840255840000001,0.01944050544,0.00648016848,0.00696018096,,0.00624016224,0.14244370344,0.055801450800000006,0.15228395927999994,0.0049201279200000005,0.03768097968
Qinghai,0.00582485904,0.00676172448,0.01454178096,0.008268855839999999,0.0010590652799999998,0.010305519840000001,0.004114061279999999,0.0012627316800000001,0.00460286064,0.005947058879999999,0.037759750559999986,0.00358452864,0.03470475456,0.00236253024,0.0034623288,0.00109979856,0.00207739728,0.00370672848,0.00077393232,0.0031771958399999995,0.00456212736,0.005865592320000001,0.00089613216,0.00134419824,0.17698610160000006,0.00134419824,0.01197558432,0.017881909919999998,,0.01804484304,0.012464383680000002
Ningxia,0.01521166392,0.01275388416,0.01700517888,0.00989754552,0.00225850032,0.012554604720000001,0.01169106048,0.00278991216,0.1537773012,0.00876829536,0.01600878168,0.0043177212,0.12401823816,0.00670907448,0.007174059840000001,0.00285633864,0.006310515599999999,0.00425129472,0.0013285296,0.00405201528,0.00385273584,0.00670907448,0.00219207384,0.00371988288,0.17789011344000005,0.003321324,,0.00604480968,0.01036253088,0.00053141184,0.02477707704
Xinjiang,0.0178873596,0.023542073280000003,0.05816276927999999,0.01621402596,0.00132712668,0.01667563524,0.010097703000000001,0.00467379396,0.01165563432,0.0138482784,0.07189564536000001,0.0032312649600000003,0.04696874424,0.008193564720000001,0.008078162399999998,0.00184643712,0.006404828760000001,0.00738574848,0.00196183944,0.00957839256,0.007270346159999999,0.02008000368,0.0029427591600000003,0.00265425336,0.13779037007999995,0.0029427591600000003,0.0106747146,,0.02371517676,0.00092321856,0.027465752159999995
Taiwan,3.238704e-05,6.477408e-05,9.716112e-05,0.00029148336,6.477408e-05,0.00055057968,,,6.477408e-05,0.0006153537600000001,9.716112e-05,0.0006153537600000001,,3.238704e-05,9.716112e-05,,3.238704e-05,0.0012311838,3.238704e-05,3.238704e-05,,,6.477408e-05,6.477408e-05,,3.238704e-05,,,,,0.00022670928
Hong Kong,6.244128e-05,3.122064e-05,,0.02420119944,,3.122064e-05,3.122064e-05,6.244128e-05,6.244128e-05,9.626364e-05,,0.00016130664000000002,3.122064e-05,,3.122064e-05,,,0.00019252728000000006,3.122064e-05,,,3.122064e-05,6.244128e-05,0.00016130664000000002,3.122064e-05,,,,,,0.00012748428000000002
Macau,0.00121565448,0.0011527758000000007,0.00108989712,0.17591358708000002,0.0004191912,0.003164893560000001,0.0007755037200000001,0.00048206987999999996,8.383824000000001e-05,0.0027666619200000003,0.00092222064,0.003395448720000001,0.0006287868,0.00044015075999999994,0.00222171336,0.00054494856,0.0006707059200000001,0.0020959560000000004,0.00035631252000000005,0.0017815626000000004,0.0004191912,0.0004191912,0.00121565448,0.0024522685199999997,0.00012575736000000002,0.00108989712,0.00012575736000000002,,2.095956e-05,2.095956e-05,0.0030391362
