,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Inner Mongolia,Sichuan,Anhui,Heilongjiang,Guangdong,Hubei,Liaoning,Shaanxi,Shanghai,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Gansu,Chongqing,Yunnan,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Fujian,0.016509021480000004,0.11503060128000005,0.042603926400000006,0.007988236200000002,0.014378825160000002,0.079882362,0.004792941720000001,0.07508942028000001,0.06000052967999999,0.01029594888,0.31704421895999996,0.07863974748000001,0.007278170759999999,0.027337519440000003,0.06639111864000001,0.21159950112000006,0.07863974748000001,0.0071006544000000015,0.015443923319999999,0.23236891524,0.011361047040000002,0.06887634767999999,0.04437909000000001,,0.1056222342,0.04384654092000001,0.006035556240000001,0.0026627454000000004,0.0023077126800000003,0.0007100654400000003,0.017396603280000002
Jiangxi,0.02069540928,0.09173638152,0.04537070496,0.00716379552,0.011143681920000002,0.09392531904,0.006367818240000001,0.026466244560000005,0.11760564312,0.0079597728,0.3944067422400001,0.16735422312000006,0.008357761440000002,0.02169038088,0.07104097224,0.27759707640000003,0.26983629791999997,0.007760778480000002,0.016914517200000003,,0.011143681920000002,0.025471272960000003,0.021889375200000002,0.15919545599999999,0.04397774472,0.035221994640000004,0.0029849148,0.0029849148,0.0029849148,0.00059698296,0.016715522880000003
Shandong,0.4716531179999999,0.7375401540000001,,0.15580641599999998,0.13124997,0.8137498139999998,0.06901208099999999,0.10796368499999998,0.239213655,0.123205617,0.111350781,0.09822578399999997,0.084254013,0.110504007,0.12193545599999997,0.168508026,0.06139111499999999,0.078326595,0.027096767999999997,0.057157245,0.04191531299999999,0.043608861,0.048689505,0.049959665999999986,0.040221764999999986,0.034717733999999986,0.022439511000000002,0.019475802,0.010584675,0.0012701609999999995,0.14649190199999998
Henan,0.19489248324000005,,0.54239308452,0.052278851519999996,0.28561166676,0.3401969382,0.027677039039999997,0.0884127636,0.47204727696000004,0.026139425759999998,0.20988421272,0.34211895480000004,0.02806144236,0.21372824592,0.115320996,0.20450256624,0.10686412296,0.019220166,0.03690271872,0.07111461420000001,0.05074123824,0.05151004488,0.041131155240000015,0.06573296772000001,0.034980702120000005,0.043053171840000015,0.03152107224,0.01845135936,0.017298149400000004,0.00422843652,0.10148247648
Hubei,0.03796574652,0.3997148407199999,0.07330493195999999,0.012416470559999998,0.035100407159999986,0.11389723955999995,0.011461357439999995,0.07473760164,0.125358597,0.01217769228,0.24474773699999994,,0.010267466040000001,0.08285606315999999,0.057545565479999984,0.11437479611999997,0.3548245240799999,0.008357239799999997,0.024116606279999998,0.18123271451999995,0.021728823480000003,0.13705873272,0.033190180919999986,0.053008778159999985,0.04942710395999999,0.05085977364,0.013610361959999996,0.007640904959999998,0.005491900439999999,0.0014326696799999994,0.035100407159999986
Hunan,0.02785584816,0.10324552896,0.04830050736000001,0.00945565488,0.018655751519999996,0.07232298192,0.006900072480000001,0.0498338568,0.04881162384,0.012011237279999998,0.74725229376,0.34934811408,0.0102223296,0.035778153599999994,0.039867085440000005,0.0920009664,,0.008944538399999999,0.033478129440000004,0.24968040048,0.0153334944,0.0741118896,0.047278274400000014,0.05341167216,0.17199069552000001,0.17582406912,0.00843342192,0.0051111648,0.00460004832,0.00281114064,0.02836696464
Guangdong,0.0438054642,0.43615005659999995,0.0964989936,0.022220163,0.0336476754,0.15935031179999998,0.016506406799999998,0.2799740538,0.1034824734,0.0419008788,,0.49773165119999996,0.0228550248,0.09332468460000001,0.11935401839999997,0.1599851736,1.0900577106000002,0.027299057400000003,0.1390347342,0.5478857334,0.027299057400000003,0.2069649468,0.212678703,0.2945758752,0.3225097944,1.1725897445999998,0.0133320978,0.0057137562,0.004444032600000001,0.0019045854,0.0641210418
Guangxi,0.01851547248,0.04647020544,0.02523186936,0.00508267872,0.00925773624,0.02759168448,0.004175057520000001,0.03884618736,0.01851547248,0.009076211999999998,0.8758544579999998,0.04211362367999999,0.004538105999999999,0.01851547248,0.02033071488,0.03412655711999999,0.19132654896,0.0063533483999999975,0.03303741168,0.03957228432,0.0063533483999999975,0.033763508639999995,0.10492101072000001,0.031766742,0.14776073135999998,,0.0023598151199999994,0.0019967666399999997,0.0016337181599999995,0.00018152424,0.01234364832
Hainan,0.0245882952,0.043790582880000005,0.02927178,0.010928131200000002,0.020529275040000003,0.031535464320000005,0.011786770080000002,0.044415047520000014,0.017719184160000002,0.025212759840000005,0.14510997072,0.024119946719999997,0.01100618928,0.02287101744000001,0.03481390368,0.02669586336,0.039029040000000015,0.01631413872,,0.01662637104,0.00749357568,0.028569257280000006,0.018187532640000004,0.016158022560000002,0.021856262400000003,0.033486916320000004,0.007337459520000001,0.005776297920000001,0.00202951008,0.0006244646400000001,0.041214666239999996
Chongqing,0.013882700159999999,0.042684122879999994,0.027765400319999998,0.007873770240000001,0.01326108672,0.04289132736,0.005801725440000001,0.9657800812799999,0.02051324352,0.005180112,0.10608869376,0.14069184192,0.003936885120000001,0.044341758720000006,0.031702285440000005,0.04599939456,0.07252156800000001,0.0029008627200000003,0.02445012864,0.01906281216,0.01885560768,,0.07583683967999999,0.0290086272,0.23642031168,0.027765400319999998,0.0145043136,0.004558498560000001,0.0031080671999999996,0.00476570304,0.01636915392
