,Hebei,Henan,Shandong,Tianjin,Jiangsu,Guangdong,Shanxi,Shanghai,Inner Mongolia,Anhui,Zhejiang,Sichuan,Hubei,Shaanxi,Hainan,Heilongjiang,Hunan,Liaoning,Fujian,Jiangxi,Jilin,Yunnan,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.033021927720000004,0.21512343204,0.09201255588,0.011541644640000001,0.5982419138399999,0.17280406835999998,0.01570946076,0.5203358125199999,0.0064120248,0.3549055726800001,,0.07790610132,0.11766065508,0.037510345079999986,0.022121485559999998,0.01346525208,0.1138134402,0.00865623348,0.14779717164,0.25712219448,0.01057984092,0.07630309512,0.061876039319999986,0.01025923968,0.03462493392,0.15164438652,0.0048090186,0.0028854111600000003,0.0022442086800000005,0.00032060124,0.027251105400000003
Anhui,0.03125107656000001,0.23296257071999996,0.09788560344,0.0116223012,0.94760495784,0.07903164816000001,0.0116223012,0.3551258700000001,0.0043906471200000005,,0.40393953504,0.01859568192,0.08497193544,0.026343882720000003,0.0090395676,0.00490719384,0.033833810160000005,0.0033575536799999996,0.03641654376,0.07954819487999999,0.0041323737599999995,0.013688488080000002,0.01239712128,0.00490719384,0.012655394640000001,0.014463308160000004,0.0038741004,0.0025827336,0.0012913668,0.0005165467199999999,0.035383450319999996
Fujian,0.00975435048,0.04604960808,0.02257111332,0.0051040206,0.061248247200000015,0.2659761846,0.0057845566800000005,0.06544488636,0.00192818556,0.0351610308,0.15493538088,0.03663552564,0.04185296892,0.01916843292,0.01032146388,0.004650329879999999,0.04911202044,0.00294898968,,0.12147569028000002,0.0030624123600000003,0.0277885566,0.0351610308,0.0041966391600000005,0.028242247319999997,0.05194758744,0.00272214432,0.00124764948,0.00090738144,0.00034026804,0.013724144280000001
Jiangxi,0.010958328,0.036984357,0.020851263000000002,0.00304398,0.081730863,0.419308245,0.004870368,0.098168355,0.0021307860000000004,0.06985934099999999,0.24686677799999995,0.015828696,0.089340813,0.012632517,0.013089114,0.002587383,0.155699577,0.001826388,0.122672394,,0.0021307860000000004,0.015524298,0.015219899999999998,0.0041093729999999995,0.029678805,0.025721631000000002,0.001217592,0.0010653930000000002,0.001217592,0.000456597,0.014458905
Shandong,0.25867937088000004,0.35746637472000004,,0.09242186184,0.49622647032,0.10413372312,0.06034154616000001,0.12908507976,0.028261230480000007,0.15556407048,0.14028772968,0.05906851776000001,0.06441523704,0.06543365976,0.02495135664,0.043282965600000015,0.04302835992,0.033607949760000005,0.03640861224,0.03793624632,0.02902504752,0.034371766800000016,0.02444214528,0.013748706720000002,0.023169116880000003,0.02138687712,0.011457255600000002,0.0066197476799999995,0.0040736908799999996,0.0010184227199999999,0.14105154672
Henan,0.14637898800000002,,0.26765688600000004,0.036198414,0.29645708400000004,0.17570763,0.13739544,0.137923884,0.015060653999999996,0.262636668,0.189182952,0.052051734,0.24519801600000002,0.16804519199999998,0.033291972,0.00792666,0.07318949400000001,0.008983548000000001,0.043860852,0.049937958,0.006869772,0.025365312,0.029857086,0.019552428,0.03038553,0.023251536000000003,0.016117542,0.008190882,0.006869772,0.002113776,0.122070564
Hubei,0.0298670328,0.21757680864,0.043804981439999995,0.00941264064,0.11820104495999999,0.29722222944000004,0.017558195040000002,0.07385302656,0.005973406559999999,0.08960109840000001,0.11747699568,0.05176952352,,0.0579239424,0.02208350304,0.0045253080000000005,0.22789451088000004,0.00416328336,0.04289991984,0.12182129136,0.0045253080000000005,0.029323995840000006,0.08163655632,0.01158478848,0.04036574736,0.036745500960000003,0.00579239424,0.0038012587200000002,0.0030772094400000004,0.0018101232,0.033849303840000004
Hunan,0.01581041592,0.059390408520000014,0.026350693200000004,0.0070944174,0.06709291884,0.8158580009999999,0.009121393800000002,0.048647433600000005,0.0030404646000000003,0.03364780823999999,0.08675458992000001,0.034255901160000005,0.20371112820000006,0.021891345120000003,0.027364181400000003,0.0030404646000000003,,0.0030404646000000003,0.041147620919999996,0.15790146155999998,0.002837766960000001,0.03628287756,0.04236380676,0.005472836280000001,0.12932109432,0.10621356336,0.00385125516,0.00182427876,0.00162158112,0.0008107905600000001,0.02675608848
Guangdong,0.029824203240000006,0.14496827903999998,0.05209797528,0.01245821148,0.11854176984000002,,0.01623342708,0.10495099368,0.00830547432,0.05813832024000001,0.14685588684000006,0.15138614556,0.21745241856,0.05247549684,0.11438903268,0.01812103488,0.59384141388,0.00906051744,0.21556481075999998,0.33070888655999997,0.01208068992,0.10985877396,0.1057060368,0.011325646799999999,0.6961497566399999,0.17214983135999998,0.00679538808,0.00415273716,0.0026426509200000005,0.00151008624,0.041527371600000015
Guangxi,0.008890397999999999,0.020744262,0.014278518,0.002828763,0.021283074000000003,0.8076791879999999,0.003906387,0.01751139,0.0014817329999999998,0.011853863999999999,0.029095847999999997,0.022360698,0.022495401,0.013066191000000001,0.027748818,0.002828763,0.10587655800000001,0.002020545,0.018319608,0.022091292,0.002155248,0.058056993,0.014278518,0.002020545,,0.079744176,0.001077624,0.000134703,0.0005388120000000001,0.00026940600000000003,0.008755695
Hainan,0.016096281119999997,0.02613653568,0.01551192768,0.005843534399999999,0.02358662976,0.11718942624,0.01147457664,0.029961394560000004,0.005365427040000001,0.007490348640000001,0.0180618336,0.03352063823999999,0.014077605600000001,0.01848681792,,0.015193189440000001,0.02263041504,0.0050466888,0.01019962368,0.01375886736,0.008127825120000001,0.011952684,0.022736661119999998,0.00260302896,0.025339690079999998,0.011368330559999999,0.0023905368,0.0014874451200000002,0.0007437225600000001,0.00010624608,0.03336126912
Chongqing,0.01005817176,0.03031043652,0.0156309426,0.0031261885199999995,0.036155049839999995,0.09500894676,0.0063882982799999995,0.03031043652,0.00244658232,0.01318436028,0.04159189944,0.53865587412,0.09052354583999998,0.035475443639999986,0.02120371344,0.0016310548799999998,0.04743651276,0.0016310548799999998,0.0217473984,0.012504754079999998,0.0017669761199999997,0.06592180139999998,,0.00788343192,0.02500950816,0.17493063587999996,0.005708692079999999,0.00231066108,0.00231066108,0.00326210976,0.012504754079999998
Sichuan,0.0187436592,0.04427073792,0.02463452352,0.00517682016,0.04694840352,0.14173776576,0.0142808832,0.038201362560000014,0.004998309120000001,0.017494081919999998,0.04944755808,,0.04480627103999999,0.11228344416,0.033917097599999994,0.004462776,0.034631141760000005,0.00339170976,0.02713367808,0.014459394240000003,0.0026776656,0.24759481248,0.5401744070400001,0.0330245424,0.03231049823999999,0.17172762047999998,0.00999661824,0.00553384224,0.0107106624,0.01892217024,0.028026233280000003
Guizhou,0.005570020079999999,0.01708768872,0.007080534,0.0013216996800000005,0.02246889456,0.12990419712,0.0018881424,0.014727510720000003,0.00122729256,0.0089686764,0.04748678136,0.12980979,0.01822057416,0.010384783199999999,0.011140040159999998,0.0011328854400000001,0.09280219896,0.0006608498400000001,0.021241602000000002,0.01501073208,0.0006608498400000001,0.16389076032,0.12423976992,0.00198254952,0.08373911543999997,,0.00103847832,0.0006608498400000001,0.00028322136000000003,0.0004720356,0.00698612688
Yunnan,0.010145243520000001,0.022525879680000003,0.01495993536,0.003868948800000001,0.024159435840000004,0.08442906048000001,0.005330551679999999,0.026652758399999997,0.0021494160000000003,0.0103171968,0.034390656000000006,0.210642768,0.01968865056,0.01831302432,0.01100500992,0.0026652758399999996,0.03232721664,0.002407345920000001,0.01573372512,0.01272454272,0.0018055094399999998,,0.044277969600000015,0.0029232057600000003,0.058120208640000004,0.16559100864000004,0.00197746272,0.00111769632,0.0012036729600000005,0.0023213692800000004,0.01470200544
Tibet,0.0007429320000000001,0.00391525164,0.00090637704,5.943456000000001e-05,0.0012927016800000002,0.0025556860800000003,0.0006463508400000001,0.0013224189600000002,0.00012629843999999998,0.00080979588,0.0006092042399999999,0.028446866280000007,0.0012927016800000002,0.00572800572,0.00031946076000000003,0.00028974348000000005,0.0013224189600000002,0.00019316232,0.00038632464,0.00022287959999999998,0.00025259687999999996,0.004145560560000001,0.005341681080000001,0.0027488484000000005,0.00022287959999999998,0.0006760681200000001,0.0004829058000000001,2.9717280000000006e-05,0.008454566160000001,,0.0006092042399999999
Shaanxi,0.03498307056,0.14797583496,0.04047311448,0.00970333344,0.06613587792,0.06536982528,0.1410813612,0.03664285128,0.07979715,0.027577895039999998,0.0389410092,0.10469386079999997,0.05132552687999999,,0.014171973840000001,0.0056177193600000005,0.02247087744,0.0044686404,0.0146826756,0.013278245759999998,0.0031918859999999997,0.021066447599999996,0.029748377519999997,0.13699574712,0.012384517679999998,0.01608710544,0.0197896932,0.05438973744,0.02030039496,0.003957938639999999,0.037153553039999995
Gansu,0.00666938772,0.02228299308,0.008737414919999999,0.0037741496399999997,0.01845714276,0.0160272108,0.006255782279999999,0.01158095232,0.014010884279999998,0.00537687072,0.01178775504,0.03965442156000001,0.00822040812,0.17386938684000006,0.0049115646,0.00160272108,0.00475646256,0.00098231292,0.004808163240000001,0.0033605441999999997,0.0007755102,0.005687074800000001,0.00889251696,,0.00253333332,0.0029986394399999995,0.02414421756,0.04389387732,0.047719727639999994,0.0021714285600000004,0.01002993192
Qinghai,0.00163862352,0.010067814,0.0035549798400000008,0.0005415789600000001,0.0047908908,0.0046520244,0.0017080567199999998,0.00173583,0.001388664,0.00163862352,0.00294396768,0.01213692336,0.00245793528,0.01709445384,0.0029995142400000003,0.00024995952,0.0018330364800000002,0.00022218624,0.00119425104,0.00063878544,0.00031939272,0.0012497976000000002,0.00193024296,0.04289583096,0.00066655872,0.0002777328,0.00533246976,0.0035549798400000008,,0.007151619600000002,0.0016802834399999998
Ningxia,0.00601182648,0.011358312479999999,0.00494252928,0.0022336430399999994,0.007318745279999999,0.006106875119999999,0.004681145519999999,0.00339798888,0.04331841768,0.00365937264,0.0040395672,0.005679156239999999,0.0036831348,0.05460544368,0.0018772106399999999,0.0005465296799999999,0.00297027,0.0006891026400000001,0.0018772106399999999,0.00092672424,0.0006891026400000001,0.00242374032,0.0030890808,0.04441147704,0.0014019674399999998,0.00216235656,0.0038019456,,0.0054415346400000005,0.00014257295999999998,0.0037544212799999997
Xinjiang,0.00639248436,0.029698935120000002,0.00843210972,0.0023132336399999997,0.0104468616,0.00950166936,0.00432798552,0.004825455120000001,0.0034822872,0.00519855732,0.00731280312,0.0196500492,0.0057209004,0.03076849476,0.004303112039999999,0.00164164968,0.007088941800000002,0.001243674,0.0041041242,0.0014177883599999998,0.0010198126799999998,0.003805642440000001,0.010670722920000002,0.038802628799999996,0.00238785408,0.0019898783999999997,,0.00425336508,0.00686508048,0.00039797568,0.0100737594
Taiwan,3.225744000000001e-05,3.225744000000001e-05,0.00025904448000000003,6.476112000000001e-05,0.00012952224,0.00012952224,,0.00042107040000000014,,,0.0002267870400000001,3.225744000000001e-05,6.476112000000001e-05,3.225744000000001e-05,,,,3.225744000000001e-05,0.0006478574400000001,3.225744000000001e-05,6.476112000000001e-05,,3.225744000000001e-05,3.225744000000001e-05,,6.476112000000001e-05,,,,3.225744000000001e-05,
Hong Kong,3.0423600000000005e-05,3.0423600000000005e-05,3.0423600000000005e-05,,3.0423600000000005e-05,0.019016778240000004,,0.00025758647999999995,,,3.0423600000000005e-05,,3.0423600000000005e-05,,,,3.0423600000000005e-05,9.532728000000001e-05,0.00019268279999999998,,,,,,3.0423600000000005e-05,,,,,,9.532728000000001e-05
Macau,0.0005137797599999999,0.0005401274399999999,0.0008958211199999999,0.00044791055999999997,0.00258207264,0.10938239352,0.00047425824,0.00378089208,9.221688000000002e-05,0.00031617216,0.0021341620800000003,0.0007113873599999999,0.00216050976,0.00044791055999999997,0.00025030296,9.221688000000002e-05,0.0015149916,9.221688000000002e-05,0.0009353426400000001,0.0006718658400000001,9.221688000000002e-05,0.00015808608,0.00047425824,5.2695360000000014e-05,0.0009353426400000001,0.00044791055999999997,5.2695360000000014e-05,,,,0.0012251671200000005
