,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Guangdong,Heilongjiang,Sichuan,Hubei,Zhejiang,Jilin,Hunan,Gansu,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Beijing,Tibet
Zhejiang,0.038920629600000006,0.0141182676,0.1095119676,0.18849795120000004,0.0167892912,0.0160261416,0.0068683464,1.03979133,0.5456519639999999,0.035868031200000004,0.16369558920000002,0.0099209448,0.0541836216,0.0125919684,,0.0072499212,0.1007357472,0.0156445668,0.6219669240000001,0.2220765336,0.3464699184,0.010684094400000002,0.0454074012,0.0404469288,0.0270918108,0.0080130708,0.0862359048,0.0030525984000000003,0.0045788976,0.0156445668,0.0003815748
Anhui,0.07515934920000003,0.037001525760000015,0.22547804760000004,0.5983840494,0.03584522808,0.021391507080000004,0.0115629768,2.1992781873600005,,0.07053415848,0.1850076288,0.00635963724,0.02370410244,0.03237633504000001,1.3118197179600002,0.0057814884000000006,0.0462519072,0.02254780476,0.46194092316000007,0.08556602832000001,0.15263129375999998,0.01329742332,0.01792261404,0.01387557216,0.021969655919999997,0.009828530280000004,0.015610018680000002,0.00635963724,0.005203339560000001,0.05954933052000001,0.0011562976800000002
Fujian,0.01435373784,0.00591036264,0.025752294359999997,0.04320193643999999,0.010694941920000001,0.007317591839999998,0.00506602512,0.07936772687999999,0.04376482812,0.02223422136,0.40288971996,0.005628916800000001,0.02898892152,0.016183135799999998,0.24148053071999998,0.004080964679999999,0.04798651572,0.008161929359999999,0.0513638658,,0.18054750636,0.01041349608,0.0323662716,0.02758169232,0.0309590424,0.0042216876,0.037995188400000005,0.00154795212,0.0016886750399999998,0.01013205024,0.00014072291999999998
Jiangxi,0.019729050119999997,0.005684641559999999,0.03611419344,0.04480835112,0.00635342292,0.00367829748,0.00200634408,0.14780068055999998,0.13108114656,0.02240417556,0.9600356422799998,0.00200634408,0.01906026876,0.03076394256,0.9700673626800002,0.0013375627200000002,0.2875759848,0.00802537632,0.09597012516,0.37685829636,,0.01471318992,0.02708564508,0.0200634408,0.04748347656,0.00200634408,0.034442240039999995,0.0013375627200000002,0.00200634408,0.016719533999999998,0.00033439068000000005
Shandong,0.791026236,0.17543239200000002,,0.6223108500000001,0.128808468,0.080208954,0.068355414,0.880718022,0.19202734800000004,0.09482832,0.08653084200000001,0.042672744000000006,0.040302036000000006,0.016990073999999997,0.183334752,0.026472906000000004,0.036745974000000015,0.030028968000000007,0.099174618,0.034770384000000015,0.04425321600000001,0.008297478,0.018570546,0.016199838,0.021336372000000003,0.026472906000000004,0.016990073999999997,0.011063304000000005,0.011063304000000005,0.139476654,0.0007902360000000003
Henan,0.4068599284799999,0.10005838632000001,0.8137198569599998,,0.37174009752,0.03246927768,0.047709959039999986,0.8442012196800001,0.6964328743199999,0.30746418048,0.67986691632,0.00927693648,0.09011881152000001,0.10867268447999998,0.8985375619199999,0.007951659839999998,0.1093353228,0.12722655743999994,0.24583881672,0.14312987712,0.11861225927999998,0.022529702880000002,0.03843302256,0.02915608608,0.04638468239999999,0.0596374488,0.0298187244,0.02518025616,0.030481362719999995,0.17096068656,0.0046384682400000005
Hubei,0.004869972720000001,0.00239864328,0.007704732959999999,0.07762881887999999,0.00239864328,0.0019625263199999996,0.00065417544,0.030092070239999998,0.02573090064,0.023841060479999995,0.21166209792,0.0007268616000000001,0.005378775840000001,,0.051752545920000004,0.00058148928,0.14130189504,0.00138103704,0.0174446784,0.01286545032,0.03321757512,0.0008722339199999999,0.0025440156,0.05371507224,0.007777419120000002,0.00029074464,0.00319819104,0.0007995477600000001,0.0005088031200000001,0.00232595712,
Hunan,0.024742551600000003,0.0064711288799999996,0.03197498976,0.060524087760000005,0.009516366,0.004948510319999999,0.004567855679999999,0.08564729399999997,0.0418720104,0.02778778872,1.84084583904,0.0019032732,0.03502022688,0.13056454152000002,0.34791834096,0.0022839278399999995,,0.011800293839999998,0.0399687372,0.10011217032,0.31784662439999994,0.0304523712,0.05367230424,0.08031812903999999,0.26112908304000004,0.01103898456,0.20897939735999999,0.00152261856,0.0034258917600000004,0.0209360052,0.0011419639199999998
Guangdong,0.032349462479999994,0.00867912408,0.049313205,0.14004950219999998,0.016174731239999997,0.01854176508,0.00473406768,0.0867912408,0.06627694751999999,0.04418463168,,0.01104615792,0.13058136684,0.04418463168,0.13847147964,0.0078901128,0.8047915055999999,0.01459670868,0.049313205,0.28956713976,0.4477639014,0.10730553408,0.08205717312000001,0.07495607160000001,0.9637772785200002,0.011835169199999999,0.16805940264000002,0.0019725282,0.00473406768,0.023670338399999998,0.00039450564
Guangxi,0.01071898272,0.00119099808,0.013696477919999998,0.024117711120000003,0.00327524472,0.00506174184,0.0020842466399999997,0.02143796544,0.01310097888,0.008039237040000001,2.12206082904,0.00267974568,0.03096595008,0.007443738,0.06014540304,0.00238199616,0.19026194328,0.0029774952,0.01161223128,0.03721869,0.03811193856,0.0282862044,0.12118405464000001,0.02114021592,,0.00119099808,0.18430695287999999,0.00059549904,0.00029774952,0.006252739919999999,
