,Hebei,Shandong,Henan,Tianjin,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Hainan,Anhui,Heilongjiang,Fujian,Hunan,Jilin,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Shandong,0.67126168368,,0.541999836,0.09449204687999999,0.13171618656,0.7698442953600001,0.0961282728,0.11289958848,0.04376904336,0.2024829576,0.07608450528,0.08303846544,0.1349886384,0.08017507008,0.03722413968,0.18857503728,0.06708526272000001,0.05972224607999999,0.055222624800000016,0.04990489056,0.03967847856,0.04049659152,0.04458715632,0.040905647999999996,0.02331621936,0.027406784160000003,0.01308980736,0.01513508976,0.00654490368,0.00122716944,0.33419914416
Henan,0.31285673928,0.5295711052800001,,0.03782650752,0.24666035112,0.36486818711999996,0.26714970936,0.030340011240000006,0.02521767168,0.27503023175999997,0.07722911952,0.21632033988,0.11702575764,0.2967016683600001,0.04413092544000001,0.38732767596,0.01221480972,0.06383223144000001,0.09102003372000002,0.010638705239999999,0.03979663812,0.042948847080000005,0.05752781352000001,0.035462350800000014,0.036644429160000005,0.028763906760000006,0.016549097040000002,0.021671436600000003,0.01142675748,0.0035462350799999997,0.23365748915999998
Hubei,0.04353208272,0.06378958656,0.27627787152,0.00689617152,0.30192300936,0.1217605284,0.02025750384,0.014869869840000001,0.005818644720000001,0.1357683768,0.06874620983999999,0.0721942956,0.056031393600000014,,0.02456761104,0.10171852992000001,0.007542687599999999,0.057539931120000005,0.29222526816,0.00495662328,0.12413108735999999,0.034049846880000005,0.13856994647999998,0.03965298624,0.012714816240000001,0.03038625576,0.00344808576,0.00560313936,0.0032325804,0.0010775268,0.08081450999999999
Hunan,0.026664228,0.04612911444,0.0679937814,0.005599487879999999,0.9871097205600001,0.07759290347999999,0.012798829439999998,0.011732260320000002,0.00479956104,0.11812253004,0.05172860232,0.026130943440000002,0.0439959762,0.27677468664,0.041596195679999996,0.03839648832,0.008799195240000002,0.05812801704,,0.005866130160000001,0.06532735860000001,0.053061813719999996,0.22237966152,0.17811704303999998,0.007199341559999999,0.14985296135999998,0.0029330650800000004,0.00426627648,0.00239978052,0.0013332114,0.06479407404
Guangdong,0.0586552428,0.10238006015999998,0.19142938332000003,0.01226427804,,0.1946287602,0.02986085088,0.04105866996,0.01279750752,0.22715575848,0.20102751396,0.07891796304,0.11144496131999998,0.25701660936,0.16316822088,0.09118224107999999,0.03412668672,0.33913394928,0.7971780726000001,0.0239953266,0.1306412226,0.146638107,0.4303161903600001,1.08192261492,0.01706334336,0.16636759775999999,0.006931983239999999,0.010131360119999998,0.00479906532,0.00319937688,0.1706334336
Guangxi,0.01573670592,0.03168047376,0.028988668799999992,0.00393417648,1.1823235632,0.03147341184,0.008282476799999999,0.01159546752,0.0026918049599999995,0.041412384,0.047003055839999995,0.01118134368,0.021120315840000004,0.034993464479999986,0.04244769359999999,0.016979077439999997,0.00890366256,0.03540758832,0.16544247407999998,0.004762424160000001,0.027953359200000003,0.09504142127999997,0.030645164160000002,,0.00455536224,0.13086313344,0.00165649536,0.0010353096,0.00165649536,0.0012423715199999998,0.02588274
Hainan,0.02792423808,0.02368084896,0.02648696112,0.008692103520000001,0.14653380816,0.029635282080000002,0.0143727696,0.017794857600000002,0.008007685919999999,0.02860865568,0.04503467808,0.0157416048,0.02518656768,0.01697355648,,0.011087565120000002,0.015604721279999997,0.0181370664,0.0297721656,0.00930807936,0.02183292144,0.01211419152,0.01218263328,0.03237295248,0.00396962208,0.013414584959999998,0.0049278067200000004,0.0028061121599999997,0.00130039344,6.844175999999999e-05,0.059475889439999985
Chongqing,0.0206118108,0.035755182,0.0365964804,0.005258115,0.14175878039999998,0.0538430976,0.0140917482,0.0107265546,0.0056787642,0.0647799768,0.8553901481999999,0.047323035,0.0307073916,0.1426000788,0.035544857400000004,0.0227150568,0.004837465799999999,0.0361758312,0.0698277672,0.0037858428,,0.08518146300000001,0.018929214000000003,0.0349138836,0.011147203799999998,0.2389287456,0.0039961674,0.0088336332,0.0031548690000000002,0.0056787642,0.0511088778
Sichuan,0.03752759808,0.055080829440000006,0.06930499967999999,0.01028982528,0.2148757632,0.07868689920000002,0.027540414720000003,0.021790218240000003,0.011197751040000002,0.09714805632000001,,0.16342663680000002,0.046001571840000005,0.06658122240000001,0.061738951680000015,0.031172117760000007,0.01271096064,0.04902799104000001,0.05326497792000001,0.007868689920000001,0.8595030528000001,0.42339604608,0.025119279360000003,0.05992310016,0.0741472704,0.25300864512,0.007566048,0.02632984704,0.02844834048,0.03934344960000001,0.10834580735999999
Guizhou,0.0098710488,0.016451748000000002,0.02286792972,0.00197420976,0.18327247272,0.03602932812,0.004771006919999999,0.004771006919999999,0.0014806573199999998,0.10594925712000001,0.22769219231999996,0.016451748000000002,0.016945300439999998,0.02319696468,0.02418406956,0.012667845959999998,0.00131613984,0.0419519574,0.1513560816,0.00180969228,0.2204534232,0.31488645672,0.023525999640000003,0.14444634743999998,0.00345486708,,0.00197420976,0.00131613984,0.00098710488,0.00065806992,0.025335691919999997
