,Hebei,Henan,Shandong,Shanxi,Liaoning,Anhui,Heilongjiang,Tianjin,Inner Mongolia,Hubei,Jiangsu,Sichuan,Shaanxi,Jilin,Hunan,Guangdong,Gansu,Jiangxi,Zhejiang,Fujian,Shanghai,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Sichuan,0.14943500784000002,0.28948142880000005,0.12752830512,0.09545063328,0.0547667568,0.1134454248,0.032077671839999995,0.0273833784,0.0312952896,0.31764718944000003,0.15960597695999998,,0.43265737872,0.026600996159999998,0.20811367584000004,0.31608242496,0.20889605808,0.13456974527999999,0.14552309664000002,0.11657495375999999,0.08058537072000001,0.10796874912,2.64601673568,0.9208638964799999,0.15334691904,0.62512340976,0.06493772592000001,0.01721240928,0.039901494239999995,0.04224864096,0.11422780704000002
Guizhou,0.04263020927999999,0.11057210532,0.046182726720000004,0.015986328480000003,0.011101617,0.05461995564,0.0062169055200000005,0.0071050348800000005,0.005328776159999999,0.1487616678,0.06350124924,0.8574888970799999,0.053731826279999985,0.0062169055200000005,0.60259577076,0.15764296139999998,0.013766005080000001,0.11723307552000001,0.10657552320000001,0.11012804064000001,0.022203234,0.06172499052,0.7406998862399999,0.7247135577600001,0.30951308196,,0.0031084527600000003,0.0022203234,0.0008881293600000001,0.00044406468000000003,0.02575575144
Yunnan,0.0655416198,0.1340818758,0.066398373,0.029986362,0.0162783108,0.058259217599999996,0.014993180999999996,0.012851298,0.008567532000000001,0.1469331738,0.0732523986,1.2525731784,0.0655416198,0.014993180999999996,0.2600245962,0.1490750568,0.0218472066,0.10923603300000001,0.1015252542,0.102810384,0.0295579854,0.017563440599999997,0.3568377078,,0.2261828448,0.8713180044,0.008567532000000001,0.0051405192,0.0034270128000000004,0.006854025600000001,0.044122789800000006
Tibet,0.0052265411999999995,0.012789653759999998,0.00550324044,0.00282848112,0.0017216841600000002,0.004611654000000001,0.0007378646399999999,0.000768609,0.0004919097599999999,0.00525728556,0.00439644348,0.12571368804000002,0.017155352880000002,0.00064563156,0.00451942092,0.00295145856,0.02035276632,0.00162945108,0.0026132705999999998,0.00129126312,0.00224433828,0.0003074436,0.02164402944,0.01518771384,0.00064563156,0.0029207142,0.0007378646399999999,0.000768609,0.03843045,,0.00285922548
Shaanxi,0.2069347176,0.7651278532800001,0.21542434704,0.58949864424,0.049876572960000004,0.17297619983999998,0.028652499360000007,0.02546888832,0.27909656784000003,0.278565966,0.17722101456,0.50831656272,,0.023877082800000005,0.10399796064,0.1299974508,0.7179042895200001,0.07216185024,0.10665096983999997,0.09020231279999999,0.045101156399999995,0.049345971120000005,0.13901768207999998,0.058896804239999996,0.039795138,0.042448147199999994,0.0504071748,0.18571064400000006,0.0371421288,0.005306018399999999,0.09869194224
Gansu,0.045021601439999996,0.10831016412,0.044283542400000014,0.03210556823999999,0.00941025276,0.027677214,0.00387480996,0.009963797040000002,0.06827046120000002,0.03653392248,0.053509280400000005,0.17547353676000002,0.50815364904,0.0035057804400000004,0.02195725644,0.036902952,,0.015868269360000003,0.03302814204,0.019005020280000003,0.01974307932000001,0.01734438744,0.03561134868,0.014023121760000002,0.01051734132,0.008487678960000002,0.08266261248000002,0.18949665852000006,0.17122969728,0.004243839480000001,0.03524231916
Qinghai,0.0192798144,0.0597445632,0.022251801600000003,0.012954816000000001,0.0034292159999999997,0.0128024064,0.0021337344,0.0020575296,0.0059439744,0.012878611199999996,0.019660838400000002,0.0794816064,0.0768906432,0.001524096,0.0108972864,0.0134120448,0.2914071552,0.0041150592,0.0094493952,0.0080777088,0.0044960832,0.008001504,0.015393369599999996,0.0064774080000000005,0.003962649600000001,0.0027433728000000003,0.009296985599999998,0.0117355392,,0.0195846336,0.0108210816
Ningxia,0.04384756152,0.05864341355999999,0.03326366736,0.0280797192,0.0057239427600000005,0.018575814240000002,0.0039959600400000005,0.00356396436,0.15584244156,0.014147858519999999,0.02516374836,0.02764772352,0.20670993287999997,0.00334796652,0.00939590604,0.0129598704,0.31470885288,0.00691193088,0.016847831520000002,0.00831591684,0.007775922239999998,0.00939590604,0.011447885520000001,0.00723592764,0.005399946,0.0030239697600000005,0.010367896319999998,,0.007775922239999998,0.00021599784,0.017603823959999997
Xinjiang,0.04955127372,0.20415825144000002,0.06793602192,0.029765782799999998,0.0113810346,0.03992116752,0.00822936348,0.009805199040000002,0.02311225488,0.04044644604,0.05725535868,0.20345788008,0.140074272,0.00665352792,0.03116652552,0.03221708256,0.5088197930399999,0.01348214868,0.02871522576,0.02083604796,0.01978549092,0.01785946968,0.055329337440000015,0.013131963,0.006828620760000001,0.00892973484,,0.027664668720000004,0.029765782799999998,0.00052527852,0.04079663172
Taiwan,0.00028824012,0.00080788428,0.0017132018399999998,0.00028824012,0.00067797324,0.0008403620399999999,0.00015832908,0.00045062892,0.00019080684,0.00067797324,0.0032396565600000004,0.0013924839600000002,0.00032071788000000005,0.00019080684,0.00106770636,0.00660922416,0.00019080684,0.00032071788000000005,0.00210293496,0.00858224808,0.00362532996,0.0002232846,0.00110018412,0.0002232846,0.0003856734,0.00019080684,6.08958e-05,,,,0.00097027308
Hong Kong,0.0016124313599999998,0.00192595968,0.00219469824,0.0005374771199999999,0.001119744,0.00192595968,0.00026873856,0.0016124313599999998,0.00044789760000000004,0.0027321753599999997,0.006360145919999999,0.00407586816,0.0017020108799999998,0.00044789760000000004,0.00559872,0.33354934272,8.957952e-05,0.0023290675199999994,0.006180986879999999,0.025216634879999998,0.009002741759999997,0.00286654464,0.00219469824,0.0016124313599999998,0.00497166336,0.00143327232,0.00013436927999999998,,0.00013436927999999998,,0.0087340032
Macau,0.0034224897600000003,0.00274699836,0.0035575880400000007,0.00238673628,0.0015761465999999998,0.00238673628,0.0010807862400000002,0.0015761465999999998,0.0009006552000000002,0.005358898440000001,0.011663484840000002,0.00378275184,0.002251638,0.0008556224400000001,0.00580922604,0.33319739124000003,0.00036026208000000003,0.0051787674,0.010087338240000002,0.011573419319999998,0.01161845208,0.002251638,0.0009907207199999998,0.00094568796,0.005223800159999999,0.00144104832,9.006552000000001e-05,0.00018013104000000002,,,0.00666484848
