,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Guangdong,Shanghai,Shaanxi,Zhejiang,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Hainan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.09056685816,0.03828842784,0.20764108944,0.33207847992,0.04638790296,0.054487378079999996,1.71708872544,0.017671582079999998,0.28200899735999996,1.435816044,0.0846763308,,0.15094476359999998,0.20395950984,0.8563354149600001,0.02503474128,0.19438740287999998,0.01988052984,0.3615311167200001,0.10087528104,0.55886378328,0.08762159448,0.030925268639999996,0.0294526368,0.0589052736,0.16640739792,0.018407898,0.011044738799999999,0.01030842288,0.0007363159200000001,0.15462634320000002
Anhui,0.0813510378,0.03590666496,0.23507644716000006,0.63229392828,0.030857290200000005,0.020758540680000003,2.2329457272,0.00897666624,0.126234369,0.45276060348,0.05947041383999999,0.7865803792799999,0.051615830880000005,0.23507644716000006,,0.01009874952,0.07742374632,0.006732499679999999,0.06227562204000001,0.03702874823999999,0.19131519924,0.0196364574,0.01458708264,0.01458708264,0.02019749904,0.020758540680000003,0.01234291608,0.0056104164,0.003927291480000001,0.00112208328,0.11333041127999999
Fujian,0.0307806156,0.01735749,0.0481381056,0.07151285879999998,0.020828988,0.0194403888,0.1291397256,0.0108773604,0.4753637928,0.11687376599999998,0.0372607452,0.37839328200000005,0.08007588719999999,0.0770672556,0.07336432439999999,0.0113402268,0.09326757960000001,0.0064801296000000005,,0.0592468992,0.2779512732,0.042815142,0.0124973928,0.0189775224,0.045823773599999985,0.0638755632,0.0071744292000000005,0.0030086316,0.003471498,0.0006942995999999999,0.07405862399999999
Jiangxi,0.029094876000000002,0.01251079668,0.04393326276000001,0.06342682967999999,0.01076510412,0.01338364296,0.152748099,0.00523707768,0.5708414671200001,0.12714460812,0.02851297848,0.45998998956,0.03695049252,0.25981724267999995,0.17136881963999998,0.004073282639999999,0.43555029372000004,0.004946128920000001,0.25050688236,0.0276401322,,0.027349183439999997,0.0072737190000000005,0.01571123304,0.045388006560000006,0.031131517320000007,0.00349138512,0.00232759008,0.00232759008,0.00058189752,0.05993544456
Shandong,0.97096082832,0.24194607336000004,,0.7692508634399999,0.14612060448,0.13447330992,1.0064321344800002,0.052412825520000005,0.1244142828,0.17153288352000004,0.11435525568000003,0.22288686408000002,0.07623683712,0.0952960464,0.24565203071999997,0.07041318984000003,0.06776607744,0.04288322088000001,0.05400109296,0.043942065839999996,0.05347167048,0.03388303872,0.023824011600000004,0.023294589120000004,0.030706503839999996,0.028059391439999998,0.0185297868,0.01270613952,0.00952960464,0.0026471123999999998,0.39706686
Henan,0.48126773700000003,0.09613630799999998,0.7444701899999999,,0.451957887,0.044550972,0.5094051929999999,0.038102805,0.288995121,0.17820388799999998,0.3880624139999999,0.34644242699999994,0.096722505,0.5709558779999999,0.623713608,0.013482531,0.12720474899999998,0.013482531,0.07620561,0.0586197,0.07444701899999999,0.039861396,0.05275773,0.031654638,0.039275199,0.038689001999999986,0.039861396,0.016999712999999996,0.018758304,0.0035171819999999998,0.347028624
Hubei,0.060339427199999976,0.0173315376,0.07381951199999999,0.45928574640000003,0.027281124,0.019257264,0.17684587439999996,0.009628632,0.3344344848,0.10719876960000001,0.1142597664,0.1627238808,0.08697864239999999,,0.18647450640000002,0.007381951199999999,0.5587816104,0.006740042399999999,0.0613022904,0.1954612296,0.2468139336,0.0333792576,0.015726765599999998,0.0231087168,0.0484641144,0.035946892800000005,0.0115543584,0.0051352704,0.0051352704,0.0016047720000000002,0.10976640480000001
Hunan,0.04307129316,0.01773523836,0.05320571508000001,0.099534501,0.01845912564,0.018097182,0.10460171196,0.00941053464,1.00837498104,0.08179926264,0.04886239140000001,0.14260579416,0.07456038984,0.5157696869999999,0.060806531520000005,0.008686647359999999,,0.007962760079999999,0.06478791156000001,0.11075475384,0.42021656604,0.053567658719999994,0.01230608376,0.0398138004,0.26566663176,0.2244050568,0.008686647359999999,0.0057910982400000005,0.0057910982400000005,0.0018097182,0.08433286812000002
Guangdong,0.07908109703999999,0.036781905600000005,0.114943455,0.25747333920000004,0.046896929640000015,0.05885104896000001,0.25839288684,0.022988691,,0.24000193404,0.11586300264,0.29609434008,0.28689886368,0.3751754371200001,0.12873666960000002,0.030345072119999997,1.5181731536400005,0.025747333920000004,0.5471308457999999,0.19494409967999998,0.6942584681999999,0.16551857520000002,0.032184167400000005,0.137932146,2.78898799212,0.24184102931999996,0.029425524480000007,0.01103457168,0.010115024040000002,0.00367819056,0.23264555292
Guangxi,0.02425769856,0.00934932132,0.029058701400000005,0.037902654,0.010612743119999999,0.01212884928,0.04674660660000001,0.003537581040000001,1.2982922416800002,0.03866070708000001,0.02653185780000001,0.05685398100000001,0.07125698952000001,0.04573586916000001,0.021225486239999997,0.004548318480000001,0.26178099696,0.003537581040000001,0.041945603760000005,0.04320902556000001,0.039924128880000014,0.11396064636,0.007075162080000002,0.02956407012,,0.1882498482,0.00656979336,0.0025268435999999997,0.0022741592400000003,0.0012634217999999999,0.041692919400000014
