,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Gansu,Yunnan,Hainan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Anhui,0.0988570332,0.040705837200000004,0.24714258300000005,0.5181271563600001,2.0754161852400004,0.04593944484,0.025586526239999997,0.18899138699999998,0.63559257228,0.01570082292,0.9362342556,0.0552436362,0.06338480364,0.17038300428000006,,0.01221175116,0.06745538736000001,0.01046721528,0.08257469832,0.034890717599999996,0.17038300428000006,0.02093443056,0.029657109960000008,0.01860838272,0.034890717599999996,0.025586526239999997,0.01337477508,0.007559655479999999,0.0069781435200000005,0.00232604784,0.15177462156
Fujian,0.031941079920000004,0.01662686352,0.05381853192000001,0.07088294448000003,0.12120108408,0.02887823664,0.018158285160000003,0.44761266792,0.12557657447999998,0.008532206280000001,0.33428746655999997,0.07875882720000002,0.03697289388,0.07066416996000001,0.06366338532,0.010938726,0.08160289596,0.00568813752,,0.052287110280000014,0.22752550080000006,0.02143990296,0.044630002080000016,0.01990848132,0.06935152284,0.054037306440000016,0.00700078464,0.00393794136,0.0021877451999999997,0.00131264712,0.07197681707999999
Jiangxi,0.03018093696,0.0124457472,0.04884955776,0.06098416128,0.16708415616,0.01649061504,0.01151231616,0.7735031884799999,0.18295248384,0.0071563046400000005,0.51463164672,0.03827067264,0.028936362240000006,0.1882419264,0.13814779392,0.0074674483199999985,0.34661405952,0.00497829888,0.2629164096,0.02395806336,,0.011823459840000002,0.03080322432,0.0217800576,0.0404486784,0.050716419839999985,0.00497829888,0.0031114368,0.00280029312,0.00093343104,0.0731187648
Shandong,1.0293914678400002,0.28844131104000004,,0.8309226758400002,1.1378877407999999,0.21302317008,0.1918531656,0.19913035464,0.2831488099200001,0.08798783112000001,0.3268119441600001,0.10981939824000002,0.15877503360000006,0.12437377632000002,0.28513349784,0.11048096087999999,0.08666470584000001,0.06549470136,0.07475657832,0.06020220024000001,0.07343345304000001,0.044986259520000016,0.04564782216,0.029108756160000006,0.048955635360000006,0.04763251008,0.03241656936,0.019846879200000004,0.014554378080000003,0.0026462505600000005,0.58019043528
Henan,0.5037046560000001,0.13743941328,0.8138428084800001,,0.75699614016,0.4490167219200001,0.060444558720000006,0.5432814504,0.3533128372800001,0.05612709024000001,0.6267525076800001,0.11441291472,0.35763030576,0.47060406431999996,0.6015672748800001,0.020148186240000004,0.15470928720000002,0.019428608160000003,0.1151324928,0.0683599176,0.10361924352,0.06476202720000003,0.044613840960000005,0.032381013600000015,0.04821173136,0.06116413680000001,0.056846668320000016,0.024465654720000004,0.02374607664,0.00647620272,0.4965088752000001
Hubei,0.07765445376,0.02501369424,0.09221466384000003,0.38603223648,0.2128030704,0.04517398512,0.023147000640000002,0.6809698252799999,0.14709545568,0.017546919839999998,0.25984374912,0.10341482544,0.1176016968,,0.16277568192,0.01082682288,0.44875314143999995,0.00821345184,0.09744140592,0.17845590816,0.22362989328,0.02688038784,0.04741401744,0.029867097600000007,0.0522674208,0.06272090496,0.01344019392,0.007093435679999999,0.00896012928,0.00298670976,0.15605558496
Hunan,0.04511692224,0.02038937832,0.0563961528,0.1149613884,0.140990382,0.03600677448,0.017786478959999998,1.648502928,0.10715269032,0.012146863680000002,0.22081262903999999,0.07635171456,0.050756537519999985,0.41863298039999997,0.05813141904,0.00997778088,,0.00824251464,0.08893239479999998,0.09630727632,0.33534020088000005,0.01605121272,0.06637393368000001,0.04902127128,0.22081262903999999,0.2733044328,0.01171304712,0.00737488152,0.006941064959999999,0.00390434904,0.11149085592
Guangdong,0.07913181275999998,0.033817013999999986,0.10686176424,0.24754054248,0.22927935492,0.04802015987999999,0.05884160435999999,,0.21169450764,0.031787993159999986,0.30029508432,0.28135755647999994,0.10415640312,0.32126163299999994,0.11294882675999998,0.033817013999999986,1.02330284364,0.02637727092,0.42474169584,0.17517213251999994,0.5403958837199999,0.043962118200000004,0.16029264636,0.15893996579999994,0.24077713967999995,1.3452408169199996,0.02637727092,0.0135268056,0.016232166719999996,0.00541072224,0.21778157016
Guangxi,0.025852381200000003,0.00833021172,0.032746349519999995,0.03906582048,0.04911952428,0.014649682680000001,0.01120269852,1.6864370002799998,0.04366179936,0.0066067196400000005,0.05831148204,0.058024233360000003,0.02412888912,0.04280005332,0.01953291024,0.00775571436,0.2269264572,0.00545772492,0.0459597888,0.03906582048,0.04251280464,0.01177719588,0.10800550367999998,0.03906582048,0.16717873175999998,,0.00373423284,0.0017234920799999998,0.00229798944,0.00057449736,0.044236296720000005
Hainan,0.0197658306,0.008204684399999999,0.017304425279999997,0.0313269768,0.029313099720000006,0.01297831896,0.009621857159999999,0.171552492,0.04415611968,0.00924891696,0.02990980404,0.0369210798,0.02155594356,0.02252558808,0.012157850520000001,0.014992196039999997,0.03714484392,0.00850303656,0.0179011296,0.025509109680000003,0.01297831896,0.00462445848,0.01626019272,,0.024166524960000005,0.0440069436,0.0041769302400000005,0.00320728572,0.00119340864,0.00022376412,0.052957508399999985
