,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Heilongjiang,Hainan,Hubei,Anhui,Hunan,Jilin,Sichuan,Fujian,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07540825248,0.02272577472,0.18077320800000002,0.26702785296,0.25463197584,0.0309896928,1.0836062582400001,0.04028660064,0.012912371999999998,0.8387876851199999,,0.06042990095999999,0.02737422864,0.04080309552,0.16527836159999998,0.5965515864000001,0.14461856639999998,0.022209279840000002,0.0878041296,0.26341238879999995,0.08573815007999999,0.07282577807999999,0.39925054224,0.047517528959999986,0.01911031056,0.18180619776,0.009296907839999998,0.006714433439999999,0.00413195904,0.0015494846399999995,0.11156289408
Anhui,0.05662969199999999,0.018876564,0.17894982672,0.41113156392,0.11439197783999998,0.020764220400000002,1.4784124924799995,0.0169889076,0.0075506255999999985,0.31221836856,0.5383596052799999,0.037753128,0.01019334456,0.02000915784,0.12873816647999994,,0.04832400384,0.006795563039999999,0.02114175168,0.05285437919999999,0.01925409528,0.02189681424,0.11212679016,0.017366438879999998,0.008683219439999999,0.01661137632,0.0037753128,0.0037753128,0.00226518768,0.00075506256,0.08230181903999999
Fujian,0.02352841344,0.01055318544,0.047575836,0.06245409744,0.3659014296,0.01176420672,0.1012067784,0.0164352888,0.004498079039999999,0.07369929504,0.26919273024,0.02837249856,0.009515167199999999,0.022490395200000003,0.057610012320000015,0.05138190288,0.06729818256,0.006747118559999999,0.04221274176,,0.036503641439999984,0.0441157752,0.20829566016,0.04169373264,0.00813114288,0.05293893024,0.004325076,0.0024220425600000005,0.00207603648,0.0008650152000000001,0.050343884639999996
Jiangxi,0.023030269920000002,0.00676118016,0.03972193343999999,0.0485959824,0.4713810292799999,0.007817614559999998,0.10923531695999998,0.0095079096,0.004014450720000001,0.08430346512,0.33869286864,0.01711423728,0.006338606399999999,0.02049482736,0.15529585679999994,0.10500957935999998,0.2757293784,0.00485959824,0.01943839296,0.1964967984,0.023875417439999998,0.019649679840000003,,0.04352509728,0.00464831136,0.02725600752,0.0021128688000000002,0.00147900816,0.0010564344000000001,0.00147900816,0.03993322032
Shandong,0.7139910855600001,0.14470947432000006,,0.60705169416,0.15062527044000001,0.10056853403999999,0.85005439632,0.13788355572,0.055972532520000014,0.14015886192000002,0.22161482388,0.09692804412,0.091012248,0.04505106276,0.09920335032,0.20659780296,0.07098955343999999,0.06234338988000001,0.06279845112,0.06461869608,0.04960167516,0.04505106276,0.05096685888000002,0.04368587904,0.0250283682,0.0273036744,0.015472082160000003,0.01228665348,0.007736041080000001,0.00136518372,0.34220605248
Henan,0.32456986415999994,0.05358257568,0.5577858287999999,,0.24551360496,0.27625770576,0.39396369168000006,0.036453719520000004,0.02679128784,0.1295644248,0.28811614464,0.26176405824,0.02108166912,0.05226497136,0.42119418096,0.46291831776000003,0.10189473408,0.01405444608,0.07378584192000001,0.0702722304,0.04260253968,0.0461161512,0.06368420879999999,0.04128493535999999,0.035575316640000014,0.03337930944,0.02547368352,0.01493284896,0.01229764032,0.0039528129600000005,0.25429763376
Hubei,0.04631261183999999,0.011695103999999998,0.06455697408,0.31646951424,0.30079807487999993,0.02034948096,0.13566320639999996,0.016607047679999997,0.0063153561600000005,0.06502477823999997,0.13753442303999994,0.08420474879999999,0.008420474879999999,0.036722626560000006,,0.11461201919999997,0.34898190336,0.00654925824,0.0456109056,0.05637040127999999,0.03695652863999999,0.13262247936,0.15718219775999998,0.04186847232,0.010759495679999998,0.03227848704,0.005847551999999999,0.00374243328,0.0028068249599999995,0.0011695103999999998,0.08560816127999997
Hunan,0.03161278368,0.00859645872,0.04492342944000001,0.08152770528,0.90346008096,0.014142561120000003,0.08235962063999999,0.013865256,0.00720993312,0.048528396000000015,0.12367808352,0.030503563200000007,0.01164681504,0.045755344800000014,0.34163990784000003,0.03854541168,,0.005823407520000001,0.03383122464,0.059897905920000015,0.0540744984,0.06710783904,0.26288525376000005,0.20298734784000005,0.007764543360000002,0.15806391840000006,0.006655322879999999,0.00360496656,0.003050356320000001,0.0013865256000000002,0.07154472096
Guangdong,0.07471285775999999,0.0289834362,0.12623896656,0.24603716952,,0.036712352519999984,0.22220634420000002,0.05410241424,0.014813756279999996,0.16617170088,0.25505423856,0.10691667576,0.04122088704,0.19451106072000002,0.32010595091999994,0.10369629396,1.0273017942,0.030915665279999994,0.18484991532,0.3877339687199999,0.1739006172,0.15329017367999995,0.5055999426,1.2849323381999995,0.02125451988,0.21769780968,0.01223745084,0.0077289163199999985,0.005796687239999999,0.00257630544,0.2028840534
Guangxi,0.02038827672,0.00540913464,0.02995828416,0.03245480784,1.10242324836,0.00769761468,0.03807198612,0.0093619638,0.0029126109600000004,0.023300887680000004,0.044105251680000006,0.01851588396,0.00811370196,0.05201091,0.03723981156,0.016643491200000003,0.20305059264,0.005201091,0.03391111332,0.03828002976,0.10235747088,0.02954219688,0.033286982400000005,,0.0074895710399999985,0.13439619144,0.00187239276,0.0016643491199999998,0.0022884800399999997,0.0006241309200000001,0.0322467642
