,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Anhui,Hubei,Hainan,Heilongjiang,Jilin,Hunan,Fujian,Sichuan,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07465263264000001,0.17250811055999998,0.02219402592,0.27692091432000004,0.26784154008,0.03076899048,1.0148722761600002,0.045396871200000015,0.01462788072,0.8463994430399999,,0.06002475192,0.5573726964,0.151322904,0.03833513568,0.025220483999999998,0.02219402592,0.13719943295999998,0.27238122719999996,0.08120995848,0.08574964560000001,0.07465263264000001,0.3742719825600001,0.05094537768,0.0201763872,0.17755220736000002,0.01109701296,0.00655732584,0.005548506480000001,0.00100881936,0.11500540704000002
Anhui,0.06445832580000001,0.17618609052,0.02187676512000001,0.400422933,0.11954089512000003,0.02226742164,1.49113593684,0.01797019992,0.00937575648,0.36526384619999996,0.58364084088,0.03867499548,,0.1230568038,0.019923482519999997,0.00898509996,0.0078131304,0.04570681284,0.049613378039999996,0.021486108600000005,0.02695529988,0.02187676512000001,0.11563432992,0.02031413904,0.01015706952,0.01679823036,0.00429722172,0.0035159086799999998,0.00234393912,0.0011719695599999998,0.09063231264
Fujian,0.02645112348000001,0.045814037400000014,0.008817041160000002,0.0613735218,0.3972855016800001,0.013830652800000004,0.09612303696000002,0.017288316,0.006396676920000002,0.08211950100000001,0.2499890493600001,0.028871487720000005,0.050827649040000006,0.05463107856000002,0.021610395000000004,0.010200106440000002,0.0069153264,0.059644690200000024,,0.04131907524000001,0.039590243640000015,0.04270214052000002,0.19120877496000005,0.034922398320000006,0.008125508520000001,0.05947180704000001,0.0055322611200000005,0.002420364240000001,0.0022474810800000005,0.0006915326400000003,0.05635991016000001
Jiangxi,0.022217101200000002,0.03745168488,0.006559334639999999,0.0507819456,0.5035876271999999,0.008463657599999999,0.10685367719999997,0.008463657599999999,0.004443420239999999,0.0983900196,0.34045062695999995,0.017773680959999996,0.10367980560000001,0.14684445935999998,0.021159144,0.006559334639999999,0.004866603119999999,0.24523447895999997,0.19381775904,0.016715723760000002,0.02623733856,0.0190432296,,0.0391444164,0.00782888328,0.0285648444,0.00190432296,0.00148114008,0.0012695486399999995,0.00084636576,0.041471922239999987
Shandong,0.80535554424,,0.18623534904,0.6540705288,0.17125663464000002,0.13131339624000002,0.8707625971199999,0.15827508215999997,0.06390918143999999,0.17674882992,0.22118568264000002,0.10235454839999998,0.23017291128000003,0.099858096,0.05142691944,0.09386661023999998,0.061912019519999986,0.0649077624,0.06590634336000001,0.06390918143999999,0.054921952800000014,0.04443685272,0.057917695679999985,0.0424396908,0.026961685919999995,0.031954590719999995,0.013980133440000002,0.015478004879999997,0.00848793816,0.0009985809599999998,0.41241393648
Henan,0.3420275544,0.5671538352000001,0.0621038016,,0.27718387920000004,0.29316647519999994,0.4137209136,0.0415547496,0.0310519008,0.1479531744,0.3045826152,0.2575481184,0.4502525615999999,0.40002154560000003,0.049774370400000004,0.015982595999999998,0.011872785599999998,0.10046203199999999,0.0721500048,0.0721500048,0.049317724800000004,0.047491142399999985,0.07488987839999997,0.043381332,0.0415547496,0.039728167200000004,0.0283120272,0.0155259504,0.012786076799999999,0.0027398736,0.2917965384
Hubei,0.048498600960000006,0.06823087488,0.014026556159999998,0.31856924160000005,0.31856924160000005,0.020920965120000003,0.13836365568,0.016879415039999998,0.008558576640000001,0.07274790144000001,0.13622401152000002,0.08701219583999999,0.11886912,,0.02686442112,0.008320838399999999,0.007607623680000002,0.33830151552000004,0.057532654079999995,0.041604192000000005,0.042555144960000006,0.12267293184,0.1676054592,0.041366453760000005,0.013075603200000004,0.03375883008,0.005230241280000001,0.004041550079999999,0.00380381184,0.0011886912,0.08891410176000003
Hunan,0.03289125527999999,0.046385103600000005,0.010120386239999998,0.07562177495999997,0.99601467912,0.012931604639999998,0.08517991751999998,0.013774970159999995,0.00618468048,0.05285090591999998,0.11750892911999995,0.03204788975999999,0.04610398175999999,0.3289125527999999,0.04413612888,0.009277020720000001,0.00787141152,,0.059316708239999974,0.03148564608,0.05594324616,0.05959783007999999,0.24485712264,0.18554041440000002,0.00955814256,0.15770935224000002,0.00477907128,0.0028112184,0.0028112184,0.0008433655199999997,0.07224831287999997
Guangdong,0.07869724128,0.1217933496,0.028106157599999997,0.22859674848,,0.03809945808,0.21173305392,0.052464827519999986,0.0187374384,0.15989280768,0.24296211792,0.09118886688,0.10055758608,0.28793197008,0.18300231504,0.04122236448,0.031229064,0.9025199495999998,0.38474206848000003,0.16114197024000002,0.17987940864,0.13490955648,0.5059108367999999,1.3472218209600002,0.0249832512,0.2154805416,0.016239113280000002,0.01061788176,0.006870394079999999,0.0031229064,0.20298891600000002
Guangxi,0.02208201264000001,0.028143741600000008,0.0051957676799999995,0.032473548000000005,1.20325319856,0.007360670880000001,0.033123018960000014,0.01017504504,0.0028143741600000004,0.022731483600000005,0.04286508336,0.015587303040000004,0.017752206240000002,0.03853527696,0.046761909120000014,0.010391535359999999,0.005845238640000001,0.19505777832000004,0.03377248992000001,0.028143741600000008,0.11127602448,0.02792725128000001,0.035287922160000006,,0.0051957676799999995,0.14093519832,0.0023813935200000004,0.0015154322400000005,0.0008659612800000003,0.0006494709599999999,0.032040567360000015
