,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Guangdong,Inner Mongolia,Zhejiang,Shanghai,Shaanxi,Sichuan,Anhui,Hubei,Heilongjiang,Hunan,Hainan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hubei,0.05668081919999999,0.012103716599999998,0.0779361264,0.433962522,0.0247978584,0.0188936064,0.16856639459999995,0.32827641119999995,0.007085102399999999,0.16649990639999998,0.07586963819999999,0.0986010084,0.0800026146,0.1703376702,,0.0067898898,0.4888720656,0.0242074332,0.007675527599999998,0.06288028379999999,0.17063288280000002,0.22908497760000002,0.036901575,0.0404441262,0.0123989292,0.033949449,0.0038377638,0.004428189,0.0035425511999999993,0.0011808504,0.0971249454
Hunan,0.039522297600000006,0.008892516960000001,0.05401380672,0.0922186944,0.016467624,0.01449150912,0.0955122192,1.0041957115200002,0.006257697120000001,0.13635192672000002,0.05401380672,0.033264600479999996,0.057636684000000014,0.04973222448,0.43441592111999994,0.008233812,,0.03589942031999999,0.0065870495999999995,0.06685855344,0.08530229232000001,0.39785779584,0.05500186416,0.24437954016,0.00757510704,0.20222242272,0.00395222976,0.004610934720000001,0.002305467360000001,0.00098805744,0.06850531584
Guangdong,0.0836334234,0.02763539208,0.12799550016000005,0.25090027020000005,0.03854409948,0.051634548360000004,0.24944577588000005,,0.01890842616,0.28653538104000004,0.17017583543999998,0.10399634388,0.25453650600000005,0.109087074,0.3381699294000001,0.031998875040000006,1.30831764084,0.15926712804,0.02763539208,0.47343790116,0.15054016212000002,0.6421592422800001,0.16144886951999998,1.5228555530399999,0.024726403440000003,0.20290195764,0.0109087074,0.0109087074,0.005817977280000001,0.0021817414800000003,0.21744690084000004
Guangxi,0.022434670440000002,0.00567030132,0.034514877599999993,0.0406782486,0.008382184559999999,0.01134060264,0.04536241056,1.2980059326,0.0027118832399999995,0.04955350283999999,0.02613269304,0.016024764599999998,0.050046572519999985,0.02070892656,0.03722676084,0.0076425800399999985,0.27636555564,0.044376271200000005,0.00394455744,0.048813898319999986,0.041664387959999986,0.04339013183999999,0.11340602640000001,,0.005423766479999999,0.16295952924,0.0014792090399999998,0.0014792090399999998,0.00098613936,0.0007396045199999999,0.0382129002
Hainan,0.03085112448,0.012874878720000002,0.0259117056,0.033280346880000006,0.01692358272,0.024373198080000002,0.031498917120000004,0.15360782975999998,0.00955494144,0.029474565120000008,0.03036528,0.022915664640000003,0.049637111039999994,0.01489923072,0.02251079424,0.018138193920000004,0.0352237248,,0.009473967359999998,0.017085530879999998,0.03020333184,0.0170045568,0.01643773824,0.04162067712,0.005830133760000001,0.018543064319999997,0.0022672742400000005,0.0031579891200000003,0.00218630016,0.00016194816,0.08218869120000001
Chongqing,0.03504427416,0.00992404224,0.0496202112,0.05923412712,0.02108858976,0.01457593704,0.06915816936000001,0.14948088624000003,0.00713290536,0.07412019048,0.04837970592,0.07474044312000001,1.47961267272,0.034734147840000014,0.19879097112,0.00651265272,0.10265181192,0.03938604264,0.005582273760000001,0.04217717952,,0.0248101056,0.09489865392,0.04465819008000001,0.0186075792,0.31105669896,0.005582273760000001,0.007753158,0.004341768480000001,0.0062025264,0.05675311656
Sichuan,0.045392853600000005,0.015772093199999997,0.061164946799999995,0.08155326239999999,0.0303901308,0.0207730008,0.0946325592,0.2358120276,0.0142333524,0.0977100408,0.0661658544,0.2277336384,,0.030774816,0.07962983639999999,0.0107711856,0.06462711360000001,0.0527018724,0.0084630744,0.05539466879999999,1.3971766464,0.027697334399999995,0.4562366472,0.0561640392,0.08693885519999997,0.3089022156,0.00961713,0.015387408,0.0303901308,0.0407766312,0.1157902452
Guizhou,0.015349201919999996,0.0035744716799999995,0.02060577792,0.027544458239999996,0.00588736512,0.0063078912,0.0462578688,0.2134169856,0.00252315648,0.11858835455999997,0.02396998656,0.02165709312,0.3212819251199999,0.0189236736,0.031539455999999993,0.0021026304,0.21678119424000003,0.02060577792,0.0016821043199999998,0.0546683904,0.33452849663999995,0.02586235392,0.36459611136,0.16106148864,0.00441552384,,0.00147184128,0.00147184128,0.0010513152,0.0008410521599999999,0.030277877759999995
Yunnan,0.02470031496,0.0076536187200000015,0.02904896196,0.03722441832,0.013045941,0.01078464456,0.049052738160000005,0.14907161916,0.00556626816,0.07584040368,0.04122517356,0.023482693800000003,0.44286621048,0.01896010092,0.030440528999999997,0.007305726959999998,0.05670635688,0.016350912719999996,0.005740214039999999,0.03235393368,0.09758363867999999,0.02035166796,,0.11654373960000002,0.005914159920000001,0.3600679716,0.0029570799600000005,0.00243524232,0.00208735056,0.005914159920000001,0.0452259288
Tibet,0.0020571246,0.000447201,0.0014131551600000002,0.005885165160000001,0.00105539436,0.0008049617999999999,0.00255798972,0.00549162828,0.0005366412,0.00153837144,0.0014847073199999998,0.008353714679999999,0.07648925904000001,0.00100173024,0.0023254452000000003,0.00028620863999999997,0.0016993638,0.00016099236000000002,0.00012521628,0.0012521628,0.011591449920000002,0.00060819336,0.00994575024,0.0008407378799999999,0.006350254199999999,0.0012879388800000001,0.0006439694400000001,0.00173513988,0.026939388239999997,,0.00372071232
Shaanxi,0.0921573936,0.0150023664,0.0967116834,0.30326212080000003,0.36782587619999996,0.020092455,0.1101066534,0.09885487859999999,0.233072478,0.0618847614,0.034826922,,0.2333403774,0.0396491112,0.1090350558,0.0099122778,0.034291123199999995,0.0251825436,0.008304881399999998,0.0273257388,0.068314347,0.0208961532,0.025450443,0.0150023664,0.33487425,0.021431952,0.10983875399999997,0.0216998514,0.0259862418,0.0037505916,0.10769555879999998
Gansu,0.021733327080000003,0.007117346880000002,0.024783618600000005,0.03965378976000001,0.014870171159999999,0.0052109146799999995,0.034824161520000015,0.033426111240000014,0.048931759800000016,0.022495899960000003,0.013980502800000004,0.3955211337600001,0.12061361052,0.009023779079999999,0.016014030480000004,0.0017793367200000004,0.011438593200000005,0.009532160999999999,0.0017793367200000004,0.010421829359999999,0.02198751804,0.006608964960000001,0.010040542920000005,0.0068631559200000025,,0.005846392079999999,0.13624635456000006,0.04448341800000001,0.15620034492,0.0045754372800000005,0.033299015760000016
Qinghai,0.0071610739199999985,0.00157714128,0.00792833184,0.015132031199999996,0.0038362896,0.0013640140799999999,0.00673481952,0.008610338879999999,0.0029837807999999995,0.00613806336,0.0037510387200000005,0.0387891504,0.03891702672,0.00281327904,0.00456092208,0.00051150528,0.00366578784,0.00225914832,0.0008098833599999999,0.00332478432,0.006479066879999999,0.00140663952,0.00268540272,0.002131272,0.19620490032000001,0.00119351232,0.01065636,0.01598454,,0.01845681552,0.009590723999999998
Ningxia,0.0157005702,0.0034605338399999997,0.017110417319999998,0.018776600280000003,0.01268862408,0.00205068672,0.01172736468,0.01454705892,0.14047204032,0.008971754399999999,0.004549961159999999,0.12739891248,0.01320129576,0.004614045119999999,0.006408395999999999,0.00243519048,0.005575304519999999,0.00474221304,0.0012816791999999998,0.004806296999999999,0.008971754399999999,0.00294786216,0.0035887017600000006,0.00185843484,0.16584928847999994,0.004614045119999999,,0.00506263284,0.0075619072799999985,0.00019225188,0.018776600280000003
Xinjiang,0.014017419360000002,0.0024930309600000003,0.01796863824,0.049249121039999996,0.0065383264799999995,0.0031045291200000004,0.014817070800000004,0.013311844560000004,0.009548778959999999,0.012888499680000002,0.006867594720000001,0.03706619616,0.052729956720000005,0.007573169520000002,0.010207315440000002,0.00192857112,0.00903135744,0.0065383264799999995,0.0011759580000000002,0.005221253520000001,0.018486059760000003,0.0028222992000000004,0.005174215200000001,0.00225783936,0.10023865992,0.00230487768,0.008655050880000001,,0.0272822256,0.0011759580000000002,0.018956442960000004
Taiwan,9.685008e-05,9.685008e-05,0.00019421532,9.685008e-05,3.1939920000000004e-05,0.00025912548,0.00032352047999999997,0.00019421532,9.685008e-05,0.00012930515999999998,0.0011987773199999999,,6.439500000000001e-05,3.1939920000000004e-05,6.439500000000001e-05,6.439500000000001e-05,3.1939920000000004e-05,,3.1939920000000004e-05,0.0016196630400000002,3.1939920000000004e-05,6.439500000000001e-05,,6.439500000000001e-05,3.1939920000000004e-05,3.1939920000000004e-05,,6.439500000000001e-05,,,3.1939920000000004e-05
Hong Kong,,,3.1726079999999986e-05,,,,3.1726079999999986e-05,0.01632835584,3.1726079999999986e-05,3.1726079999999986e-05,0.00041948927999999985,,,,6.345215999999999e-05,3.1726079999999986e-05,6.345215999999999e-05,0.00012866688,3.1726079999999986e-05,6.345215999999999e-05,,3.1726079999999986e-05,,6.345215999999999e-05,,,,,,,9.69408e-05
Macau,0.0008697779999999999,0.0001739556,0.0005715684,0.0005964191999999999,0.0002733588,0.0010188828,0.00248508,0.2242287684,0.00014910479999999998,0.0024602292,0.0020377656,0.0002236572,0.0010934352,0.0005715684,0.0017395559999999993,0.00014910479999999998,0.0017395559999999993,0.000372762,0.00014910479999999998,0.0016401527999999998,0.000372762,0.0009194796,0.0002733588,0.0015407496,4.97016e-05,0.0003479112,2.48508e-05,2.48508e-05,,,0.0019632132
