,Hebei,Shandong,Henan,Shanxi,Liaoning,Tianjin,Inner Mongolia,Heilongjiang,Anhui,Jiangsu,Guangdong,Jilin,Sichuan,Shaanxi,Zhejiang,Hunan,Gansu,Hainan,Fujian,Shanghai,Jiangxi,Chongqing,Yunnan,Xinjiang,Guangxi,Hubei,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.04197519144,0.13330582776,0.30259039104,0.032288608799999986,0.04013012808,0.01014784848,0.011531646000000001,0.0276759504,0.8584157282399999,0.6549974928,0.09225316800000001,0.02629215288,0.1337670936,0.05442936912000001,,0.14253114456,0.0415139256,0.02121822864,0.23432304672,0.8279721828000001,0.47694887856,0.06780607847999999,0.0668835468,0.01107038016,0.04566531816,0.04935544488,0.13238329608,0.00968658264,0.005535190079999999,0.00092253168,0.03828506472
Anhui,0.0574994376,0.18190731168,0.8269464571199999,0.021431608559999992,0.017772553439999998,0.01986344208,0.005227221599999999,0.006795388079999997,,2.4254308224,0.06377210351999997,0.004704499439999999,0.039204162,0.04652227223999999,0.5540854895999999,0.0548858268,0.013590776159999995,0.010454443199999998,0.04756771656,0.42235950528,0.16361203607999994,0.02665883016,0.014636220480000002,0.0036590551200000004,0.013590776159999995,0.04390866143999999,0.021954330719999998,0.00209088864,0.0026136108,0.0005227221599999999,0.10140809904
Fujian,0.0224663544,0.043648917120000005,0.06852238092,0.01331933868,0.02150351064,0.01010985948,0.00673990632,0.01107270324,0.07558323516000001,0.08713736027999999,0.27713852891999996,0.01027033344,0.08473025088,0.02631772944,0.20797425216000004,0.06595479756000001,0.01331933868,0.006579432359999999,,0.06595479756000001,0.24536468484,0.044130339000000005,0.02102208876,0.00609801048,0.028724838839999996,0.0248734638,0.05407972452,0.00336995316,0.0022466354400000003,0.00016047396000000002,0.036267114960000006
Jiangxi,0.01258379388,0.02516758776,0.052132860360000005,0.0064203030000000005,0.007447551479999999,0.007190739360000002,0.00154087272,0.00487943028,0.16795512648000002,0.147666969,0.59811542748,0.003595369680000001,0.035953696800000004,0.016692787800000004,0.4460826524400001,0.3764865679200001,0.008988424200000001,0.013097418120000004,0.28326376836,0.10092716316,,0.03004701804,0.014895102959999998,0.0020544969600000003,0.05033517552,0.06317578152,0.044428496760000005,0.0028249333200000004,0.0012840606,0.00025681212000000004,0.033642387720000014
Shandong,0.6429349727999999,,0.63195803424,0.07997483808,0.10780921800000001,0.38928928536,0.03449894976,0.0744863688,0.19484065944,0.72879031368,0.03685115088,0.05958909504,0.045867921839999985,0.05958909504,0.07487840232000001,0.02273794416,0.0215618436,0.01685744136,0.02273794416,0.0764465364,0.02391404472,0.019601676000000002,0.016465407839999998,0.01019287152,0.009408804479999998,0.018033541919999996,0.009408804479999998,0.0066645698400000005,0.008232703919999999,0.00078406704,0.4645597212
Henan,0.3804231096,0.59182278696,,0.22295683512000006,0.036597666240000014,0.08764177968000003,0.02022502608,0.01059406128,0.8065933020000001,0.50418100728,0.25955450136,0.011557157759999999,0.1011251304,0.33997305744,0.24944198832000006,0.11990551176000006,0.048636372239999996,0.044302438080000006,0.042857793360000014,0.1396489896,0.07752926664000001,0.05008101696,0.023114315519999998,0.02648515320000001,0.033226828560000005,0.14783530968,0.026966701440000008,0.011557157759999999,0.009630964799999999,0.0014446447199999999,0.3780153684000001
Hubei,0.08003667672,0.08263527012,0.24634665432,0.031702839479999995,0.01870987248,0.04469580648,0.009874654920000002,0.006236624159999999,0.13616629416,0.34457348484,1.8340872217200002,0.00675634284,0.16734941496,0.12992967,0.35184954636,0.5612961744,0.023907059280000004,0.016630997760000002,0.12161417112,0.16786913364,0.17878322591999998,0.20632831596,0.05612961744,0.006236624159999999,0.08783245692,,0.09666767448,0.0051971868,0.0041577494400000005,,0.16319166552000006
Hunan,0.02004621696,0.025455513600000004,0.08113944960000001,0.011454981119999999,0.008909429760000002,0.006045684480000001,0.0038183270399999997,0.006363878400000001,0.04518353664,0.055047548160000015,1.1181334348799998,0.004454714880000001,0.08495777664000001,0.031183004160000007,0.08400319487999999,,0.01018220544,0.029273840640000007,0.050911027200000014,0.035637719040000015,0.3649684262400001,0.15527863296,0.040410627840000005,0.0057274905599999995,0.32169405312000005,0.2052350784,0.29178382464,0.0028637452799999998,0.003500133120000001,0.00031819392000000004,0.06745711103999999
Guangdong,0.053549569800000016,0.1031325048,0.300803139,0.051566252400000005,0.06214394519999999,0.0211553856,0.0237998088,0.0449551944,0.1348655832,0.1269323136,,0.0423107712,0.3761692002000001,0.1170157266,0.1408155354,1.1397463992,0.0482607234,0.1427988528,0.32460294780000004,0.0852826482,0.601606278,0.1837874124,0.1018102932,0.025783126200000003,1.4517883368000002,0.138832218,0.2340314532,0.0118999044,0.0125610102,0.003305529,0.09057149460000001
Guangxi,0.0280923228,0.0266248134,0.052620694199999984,0.0113207868,0.014465449799999997,0.006918258599999999,0.005241104999999999,0.007547191199999998,0.019916199,0.0310273416,0.8188702451999998,0.0058700376,0.1018870812,0.0207547758,0.032494851,0.3014683596,0.0092243448,0.0266248134,0.028511611200000002,0.0226415736,0.044654214599999985,0.06729578819999997,0.112159647,0.005241104999999999,,0.017610112799999997,0.23836545539999995,0.0025157304,0.0023060862,0.0002096442,0.025157304
Hainan,0.05203771128,0.03789961164,0.056790013680000015,0.026375278320000004,0.02780096904,0.016751865959999997,0.018771594480000004,0.024236742240000005,0.02186059104,0.04265191404000001,0.27432665604,0.02126655324,0.07045288307999999,0.035523460440000015,0.04170145356,0.04253310648,0.015088560119999999,,0.016276635719999998,0.039800532600000015,0.024830780040000004,0.047879446680000014,0.011761948440000001,0.020316092759999998,0.053819824679999996,0.007841298960000001,0.032553271439999996,0.0045146872800000005,0.0049899175200000005,0.00035642267999999995,0.09160062876
Chongqing,0.026526317400000003,0.031831580879999995,0.061251678359999985,0.0217033506,0.01302201036,0.008681340240000002,0.005787560159999999,0.00530526348,0.031831580879999995,0.05498182151999999,0.12443254344,0.004340670120000001,2.9381513745599994,0.08584880903999999,0.05642871155999999,0.13214929032,0.03665454768,0.03761914104,0.03086698752,0.03472536096000001,0.027490910759999997,,0.14854737744000002,0.01543349376,0.06848612855999997,0.13118469695999999,0.62168042052,0.005787560159999999,0.006752153520000001,0.00530526348,0.03761914104
Sichuan,0.05262960096,0.054917844479999985,0.10525920192,0.041188383360000004,0.02688686136,0.01315740024,0.013729461119999998,0.013729461119999998,0.03890013984,0.08352088848,0.15274025496,0.01315740024,,0.27516128328,0.06693112295999999,0.08695325376,0.1344343068,0.05320166184,0.037183957200000006,0.04061632248,0.035467774560000005,2.51821199376,0.9067164948,0.038328078960000005,0.08809737552,0.05606196624,0.6275507853600001,0.0114412176,0.0314633484,0.03775601808,0.051485479199999996
Guizhou,0.0078632856,0.01153281888,0.024376185360000004,0.006552738000000001,0.0039316428,0.00235898568,0.0010484380800000002,0.0020968761600000003,0.0144160236,0.026473061519999997,0.13655905992,0.0013105476,0.6088804149600001,0.01494024264,0.04482072792,0.26656538184,0.0039316428,0.0380058804,0.0275214996,0.01127070936,0.03223947096,0.51294833064,0.55383741576,0.0005242190400000001,0.22488996816,0.013629695039999999,,0.0007863285599999999,0.0007863285599999999,0.0005242190400000001,0.01913399496
Yunnan,0.027410503680000003,0.03206049984,0.049436801280000005,0.02055787776,0.01615261824,0.0085657824,0.006852625920000001,0.00954472896,0.02178156096,0.042094702080000004,0.09177624,0.007097362559999998,0.8732203315200001,0.03157102656000001,0.06142889664,0.06607889280000001,0.011502622079999998,0.007097362559999998,0.02422892736,0.029368396800000002,0.023984190719999996,0.14341567104000005,,0.005873679359999999,0.10670517504,0.01076841216,0.6556494585599999,0.0036710496000000002,0.0034263129600000004,0.006607889279999999,0.04356312192
Tibet,0.00073861632,0.00193886784,0.00482408784,0.00064628928,0.00050779872,0.00018465408,0.00021927672000000002,0.0003462264,0.0018119181600000003,0.00116562888,0.0021350628000000003,0.00025389936,0.04035845736,0.006220534319999999,0.00064628928,0.0014887735199999997,0.01095229512,0.0003462264,0.000577044,0.000577044,0.00073861632,0.0071899682400000005,0.00482408784,0.00045009432,0.000288522,0.00038084904,0.0009001886399999998,0.00016157232,0.023658804,,0.0006693710399999999
Shaanxi,0.07306488684000001,0.06786212400000001,0.265793319,0.2838898854,0.02420415756,0.01266759648,0.23231467116,0.01221518232,0.047503486799999994,0.06831453816000001,0.05134900716,0.00972690444,0.24181536852,,0.05112280008,0.025335192960000003,0.33931062,0.0192276018,0.01877518764,0.02329932924,0.01379863188,0.051575214239999986,0.01606070268,0.023751743399999997,0.01312001064,0.04365796644,0.01832277348,0.10722215592,0.02420415756,0.0033931062,0.07306488684000001
Gansu,0.01035343296,0.01168079616,0.028759536000000002,0.0084066336,0.00327416256,0.0030086899199999995,0.05008583808,0.0015043449599999998,0.008318142719999998,0.01318514112,0.012300232319999998,0.0009733996800000001,0.07052723135999997,0.2229970176,0.009822487679999999,0.005043980159999999,,0.008495124479999998,0.00477850752,0.007433233919999998,0.0030971808,0.01300815936,0.00407058048,0.047254129919999985,0.0030971808,0.004336053120000001,0.002212272,0.13822275456,0.16954852607999998,0.0015928358399999998,0.015574394880000002
Qinghai,0.00369386244,0.00475875972,0.01487528388,0.0031614138000000003,0.0006655608000000001,0.0006322827600000001,0.00459236952,0.00079867296,0.0036605844000000007,0.0044259793200000005,0.0056572668000000005,0.00033278040000000005,0.02985040188,0.022562511120000003,0.0024958529999999997,0.0019966823999999998,0.18582457536,0.00342763812,0.0010981753199999999,0.0015307898400000002,0.00079867296,0.00495842796,0.00279535536,0.006222993480000001,0.00119800944,0.00069883884,0.00103161924,0.006023325240000001,,0.009750465720000002,0.0027287992800000003
Ningxia,0.008190856080000001,0.00645504552,0.01497136608,0.00791963568,0.0018985428,0.00157307832,0.12053034575999999,0.00092214936,0.004231038240000001,0.005424408,0.0027664480800000005,0.0016273224000000002,0.008082367920000002,0.12877544592,0.0034173770400000004,0.0018985428,0.18811846944,0.00254947176,0.00103063752,0.0026037158399999996,0.0014645901600000002,0.00222400728,0.00238673952,0.007268706720000001,0.0008679052800000003,0.0007594171200000001,0.0008679052800000003,,0.006129581039999999,0.00021697632000000004,0.006129581039999999
Xinjiang,0.010028551679999996,0.01845680256,0.0602779968,0.006561233279999999,0.00304057152,0.00309391488,0.004960932479999999,0.0024004512,0.011788882559999998,0.01685650176,0.02005710336,0.00261382464,0.06171826752,0.037287008639999994,0.00938843136,0.006134486399999999,0.16211047103999998,0.01077535872,0.00570773952,0.007734787199999998,0.00282719808,0.012002256000000001,0.0048009024,,0.00394740864,0.0021870777599999995,0.0016003008,0.0181367424,0.010615328640000001,0.00058677696,0.014669424
Taiwan,9.614376000000003e-05,0.00022606776,0.00016110576,6.236352e-05,0.00025724952,0.00016110576,,3.118176e-05,0.0006470215200000001,0.00349755408,0.00583098912,0.00029102976000000005,0.0007119835200000001,0.00029102976000000005,0.0019098828,0.00022606776,0.00016110576,0.00016110576,0.0033026680800000013,0.0038535458399999996,0.00045213552,0.00042095376000000017,0.00022606776,3.118176e-05,0.00025724952,3.118176e-05,6.236352e-05,0.00012732552,9.614376000000003e-05,,0.00045213552
Hong Kong,0.0008293428000000001,0.0023604372000000005,0.0024242328000000004,0.0007017516000000001,0.0007336494000000001,0.0008293428000000001,0.00015948900000000002,0.0004784670000000001,0.0014035032000000002,0.0034768602000000005,0.23693685840000006,0.0003508758000000001,0.0033173712000000005,0.0009888318000000002,0.0044975898,0.0037320426000000003,9.56934e-05,0.001913868,0.013397076000000004,0.004944159000000001,0.0014991966,0.0019776636000000004,0.000956934,3.1897800000000005e-05,0.003540655800000001,0.0005103648000000001,0.0010207296000000002,9.56934e-05,3.1897800000000005e-05,3.1897800000000005e-05,0.004976056800000001
Macau,0.0006843916799999999,0.00142829568,0.00190439424,0.00095219712,0.0010414656,0.0005356108799999999,0.00026780543999999995,0.0002975616,0.0015770764800000002,0.00779611392,0.20865019392,0.00047609856,0.0040765939200000005,0.0013390272,0.00898636032,0.0040170816,0.0001487808,0.0015473203199999998,0.0047609856,0.01824052608,0.00351122688,0.0026780544,0.00080341632,8.926847999999999e-05,0.00211268736,0.0005653670399999999,0.0004165862400000001,0.0001487808,,0.00011902464,0.00514781568
