,Hebei,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Tianjin,Heilongjiang,Anhui,Jiangsu,Jilin,Hubei,Shaanxi,Sichuan,Hunan,Guangdong,Gansu,Jiangxi,Zhejiang,Fujian,Hainan,Chongqing,Shanghai,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.2061704988,0.6858324755999999,2.3499229302,0.14726464199999995,0.1115003718,0.039971831400000005,0.0336604896,0.12412305539999999,4.855525624799999,1.9733462028,0.0778398822,1.1886360390000001,0.33660489600000004,0.8562387042,0.9445974894,0.326085993,0.15147220320000002,2.7664714889999997,,0.7215967458000001,0.07994366280000001,0.483869538,0.8457198011999998,0.3976145334,0.2187931824,0.8667576072,0.0168302448,0.018934025400000002,0.006311341799999999,,0.136745739
Anhui,0.13347978336,0.3235873536,1.41704295264,0.043819120800000014,0.03640357728,0.01280866608,0.022920770880000003,0.024269051519999998,,2.2651114752000003,0.01820178864,0.31482352944,0.08898652223999999,0.08763824160000001,0.13887290592,0.13954704624000003,0.02763975312,0.30134072304000004,0.5426829576000001,0.11325557375999998,0.022246630559999998,0.062020909440000015,0.33369945840000004,0.045167401440000005,0.03640357728,0.044493261119999995,0.0053931225600000006,0.0074155435200000015,0.0033707016000000005,0.0006741403200000001,0.10988487215999998
Fujian,0.058459786560000004,0.12643628256,0.39698273664000006,0.03670730784,0.033988248,0.01087623936,0.016314359039999997,0.030589423200000007,0.34464083471999996,0.18761512896,0.02175247872,0.441847224,0.10400403888,0.60431104944,0.4248531,0.48807124128,0.038066837760000014,1.71028863936,0.4248531,,0.024471538560000002,0.35823613392,0.08361109007999999,0.15702570576,0.13391369711999998,0.40310062128,0.0061178846400000006,0.010196474399999999,0.00203929488,,0.06661696607999999
Jiangxi,0.0495852192,0.08437484880000001,0.1923426648,0.0231930864,0.017594755200000003,0.006797973600000001,0.008797377600000001,0.013995828,0.3271024944,0.15715315440000002,0.010396900799999999,0.47865731759999997,0.043986888000000016,0.09677115359999999,0.6422085648,0.5962222728000001,0.0215935632,,0.3950822304000001,0.3526948656,0.0343897488,0.0667800936,0.08077592160000001,0.04478664960000001,0.093971988,0.08997318,0.0039988079999999995,0.0035989271999999997,0.0019994039999999998,,0.048385576799999996
Shandong,1.31832759168,,1.35775126368,0.236542032,0.34456289328,0.11117475504,0.16794484272,0.3272164776,0.49437284688,1.2434226148799998,0.20500309440000006,0.17188720991999998,0.18056041776,0.19081057248,0.10092460032,0.13955979888,0.08752055184,0.10013612688,0.19159904592,0.11511712224,0.05834703456,0.06544329552,0.12536727696,0.06938566272,0.043366039200000005,0.040212145440000006,0.019711836,0.02523115008,0.01103862816,0.00078847344,0.32012021664
Henan,0.5430914244,0.9090430415999998,,0.374190678,0.05973319079999999,0.0315830664,0.051494129999999985,0.0398221272,1.2461579459999998,0.39684809520000003,0.0260903592,0.6529455684000001,0.3954749183999999,0.2066631084,0.2080362852,0.33917466960000003,0.06934542839999999,0.1208395584,0.20391675480000002,0.109854144,0.1256456772,0.10298825999999997,0.11466026279999998,0.0768979008,0.0844503732,0.0508075416,0.013731767999999998,0.0398221272,0.012358591199999998,0.0027463536,0.2396193516
Hubei,0.14202279827999995,0.17260186968,1.3094637908399998,0.08290326023999997,0.039413025359999986,0.02106558252,0.019026977759999997,0.032617676160000005,0.4593656059199999,0.25074838548,0.02106558252,,0.23036233788000002,0.28268652671999994,1.11647587356,0.51440793444,0.0543627936,0.5415893312399999,0.19434698712,0.1664860554,0.061837677720000005,0.55450049472,0.07746698087999998,0.0815441904,0.12503442528,0.09581442372,0.00747488412,0.01562930316,0.00543627936,0.00067953492,0.09581442372
Hunan,0.07972675775999999,0.08148543623999999,0.31187231712,0.039277152719999986,0.02462149872,0.012896975520000001,0.010552070879999998,0.017586784799999998,0.14890144463999996,0.117245232,0.016414332480000002,1.0786561344,0.07445072231999998,0.18290256192,,1.1695211891999997,0.0263801772,0.6899881903199999,0.15007389695999998,0.14948767079999994,0.07855430543999999,0.2286282024,0.0498292236,0.09145128096,0.47660186808,0.42442773984,0.004689809279999999,0.00996584472,0.0035173569599999998,0.0011724523199999998,0.09262373328
Guangdong,0.22149080963999995,0.33432575039999995,2.15640109008,0.14626751579999994,0.13790937203999998,0.0417907188,0.0417907188,0.11283494076,0.7522329383999999,0.35940018167999993,0.08358143759999999,3.44355522912,0.56835377568,2.36535468408,9.219032567279998,,0.15044658767999994,4.659665146199999,0.38029554108,1.4919286611599996,0.4596979068,1.18267734204,0.17134194707999995,0.65611428516,9.950370146279997,1.2913332109199998,0.016716287519999998,0.033432575039999995,0.008358143759999999,,0.208953594
Guangxi,0.0746838792,0.0729470448,0.1480651326,0.026052516,0.0256183074,0.011289423600000001,0.0099867978,0.0156315096,0.0811970082,0.07121021039999999,0.014328883799999999,0.1719466056,0.047762946000000014,0.2014727904,0.8419304754000001,1.2882969162000002,0.019539387,0.1810649862,0.08032859100000002,0.1293941628,0.0594865782,0.1011706038,0.028657767599999998,0.1979991216,,0.373419396,0.004342085999999999,0.006078920400000001,0.0017368344000000002,0.0004342086,0.0416840256
Hainan,0.04836591,0.040527297,0.07471699200000001,0.023182281000000002,0.02501685,0.010840635,0.016844678999999998,0.025183629000000003,0.039526623,0.04903302599999999,0.016177563000000002,0.06754549500000001,0.03569070600000001,0.106405002,0.105904665,0.438128433,0.013509099000000005,0.060874335,0.048699467999999996,0.052868943,,0.051201153,0.035523927000000004,0.020347038,0.12975406200000006,0.033022242,0.004002696,0.011174193,0.0016677900000000002,,0.07588444500000001
Chongqing,0.0746216064,0.07710899328,0.15753450239999994,0.05057686655999999,0.02238648192,0.01160780544,0.013266063359999998,0.014924321279999996,0.0746216064,0.0994954752,0.01160780544,0.50659779456,0.16085101823999998,4.6621921420799985,0.26283388031999994,0.23381436672,0.06964683263999999,0.08871679872000002,0.09037505664,0.0870585408,0.11110328064000001,,0.048089479679999984,0.27692907263999994,0.16250927615999994,0.7926472857600001,0.010778676479999996,0.0248738688,0.0082912896,0.00912041856,0.05472251135999999
Sichuan,0.14458711896,0.13209193584,0.29809936872,0.10710156960000002,0.049980732480000005,0.02945293164,0.02409785316,0.03302298396,0.12316680504000001,0.15261973668,0.02409785316,0.33558491808,0.4855271155200001,,0.21241811304,0.35075764044,0.27043146323999995,0.12941439659999998,0.13566198816,0.11959675272,0.12673685735999998,3.2407149934799997,0.07407858564,1.1209964284799998,0.1918903122,0.7095478986,0.02142031392,0.06783099408,0.03748554936,0.042840627839999985,0.10531654344000001
Guizhou,0.0375567192,0.0423716832,0.101114244,0.0158893812,0.012518906399999998,0.004814964000000001,0.006740949600000001,0.0077039424,0.0563350788,0.06500201400000001,0.007222445999999999,0.13626348119999998,0.04766814359999999,0.9422884548,0.6509831327999999,0.26337853079999995,0.014444892,0.1145961432,0.10544771160000001,0.1165221288,0.0712614672,0.7988025275999999,0.02407482,0.7790611752,0.3428254368,,0.0019259856,0.0033704748000000003,0.0009629928,0.0004814964,0.0322602588
Yunnan,0.05398812,0.05398812,0.11359100448,0.02893763232,0.01986762816,0.00993381408,0.01036571904,0.01209333888,0.05657954976,0.07169622335999999,0.00950190912,0.1230929136,0.059602884479999986,1.32724394208,0.22804581888,0.1490072112,0.021595248,0.10149766560000001,0.10711243008,0.09156385152,0.015548578559999996,0.33602205888000003,0.02980144224,,0.248345352,0.9648756806399998,0.0043190496,0.00604666944,0.00302333472,0.008638099199999999,0.04275859104
Tibet,0.00326222316,0.0046603188,0.01167821064,0.0028784322000000003,0.0015351638400000005,0.00063051372,0.00038379096000000013,0.0006579273599999999,0.003070327680000001,0.00378308232,0.0007675819200000003,0.00413945964,0.015351638400000001,0.1051313094,0.00457807788,0.00224791848,0.01897023888,0.0015351638400000005,0.0018093002399999997,0.00167223204,0.00035637732000000003,0.019162134360000003,0.00202860936,0.01230872436,0.0006579273599999999,0.0024124003200000003,0.00106913196,0.0010965456,0.044273028599999986,,0.00167223204
Shaanxi,0.2096489628,0.21366962784,0.8213644296000001,0.6530708786399999,0.046524838320000005,0.27972341064,0.02354960952,0.02699589384,0.1751861196,0.18207868824,0.021252086639999997,0.28029779136,,0.59276090304,0.09707034168,0.12981004272,0.9597901831200001,0.06777692496,0.09362405735999997,0.08500834655999999,0.053991787679999986,0.13325632703999998,0.05111988408,0.06318187920000001,0.042504173279999995,0.04078103112,0.1895456376,0.0488223612,0.04078103112,0.00459504576,0.100516626
Gansu,0.044837193600000005,0.0439030854,0.11489530860000002,0.030825570600000005,0.00971472528,0.06706896876,0.008406973800000002,0.003923254439999999,0.02746278108,0.049694556240000014,0.00298914624,0.03400153848,0.5003083519200001,0.18327202884,0.01924262892,0.03979300932,,0.014011623,0.033067430280000004,0.02223177516,0.02391316992,0.03792479292,0.02185813188,0.015693017759999997,0.01139612004,0.009527903640000002,0.20214101448,0.0803333052,0.16869994092,0.0031759678800000004,0.040353474240000006
Qinghai,0.01741290696,0.02020855716,0.05207896943999999,0.01373862384,0.00247614732,0.00551142468,0.0013578872400000002,0.0017572658399999997,0.01182160656,0.017333031239999998,0.0007188814799999999,0.01341912096,0.08602615043999999,0.08794316771999999,0.010224092159999998,0.0151763868,0.32373629316,0.00295540164,0.00990458928,0.007348566239999998,0.00646993332,0.01629464688,0.0035145316799999994,0.006869311919999999,0.00407366172,0.00207676872,0.0131794938,0.009345459239999998,,0.02460172176,0.0095850864
Ningxia,0.03926631816,0.0344025144,0.05468813496000001,0.025979829840000003,0.0059314680000000005,0.14425330175999998,0.0035588808000000006,0.00403339824,0.01826892144,0.02443764816,0.0023725872000000003,0.01435415256,0.23488613280000006,0.030487745519999998,0.0083040552,0.01257471216,0.42338818584,0.005456950560000001,0.013167858960000002,0.007473649680000001,0.009253090080000002,0.008422684560000001,0.0083040552,0.007117761600000001,0.00498243312,0.0017794404000000003,,0.0094903488,0.00972760752,0.00011862936000000003,0.017319886560000004
Xinjiang,0.044982261360000005,0.06071810544,0.17404797239999995,0.027815886,0.01176214608,0.01843795872,0.00588107304,0.00826529184,0.03671696952,0.058492834560000005,0.00588107304,0.03608117784,0.12032357544,0.19455225408,0.027656938080000002,0.034968542400000004,0.48129430176,0.00969582312,0.02797483392,0.021457969200000003,0.01955059416,0.04545910512,0.01621268784,0.011126354399999998,0.00683476056,0.0071526564,0.02129902128,,0.020663229600000003,0.00031789584,0.03115379232
Taiwan,0.0001614816,0.0006459264,0.00029066688,6.459264e-05,0.00048444480000000005,3.229632e-05,0.00058133376,6.459264e-05,0.0008397043199999998,0.0037544472000000007,0.0004198521599999999,0.00100118592,0.0004198521599999999,0.00103348224,0.00103348224,0.00858274704,6.459264e-05,0.00061363008,0.00207100152,0.006673227120000001,0.00029066688,0.0009365932800000001,0.00421063272,0.00029066688,0.00048444480000000005,0.00012918528,0.00025837056,,3.229632e-05,,0.000807408
Hong Kong,0.0024538140000000003,0.0038972340000000007,0.002237301,0.0005051970000000001,0.0012269070000000002,0.000216513,0.0014434200000000002,0.000433026,0.002237301,0.006423219000000001,0.00028868400000000004,0.003825063000000001,0.0013712490000000002,0.004907628000000001,0.009165717,0.5682022830000001,0.000360855,0.004474602,0.009670914,0.037745433000000016,0.0038972340000000007,0.0031755240000000003,0.012629925000000002,0.0010825650000000002,0.008083152000000001,0.001876446,0.00028868400000000004,0.000216513,,,0.010031769
Macau,0.00197316,0.002311416,0.0021986640000000003,0.002029536,0.001634904,0.0006201360000000001,0.001522152,0.000451008,0.002367792,0.00958392,0.000451008,0.0037208159999999996,0.002029536,0.003213432,0.006144984,0.4566456,0.000169128,0.005186592,0.009132912000000002,0.01099332,0.002931552,0.00197316,0.011162448,0.0007892640000000001,0.005863104,0.001014768,0.000225504,,,,0.0066523680000000005
