,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Heilongjiang,Hainan,Hubei,Anhui,Shanghai,Jilin,Hunan,Yunnan,Fujian,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.0756468882,0.17471990952,0.016593510960000002,0.26744835312,0.24353417555999998,0.03123484416,0.04197182183999999,1.0224531018,0.013665244320000002,0.109809999,,0.058077288359999986,0.02391417756,0.03269897748,0.14299702092000002,0.5715000392399999,0.74866017096,0.01903373316,0.13616439875999997,0.07759906596,0.25134288660000004,0.06881426603999999,0.3674974633200001,0.021473955359999998,0.04782835512,0.17325577620000002,0.0097608888,0.006832622160000001,0.008784799920000001,0.00097608888,0.10541759903999999
Anhui,0.05471906076000002,0.15020918640000006,0.013947995880000005,0.4023460350000001,0.10192766220000002,0.019670250600000005,0.01466327772,1.4867133044400005,0.00858338208,0.030041837280000008,0.5114265156000001,0.030041837280000008,0.00929866392,0.017882046000000002,0.11802150360000002,,0.2453416711200001,0.007152818400000002,0.03862521936,0.02074317336,0.04792388328000001,0.02002789152000001,0.11015340336,0.00929866392,0.013947995880000005,0.014305636800000004,0.0032187682800000005,0.0032187682800000005,0.00214584552,0.0007152818400000001,0.06401772468000001
Fujian,0.024712127999999996,0.048435770880000006,0.0065899007999999995,0.057991127040000014,0.34679352960000004,0.018286974719999998,0.01944020736,0.08978739840000001,0.00856687104,0.05766163200000001,0.23179976064,0.025865360640000005,0.0115323264,0.02092293504,0.054366681600000015,0.046623548160000014,0.0584853696,0.009555356159999999,0.06062708736000001,0.038715667200000005,,0.0420106176,0.19506106368000006,0.011861821440000002,0.03673869696,0.05535516672,0.003953940479999999,0.0024712128,0.0019769702399999997,0.00065899008,0.05568466176
Jiangxi,0.022165585200000004,0.035263431000000005,0.00483612768,0.04574170764,0.4745450286,0.006045159600000001,0.009067739400000002,0.10377523980000003,0.0028210744800000005,0.025792680959999998,0.3266401237200001,0.018135478800000004,0.0050376330000000006,0.015112898999999999,0.14830791552,0.1017601866,0.07032535667999999,0.00483612768,0.26417347452,0.02297160648,0.17772769223999998,0.018941500080000003,,0.0040301064,0.03647246292,0.02498665968,0.00181354788,0.0014105372400000002,0.0010075266,0.00040301063999999997,0.037883000160000006
Shandong,0.7126627438800001,,0.11702937347999999,0.57591874476,0.13548561875999998,0.10612341036,0.13087155744,0.7638368785199999,0.0503352144,0.07718066207999999,0.19966301712,0.0964758276,0.07592228172000001,0.03523465008,0.08766716508,0.1866597534,0.09689528772,0.05159359476,0.052851975120000005,0.04530169296,0.052851975120000005,0.04026817152,0.046140613200000014,0.025587067319999997,0.039009791160000015,0.0251676072,0.013842183959999999,0.01216434348,0.007550282159999999,0.00167784048,0.32424267276
Henan,0.3021427332,0.52109811648,0.03884692284,,0.24053700708,0.2589794856,0.033353418600000004,0.33117982703999993,0.024720769080000003,0.07769384568,0.25270119504,0.22562606699999999,0.014518546919999998,0.04434042708,0.3982790574,0.4002410232,0.09456675156,0.013341367440000002,0.0843645294,0.0412012818,0.0627829056,0.039239316,0.05375786292,0.0313914528,0.03413820492,0.030606666480000006,0.0235435896,0.013341367440000002,0.011379401640000002,0.0039239316,0.21503145168
Hubei,0.042212437199999994,0.060454998,0.0091212804,0.2933658324,0.28721427120000004,0.0188789292,0.0140001048,0.114546312,0.006151561199999999,0.0627883488,0.11942513639999998,0.07021264679999999,0.0074242979999999984,0.0271517184,,0.105000786,0.0470912616,0.005939438399999999,0.3152144807999999,0.0271517184,0.0462427704,0.1228191012,0.1525162932,0.011030385600000001,0.038182104,0.0282123324,0.0048788244,0.0033939648,0.0033939648,0.0016969824,0.0706368924
Hunan,0.03212796312,0.04582184904,0.00684694296,0.06794274168,0.88114889016,0.01343054196,0.01343054196,0.07557971651999999,0.0060569110800000004,0.048981976560000015,0.1106044632,0.027124427880000003,0.010797102359999998,0.03660481044,0.32206966308,0.039501594,0.0368681544,0.007373630880000002,,0.0579356712,0.05029869636,0.06451927019999999,0.26439733584,0.0076369748400000005,0.17407035756000006,0.15431956055999999,0.0052668792,0.0023700956399999996,0.0039501594,0.0007900318799999999,0.06083245476
Guangdong,0.0731013984,0.10721538432,0.01949370624,0.22905104832,,0.03776905584,0.04873426559999999,0.19310952744,0.01888452792,0.23209693992,0.21808583856,0.09807770952,0.0426424824,0.16021389816,0.29666984184,0.09320428296,0.10843374095999998,0.02863138104,0.97712202528,0.16874239464000002,0.36794370528,0.1431569052,0.50744554056,0.0213212412,1.30242324816,0.21991337351999998,0.01279274472,0.00791931816,0.00548260488,0.0030458915999999996,0.17422499952
Guangxi,0.02082502224,0.03176341776,0.00441742896,0.0347083704,1.11613705056,0.00988662672,0.01241087184,0.03786367680000001,0.002944952640000001,0.055112685120000005,0.04165004448,0.01514547072,0.009465919200000002,0.03828438432,0.035760139200000006,0.01598688576,0.01914219216,0.005258844,0.20677774608,0.10033874352,0.04017756816,0.032604832800000004,0.03239447903999999,0.00610025904,,0.13399534512000005,0.002944952640000001,0.0021035376,0.00126212256,0.00063106128,0.032604832800000004
Hainan,0.03189764124,0.03157946028,0.00843179544,0.03030673644,0.15527230847999998,0.0190908576,0.0242612982,0.02911355784,0.009704519279999999,0.050113501200000014,0.027045381600000005,0.019568129040000003,0.021874941,,0.020045400480000003,0.01455677892,0.028159014960000006,0.01209087648,0.0342044532,0.01742040756,0.0186931314,0.03054537216,0.013602236040000002,0.00763634304,0.03539763180000001,0.0171022266,0.0033409000800000005,0.0047727144,0.0031818096000000005,0.00023863572,0.07453388988
Chongqing,0.0268111782,0.04010019696000001,0.006994220400000001,0.04639499531999999,0.14617920635999998,0.016319847599999996,0.011890174679999999,0.05735260728,0.008626205159999999,1.03934115144,0.06481310904,0.052456653,0.006994220400000001,0.03543738336,0.14851061316,0.02354720868,0.030774569760000002,0.00536223564,0.075770721,0.07833526848,0.03543738336,,0.020050098480000004,0.013289018759999998,0.03333911724,0.23104241388,0.00909248652,0.00489595428,0.004196532239999999,0.006061657679999999,0.047560698719999996
Sichuan,0.0466891938,0.05956897140000001,0.011591799840000002,0.08049861000000001,0.23795389116000001,0.0305894718,0.024149583,0.08565052104000001,0.01320177204,,0.08951445431999999,0.17130104208000002,0.01191379428,0.0611789436,0.06568686576,0.029945482920000006,0.04797717156,0.01030382208,0.055061049240000014,0.42535465524000005,0.05184110484,0.99753877512,0.02350559412,0.07985462112000001,0.05667102144,0.24761372436000004,0.02479357188,0.00933783876,0.02833551072,0.043791243840000015,0.09305639316
Guizhou,0.011639829600000002,0.0170254224,0.0022584744,0.0255381336,0.203262696,0.0057330504,0.0057330504,0.0446483016,0.0020847456,0.253644048,0.11483473680000003,0.015635592000000004,0.0019110168,0.021889828800000004,0.028838980800000007,0.014940676800000004,0.0196313544,0.0022584744,0.172860156,0.29516523120000004,0.0441271152,0.23540252400000006,0.025364404800000004,0.003822033600000001,0.13568219280000002,,0.0010423728,0.0012161016000000002,0.0015635592,0.0006949152000000001,0.025364404800000004
Yunnan,0.02265711588,0.02758927716,0.00554868144,0.031750788239999994,0.1525887396,0.010634972759999998,0.012484533240000002,0.043464671280000006,0.00493216128,0.38501683992,0.06257679624,0.0277434072,0.00585694152,0.014488223759999997,0.02943883764,0.01633778424,0.0377618598,0.004315641120000001,0.054716164199999986,,0.0362205594,0.08215131131999999,0.017262564480000003,0.007244111879999998,0.1024964766,0.28683600444,0.0032367308399999994,0.00184956048,0.00200369052,0.004469771159999999,0.04423532148
Tibet,0.00262037592,0.00258612264,0.0002568996,0.005309258399999999,0.0041960268,0.0015413976,0.00109610496,0.0024833628,0.00037678608,0.07583676192000001,0.00116461152,0.007638481440000001,0.00029115288,0.00047954592000000007,0.00200381688,0.0009933451199999998,0.0007706988000000001,0.0003425328,0.00215795664,0.007415835119999999,0.0008905852799999998,0.00989919792,0.00044529264,0.006867782639999999,0.0009933451199999998,0.0014215111199999998,0.0016784107199999995,0.00029115288,0.02574133992,,0.0032369349599999995
Shaanxi,0.07247766600000001,0.07638364800000001,0.011500947,0.22350897000000008,0.09417756600000002,0.291863655,0.020614905000000003,0.09070558199999999,0.18553414500000004,0.18944012700000004,0.05142876300000001,,0.010415952,0.023435892000000003,0.08571460500000001,0.031681854,0.024737886,0.008028963000000002,0.030596859000000007,0.029511864000000006,0.022567896,0.047522781000000014,0.016057926000000004,0.26560677600000004,0.013887936000000005,0.019312911,0.019529910000000004,0.09830054700000003,0.022350897,0.004339980000000001,0.08528060700000002
Gansu,0.01910904048,0.01910904048,0.00504564552,0.03907691424000001,0.02748266496000001,0.015781061520000004,0.004616228880000001,0.031240060560000005,0.04380049728000001,0.09393489,0.02136347784000001,0.3034902103200001,0.002683854000000001,0.00933981192,0.015673707360000004,0.009232457760000002,0.011379540960000002,0.0034353331200000013,0.008588332800000003,0.009876582720000002,0.00933981192,0.015888415680000004,0.00611918712,,0.007085374560000001,0.007300082880000002,0.04787995536000001,0.11744545104000002,0.13494417912000006,0.003972103920000001,0.027590019120000003
Qinghai,0.00566396712,0.0069656241599999995,0.0007035984000000001,0.01361462904,0.009006059520000002,0.0033420923999999998,0.0010553976000000002,0.0060509462400000005,0.003412452240000001,0.034757760960000016,0.007845122159999999,0.02944559304,0.0005628787200000001,0.00344763216,0.0044678498399999995,0.0025681341600000004,0.0024274144800000004,0.00028143936000000005,0.003271732560000001,0.0035531719200000006,0.0027088538400000003,0.007563682800000001,0.0009146779199999998,0.14715760536000005,0.0014071968000000002,0.0021107952000000004,0.0138960684,0.0082672812,,0.015338445120000004,0.00946339848
Ningxia,0.01206807984,0.01043725824,0.00195698592,0.01946113776,0.011959358400000002,0.00935004384,0.00260931456,0.014025065759999998,0.11850636960000001,0.015221001599999997,0.00989365104,0.10323100727999998,0.0021200680800000002,0.005762236319999999,0.00483810408,0.00494682552,0.00375088968,0.0007610500800000001,0.0038596111199999993,0.00429449688,0.002718036,0.006958172159999999,0.0017395430399999997,0.13791314664,0.00277239672,0.00114157512,0.005164268400000001,,0.008697715200000001,0.0003805250400000001,0.01619949456
Xinjiang,0.01713210912,0.0184860144,0.00109353888,0.051864986880000005,0.015621983999999997,0.008123431680000001,0.00536354784,0.02015235936,0.009737703359999999,0.07326710496000001,0.01265380704,0.04233557664,0.0028119571200000003,0.008331724799999999,0.008435871360000001,0.00827965152,0.00343683648,0.0017704915200000004,0.007081966080000002,0.0070298928000000005,0.005415621119999999,0.019944066240000002,0.00218707776,0.10852071552,0.0032806166399999997,0.00437415552,,0.008123431680000001,0.0216104112,0.0006769526399999999,0.02275602336
Taiwan,,0.00012948336,,,0.00029133756,,9.711252000000001e-05,0.00012948336,3.237084e-05,0.00019422504000000002,0.00012948336,,,3.237084e-05,6.474168e-05,3.237084e-05,0.00074515788,,,,0.0008746412400000001,,6.474168e-05,,9.711252000000001e-05,,,,,,
Hong Kong,3.1376160000000004e-05,3.1376160000000004e-05,3.1376160000000004e-05,9.587160000000002e-05,0.016198814159999998,,3.1376160000000004e-05,3.1376160000000004e-05,3.1376160000000004e-05,3.1376160000000004e-05,3.1376160000000004e-05,6.449544e-05,,6.449544e-05,,,0.0002266056,,3.1376160000000004e-05,,0.00019348631999999998,,,,3.1376160000000004e-05,3.1376160000000004e-05,,,,,9.587160000000002e-05
Macau,0.00095604948,0.0009327312,0.00020986452000000002,0.00100268604,0.20774255651999998,0.0006762301200000001,0.0012591871199999999,0.0015156882,9.327312e-05,0.00118923228,0.00247173768,0.0005130021599999999,0.0005130021599999999,0.0005363204399999999,0.0018654624,0.00025650107999999997,0.00258832908,0.00013990967999999998,0.0014457333600000001,0.00037309248,0.00130582368,0.00030313764,0.0008627763600000001,0.0001165914,0.0015156882,0.0004663656,,,2.331828e-05,,0.00188878068
