,Hebei,Tianjin,Shandong,Henan,Liaoning,Shanxi,Guangdong,Hunan,Inner Mongolia,Shanghai,Anhui,Shaanxi,Jiangsu,Heilongjiang,Gansu,Jilin,Sichuan,Guizhou,Fujian,Zhejiang,Chongqing,Jiangxi,Yunnan,Hainan,Hubei,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.00898938,0.004567185,0.02363337,0.020661075,0.007901955,0.005147145,0.070682625,0.025590735,0.002392335,0.248730345,0.04545436499999999,0.005002155,0.07437987,0.003552255,0.006452055,0.00666954,0.018341235,0.011671695,0.031970295,,0.01043928,0.027620595,0.01000431,0.003697245,0.01696383,0.010076805,0.000942435,0.000362475,0.001957365,,0.018921195
Anhui,0.0197048376,0.01942333992,0.061366494239999986,0.23842853496,0.01886034456,0.010696911839999998,0.17734353839999994,0.024771795840000003,0.005348455919999999,0.9807379171200001,,0.008163432719999999,0.7445613635999999,0.0028149768,0.007881935040000001,0.0028149768,0.01942333992,0.00478546056,0.04419513576,0.20098934351999995,0.010978409520000001,0.04475813112,0.007600437359999998,0.006192948960000001,0.02280131208,0.0112599072,0.00028149767999999996,0.0014074883999999998,0.0042224652,0.0005629953599999999,0.10725061607999999
Fujian,0.00755853444,0.00892453464,0.02349520344,0.0132046686,0.00937986804,0.006374667599999999,0.32164751376,0.03041627112,0.00373373388,0.14807442167999998,0.01356893532,0.00482653404,0.055186408079999985,0.0040069339200000005,0.00619253424,0.00601040088,0.02203813656,0.01329573528,,0.04689934019999999,0.014934935519999996,0.03606240528,0.02440587024,0.014752802160000003,0.00373373388,0.026045070479999998,0.0014570668799999999,0.0005464000800000001,0.0020945336399999996,9.106667999999999e-05,0.034423205039999995
Jiangxi,0.007077034800000001,0.005897529,0.01556947656,0.0094360464,0.005897529,0.0023590116,1.29321015912,0.11936598695999999,0.0016513081200000006,0.27812746764,0.04081090068,0.0023590116,0.06676002828000001,0.00094360464,0.006605232480000002,0.00094360464,0.017456685840000003,0.011795058,0.230003631,0.11818648115999998,0.011795058,,0.017692587,0.007077034800000001,0.02217470904,0.02099520324,,0.00023590116,0.00070770348,,0.03963139488
Shandong,0.2464671888,0.15861053879999998,,0.1670447772,0.07239387959999999,0.055525402800000005,0.1068336864,0.0236627244,0.0274112748,0.32565531600000003,0.055525402800000005,0.0274112748,0.3858664068,0.0196798896,0.011948504399999999,0.0182741832,0.03514266,0.0091370916,0.0302226876,0.0618510816,0.0149942016,0.01757133,0.0180398988,0.007965669600000001,0.0145256328,0.0142913484,0.0051542568000000006,0.0032799815999999997,0.0065599631999999995,0.0009371376,0.3968777736
Henan,0.107756244,0.0327163536,0.1983753504,,0.023888131200000003,0.07296266159999999,0.4434883487999999,0.048295569600000005,0.010905451200000001,0.4523165712000001,0.27003974399999997,0.0301198176,0.19110504960000002,0.0033754968,0.0140212944,0.0038948040000000004,0.041544576,0.011684412000000002,0.0501131448,0.09217702800000001,0.0173967912,0.0277829352,0.0153195624,0.0088282224,0.07400127599999999,0.0153195624,0.0023368824,0.0038948040000000004,0.0150599088,0.0015579216,0.3113246664
Hubei,0.0028507658399999996,0.00152482824,0.0029170627200000004,0.05787717624,0.0009281563200000002,0.0014253829199999998,0.03228658056,0.0946387962,0.00062982036,0.0053037504,0.01279529784,0.014552165159999996,0.00533689884,0.00059667192,0.0007624141200000001,0.0007955625599999999,0.015712360560000003,0.0010607500800000002,0.0014253829199999998,0.00324854712,0.04886080056,0.0183973842,0.00096130476,0.00023203908000000005,,0.00162427356,0.0001657422,0.00029833596,0.00019889064,,0.0035137346399999997
Hunan,0.01090517904,0.007789413600000001,0.0181752984,0.02129106384,0.005192942400000001,0.007270119360000001,4.00687435584,,0.004154353920000001,0.15474968352,0.02388753504,0.006750825120000001,0.058680249120000014,0.0020771769600000005,0.005192942400000001,0.0010385884800000005,0.038947068,0.08360637264000001,0.08672213808000001,0.07425907632,0.04777507008,0.08308707840000001,0.05971883760000001,0.025964712000000004,0.09918519983999999,0.15786544896000002,0.0005192942400000001,0.0005192942400000001,0.0025964712000000004,0.0005192942400000001,0.08879931504000001
Guangdong,0.01152118728,0.006539052239999999,0.02662328412,0.04779735803999999,0.01510209684,0.00965288664,,0.3934329764399999,0.006227668799999999,0.054492102,0.0186830064,0.01416794652,0.030671268839999995,0.01074272868,0.01447932996,0.00840735288,0.06398929692000001,0.07348649183999999,0.08251661159999997,0.02055130704,0.030826960559999988,0.07192957464,0.02895865992,0.060097003919999975,0.02600051724,0.26576576604,0.0012455337599999998,0.008095969439999998,0.004826443319999999,0.0004670751599999999,0.040324155479999985
Guangxi,0.007569313919999998,0.00200364192,0.0100182096,0.00979558272,0.00356203008,0.0022262688,1.80795289248,0.08860549824,0.0013357612799999995,0.02426632992,0.005788298879999999,0.0028941494399999995,0.016251762240000002,0.0026715225599999995,0.0013357612799999995,0.00200364192,0.033171405120000004,0.07480263167999998,0.015583881599999997,0.00979558272,0.011576597759999998,0.010463463359999998,0.03962758464,0.014693374079999997,0.0033394031999999995,,0.00022262688,0.0006678806399999999,0.0013357612799999995,,0.019368538559999995
Hainan,0.018087014880000002,0.00626636736,0.01239031728,0.01936877184,0.01172570256,0.013577129280000001,0.13282799903999998,0.017707235039999998,0.008450101440000002,0.014574051359999996,0.0036553809600000002,0.006741092159999999,0.0116307576,0.019083936959999995,0.00484219296,0.014621523840000001,0.033468098399999986,0.017707235039999998,0.00469977552,0.00887735376,0.02069800128,0.008687463840000001,0.0012342844799999998,,0.0015191193599999998,0.0125802072,0.00028483487999999993,0.00341801856,0.0017564817599999998,4.747248e-05,0.042772704479999986
Chongqing,0.01009581408,0.00527735736,0.0108988902,0.009751638600000005,0.0033270296399999996,0.004589006400000001,0.31744451772000004,0.04669314012,0.00149142708,0.06677004312000001,0.007801310880000001,0.00539208252,0.02202723072,0.0010325264400000002,0.0040153806,0.0005736258000000001,0.31698561708,0.09040342607999999,0.040039080840000005,0.015258446280000003,,0.007801310880000001,0.040842156960000014,0.00608043348,0.055297527120000016,0.024665909399999998,0.00034417548000000004,0.0029828541600000003,0.0025239535200000003,0.0030975793200000005,0.02099470428
Sichuan,0.022801953600000004,0.008614071360000001,0.02508214896,0.029642539680000003,0.01216104192,0.014694592319999998,0.70534043136,0.045603907200000016,0.005067100800000001,0.15302644416000002,0.017481497760000003,0.04383042192,0.07524644688000001,0.0020268403200000003,0.02482879392,0.0020268403200000003,,0.1406120472,0.06941928096000001,0.04079016144,0.53432577936,0.01190768688,0.30377269296000003,0.014441237280000001,0.02862911952,0.06561895536000001,0.00152013024,0.009120781440000001,0.01545465744,0.029642539680000003,0.07651322208000001
Guizhou,0.00256064328,0.0017727530399999998,0.0039394512,0.006303121920000001,0.00118183536,0.0009848628,0.27950406264000005,0.07937994168000001,0.00019697256,0.03141712332,0.002757615840000001,0.00236367072,0.01605326364,0.0003939451200000001,0.0007878902400000001,0.0005909176799999999,0.1098122022,,0.02668978188,0.01506840084,0.09366045228,0.00817436124,0.19165430088,0.00256064328,0.0026591295600000005,0.08046329076,9.848628e-05,9.848628e-05,0.00029545884,,0.02147000904
Yunnan,0.006466761360000001,0.00312439032,0.006975383039999999,0.0063941011200000005,0.00297906984,0.0034150312799999995,0.1028142396,0.02063550816,0.0014532048,0.02499512256,0.004432274639999999,0.00414163368,0.014023426319999996,0.0021798072,0.0028337493600000003,0.0012352240800000002,0.2408686956,0.16835377608000002,0.01024509384,0.008501248079999999,0.017801758799999998,0.0034150312799999995,,0.0007992626400000001,0.0021798072,0.04541265,0.00058128192,0.0008719228799999999,0.0013078843199999998,0.0013078843199999998,0.01569461184
Tibet,6.28884e-05,3.14442e-05,6.28884e-05,0.00048424068,0.00016141356000000002,3.14442e-05,0.00045279648,3.14442e-05,0.00012787307999999998,6.28884e-05,0.00019285776000000003,0.00032282712000000004,0.00025784243999999997,,0.0018132822,3.14442e-05,0.009491955840000002,6.28884e-05,,,0.00090559296,3.14442e-05,0.00132694524,3.14442e-05,0.00012787307999999998,6.28884e-05,3.14442e-05,3.14442e-05,0.004599238320000001,,9.642888000000001e-05
Shaanxi,0.0169609464,0.006495681600000001,0.0219229254,0.034914288599999996,0.0052326324,0.12702666240000002,0.12630492,0.015337026000000004,0.0796623174,0.05909265900000001,0.011638096200000001,,0.0542208978,0.0010826136,0.0652274694,0.000902178,0.057829609800000015,0.0055032858,0.0127207098,0.015517461599999999,0.0172315998,0.0033380586000000003,0.008390255400000001,0.0036989298,0.0196674804,0.006315245999999999,0.029501220600000006,0.0036989298,0.013983758999999998,0.0015337026000000005,0.0760536054
Gansu,0.008589039120000001,0.008635973759999999,0.01234381032,0.00919918944,0.00333235944,0.0034262287200000005,0.03322972512,0.00567909144,0.01515988872,0.040269921119999996,0.0042241176000000005,0.06763281624,0.02384279712,0.00042241176,,0.00061015032,0.0323849016,0.00112643136,0.0046934640000000005,0.00783808488,0.00835436592,0.0017365816800000002,0.0034731633600000003,0.00168964704,0.0013141699200000002,0.00168964704,0.05552367912,0.01347024168,0.0586683,0.00197125488,0.03806399304
Qinghai,0.0006094310400000001,0.0006094310400000001,0.0016473682800000001,0.0026567384400000005,0.00032376024000000005,0.0001904472,0.0048944930400000005,0.00093319128,0.00158071176,0.0032090353200000003,0.00067608756,0.0033709154400000003,0.00245676888,0.00025710372,0.043088679000000005,0.00032376024000000005,0.008389199160000001,0.00035232732,0.0004189838400000001,0.0006475204800000001,0.001904472,9.52236e-05,0.00155214468,0.00048564036,5.713416e-05,0.00044755092,0.00139026456,0.0024282018,,0.005218253280000001,0.0048944930400000005
Ningxia,0.0016193196,0.0013137876,0.0028108944,0.0028108944,0.0008096598000000001,0.0023831496000000004,0.006156469800000001,0.0013137876,0.0332113284,0.006217576200000001,0.0006721704000000001,0.0215705592,0.004017745800000001,0.00021387240000000004,0.04361469300000001,0.0005041278,0.0034983414000000004,0.0003208086,0.0011915748000000002,0.001222128,0.0011915748000000002,6.110640000000001e-05,0.0016498728000000002,0.0004430214,0.00012221280000000002,0.00012221280000000002,,0.0006721704000000001,0.0030094902,,0.009777024
Xinjiang,0.0012632598,0.00051296004,0.0016460657999999998,0.0031390091999999995,0.00074264364,0.00045171108,0.013413522240000001,0.0007732681200000001,0.00226621152,0.00427211496,0.0005818651199999999,0.0032691632399999998,0.0017762198399999996,0.000382806,0.013413522240000001,0.000382806,0.009363434759999999,0.00025265196,0.00090342216,0.0008727976799999997,0.00268729812,0.00029093256,0.00016077852,0.00022202748,0.00035218151999999995,0.0006124896,0.0005435845199999999,,0.00352947132,0.00025265196,0.008130799440000001
Taiwan,0.000194238,0.000194238,0.0004855950000000001,0.00025639416,0.000194238,,0.01192232844,0.0010333461599999999,,0.0060563408400000004,0.0007109110800000001,,0.006184537920000001,,,3.107808e-05,0.000874071,6.215616e-05,0.005407585920000001,0.0012275841599999999,0.0014878630800000002,6.215616e-05,,3.107808e-05,3.107808e-05,9.7119e-05,,3.107808e-05,,,0.0010333461599999999
Hong Kong,0.00015574679999999998,6.09444e-05,0.0003521232,0.0001286604,0.0010021968,9.480239999999999e-05,0.050021809199999996,0.0003521232,0.00015574679999999998,0.0033045408,6.09444e-05,6.09444e-05,0.001422036,6.09444e-05,,2.70864e-05,0.000711018,2.70864e-05,0.0020043936,0.0007448760000000001,0.0004198392,0.0002234628,0.00031826519999999994,9.480239999999999e-05,2.70864e-05,0.0004469256,,,,,0.002133054
Macau,6.414876e-05,,2.960712e-05,0.00012829752,6.414876e-05,6.414876e-05,0.04581208368,0.00029113668,,0.00044904132,,,0.00012829752,,2.960712e-05,0.00012829752,6.414876e-05,2.960712e-05,0.00038489256,0.00019244628,6.414876e-05,6.414876e-05,2.960712e-05,,,0.0002220534,,,2.960712e-05,,0.00019244628
