,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Zhejiang,Shaanxi,Anhui,Heilongjiang,Hubei,Hainan,Jilin,Sichuan,Hunan,Yunnan,Fujian,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.02183220864,0.0051548270400000006,0.026532198000000003,0.038661202799999995,0.13159970208000002,0.013038680160000002,0.0401773284,0.0034870888799999997,0.011977392240000002,0.031383799920000004,0.044877317760000014,0.028048323600000005,0.01758705696,0.007732240560000002,0.029261224080000002,0.016374156480000002,0.0039419265600000005,0.36553788216,0.055035359279999994,,0.025774135200000003,0.02152898352,0.06989339016000001,0.00864191592,0.11098039392,0.32778635472,0.0034870888799999997,0.00242580096,0.0034870888799999997,0.0045483768,0.042603129360000005
Tibet,0.0018450763199999998,0.00029056320000000004,0.00190318896,0.005724095039999999,0.00339958944,0.00095885856,0.0022228084800000004,0.00040678848000000014,0.00071187984,0.00095885856,0.0005375419200000001,0.01143366192,0.00103149936,0.00031961952,0.0030654417600000003,0.00029056320000000004,0.00047942928,0.049497441120000006,0.00197582976,0.00751105872,0.00103149936,0.00029056320000000004,0.00916726896,0.00685729152,0.0005375419200000001,0.0013511188800000005,0.0018450763199999998,0.00047942928,0.02689162416000001,,0.0020339424
Shaanxi,0.07252077096,0.015231635280000001,0.07684018992000001,0.244388178,0.0897984468,0.28371762432000003,0.08320564944,0.19801125864,0.0181870272,0.042739513919999986,0.0488776356,,0.0409208112,0.0102302028,0.09639124416000001,0.0261438516,0.007729486559999999,0.16072785288,0.03137262192,0.03319132464,0.02023306776,0.01864170288,0.04501289231999999,0.29872192176,0.01886904072,0.01955105424,0.02841723,0.10639410911999997,0.030690608400000007,0.006365459520000001,0.09639124416000001
Gansu,0.01527064812,0.0051576361200000006,0.01901246256,0.03408085044,0.0247768794,0.012337874639999998,0.02740626252,0.04075543836,0.00495537588,0.0136525662,0.01638307944,0.31036833828,0.0091017108,0.00171921204,0.012944655359999998,0.005764416839999999,0.0023259927600000002,0.05673399732000001,0.007382498759999998,0.008292669839999997,0.009000580679999998,0.005056506,0.013146915600000001,,0.005865546959999999,0.004854245759999999,0.04035091788,0.12853638252000002,0.14441381135999998,0.0032361638399999995,0.0267994818
Qinghai,0.0037054195200000007,0.0009101030400000002,0.0057856550400000005,0.013489027200000002,0.008093416320000001,0.0030228422400000003,0.007248320640000002,0.0030228422400000003,0.0006500736,0.00230776128,0.00445300416,0.025937936640000003,0.00273030912,0.0003250368,0.0052005888,0.0024052723200000004,0.00029253312,0.023955212160000003,0.0022102502400000003,0.0032178643199999996,0.00159268032,0.0012676435200000002,0.00250278336,0.15026451264,0.00156017664,0.0007150809600000001,0.016056817920000004,0.00806091264,,0.01644686208,0.0069882912
Ningxia,0.01099770048,0.00274942512,0.00919999944,0.0155977002,0.009252873,0.0084597696,0.00983448216,0.13302987696,0.0017448274799999998,0.00465287328,0.0077724133199999984,0.10416091319999997,0.0049701146399999995,0.00137471256,0.0049701146399999995,0.00417701124,0.00259080444,0.00571034448,0.0029609193599999997,0.0028022986800000003,0.0024850573199999997,0.0020091952800000003,0.005287356,0.14048504892000002,0.0021149424,0.0018505746,0.00534022956,,0.00824827536,0.0005287356,0.01258390728
Xinjiang,0.01457323488,0.0027142128000000004,0.01854016128,0.04409551872,0.016285276799999998,0.006639382080000001,0.015116077440000004,0.007265738879999999,0.00471855456,0.00547018272,0.00947886624,0.04075494912,0.0071404675200000016,0.0018373132800000003,0.00881075232,0.0072239817599999995,0.0028812412800000003,0.028311327360000006,0.00705695328,0.00534491136,0.005428425600000001,0.00200434176,0.012527136,0.08693832384,0.00225488448,0.0018373132800000003,,0.007349253120000001,0.022340059199999998,0.00100217088,0.02096207424
Taiwan,6.477407999999999e-05,,0.00012954815999999998,6.477407999999999e-05,0.00029148336,3.238704e-05,9.716111999999998e-05,3.238704e-05,3.238704e-05,0.00042103152,6.477407999999999e-05,,,9.716111999999998e-05,6.477407999999999e-05,,,3.238704e-05,3.238704e-05,,0.00093949632,3.238704e-05,3.238704e-05,,,,,,,,0.00012954815999999998
Hong Kong,,,3.054348e-05,,0.025917531119999997,,,,,0.00035541504000000004,3.054348e-05,3.054348e-05,,6.386364e-05,,9.71838e-05,,,,,0.0005164624800000001,,6.386364e-05,6.386364e-05,6.386364e-05,,,,,,0.00016104744
Macau,0.0019263420000000002,0.000860706,0.0015779610000000006,0.0011476080000000005,0.161792235,0.0009221850000000004,0.004098600000000001,0.0002869020000000001,0.0015779610000000006,0.0048773340000000005,0.0026845830000000004,0.0003688740000000001,0.000635283,0.0007582410000000001,0.002254230000000001,0.001352538,0.000532818,0.0006147900000000001,0.0029714850000000003,0.0009221850000000004,0.003360852,0.0009016920000000002,0.0006967620000000003,6.1479e-05,0.002131272,0.0007377480000000001,2.0493000000000005e-05,6.1479e-05,,,0.004405995
