,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Guizhou,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07830412560000001,0.03177558720000001,0.15831051480000002,0.2678228064,1.2108768408,0.0402869052,0.0522027504,0.2587440672,1.0860441768000002,0.018157478400000003,,0.12766977000000002,0.0760344408,0.17476572960000006,0.5804718876000001,0.025533954000000005,0.1537711452,0.0204271632,0.31321650240000004,0.07773670440000001,0.3892509432000001,0.07716928320000002,0.031208166000000006,0.0295059024,0.15263630279999998,0.015320372400000002,0.054472435199999995,0.010781002800000002,0.008511318000000002,0.0022696848000000004,0.14015303640000004
Anhui,0.074679651,0.0332444898,0.1898308548,0.45723218579999997,1.7672578056,0.0332444898,0.0231266016,0.1450230642,0.4832496126,0.013490517600000002,0.766068678,0.044807790600000015,0.0544438746,0.15032291039999998,,0.0091542798,0.06263454600000001,0.0072270630000000015,0.06986160899999999,0.031317273000000014,0.1402050222,0.0274628394,0.0183085596,0.016863147,0.0245720142,0.0101178882,0.0183085596,0.0052998462000000005,0.0038544335999999998,0.0019272167999999999,0.12526909200000005
Fujian,0.02649767256,0.016129018079999998,0.040514557319999984,0.06739625412,0.10810282355999998,0.019201212,0.0153609696,0.3869044218,0.1094469084,0.00940859388,0.29800281024,0.06432406019999999,0.034370169480000004,0.06490009656000001,0.05357138148,0.00902456964,0.07162052076,0.00422426664,,0.051459248160000005,0.20583699264000002,0.03571425432,0.01996926048,0.01747310292,0.06317198748,0.005952375719999999,0.0451228482,0.00422426664,0.00230414544,0.00172810908,0.0614438784
Jiangxi,0.0281203164,0.01175940504,0.034766936639999996,0.05905266444,0.13574443643999998,0.01099248732,0.008691734159999999,0.5866920558,0.13574443643999998,0.0051127848,0.4348423472400001,0.033233101200000004,0.027609037920000003,0.16207527816,0.11887224660000002,0.00562406328,0.29219565132,0.00409022784,0.23467682232,0.02454136704,,0.025052645519999996,0.01610527212,0.009203012640000001,0.03630077208,0.00281203164,0.0421804746,0.00281203164,0.0023007531600000002,0.0007669177199999999,0.05930830368
Shandong,0.8291014588799996,0.23305588271999994,,0.6589500400799998,0.9048961818,0.14901139403999994,0.14591773187999998,0.15313627691999998,0.19747876788,0.07734155399999998,0.25522712819999993,0.09177864408,0.12219965532,0.09435669587999998,0.2263529480399999,0.08559131975999998,0.07218545039999998,0.05052981527999999,0.06445129499999999,0.04073321844,0.05568591887999999,0.037123945919999984,0.02423368691999999,0.031967842319999995,0.03815516664,0.026811738719999992,0.041248828799999984,0.013405869359999996,0.012374648639999996,0.0025780517999999994,0.4119726776399999
Henan,0.427295898,0.10944363599999997,0.6293009070000001,,0.5955363810000001,0.373156227,0.051228935999999996,0.4249673099999999,0.250905357,0.048900348,0.4971535379999999,0.099547137,0.28583417699999997,0.39585996,0.5105429189999999,0.020375145,0.12865448699999998,0.015717969,0.099547137,0.058214699999999994,0.08499346199999999,0.05064678899999999,0.035510967000000004,0.05646825900000001,0.044243172000000004,0.049482495,0.047736053999999986,0.019792998,0.018046557,0.004657176,0.377813403
Hubei,0.0668175156,0.023777404199999998,0.0653126166,0.3503404872,0.18058788,0.033107778000000004,0.0198646668,0.4701304476,0.112867425,0.013845070800000001,0.203161365,0.0896919804,0.1014301926,,0.14236344539999998,0.006922535400000001,0.38013748740000003,0.007524495,0.0806625864,0.15500459700000002,0.1784810214,0.0403312932,0.0258842628,0.0186607476,0.0433410912,0.010534292999999998,0.047855788200000006,0.0066215556000000005,0.007223515199999998,0.0027088182,0.1182850614
Hunan,0.038776631039999995,0.016964776079999997,0.0450085896,0.09451803816,0.11252147400000001,0.02285051472,0.01765721592,1.23877487376,0.08274656088,0.01107903744,0.17968813847999998,0.07132130351999999,0.04812456888,0.34518126024000007,0.04950944856,0.008309278079999998,,0.00761683824,0.07963058159999999,0.08517010032,0.2752448364,0.06024226607999999,0.04466236968,0.01350257688,0.17795703887999995,0.01142525736,0.21638745,0.00796305816,0.00553951872,0.0024235394399999997,0.08447766047999998
Guangdong,0.07072458624000001,0.03346788456,0.09093161088,0.22290874056,0.22732902720000006,0.04862315304,0.0536749092,,0.20775347208,0.026521719840000003,0.27721511928000003,0.24564164328,0.10671834888000001,0.31636622952,0.11113863552000001,0.030310536960000006,0.90679023072,0.02462731128,0.40098314520000006,0.1610247276,0.4856000608800001,0.15976178855999998,0.18754644744,0.041045518800000014,0.21848845391999996,0.025890250319999995,1.1808480023999999,0.01010351232,0.014523798959999999,0.00505175616,0.1989128988
Guangxi,0.024663787200000002,0.0087746166,0.0294068232,0.037707136200000005,0.0467189046,0.0101975274,0.0109089828,1.2725565587999998,0.039130047,0.0049801878,0.061185164400000006,0.0571535838,0.02371518,0.0467189046,0.016600625999999997,0.0066402504000000005,0.203950548,0.0040315806,0.037232832600000015,0.0362842254,0.033675555600000004,0.1041096402,0.0396043506,0.0099603756,0.1539115182,0.0040315806,,0.0021343662,0.0021343662,0.0007114554,0.037707136200000005
