,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Guangdong,Inner Mongolia,Anhui,Shaanxi,Heilongjiang,Jiangsu,Gansu,Sichuan,Shanghai,Jilin,Guizhou,Jiangxi,Hubei,Zhejiang,Fujian,Hainan,Yunnan,Chongqing,Xinjiang,Ningxia,Guangxi,Qinghai,Tibet,Beijing
Zhejiang,0.008067638880000002,0.0038417328000000008,0.016391393280000003,0.021705790320000005,0.004097848320000001,0.006851090160000003,0.01869643296,0.061403695920000015,0.0016647508800000002,0.046292880240000014,0.004802166000000001,0.0030733862400000003,0.07632242496000001,0.008323754400000003,0.016327364400000002,0.2251895709600001,0.006787061280000001,0.00973238976,0.02362665672000001,0.005378425920000001,,0.026123783040000004,0.002369068560000001,0.008835985440000001,0.008067638880000002,0.0006402888000000001,0.0014086353600000006,0.005826628080000001,0.0039057616799999997,,0.01274174712
Anhui,0.022776292799999997,0.0186639066,0.044919910800000004,0.2176401312,0.0072757602,0.0211946058,0.0199292562,0.2654070786,0.006010410600000001,,0.0091737846,0.001581687,0.9626147082,0.006010410600000001,0.0170822196,1.1334369042,0.0041123862,0.0041123862,0.0465015978,0.014235183000000004,0.15120927720000002,0.0518793336,0.0041123862,0.006959422800000001,0.0085411098,0.0022143618000000005,0.0006326748,0.009490122,0.0041123862,0.0003163374,0.09616656960000002
Fujian,0.01114918992,0.007915073759999999,0.021021755040000003,0.012681139679999998,0.007234207200000001,0.01097897328,0.024000546239999997,0.31524121728000004,0.00348944112,0.016766339039999998,0.0075746404799999995,0.00306389952,0.058639632479999995,0.00646823232,0.024170762880000002,0.11302384895999999,0.0037447660800000006,0.01387265616,0.03217094496,0.00331922448,0.03540506112,,0.010383215040000001,0.022383488160000003,0.015319497600000002,0.0006808665600000001,0.00051064992,0.023745221280000003,0.00204259968,,0.02689422912
Jiangxi,0.00890067852,0.004124704680000001,0.013242472920000001,0.007381050480000002,0.0023879869199999997,0.003907614960000001,0.10138089924,1.2445753647600002,0.0010854486,0.03972741876,0.003907614960000001,0.00065126916,0.10897903944,0.00521015328,0.017584267320000003,0.23619361536000005,0.0008683588800000001,0.0065126916,,0.022794420600000004,0.0770668506,0.18257245452000004,0.0065126916,0.009334857960000002,0.01237411404,0.0004341794400000001,0.00021708972000000006,0.014762100960000003,0.00065126916,,0.032780547720000004
Shandong,0.19535966208,0.0764909568,,0.14102470656,0.027782922240000004,0.051345653760000005,0.01529819136,0.11376930816,0.01863917568,0.042729431040000015,0.02074927104,0.01740828672,0.3569577984,0.008792064,0.02584866816,0.26903715840000003,0.0140673024,0.00386850816,0.01564987392,0.005802762239999999,0.047477145600000006,0.02180431872,0.0033409843199999996,0.0077370163200000015,0.010198794240000001,0.005275238400000001,0.00422019072,0.009143746559999999,0.0061544448,0.00052752384,0.21786734592000004
Henan,0.10565625743999997,0.028491575039999995,0.17065266299999998,,0.059357447999999986,0.02196225576,0.06202853315999999,0.6508544173199999,0.00801325548,0.25998562223999994,0.04511166048,0.0026710851599999995,0.40600494432,0.012168276839999995,0.04184700084,0.5446045854,0.00415502136,0.008606829959999998,0.04481487324,0.06380925659999999,0.07360323551999999,0.059654235239999985,0.004451808599999999,0.010387553399999996,0.01662008544,0.007419680999999998,0.0017807234399999997,0.012761851319999998,0.010684340639999998,0.00059357448,0.22377757895999995
Hubei,0.002313684,0.0008441820000000001,0.00218862,0.05183902799999999,0.0008441820000000001,0.0007191179999999999,0.08851404599999999,0.03314196,0.000281394,0.014538690000000003,0.013162986000000002,0.000375192,0.005409018000000001,0.0009692460000000001,0.014069700000000001,0.004971294,0.00078165,0.0012819059999999998,0.018040482,,0.0032829300000000003,0.002157354,0.000375192,0.001000512,0.046179882,0.000375192,0.000125064,0.001844694,0.000125064,6.2532e-05,0.002282418
Hunan,0.012548131200000001,0.006274065600000001,0.0176814576,0.0188221968,0.003992587200000001,0.0051333264,,4.5618160608,0.0022814784,0.0233851536,0.007985174400000001,0.0011407392,0.1032368976,0.003992587200000001,0.0365036544,0.17111088,0.0011407392,0.06616287359999999,0.08099248319999999,0.0958220928,0.06102954720000001,0.0861258096,0.0119777616,0.0330814368,0.048481416,0.0005703696,0.0005703696,0.1614145968,0.0017111088,,0.06787398239999999
Guangdong,0.014849904959999997,0.005699963519999999,0.01979987328,0.043949718719999996,0.00884994336,0.014849904959999997,0.32039794943999994,,0.00434997216,0.0202498704,0.015899898239999998,0.010649931840000001,0.03494977632,0.018149883840000002,0.06179960448,0.04694969952,0.007499952,0.06869956031999999,0.07859949696,0.02309985216,0.0179998848,0.07574951519999999,0.04604970528,0.02444984352,0.03254979168,0.007799950079999999,0.0007499952,0.26054833248000003,0.003749976,0.00014999903999999997,0.03179979648
Guangxi,0.00975935304,0.0015409504799999995,0.008218402560000001,0.012841254,0.0025682508,0.0035955511200000006,0.08167037544,2.1539919459599997,0.0012841254,0.007191102240000001,0.00410920128,0.00205460064,0.01977553116,0.0025682508,0.03826693692,0.025682508,0.00333872604,0.06292214460000001,0.01258442892,0.00333872604,0.012070778759999998,0.014639029559999997,0.00924570288,0.0372396366,0.014895854640000001,0.00025682508000000003,0.00025682508000000003,,0.0015409504799999995,,0.014895854640000001
Hainan,0.02452630752,0.004963083839999999,0.0077096448,0.023899898880000003,0.01888862976,0.00664956864,0.017683997759999997,0.13043755295999998,0.007998756479999999,0.0038548224,0.008721535680000001,0.018840444480000003,0.0091552032,0.00611953056,0.037488147840000006,0.01749125664,0.013347322560000001,0.017780368320000003,0.006890495040000001,0.00221652288,0.0077096448,0.0025538198400000003,,0.0035657107200000007,0.02847750048,0.0028911168000000003,0.0004818528,0.012335431680000002,0.00332478432,9.637056e-05,0.033681510719999995
Chongqing,0.0100975896,0.0030292768800000004,0.007933820400000001,0.00980908704,0.0028850256,0.0043275384,0.06101829144000001,0.5035812184799999,0.0010097589600000002,0.00908783064,0.007501066559999999,0.0007212564,0.0295715124,0.0027407743199999997,0.37014878448,0.06996187079999999,0.00115401024,0.0966483576,0.00908783064,0.0555367428,0.016156143360000003,0.06433607088,0.004039035840000001,0.03375479952,,0.0027407743199999997,0.0005770051200000001,0.03779383536,0.0023080204800000003,0.0012982615199999999,0.02033943048
Sichuan,0.027828133199999997,0.009143529479999999,0.025045319880000003,0.04810291596,0.016696879919999998,0.013914066599999999,0.06798015396000001,1.5444613926,0.00437299236,0.02305759608,0.05804153496,0.0019877238,0.14192347932,0.025045319880000003,,0.23097350556,0.00238526856,0.19201411908,0.01947969324,0.0337913046,0.06082434828000001,0.14033330028,0.013516521840000002,0.30849473376000003,0.7139903889600001,0.01709442468,0.0015901790400000002,0.11807079372,0.013914066599999999,0.025840409400000004,0.06798015396000001
Guizhou,0.0020055340800000003,0.00082044576,0.00282597984,0.00665472672,0.0005469638399999999,0.0004558032,0.06909976512,0.25944318144,0.00027348192,0.0049226745600000005,0.0024613372800000003,0.00027348192,0.016044272640000003,0.0005469638399999999,0.11112482015999998,0.02753051328,0.0004558032,,0.007019369280000001,0.0015497308800000002,0.01258016832,0.019964180159999997,0.0015497308800000002,0.1718378064,0.08951974848000001,0.00018232128,0.00018232128,0.08213573664,0.00018232128,9.116064e-05,0.0177763248
Yunnan,0.00612472752,0.00128941632,0.0054800193599999995,0.008058852,0.00265942116,0.0022564785600000005,0.016520646599999998,0.14433403932,0.0008058852000000001,0.004915899719999999,0.0052382538,0.0013700048399999999,0.01829359404,0.00209530152,0.24917970384,0.030301283519999993,0.0013700048399999999,0.18116299296,0.0033041293199999994,0.00193412448,0.01273298616,0.0096706224,0.00217589004,,0.023934790440000003,0.0008864737199999999,0.00096706224,0.054880782119999985,0.0005641196400000001,0.0011282392800000002,0.01023474204
Tibet,0.00029038176,,0.00022632696,0.0008732804399999999,9.608219999999999e-05,6.40548e-05,0.00016013699999999995,0.00051670872,6.40548e-05,0.00016013699999999995,0.0005487361199999999,3.20274e-05,6.40548e-05,0.00168464124,0.00894205008,6.40548e-05,,,6.40548e-05,3.20274e-05,,,3.20274e-05,0.0010996074,0.00048468132000000007,0.00016013699999999995,9.608219999999999e-05,6.40548e-05,0.005376332879999999,,0.0001281096
Shaanxi,0.01657201032,0.00760496364,0.024063467039999998,0.04449471264,0.1169121276,0.00522131832,0.03223596528,0.21498210648,0.05777502227999999,0.0181611072,,0.0021566314800000002,0.13859194932000002,0.06254231292000001,0.056526446160000014,0.10805858784000001,0.0011350692,0.00896704668,0.00499430448,0.01997721792,0.0187286418,0.01339381656,0.00192961764,0.008399512080000001,0.018274614119999998,0.006356387520000001,0.02735516772,0.0060158667599999995,0.009534581280000001,0.0010215622800000001,0.08070342012000001
Gansu,0.010669806,0.009734823,0.011659788,0.014244740999999997,0.005444900999999999,0.0022549589999999995,0.0076448609999999985,0.04564917,0.010009818,0.004234923,0.08882338499999999,0.0007699860000000001,0.050819076,,0.036409337999999986,0.054119016,0.0006599879999999999,0.00164997,0.001979964,0.002364957,0.009129834,0.004454919000000001,0.00109998,0.0022549589999999995,0.00989982,0.018259668,0.051864057000000005,0.002364957,0.04828912199999999,0.001869966,0.040369266
Qinghai,0.0011963376000000002,0.0003166776,0.0030436236,0.0013282866,0.0010028124,0.0004486266,0.0008708634,0.0036241992,0.0007125246000000003,0.0008708634,0.0042399612000000005,0.00012315240000000002,0.0034658604,0.0365146866,0.0096498702,0.0036593856,0.0001583388,0.0002551014,6.157620000000001e-05,0.000219915,0.0006773382,0.0003166776,0.0002551014,0.0003870504,0.0004486266,0.0026565732,0.0017153370000000002,0.000483813,,0.0048909096,0.0042399612000000005
Ningxia,0.0027736408799999995,0.00148121136,0.00216373032,0.0014521679999999998,0.00235251216,0.0005808672000000001,0.00092938752,0.006665451119999999,0.02818658088,0.0007115623199999999,0.02034487368,8.713007999999998e-05,0.004240330559999999,0.042504957360000005,0.0034561598399999987,0.007740055439999998,0.00011617344,0.00031947696,0.00011617344,0.00037756367999999986,0.0017426016,0.00024686856,8.713007999999998e-05,0.0015102547199999994,0.00100199592,0.00100199592,,0.00015973848,0.00148121136,2.904336e-05,0.0111090852
Xinjiang,0.0015849432000000002,0.0027182628,0.0015508584,0.0025222752,0.0008095139999999999,0.0007072596000000001,0.0006135264,0.014707591200000002,0.0022325544,0.0011333196,0.003365874,0.00018746639999999998,0.0025904448,0.017655926399999997,0.010753754399999996,0.0032977043999999995,0.00028972080000000004,0.0004516236,0.00016190279999999998,0.0008095139999999999,0.0010310652000000001,0.0006731748000000001,0.0003238056,0.0005453568,0.0013548707999999998,,0.0011333196,0.0006135264,0.0022666392,5.96484e-05,0.0088450056
Taiwan,0.00022505688000000004,9.708336000000003e-05,0.00029125007999999996,0.0004192236,3.0890160000000015e-05,3.0890160000000015e-05,0.00071047368,0.01318568544,3.0890160000000015e-05,0.0006442804799999999,6.178032000000003e-05,0.00019416672000000006,0.0075813278400000015,,0.0008075570399999999,0.005538164399999999,,3.0890160000000015e-05,0.00035303040000000003,,0.0006442804799999999,0.00718858152,0.00015886368,0.00054719712,0.0020078604,3.0890160000000015e-05,,0.00029125007999999996,,,0.0010017237600000002
Hong Kong,0.00035022455999999993,2.8589759999999996e-05,0.00048602592,0.00025730784,2.8589759999999996e-05,0.00038596176,0.0006432696,0.050982689519999985,,0.00035022455999999993,0.00025730784,0.00019298088,0.00145807776,,0.0006432696,0.00427416912,2.8589759999999996e-05,6.432695999999999e-05,0.0002858976,9.291672e-05,0.0013222764000000002,0.00223000128,0.0005789426400000001,0.00045028872,0.0003216348,,,0.0009363146400000001,,,0.0031091363999999995
Macau,0.000157788,9.46728e-05,6.311520000000001e-05,9.46728e-05,0.00022090320000000004,6.311520000000001e-05,0.00038658059999999996,0.07043656320000001,3.1557600000000004e-05,0.0001893456,0.000157788,0.00012623040000000002,0.0005759262,9.46728e-05,0.0004181382,0.0010019538000000001,6.311520000000001e-05,0.000157788,0.0003234654,,0.00022090320000000004,0.00025246080000000003,6.311520000000001e-05,6.311520000000001e-05,3.1557600000000004e-05,,,0.0004181382,,,0.00022090320000000004
