,Hebei,Henan,Shandong,Shanxi,Tianjin,Liaoning,Anhui,Heilongjiang,Inner Mongolia,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Shanghai,Zhejiang,Gansu,Jiangxi,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.21762271296,3.6874959695999996,0.6075300736799999,0.15112688400000002,0.03929298984,0.12090150720000001,5.86976817456,0.11787896952,0.03324791448,2.1308890644,2.08857353688,1.36316449368,0.38990736072,0.08463105504000001,0.35061437088,1.86792828624,1.284578514,,0.13903673328,4.24968797808,0.7465668069600001,0.90978384168,0.06347329128,0.7405217316,0.30829884336,2.37873715416,0.021157763760000003,0.021157763760000003,0.00604507536,,0.1662395724
Anhui,0.1208368044,1.0044946663200005,0.29248703424,0.047095369920000005,0.030364120079999998,0.034701851520000014,,0.02664606456,0.013632870240000004,2.1236293778400004,0.29496573791999997,0.0991481472,0.08117754552000002,0.022308333120000003,0.1177384248,0.13942708199999998,0.4300550884800001,0.56886249456,0.02726574048,0.24043425696000004,0.10720393416,0.05824953648,0.020449305360000003,0.053911805039999997,0.03656087928,0.0588692124,0.00805578696,0.004957407360000001,0.00371805552,0.0006196759200000001,0.11402036927999999
Fujian,0.06501547944,0.6167684671199999,0.12915237132000001,0.043050790439999986,0.02020751388,0.03250773972,0.44983683072,0.031629152159999986,0.010543050719999995,0.17659609955999994,0.7520709513600001,0.7248347369999999,0.10367333208,0.02460045168,0.49640197140000003,0.7160488613999999,0.10894485744,0.37164253788,0.03602208995999999,2.0558948903999994,,0.5684461513199999,0.02284327656,0.18977491296000001,0.19504643832000002,0.7019914604399999,0.008785875600000001,0.00702870048,0.00175717512,0.0008785875599999999,0.0746799426
Jiangxi,0.05557289472,0.22730857632,0.08683264800000001,0.02354129568,0.010033994880000001,0.02199760416,0.28018001088000005,0.01659468384,0.0077184576,0.17405121888,0.43570693152,0.10149771744,0.04862628288,0.013121377920000002,0.5090322787199999,0.6151610707199999,0.1022695632,0.38630880288,0.02045391264,,0.30410722944,0.06483504384,0.0270146016,0.047468514239999995,0.08992003104,0.11075986655999999,0.0038592288,0.00308738304,0.00231553728,,0.05904620064
Shandong,1.1209481038800002,1.32006910464,,0.21260728368,0.21895376976,0.3101845071600001,0.4513938224400001,0.32922396540000004,0.09599060196,1.20345242292,0.2102273514,0.19832769000000006,0.19356782544,0.2022942438,0.13882938300000006,0.13248289692,0.1824614748,0.23957984952000005,0.07774445448,0.10630364184,0.12137654628,0.079331076,0.044425402560000014,0.079331076,0.05315182092,0.05711837472,0.029352498120000008,0.01824614748,0.01269297216,0.0007933107600000001,0.4712265914400001
Henan,0.49708547856000007,,0.7756787253599999,0.38690028432,0.06886574640000001,0.0594749628,0.8695865613600001,0.0406933956,0.03255471648,0.43385420232,0.6028883071200001,0.18468541079999998,0.38063976192000004,0.0250420896,0.29674876176000003,0.19908461232,0.140861754,0.23977800792,0.05759680607999999,0.1189499256,0.11832387336,0.08076073896000001,0.07888258224,0.06385732847999999,0.06510943296,0.051962335920000005,0.037563134399999996,0.016903410480000002,0.011894992560000001,0.004382365680000001,0.30551349312
Hubei,0.12401549712000005,0.8849500905600001,0.1480020336,0.061752572639999996,0.0178623144,0.04133849904000001,0.32203201103999995,0.029600406719999996,0.017351962560000003,0.22047199488,,0.21230636544,0.18372666240000005,0.02143477728,0.3480599548800001,0.7548103713600001,0.09237368304000003,0.17147821824,0.04286955456,0.41236428672,0.14136745968,0.395522676,0.038276388,0.06787679472000001,0.09798755328,0.09594614592,0.01377949968,0.00663457392,0.0045931665600000005,0.00153105552,0.11636021952
Hunan,0.07310664396000001,0.28806922620000003,0.07697984364,0.036311247000000005,0.012103749,0.02517579792,0.11522769047999998,0.01985014836,0.011135449079999998,0.11183864075999997,0.8366111308799999,0.1549279872,0.06245534484,0.01646109864,0.90584457516,,0.054224795520000015,0.12733143948,0.02033429832,0.5098099078799999,0.1282997394,0.18930263436,0.0556772454,0.09731414195999998,0.39022486776,0.4003920169199999,0.014040348839999998,0.005809799519999999,0.00387319968,0.00193659984,0.07891644347999999
Guangdong,0.19831140575999998,2.75093514144,0.30000956256,0.12203778815999998,0.04067926272,0.12712269599999998,0.77290599168,0.10678306463999998,0.035594354880000005,0.40170771936,3.6713034604800003,3.05602961184,0.51357569184,0.08135852544,,10.932551856,0.21865103712,0.43730207424,0.13220760384000002,6.498512219519999,1.41868928736,1.48479308928,0.35594354879999995,1.0220664758399998,12.661420521599998,2.0136235046399995,0.030509447039999995,0.015254723519999997,0.00508490784,,0.254245392
Guangxi,0.06898592448,0.15796208843999998,0.07447344119999999,0.0274375836,0.01019110248,0.0254777562,0.0823127508,0.018030412080000002,0.01097503344,0.07212164832000001,0.17403267311999998,0.2018622222,0.048603719519999984,0.01646255016,1.0873122415199998,0.6510546622799999,0.03057330744,0.07486540667999997,0.0176384466,0.16384157063999996,0.12934860839999998,0.10426281768,0.05134747788,0.19833453288,,0.34924124267999995,0.003919654799999999,0.004703585759999999,0.00274375836,,0.048211754039999985
