,Hebei,Henan,Shandong,Tianjin,Shanxi,Jiangsu,Anhui,Sichuan,Inner Mongolia,Guangdong,Heilongjiang,Shanghai,Hubei,Liaoning,Shaanxi,Zhejiang,Hunan,Jiangxi,Hainan,Jilin,Gansu,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.04646598371999999,1.2163154561999998,0.204996987,0.02095524756,0.04008829968,1.1798715474,1.2327152151599998,0.25875175247999993,0.01457756352,0.21137467104,0.04737708143999999,0.92749747896,0.4646598371999999,0.026421833879999995,0.09839855376000001,,0.44279349192,0.8965201564799999,0.02551073616,0.03097732248,0.05102147232,0.27241821828,0.26148504564,0.23050772316,0.7571222053200001,0.08017659935999999,0.009110977199999998,0.00728878176,0.004555488599999999,0.00091109772,0.03553281108
Anhui,0.0354441906,0.5889188592,0.19163232719999998,0.017527347000000002,0.0257067756,1.5003409032,,0.041676136200000005,0.009737415,0.0864682452,0.0128533878,0.29757540239999997,0.13905028619999998,0.011295401399999998,0.0440131158,0.4510370628,0.059592979800000015,0.1300918644,0.0109059048,0.0105164082,0.0159693606,0.0327177144,0.047908081799999995,0.0241487892,0.033107211000000004,0.01947483,0.0062319456,0.005452952400000001,0.0027264762000000003,0.0011684898,0.0354441906
Fujian,0.01881306,0.1853713512,0.054181612800000015,0.0095319504,0.0198164232,0.0945669816,0.08352998640000002,0.1236645144,0.005769338400000001,0.3604582296,0.012792880800000002,0.07725896639999999,0.11914938,0.0102844728,0.0353685528,0.25936938719999997,0.12968469359999998,0.3378825576000001,0.016555492800000002,0.008277746400000001,0.016304652000000003,0.1183968576,,0.0742488768,0.23654287440000002,0.062459359200000016,0.006521860799999999,0.0032609303999999997,0.0025084079999999997,0.0007525224000000001,0.01881306
Jiangxi,0.02429181252,0.12570423371999995,0.05306463899999999,0.00919787076,0.017688212999999998,0.11744973432,0.14551503227999998,0.039385754280000004,0.010141242120000001,0.41767766964,0.013678884719999998,0.08584679376,0.18725921496,0.00966955644,0.02853698364,0.30777490620000003,0.31154839164000003,,0.02287675548,0.008726185079999999,0.022169226959999996,0.03608395452,0.18466494372,0.033489683279999995,0.07452633743999999,0.040800811319999984,0.00330179976,0.00377348544,0.00330179976,0.00023584284,0.01580147028
Shandong,0.4088331144,0.8872148505600002,,0.14802578280000006,0.1362777048,0.97931978208,0.29652148872,0.12640931928000002,0.06390954432000001,0.11748078000000002,0.14849570592000005,0.13439801232,0.1198303956,0.09539439336,0.12734916552,0.18843917112000005,0.07048846800000001,0.06766892928000001,0.02678561784,0.07847716103999999,0.048402081360000015,0.052631389440000016,0.05545092816000001,0.049811850720000016,0.047932158240000015,0.03806377272000002,0.02208638664,0.019736771040000003,0.010808231760000002,0.0009398462400000002,0.12452962680000003
Henan,0.137724138,,0.5966805221999999,0.0431783784,0.26986486499999995,0.32569897499999995,0.5401019574,0.08896234859999999,0.0264281454,0.1838803356,0.0193558248,0.10571258159999998,0.3699940356,0.0201002796,0.2192419386,0.17494687799999994,0.0997569432,0.06104529359999999,0.030150419400000007,0.0137724138,0.0416894688,0.044295060599999984,0.061417521,0.031639329,0.0323837838,0.039083877,0.031639329,0.013400186399999998,0.0126557316,0.0022333643999999995,0.07853998139999999
Hubei,0.030087077400000002,0.464387499,0.0797961618,0.01334296476,0.03218009148,0.12348783072000001,0.14232495744,0.08607520403999999,0.01334296476,0.22866178824,0.011773204200000002,0.06723807731999999,,0.01203483096,0.09104611248,0.1098832392,0.39244014,0.19831308408,0.02171502108,0.009941816879999999,0.02276152812,0.17581318272,0.06749970408,0.042906788639999985,0.059912528039999996,0.055203246359999986,0.0143894718,0.00575578872,0.00601741548,0.0026162676,0.030087077400000002
Hunan,0.02136395736,0.1176369804,0.04516178328,0.0094650444,0.019470948480000003,0.07328648664,0.054897257519999985,0.05814241559999999,0.011087623439999998,0.7169095058399999,0.01027633392,0.0446209236,0.39050068895999995,0.0081128952,0.03461501952,0.09275743512,,0.2650212432,0.03001771224,0.01027633392,0.01595536056,0.09275743512,0.052192959119999986,0.05381553816,0.21553258248,0.20606753807999997,0.01054676376,0.0059494564799999995,0.00621988632,0.0035155879199999995,0.0229865364
Guangdong,0.034791126480000004,0.7296981001199998,0.12085338671999997,0.025635566880000002,0.036622238399999986,0.19318230755999996,0.14740450955999998,0.4477068644399999,0.0183111192,,0.048524465879999985,0.17120896451999998,0.7992803530799999,0.026551122839999997,0.11078227115999996,0.206000091,1.5793340309999997,0.7626581146799999,0.17853341219999996,0.03112890264,0.03753779435999999,0.33784014923999994,0.35889793631999994,0.3341779253999999,0.6244091647199999,1.55736068796,0.01556445132,0.009155559599999998,0.0064088917200000005,0.00183111192,0.059511137400000004
Guangxi,0.0211292388,0.07295147711999997,0.03825504288,0.00845169552,0.01423443456,0.03714297768,0.02624473872,0.06627908592000001,0.00533791296,0.94881402864,0.01067582592,0.02602232568,0.06316530336000001,0.00600515208,0.02424302136,0.03958952112,0.23887160496,0.050042934000000004,0.03625332552,0.00711721728,0.012455130239999999,0.049598107919999995,0.03825504288,0.144568476,0.21373893144,,0.00266895648,0.00200171736,0.00177930432,0.00044482608,0.014012021519999997
Hainan,0.014934213,0.053336475,0.028673688959999995,0.01015526484,0.018006393959999995,0.0268815834,0.01851842412,0.05598196415999999,0.013142107439999998,0.15779062763999996,0.0273082752,0.032172561719999986,0.03396466728,0.01092331008,0.02252932704,0.02875902732,0.04983760224,0.029015042400000003,,0.016043611679999997,0.00921654288,0.032172561719999986,0.01570225824,0.022358650319999996,0.033367298760000004,0.04983760224,0.006656392079999999,0.00196278228,0.0038402262,0.00034135344,0.027990982079999997
Chongqing,0.01588656564,0.05998956876,0.030350453760000003,0.00782472636,0.01968037236,0.050742164879999996,0.025845308280000003,1.0444824126,0.006876274679999999,0.10480391063999997,0.006639161760000001,0.040072083479999986,0.15910276931999998,0.00521648424,0.054535971600000004,0.05192772948,0.08773178040000001,0.02679375996,0.02703087288,0.00521648424,0.02513396952,,0.03129890544,0.08749466748,0.29781382751999996,0.038886518879999984,0.018731920680000003,0.009010290959999999,0.00569071008,0.00545359716,0.01683501732
Sichuan,0.023833883880000004,0.10023290892000002,0.05321812428,0.011753696159999999,0.03460810536,0.07280761788000001,0.033955122239999996,,0.013059662400000002,0.17663193396,0.011753696159999999,0.056156548320000006,0.07901095752000001,0.0114272046,0.18087632424000002,0.07313410944000001,0.05746251456,0.03232266444,0.047341276200000004,0.00881527212,0.09435606083999999,1.0526087894399998,0.04015846188,0.49626717119999997,0.3062490832800001,0.04342337748,0.027425291039999997,0.01077422148,0.032649156,0.035587580040000004,0.04179091968
Guizhou,0.004750371360000001,0.0322346628,0.01459042632,0.0016965612,0.00441105912,0.03019878936,0.01509939468,0.2748429144,0.0023751856800000005,0.12571518492,0.0023751856800000005,0.017813892600000002,0.036645721920000006,0.0018662173200000003,0.01934079768,0.05937964200000001,0.1857734514,0.024769793520000003,0.010349023320000001,0.0020358734399999997,0.004750371360000001,0.25160002596000003,0.029011196520000008,0.37273449564000005,,0.15659259876000006,0.0018662173200000003,0.0008482806000000001,0.0010179367199999998,0.0010179367199999998,0.008482805999999999
Yunnan,0.013969098000000001,0.05498093699999999,0.03223638,0.008059095,0.011103642,0.040116384,0.022923648,0.4742329679999999,0.005372729999999999,0.10011186899999998,0.012715460999999996,0.032057289,0.03671365499999999,0.006268184999999997,0.02865456,0.05175729900000001,0.06698003400000001,0.027400923,0.015043643999999997,0.006447275999999999,0.008238185999999998,0.125542791,0.026326376999999998,,0.429997491,0.120886425,0.004477274999999999,0.0030445470000000003,0.002686365,0.004656366,0.015222735
Tibet,0.0013517668800000005,0.008932621679999999,0.0021920544000000003,0.0005114793600000002,0.00085855464,0.0022285886399999997,0.002612198160000001,0.07765352712000001,0.0003105410400000001,0.002283390000000001,0.0004201437600000001,0.00085855464,0.003689958240000001,0.00043841088,0.00754432056,0.0014248353600000007,0.0022285886399999997,0.0008402875200000001,0.00021920544,0.00014613696000000004,0.009900779040000002,0.01165442256,0.0015161709600000006,0.011161210320000002,0.00171710928,0.00043841088,0.0014796367200000005,0.0003836095200000001,0.026469056880000005,,0.0009316231200000002
Shaanxi,0.041472314280000006,0.3073266295200001,0.08797884012,0.013424564160000005,0.31355946288000003,0.08558159652000001,0.06400640412,0.21383412912000005,0.21047798807999998,0.06376667976000001,0.014143737240000002,0.03787644888000001,0.10763623764000002,0.013904012880000002,,0.043629833520000015,0.03787644888000001,0.02565050652000001,0.016061532120000003,0.008630076960000002,0.3229087129200001,0.05249963484,0.025171057800000004,0.02565050652000001,0.022054641120000003,0.017979327000000003,0.03404085912,0.11075265432000002,0.031643615519999994,0.0071917308000000015,0.036198378360000005
Gansu,0.010401070679999999,0.06583534847999999,0.024459660719999998,0.005714874,0.015430159799999999,0.03588940872,0.013258507679999998,0.08595170495999999,0.047547751679999986,0.021145033799999997,0.00354322188,0.014287185,0.02468825568,0.00491479164,0.30871749348,0.01680172956,0.0120012354,0.0068578488,0.007200741240000001,0.004000411799999999,,0.016458837119999997,0.00948669084,0.008572310999999999,0.006972146279999999,0.0062863614,0.05394841056,0.13589970372,0.15704473751999998,0.004686196679999999,0.013029912719999998
Qinghai,0.0031731620400000013,0.025816219560000003,0.008696814480000002,0.0016845181200000007,0.004896855000000001,0.010263808080000002,0.004700980800000001,0.03333778883999999,0.00278141364,0.005131904040000001,0.0014494690800000002,0.0022721407200000003,0.007913317679999999,0.00035257356000000005,0.02875433256,0.0037999594800000006,0.00442675692,0.0014494690800000002,0.0030948123600000013,0.0010577206800000002,0.17875479492000004,0.00481850532,0.0030948123600000013,0.00238966524,0.0012535948800000002,0.0009401961599999999,0.016884356040000003,0.00955866096,,0.01512148824,0.0033690362400000005
Ningxia,0.006328238399999999,0.023827193279999995,0.01040032224,0.00242123904,0.00863942112,0.011005632,0.00616315392,0.0104553504,0.13635978048,0.0071536608,0.00297152064,0.0033567177599999986,0.007373773439999998,0.0015958166399999995,0.10185712416,0.006218182079999999,0.00352180224,0.0022011264,0.0023111827199999995,0.001375704,0.15991183295999994,0.0046773936,0.00264135168,0.00214609824,0.0022561545599999997,0.00214609824,0.00500756256,,0.009189702719999998,0.0005502815999999999,0.00533773152
Xinjiang,0.009184752,0.075109518,0.021753360000000003,0.004169394,0.01148094,0.018973764000000004,0.012568608,0.052328916,0.009486882000000002,0.012629034,0.00453195,0.009184752,0.01420011,0.0030213,0.053356158,0.01148094,0.01178307,0.0027795959999999996,0.007130268,0.001994058,0.158557824,0.019940580000000003,0.005257062,0.007130268,0.0036859859999999996,0.00211491,,0.013112442,0.028218942,0.001148094,0.016858854000000003
Taiwan,,,6.473520000000001e-05,,,9.720000000000002e-05,,,3.22704e-05,0.00016193520000000006,,0.0004860000000000001,3.22704e-05,6.473520000000001e-05,,9.720000000000002e-05,3.22704e-05,,,,,,0.0007126703999999999,,,3.22704e-05,,,,,3.22704e-05
Hong Kong,3.228984000000001e-05,,,,,6.457968000000001e-05,,,,0.013379735520000002,,0.0005826848400000001,,,3.228984000000001e-05,0.00019373903999999999,3.228984000000001e-05,,,,,,0.00019373903999999999,,,,3.228984000000001e-05,,,,9.686951999999999e-05
Macau,0.00012684276000000003,0.00025368552000000006,0.00021909203999999997,0.00038052828,0.00041512176,0.00141833268,0.00012684276000000003,0.0005419645199999999,5.765580000000001e-05,0.10296172764,0.00016143624000000006,0.0016143623999999993,0.000576558,0.00012684276000000003,0.00018449856,0.0008417746800000001,0.0008417746800000001,0.00038052828,0.00041512176,0.0003228724800000001,,0.00048430872,0.0005419645199999999,0.000288279,9.224928e-05,0.0010032109199999998,,2.306232e-05,,,0.0006803384399999999
