,Hebei,Shandong,Henan,Tianjin,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hainan,Shanghai,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.077293926,0.18241366536000006,0.3014463114,0.016489370880000003,0.25506995579999997,0.03452462028,1.01718806616,0.0412234272,0.01597407804,,0.10615032504,0.06492689784000001,0.03452462028,0.7801533597600001,0.16437841596,0.59670910872,0.025764642000000004,0.14995021644,0.02112700644,0.29835455436,0.07832451168,0.07368687612000001,0.4328459856,0.022672884960000004,0.046891648439999996,0.17416897992,0.011336442480000002,0.006183514079999999,0.006183514079999999,0.0010305856800000002,0.10511973936000002
Anhui,0.06291841536000001,0.17166629375999998,0.4151838643199999,0.01592379648,0.11030141952,0.022526346239999998,1.5096535833599998,0.01708895232,0.006990935039999999,0.5953946342399999,0.0310708224,0.0368966016,0.01825410816,0.32702040576,0.12467167487999994,,0.00932124672,0.04854816,0.007767705599999998,0.048159774719999986,0.017865722879999997,0.0213611904,0.11884589568,0.008932861439999999,0.01864249344,0.019807649280000002,0.00349546752,0.00310708224,0.00310708224,0.00116515584,0.08117252351999997
Fujian,0.028621382400000003,0.04937188464,0.06493476131999999,0.00787088016,0.38334764052000003,0.01323738936,0.09087288912000001,0.01914054948,0.00661869468,0.26904099456,0.05831606663999999,0.02432817504,0.01931943312,0.06493476131999999,0.0608204376,0.05312844108,0.010375251119999998,0.0643981104,0.007155345600000001,,0.03917551716,0.043289840879999986,0.21752250624000002,0.01001748384,0.0420376554,0.0608204376,0.006797578320000001,0.00232548732,0.0028621382399999997,0.0005366509200000001,0.06225150671999999
Jiangxi,0.02094267636,0.03648775572,0.05116921956,0.004318077599999999,0.5186011197599999,0.007988443559999999,0.10838374775999997,0.008204347439999999,0.0032385582,0.36293442228,0.02612436948,0.01986315696,0.02029496472,0.08592974424000001,0.14983729272,0.10320205464,0.005181693119999999,0.26232321420000004,0.00410217372,0.19474529976,0.02353352292,0.01748821428,,0.00496578924,0.0367036596,0.03087425484,0.00194313492,0.0010795193999999998,0.0010795193999999998,0.00043180776,0.043180776
Shandong,0.7323522336000001,,0.6114385440000001,0.1433560032,0.14610404159999998,0.123661728,0.819831456,0.13969195199999998,0.0581668128,0.2148050016,0.07557105600000001,0.1048834656,0.0421365888,0.13602790080000002,0.0957233376,0.2143469952,0.08289915839999999,0.0636628896,0.0554187744,0.054960768,0.0448846272,0.03435048,0.0558767808,0.025190352000000003,0.0325184544,0.0293124096,0.0187782624,0.0141981984,0.007786108800000002,0.0018320256,0.3911374656
Henan,0.3369912044400001,0.5831335184399999,,0.05370377760000001,0.27791704908000003,0.25017009731999995,0.4282876263600001,0.039830301719999996,0.030432140640000008,0.32490785448000004,0.08368838676000001,0.24524725104000006,0.04564821096000001,0.13067919215999999,0.3642906247200001,0.44484629111999996,0.016111133280000002,0.10651249223999999,0.012978412920000001,0.06578712756,0.040277833200000016,0.041620427640000006,0.07205256827999999,0.03938277024,0.04206795912,0.03401239248,0.029537077680000006,0.013425944400000002,0.013425944400000002,0.00537037776,0.2953707768000001
Hubei,0.046084762080000015,0.06983979408,0.30905296632,0.00926446248,0.33470840088000003,0.02423013264000001,0.14086733976000002,0.015203220480000003,0.007839160559999999,0.14609344680000005,0.06960224376000003,0.08076710880000001,0.02684318616,0.05558677488,,0.11877516000000002,0.007839160559999999,0.33280799831999996,0.006413858640000001,0.06152553288,0.031356642239999996,0.12851472312,0.16105911696000005,0.01282771728,0.04370925888,0.032306843519999996,0.0052261070400000005,0.00427590576,0.0023755032,0.0009502012800000002,0.08409281328000001
Hunan,0.03052149984,0.0454887738,0.08129284092,0.0058695192,1.0471222252799999,0.01496727396,0.08598845628000001,0.01496727396,0.00616299516,0.13705327332,0.054586528560000014,0.030228023880000003,0.036684495,0.04343444208,0.3272256954,0.04138011036,0.00939123072,,0.007630374959999998,0.0616299516,0.05898866795999999,0.07131465828000001,0.26324793611999997,0.009097754759999998,0.19252022976,0.17344429235999997,0.0064564711200000005,0.00264128364,0.0023478076800000003,0.0014673798,0.06573861504
Guangdong,0.06946094411999999,0.11416353191999999,0.2269515996,0.01925649936,,0.03851299872,0.19394045784000002,0.04951671264,0.015817838759999998,0.23589211716000005,0.23382892079999998,0.09421930044,0.17124529787999998,0.12585497795999998,0.309479454,0.09834569316,0.04057619508,1.0728621072,0.029572481160000004,0.38650545144000004,0.17605942272,0.14098508459999998,0.56256487416,0.0240706242,1.770910209,0.23245345656,0.015817838759999998,0.008252785439999999,0.006189589079999999,0.00275092848,0.1925649936
Guangxi,0.020228087880000002,0.031120135199999992,0.03534358212,0.0026674401599999994,1.2372476608799998,0.006890887079999999,0.03645501552,0.011781194040000002,0.0026674401599999994,0.042234469199999986,0.04912535627999999,0.019116654480000002,0.043790475959999985,0.02089494792,0.03645501552,0.01733836104,0.00911375388,0.19316712492,0.00489030696,0.03912245568,0.1022518728,0.03067556184,0.0466802028,0.006224027040000001,,0.13337200800000001,0.00200058012,0.0013337200799999995,0.0008891467199999999,0.0013337200799999995,0.033343002000000004
Hainan,0.030099755520000007,0.0270024192,0.03152929536,0.00929200896,0.16233219072000002,0.01858401792,0.0341501184,0.02438159616,0.008021306879999999,0.02636706816,0.050510407680000015,0.022157867520000003,,0.029702661120000005,0.02096658432,0.011118643199999998,0.020331233280000003,0.031926389759999986,0.01207166976,0.016995640319999998,0.0166779648,0.0262082304,0.015566100480000003,0.006750604800000001,0.04272735744,0.016360289280000002,0.0054004838399999994,0.0025414041600000004,0.0026208230400000003,0.00103244544,0.06893558784
