,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Guangdong,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Hainan,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.07873023096,0.03759191208,0.2234236284,0.30995595431999995,0.034045505279999985,1.6710668841599998,0.052486820639999994,0.29009607623999994,0.016313471280000002,1.3760058383999998,,0.06738172919999999,0.13547273976,0.1985987808,0.8752531982399999,0.026243410319999997,0.17093680775999998,0.01985987808,0.032626942560000004,0.35109427320000003,0.08298591911999999,0.5546580235199999,0.08298591911999999,0.02269700352,0.05035897655999999,0.14823980423999994,0.007092813599999998,0.007092813599999998,0.00567425088,0.00141856272,0.14540267879999996
Anhui,0.06902236152,0.02684202948,0.23774368968,0.60038498592,0.02574643644,2.23993997028,0.01972067472,0.12434981004,0.00986033736,0.4453585707600001,0.78499241316,0.05094507636,0.04218033204,0.205423695,,0.0082169478,0.07669151279999999,0.0082169478,0.01752948864,0.060257617199999995,0.029033215560000002,0.19227657852000002,0.02300745384,0.01205152344,0.0191728782,0.01807728516,0.00383457564,0.004930168679999999,0.00328677912,0.00109559304,0.10901150747999999
Fujian,0.02567775816,0.0174086496,0.051790732560000004,0.06767612532,0.015014960280000001,0.11772599292,0.01827908208,0.45871791696,0.00783389232,0.12055489848,0.37602683136,0.02567775816,0.06375917916000001,0.06571765224000001,0.06441200352000001,0.00718106796,0.08007978816000001,0.006528243600000001,0.017626257720000003,,0.04983225948,0.28441381284,0.041345542799999996,0.011315622240000002,0.04199836716,0.057883759920000014,0.005004986760000001,0.0017408649600000002,0.00239368932,0.0010880406,0.06375917916000001
Jiangxi,0.0264592008,0.00970170696,0.04498064136,0.0573282684,0.008819733599999999,0.14934748896,0.01117166256,0.5909221512,0.00382188456,0.12965008392000002,0.4956690283199999,0.022049334,0.03763086336,0.24224868288000004,0.18403844112,0.00558583128,0.44098668,0.0044098667999999995,0.021167360640000004,0.25959415896,0.027047183039999995,,0.02175534288,0.007937760240000001,0.04233472128000001,0.031751040960000004,0.00205793784,0.00117596448,0.00088197336,0.00058798224,0.05262441048
Shandong,0.9522624643199998,0.2489757912,,0.79616303568,0.13316008608,1.0994099543999998,0.15330194783999998,0.13819555152000002,0.05539011983999999,0.20645408304,0.24953528735999997,0.11581570512,0.08560291248,0.10798275887999996,0.26408218752,0.06993702,0.07217500464,0.049235662080000006,0.03189128112,0.05930659296,0.04420019664,0.05818760063999999,0.038045738880000006,0.02405833488,0.035248258080000004,0.031331784960000005,0.01286841168,0.012308915520000002,0.007273450079999999,0.00111899232,0.43025254704
Henan,0.4653845798400001,0.08782993296000001,0.7374292423200001,,0.43800901632,0.49104917064,0.043914966480000005,0.2800292018400001,0.029656860479999998,0.18877732344,0.33535065312,0.3821172408,0.09923641776,0.56690229456,0.61366888224,0.014258106,0.13744814184,0.01197680904,0.04904788464,0.07357182696,0.048477560400000015,0.06900923303999999,0.043344642239999995,0.044485290720000015,0.042774318000000006,0.037641399840000006,0.01596907872,0.02509426656,0.014258106,0.004562593920000001,0.30113119872000005
Hubei,0.05854284072,0.01994316552,0.07816434228000001,0.45451117548,0.024446460960000003,0.17916682572,0.023481469080000004,0.3361388382,0.007076607120000002,0.1029324672,0.17788016988000002,0.11515569767999999,0.08684926920000001,,0.20039664708,0.0064332792,0.5548703309999999,0.007076607120000002,0.030558076200000003,0.06787109556,0.18367012116,0.24896790504000002,0.03634802748,0.0128665584,0.043746298560000015,0.03473970768,0.00418163148,0.004503295440000001,0.0025733116800000003,0.0012866558400000002,0.104540787
Hunan,0.037942392600000006,0.0138294702,0.044679826799999996,0.09467868060000001,0.015602479200000003,0.0960970878,0.015602479200000003,1.0560041604,0.0070920359999999995,0.07411177619999999,0.15070576500000002,0.0368785872,0.0687927492,0.51417261,0.051771862800000006,0.0070920359999999995,,0.0070920359999999995,0.0414884106,0.0599277042,0.0932602734,0.42906817799999997,0.05602708440000001,0.008510443199999999,0.2609869248,0.21098807100000005,0.0039006198,0.0046098234,0.0028368144,0.0007092036,0.07446637800000001
Guangdong,0.07521352847999999,0.03840690816,0.12322216368,0.24564418344,0.03920705208,0.26564778144,0.05681021832,,0.01680302232,0.23684260031999999,0.2920525308,0.11442058056,0.28005037200000005,0.40967368704,0.11762115624000001,0.036006476400000015,1.38904984512,0.023204173680000002,0.18723367728,0.5248944115199999,0.16562979144,0.7185292401600001,0.16482964752,0.02560460544,1.73951288208,0.23284188071999998,0.00960172704,0.008801583120000001,0.00640115136,0.00320057568,0.23044144896
Guangxi,0.02313771804,0.0064993590000000006,0.030676974480000004,0.03613643604,0.0090991026,0.04783528223999999,0.011438871840000002,1.4324587236000002,0.0033796666799999994,0.0415958976,0.04783528223999999,0.015338487240000002,0.051994872,0.03873617964,0.019498077,0.006759333359999999,0.25269507792,0.00467953848,0.04731533352,0.041335923239999996,0.039776077080000014,0.038996154,0.11698846199999999,0.006759333359999999,,0.17704253915999998,0.0015598461600000002,0.0012998718,0.0025997436,0.0007799230800000001,0.038996154
