,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Heilongjiang,Anhui,Hubei,Jilin,Hunan,Fujian,Yunnan,Sichuan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Shandong,0.7293022725600001,,0.16191340776000002,0.5950663704000001,0.16329728304000002,0.8114122058400001,0.11347777296,0.14807465496,0.05766147000000001,0.1637585748,0.20804258375999998,0.103790646,0.046129175999999994,0.0945648108,0.20573612496,0.09410351904,0.0668873052,0.06365826288,0.06042922056,0.04981951008,0.06596472167999999,0.0438227172,0.05074209360000001,0.0253710468,0.04197755016,0.032751714960000004,0.01430004456,0.0138387528,0.00784195992,0.00092258352,0.37087857504
Henan,0.32938939331999995,0.52461387612,0.05482900368,,0.24340754664000006,0.3696804036,0.26251462368,0.03406044168,0.02866061556,0.12336525828,0.2409153192,0.22720806828,0.04942917756,0.016199478360000002,0.4307399758799999,0.3821415408,0.012876508439999998,0.09179704403999997,0.07518219444,0.04818306384,0.06729014088,0.044860093919999997,0.06355179972,0.03572192664,0.03987563904,0.03406044168,0.026583759359999997,0.014953364640000001,0.011215023479999999,0.0037383411600000003,0.25877628251999996
Hubei,0.04784877360000001,0.06774849720000001,0.012297582000000005,0.3000610008,0.2949183756,0.1281184452,0.02079409320000001,0.016993022400000002,0.007825734,0.07110238320000001,0.1249881516,0.08250559560000001,0.029961381600000007,0.007825734,0.1091130912,,0.006707772000000001,0.31705402320000003,0.051202659600000006,0.04136459400000001,0.0397994472,0.1164916404,0.14779457640000002,0.012521174400000005,0.04158818640000001,0.030408566400000007,0.006931364400000001,0.0049190328000000005,0.0029067012000000003,0.001117962,0.08787181320000001
Hunan,0.030766145759999995,0.04705410528,0.00956594448,0.07833732911999998,0.8741204942399999,0.08273249279999999,0.01318549104,0.012926951999999998,0.005429319839999999,0.05222488607999999,0.10832785776,0.029473450559999993,0.04317601967999999,0.01137571776,0.041883324480000005,0.30430045007999995,0.007497632159999998,,0.05481027648,0.0542931984,0.030249067679999988,0.05558589359999999,0.23346075311999995,0.008790327359999999,0.17037722735999994,0.13909400351999998,0.005170780799999999,0.0031024684799999987,0.0036195465600000003,0.0010341561599999998,0.06696161135999999
Guangdong,0.073677195,0.10786341348,0.0265237902,0.22162100255999995,,0.2121903216,0.03359680092,0.047742822360000006,0.014735439,0.16680516948000002,0.23399877132,0.09018088668,0.18095119092,0.04066981164,0.10255865544,0.27879450588000004,0.02829204288,0.8517083741999999,0.36013412916000004,0.17034167484,0.16267924656,0.13085069832000001,0.456798609,0.02475553752,1.237776876,0.20865381624,0.01355660388,0.0088412634,0.0064835931599999995,0.0023576702399999996,0.18979245432
Guangxi,0.02184247296,0.0331537536,0.00526559616,0.028473223680000003,1.0501939008,0.03178859904,0.00663075072,0.0117013248,0.00312035328,0.02320762752,0.04056459264,0.016966920959999996,0.04407499008,0.0087759936,0.015991810559999996,0.03646912896,0.004875552,0.165768768,0.030813488639999997,0.10063139328,0.02808317952,0.02437776,0.04114965888,0.004680529919999999,,0.13241999232,0.00273030912,0.00078008832,0.00175519872,0.00039004416,0.0282782016
Hainan,0.033722593919999995,0.03268374624,0.013664842560000001,0.0395561232,0.16565624928,0.03084578496,0.01997784,0.02245509216,0.00895007232,0.03388241664,0.03068596224,0.0223751808,,0.02253500352,0.01382466528,0.02245509216,0.0123862608,0.031485075839999994,0.01845952416,0.0183796128,0.032364100800000004,0.02301447168,0.01262599488,0.00447503616,0.034601618880000004,0.01654165152,0.004874592959999999,0.00527414976,0.00255716352,0.00055937952,0.06640634016000001
Chongqing,0.0205282512,0.03236436,0.0068427504,0.03698784,0.12205987199999999,0.045310104000000004,0.0133156224,0.007582507199999999,0.005918054399999999,0.033289056000000004,0.052522732799999985,0.045310104000000004,0.034398691200000005,0.0057331152000000005,0.0197884944,0.13759476480000002,0.0038837232,0.0671329296,0.030514967999999996,0.08137324800000001,0.6778021679999999,,0.015719832,0.0135005616,0.0316246032,0.23228363520000006,0.0088770816,0.0040686624,0.0038837232,0.0127608048,0.0430908336
Sichuan,0.027314016479999998,0.037949562719999996,0.00797665968,0.06381327744,0.16533440064000002,0.05148571248,0.02078765856,0.011360697119999996,0.00652635792,0.03939986447999999,0.0628464096,0.14454674207999998,0.04544278847999999,0.007493225759999999,0.02102937552,0.043025618880000005,0.005076056159999999,0.035290676160000006,0.035290676160000006,0.39714096528000004,,0.7157239185599998,0.01667847024,0.06187954176,0.040608449279999986,0.22068758448000003,0.01063554624,0.006042924,0.0265888656,0.02948946912,0.055353183839999986
Guizhou,0.01022527152,0.016991995319999998,0.00390966264,0.0233076042,0.169168095,0.0345854772,0.0060148656000000005,0.00360891936,0.00210520296,0.01969868484,0.08571183480000001,0.017593481879999998,0.021052029599999997,0.00210520296,0.01218010284,0.02270611764,0.00105260148,0.14555974751999998,0.03112692948,0.30916409183999993,0.18991938132,0.19443053052,0.01849571172,0.00330817608,0.127815894,,0.00180445968,0.00165408804,0.0013533447599999998,0.00030074328,0.02420983404
