,Hebei,Tianjin,Shandong,Henan,Liaoning,Shanxi,Hunan,Anhui,Inner Mongolia,Shaanxi,Guangdong,Jiangsu,Sichuan,Jilin,Zhejiang,Heilongjiang,Shanghai,Gansu,Guizhou,Fujian,Yunnan,Jiangxi,Hubei,Chongqing,Guangxi,Hainan,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Shandong,0.28330751159999995,0.11802775032,,0.1963719936,0.060957139679999994,0.06463911456,0.021069078480000003,0.06320723544,0.033342328080000004,0.04377459024,0.0654573312,0.43529125248000006,0.02331917424,0.01697799528,0.19494011448,0.01881898272,0.10964102976,0.01452334536,0.006341178960000001,0.02168274096,0.006954841440000001,0.02618293248,0.008386720559999998,0.00777305808,0.012682357920000002,0.0020455416,0.00265920408,0.00531840816,0.005932070639999999,0.00081821664,0.17100727776
Henan,0.1150081416,0.0405911088,0.2226360816,,0.0206030628,0.0900999612,0.051661411199999986,0.31704116039999997,0.012915352799999998,0.056889054000000015,0.35240462640000003,0.4880158308,0.035055957599999986,0.0033825924,0.60732909,0.0024600672,0.181429956,0.026445722400000003,0.0159904368,0.07318699919999999,0.0141453864,0.052583936399999996,0.06795935639999999,0.0113778108,0.0187580124,0.0033825924,0.0027675756,0.0055351512,0.0101477772,0.0018450504,0.16912962
Hubei,0.0040471423200000006,0.00268548696,0.00450102744,0.05469315696,0.00105906528,0.00105906528,0.09603452664,0.015507741599999996,0.0004538851199999999,0.014448676319999998,0.06721282152000001,0.010023296399999998,0.005673563999999999,0.00064300392,0.011271480479999998,0.0004917088799999999,0.00881293608,0.0010968890399999998,0.00223160184,0.0038958472799999993,0.0013238315999999995,0.01925229384,,0.043346028960000005,0.00382019976,0.00041606136,0.00022694255999999995,0.0001891188,0.00011347127999999998,3.782376e-05,0.00306372456
Hunan,0.007301171519999998,0.0038093068799999992,0.01206280512,0.02095118784,0.0031744224,0.00285698016,,0.0190465344,0.0015872112,0.004126749119999999,1.87862317632,0.07872567551999997,0.017141880959999998,0.0015872112,0.31966433568,0.0009523267199999998,0.03968028,0.0047616336,0.18379905696,0.08063032895999997,0.026030263679999995,0.15872112,0.08983615392000001,0.03714074207999999,0.12253270463999998,0.0076186137599999985,0.00031744224,0.00031744224,0.00063488448,0.00063488448,0.04475935584
Guangdong,0.01007417088,0.00267595164,0.01825943472,0.04423190652,0.01007417088,0.00503708544,0.32300310384,0.01825943472,0.00346299624,0.00975935304,,0.025342836119999997,0.041398545960000005,0.00519449436,0.051630125759999985,0.00802785492,0.01936129716,0.012435304679999998,0.10294543367999999,0.09176940036,0.02612988072,0.15284406132,0.01637052768,0.01951870608,0.31403079539999995,0.04423190652,0.007398219239999998,0.0015740892000000002,0.00362040516,0.00031481784,0.02156502204
Guangxi,0.0073126864799999995,0.0011079828,0.00642630024,0.01152302112,0.003545544960000001,0.0017727724800000004,0.08730904464,0.00509672088,0.0011079828,0.0022159656,1.74440812032,0.01263100392,0.02792116656,0.0017727724800000004,0.03833620488,0.0022159656,0.00819907272,0.00243756216,0.116338194,0.02038688352,0.05584233312,0.023489235360000003,0.00398873808,0.0077558796,,0.00975024864,0.00022159656,0.0004431931200000001,0.00022159656,,0.007091089920000002
Hainan,0.0114213888,0.0020304691199999995,0.00442755072,0.015566929919999997,0.008996106240000001,0.006006804479999999,0.010518958079999998,0.0024534835199999994,0.006768230399999999,0.0024252825600000003,0.07337889791999999,0.0032995123199999997,0.021630136319999996,0.01192900608,0.01102657536,0.017117982719999997,0.00597860352,0.005837598719999999,0.010659962879999998,0.00219967488,0.0011844403199999995,0.005386383359999999,0.00186126336,0.006599024639999999,0.010067742719999998,,0.00146644992,0.0008742297599999999,0.0013254451199999995,2.820096e-05,0.01827422208
Chongqing,0.006651982440000001,0.0020849497199999997,0.00466631604,0.008637648840000001,0.00258136632,0.0021842330399999997,0.05172660972,0.00575843256,0.0003971332800000001,0.0094319154,0.13423104864,0.02223946368,0.28871589456,0.0013899664800000005,0.07436320668000003,0.00119139984,0.01777171428,0.004467749400000001,0.17732000952,0.040209744600000014,0.03236636232,0.01380038148,0.05540009256000001,,0.01677888108,0.00119139984,0.00119139984,0.0006949832400000003,0.0010921165199999998,0.0036734828400000006,0.00903478212
Sichuan,0.012050881920000004,0.00408869208,0.01527879672,0.03744381168,0.006240635279999999,0.01011413304,0.031418370720000005,0.012266076240000002,0.0025823318400000003,0.056165717520000005,0.31504448448000005,0.07187490288000001,,0.0010759716000000002,0.18097842312000004,0.0017215545600000005,0.03787420032000001,0.02991201048,0.30363918551999997,0.057456883439999995,0.3262345891200001,0.016785156960000002,0.011190104640000002,0.48504799728,0.04519080720000001,0.00817738416,0.004303886400000001,0.0012911659200000002,0.006886218240000001,0.024747346800000004,0.030772787760000007
Guizhou,0.0027102470399999997,0.0010163426399999998,0.00457354188,0.008130741119999998,0.00033878087999999996,0.0006775617599999999,0.15465347172,0.006945008039999999,0.00033878087999999996,0.0033878088000000002,0.3948491156399999,0.02235953808,0.16396994591999994,,0.1888703406,0.00033878087999999996,0.01846355796,0.00186329484,,0.06961947084,0.29236789944,0.041331267359999986,0.004912322759999999,0.13144698144,0.15821067096,0.0027102470399999997,0.00016939043999999998,0.00016939043999999998,0.00016939043999999998,0.00016939043999999998,0.0160920918
