,Hebei,Henan,Shandong,Tianjin,Anhui,Jiangsu,Shanxi,Sichuan,Guangdong,Inner Mongolia,Shanghai,Hubei,Liaoning,Shaanxi,Zhejiang,Hainan,Hunan,Heilongjiang,Jiangxi,Gansu,Jilin,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.043151214239999985,1.13035131936,0.23785791264000003,0.017891966880000002,1.3976783539200002,1.1608729099200001,0.043151214239999985,0.38309858496,0.20944125936,0.013682092319999999,0.90617549904,0.60622193664,0.030521590560000002,0.11998142496,,0.021049372799999997,0.6209564975999999,0.03473146512,1.33979257872,0.058938243840000015,0.02420677872,0.34626218255999996,0.31679306064,0.27469431504,1.00405508256,0.10419439536,0.013682092319999999,0.005262343199999999,0.005262343199999999,0.00105246864,0.0368364024
Anhui,0.02736069192,0.56052444528,0.17784449747999995,0.013310606879999996,,1.4978130130799996,0.02181460572,0.046587124079999986,0.07505703323999999,0.007025042519999999,0.2965307421599999,0.129408678,0.010352694240000002,0.032167299959999986,0.40819194432,0.007394781599999998,0.05287268844,0.007394781599999998,0.12645076536,0.012940867799999995,0.007394781599999998,0.024772518360000002,0.04473842867999999,0.01959617124,0.02883964824,0.01589878044,0.005176347120000001,0.0036973908,0.0033276517199999998,0.0007394781599999999,0.02736069192
Fujian,0.015663196799999998,0.17647201727999995,0.052210656,0.00835370496,0.08823600863999997,0.08719179551999999,0.0208842624,0.18952468128,0.332842932,0.004698959039999999,0.06970122575999999,0.13365927936,0.008092651679999998,0.034197979680000004,0.24043007088000004,0.014880036959999997,0.14671194336,0.008092651679999998,0.3889693871999999,0.02375584848,0.006526331999999999,0.14331825071999998,,0.07596650447999999,0.2388637512,0.06500226672000001,0.007831598399999999,0.00365474592,0.00208842624,0.0013052664,0.016446356639999996
Jiangxi,0.01932912072,0.0913354056,0.0499158612,0.0055226059200000005,0.13381698960000002,0.09622078776,0.012532067280000002,0.0456677028,0.3812722164,0.005947421760000001,0.07689166704000001,0.19414083888000006,0.009983172240000001,0.02463931872,0.26274859704,0.01423133064,0.29991998304,0.00934594848,,0.01826708112,0.008071500959999998,0.03271081968,0.17141319144000006,0.03037433256,0.06350996807999999,0.038658241440000005,0.0042481584,0.0036109346400000006,0.0031861188,0.0006372237599999999,0.011894843520000002
Shandong,0.35714127312000005,0.7224170004000001,,0.11078351855999999,0.25333014384,0.8975014423200001,0.11969268264,0.09528932016000001,0.09800080488,0.0464825952,0.12434094215999998,0.09335254536,0.07282273247999999,0.09800080488,0.15726611376,0.01820568312,0.05887795392,0.0735974424,0.058103244000000005,0.0309883968,0.04841937,0.035636656319999994,0.04725730512,0.036024011280000004,0.03176310672,0.0309883968,0.015881553359999998,0.008909164079999999,0.00735974424,0.0011620648800000001,0.11620648800000001
Henan,0.1216345248,,0.5562796338,0.036358146000000015,0.5285152314000001,0.2845851246,0.25186279320000005,0.0786658068,0.1513820988,0.021814887600000003,0.0912258936,0.34870767300000005,0.0171874872,0.19104553080000006,0.155348442,0.021153830400000004,0.07932686400000001,0.0109074438,0.051231933,0.033713917200000006,0.0066105719999999995,0.0343749744,0.04957929,0.021484358999999998,0.023137002,0.026442287999999998,0.020823301800000003,0.011568501,0.008263215,0.0019831716,0.06511413419999999
Hubei,0.01916662176,0.3713532966000001,0.06185591568,0.007623088199999998,0.13046370948,0.10519861716,0.017424201599999998,0.07819110468,0.20124952848000002,0.008276495759999999,0.05249040732,,0.008712100799999999,0.07187483160000001,0.08821002060000001,0.01546397892,0.3659082336,0.005009457960000001,0.17750905379999998,0.015899583959999998,0.0047916554400000005,0.17141058324000005,0.051183592199999996,0.02657190744,0.04377830651999999,0.03441279816,0.00805869324,0.0043560503999999995,0.003049235280000001,0.0008712100800000001,0.023958277200000003
Hunan,0.02558304,0.11076912,0.049260960000000006,0.00925344,0.0585144,0.07239456000000001,0.01877904,0.0653184,0.72503424,0.01251936,0.04000752,0.39544848,0.01306368,0.04191264,0.0843696,0.02667168,,0.01061424,0.27433728,0.01714608,0.00870912,0.10015488,0.05933088,0.05007744,0.20248704000000006,0.19432224,0.01251936,0.00843696,0.0059875200000000005,0.00108864,0.023133599999999997
Guangdong,0.0337803048,0.72402453288,0.112601016,0.01801616256,0.18353965608,0.1857916764,0.041662375919999994,0.73078059384,,0.0168901524,0.14750733096000002,0.8872960060799999,0.0337803048,0.11823106679999999,0.19254773736000005,0.16214546304000002,2.27904456384,0.031528284480000016,1.0528194996,0.046166416560000006,0.022520203199999998,0.4504040640000001,0.42337982016000003,0.33442501752000003,0.7679389291200001,2.01668419656,0.014638132080000001,0.00900808128,0.006756060959999999,0.00112601016,0.058552528320000005
Guangxi,0.019542176640000002,0.07008228864,0.040881335039999994,0.0069633043200000005,0.03122255808,0.03796123968,0.012578872320000002,0.0774948384,0.95868976896,0.0056155680000000005,0.01976679936,0.06019888896,0.010781890559999998,0.024259253760000002,0.03998284416,0.02897633088,0.25562065536,0.007861795199999999,0.05346020735999999,0.01145575872,0.0069633043200000005,0.049416998399999995,0.04200444864,0.13544750015999998,0.21586243392,,0.00292009536,0.00269547264,0.00269547264,0.00044924544,0.010557267839999995
