,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Heilongjiang,Jiangsu,Anhui,Liaoning,Guangdong,Sichuan,Shaanxi,Hubei,Hainan,Jilin,Hunan,Zhejiang,Shanghai,Gansu,Jiangxi,Yunnan,Fujian,Chongqing,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.06926208587999999,0.01835149284,0.41675648256,0.15569169732000002,0.029599182,0.01065570552,0.03196711656,1.1443043761199998,0.7630669119600001,0.0236793456,0.18588286296000006,0.11425284252000001,0.06748613496,0.21666601223999998,0.03078314928,0.024863312880000002,0.22080989772,,0.9039590182799999,0.02604728016,0.5221295704800001,0.12550053168,0.25928883431999994,0.11129292432,0.34098257664000003,0.0473586912,0.0059198364000000005,0.004735869120000001,0.00355190184,,0.0325591002
Anhui,0.05678985816000001,0.018028526399999998,0.53319366828,0.169017435,0.019831379040000003,0.0067606974000000005,0.00946497636,2.08409765184,,0.009014263199999999,0.07797337668,0.026141363280000003,0.033352773839999995,0.13205895588000002,0.014422821120000004,0.00766212372,0.0428177502,0.63866054772,0.32947131996,0.00991568952,0.12619968480000002,0.01847923956,0.04371917652,0.01938066588,0.01622567376,0.013972107959999999,0.00270427896,0.0022535657999999997,0.00180285264,0.0004507131600000001,0.03515562648
Fujian,0.02148026364,0.00923118768,0.07970775516,0.03408438528,0.01100641608,0.0039055024799999997,0.0078110049599999995,0.07562472984,0.05094905508000001,0.00923118768,0.37244291832,0.06106785696000001,0.02272292352,0.06941143043999999,0.016509624120000004,0.006568345079999999,0.08059536936,0.27303012792000003,0.0550320804,0.00923118768,0.24569161055999997,0.0426054816,,0.05272428348,0.09497471939999999,0.035504568,0.00337293396,0.00213027408,0.00142018272,0.00035504568,0.020770172280000002
Jiangxi,0.0241947,0.005806728000000001,0.066777372,0.034598421000000004,0.010161774,0.004596993,0.006290621999999999,0.10210163399999997,0.12871580400000002,0.006048675,0.530589771,0.022259124,0.018871866,0.1935576,0.019597707,0.004355046,0.400180338,0.397276974,0.074277729,0.008468145,,0.025646382000000002,0.219929823,0.021049389,0.03387258,0.033146739,0.001935576,0.002177523,0.003387258000000001,0.0007258410000000001,0.014032926000000001
Shandong,0.8117129880000001,0.22016324880000007,0.7200894945600003,,0.11919949632000006,0.04936994064000001,0.11742039936000002,0.8730918331200002,0.21882892608000004,0.09251304192,0.09562646160000003,0.08984439648000002,0.08895484800000003,0.08539665408000001,0.030689422560000006,0.06894000720000001,0.04981471488000002,0.16901421120000004,0.10318762368000002,0.029799874080000007,0.04848039216000001,0.04047445584000001,0.043587875520000006,0.035137164960000015,0.027131228640000005,0.02802077712000001,0.015122324160000002,0.014232775680000004,0.007116387840000002,0.0008895484800000002,0.14677549920000005
Henan,0.35491318343999995,0.06146776368,,0.5961531052800001,0.34565091768,0.02147161608,0.0168404832,0.36922759416,0.5515258247999999,0.01978756776,0.1936655568,0.06694092071999999,0.27449987615999993,0.4062766572,0.0463113288,0.01136732616,0.08967557303999997,0.2336617044,0.10398998376,0.034522990559999994,0.05725764288,0.03199691808,0.0568366308,0.03873311136,0.02778679728,0.03031286976,0.02231364024,0.01178833824,0.010525302,0.00168404832,0.11619933407999998
Hubei,0.0564654402,0.013184823600000001,0.4669147314,0.0710833968,0.0378347112,0.0106051842,0.008312171399999999,0.131848236,0.163377162,0.010031931,0.2717220168,0.0682171308,0.1028989494,,0.0303824196,0.008025544800000001,0.5110552278,0.1286953434,0.0570386934,0.0269429004,0.2496517686,0.041560857,0.0535991742,0.16538354819999998,0.0610514658,0.0550323072,0.0103185576,0.0068790384,0.0063057852000000005,0.0034395192,0.0312422994
Hunan,0.0265311774,0.007288785,0.07551181259999999,0.033236859599999995,0.013119813,0.002915514,0.007288785,0.0647244108,0.0402340932,0.005247925200000001,0.9749478816,0.033528411,0.0288635886,0.4408257168,0.033528411,0.0049563738,,0.08746541999999999,0.0390678876,0.0069972336,0.3699787266,0.0411087474,0.047814429599999986,0.07201319580000001,0.1947563352,0.2212875126,0.0049563738,0.0026239626000000003,0.0026239626000000003,0.0008746542,0.0227410092
Guangdong,0.06501250187999999,0.022369893119999998,0.30618791208,0.08178992171999999,0.02936048472,0.0139811832,0.038448253800000005,0.14540430527999998,0.09297486828,0.021670833959999997,,0.24047635104,0.09507204576000003,0.4005608986800001,0.16987137588,0.0244670706,1.3016481559200002,0.17336667167999997,0.10765511064,0.02516612976,0.63824101308,0.22090269456000006,0.40265807616,0.17895914495999998,0.36281170404,1.50088001652,0.008388709920000001,0.0069905916,0.004893414120000001,0.0020971774800000002,0.055225673640000014
Guangxi,0.0195021756,0.00504762192,0.03418616664,0.02799135792,0.006194808720000001,0.003212123040000001,0.006883120800000001,0.027073608480000004,0.015831177840000002,0.0066536834400000005,1.3545981734399999,0.033497854560000005,0.01697836464,0.033268417200000004,0.036709977600000006,0.004588747200000001,0.22301311392000006,0.031432918319999996,0.0195021756,0.00504762192,0.03235066776,0.10829443392000002,0.026614733760000002,0.025008672239999998,0.16978364640000004,,0.0016060615200000005,0.00091774944,0.00183549888,0.00022943736000000006,0.011701305359999999
