,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Anhui,Shaanxi,Hunan,Guangdong,Jiangsu,Sichuan,Zhejiang,Gansu,Jilin,Heilongjiang,Shanghai,Guizhou,Fujian,Jiangxi,Yunnan,Chongqing,Hainan,Hubei,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.025179543360000004,0.010258332480000002,0.08043465240000001,0.11214222552000001,0.01678636224,0.020050377119999997,0.006994317600000001,0.2716126668,0.030774997440000007,0.07577177400000001,0.12892858776000002,0.5390287430399999,0.046162496160000004,,0.018185225760000003,0.00839318112,0.0060617419200000005,0.35997421248000006,0.07880264496,0.13429089792,0.20073691512000003,0.0547888212,0.02821041432,0.006994317600000001,0.0060617419200000005,0.03310643664,0.0009325756800000002,0.0032640148800000012,0.005129166240000001,0.0009325756800000002,0.01678636224
Anhui,0.03717552996,0.03326231628,0.13500587196,0.40175660448,0.02087047296,0.02543588892,0.008478629639999999,,0.0456541596,0.0423931482,0.21653115696,2.3694508832399994,0.02543588892,2.1177008031599995,0.013696247879999998,0.005217618239999999,0.00195660684,0.5824166360399998,0.022174877519999997,0.10826557848,0.14087569247999998,0.02152267524,0.013044045599999998,0.00456541596,0.01826166384,0.024131484359999997,0.0013044045599999998,0.0032610114,0.0032610114,0.0006522022799999999,0.06652463256
Fujian,0.010440737999999998,0.0080542836,0.0301289868,0.0360951228,0.008800050600000001,0.012678038999999999,0.0049220622,0.0416137986,0.023864544,0.050413849199999985,0.4297109453999999,0.1075396014,0.035498509199999986,0.22179110579999997,0.0107390448,0.0035796816,0.002237301,0.06831225719999999,0.055932525,,0.1490042466,0.053247763799999986,0.021776396400000002,0.016257720599999997,0.005518675799999999,0.05608167839999999,0.0004474602,0.0028339146,0.0023864544000000002,0.00029830680000000003,0.01491534
Jiangxi,0.011553208200000002,0.007534700999999999,0.0266226102,0.0291341772,0.0055254474,0.0070323876,0.002511567,0.10297424699999998,0.0195902226,0.2501520732,1.7616130937999999,0.23508267119999995,0.0306411174,1.5114610206,0.0085393278,0.0015069402,0.0005023133999999999,0.1496893932,0.0537475338,0.6088038407999999,,0.048724399800000005,0.022604102999999997,0.0140647752,0.020092536,0.0658030554,0.0005023133999999999,0.0015069402,0.0010046267999999998,,0.016074028799999997
Shandong,0.4753439154,0.1710418032,,0.3596563944,0.09108561779999999,0.07263419039999999,0.04978956599999999,0.1388250252,0.07263419039999999,0.0304594992,0.09079273800000001,0.6528290741999999,0.0392458932,0.2061873792,0.019915826400000003,0.0237232638,0.017865667800000002,0.096650334,0.0193300668,0.035145576,0.041296051800000004,0.017572788,0.013765350599999998,0.0052718364,0.007029115199999999,0.0213802254,0.006150475799999999,0.006443355600000001,0.0055647162,0.0008786393999999999,0.1344318282
Henan,0.20877498576,0.07469368991999999,0.44387643600000004,,0.1928566584,0.028163194560000004,0.02204076096,0.64652898816,0.17510160096000002,0.11387726496000003,0.8338754563199999,0.99489546,0.06918349968,1.26673151184,0.04959171216000001,0.0061224336,0.004285703520000001,0.27183605184,0.03489787152,0.1438771896,0.13591802592,0.04102030512,0.028775437919999994,0.0122448672,0.06857125632000001,0.04530600864,0.008571407040000001,0.007959163679999999,0.019591787519999997,0.004285703520000001,0.15857103024
Hubei,0.0028868400000000003,0.000577368,0.00465102,0.058121712,0.00112266,0.0009943559999999998,0.00032076,0.014337972,0.014979492,0.08326929599999999,0.037881756,0.007152948,0.003817044,0.00817938,0.001090584,0.0007698239999999999,0.00035283600000000004,0.004201956,0.001250964,0.003624588,0.016871976,0.00192456,0.04426488,0.0004490640000000001,,0.003784968,0.000384912,0.00025660799999999997,0.00016038,,0.00256608
Hunan,0.012765677759999998,0.00812361312,0.02495109744,0.05106271103999999,0.007543355039999999,0.005802580799999999,0.0029012904,0.04061806559999999,0.0232103232,,3.4618197052800004,0.13229884223999994,0.04003780752,0.6075302097599999,0.007543355039999999,0.00232103232,0.00058025808,0.04700090448,0.24486890975999995,0.15550916544,0.2843264592,0.08123613119999998,0.07601380847999999,0.02263006512,0.08587819583999999,0.32378400864,0.00058025808,0.00058025808,0.0029012904,0.00058025808,0.035976000960000004
Guangdong,0.016220308319999998,0.0054984096,0.03189077568,0.09374788368,0.00934729632,0.016770149279999997,0.00439872768,0.041512992480000004,0.02529268416,0.5053038422399999,,0.05470917552,0.09842153184,0.09374788368,0.013471103519999998,0.008247614399999999,0.006873012,0.027492048,0.1690760952,0.178698312,0.27244619568000006,0.07725265488,0.04921076592,0.0920983608,0.01539554688,0.7307386358399999,0.006598091519999999,0.00219936384,0.003573966239999999,0.00027492048,0.02006919504
Guangxi,0.01063430532,0.00111940056,0.0111940056,0.02574621288,0.0027985014,0.0055970028000000005,0.00167910084,0.01175370588,0.006156703080000001,0.17126828568000002,4.68581074416,0.02966411484,0.03973871988,0.10130575068,0.0027985014,0.00167910084,0.00167910084,0.0111940056,0.19309659660000006,0.04533572268000001,0.04533572268000001,0.12369376188,0.015671607840000004,0.02966411484,0.004477602240000001,,,0.0005597002800000001,,,0.007835803920000002
Hainan,0.010886769360000005,0.0020802744,0.005339370960000001,0.016711537680000003,0.006171480720000001,0.00696891924,0.004229891279999999,0.003467124,0.010297358280000002,0.012446975160000002,0.13105728719999998,0.005443384680000002,0.01931188068,0.00998531712,0.0023229730800000004,0.00696891924,0.013209742440000002,0.00527002848,0.01133749548,0.0048539735999999995,0.00790504272,0.0024616580399999997,0.01203092028,,0.0019069182000000004,0.017578318680000003,0.00079743852,0.0003813836400000001,0.0005200686,6.934248000000001e-05,0.01376448228
Chongqing,0.0135999,0.0040799700000000005,0.012783905999999998,0.024751818,0.010607921999999999,0.005167962,0.0019039860000000003,0.016591877999999997,0.050591628000000013,0.146334924,0.45178867799999994,0.073711458,0.6778190159999999,0.343533474,0.012783905999999998,0.0010879919999999999,0.0010879919999999999,0.03807972,0.31687767,0.161566812,0.047327652000000005,0.131647032,,0.011151918,0.061471548,0.073167462,0.0021759839999999997,0.0008159939999999999,0.0059839559999999995,0.007343946,0.00951993
Sichuan,0.026709328799999998,0.010926543600000001,0.048562416,0.0959107716,0.03035151,0.014568724799999997,0.0078913926,0.036421812000000005,0.236741778,0.09833889240000003,1.1497151988,0.2227800834,,0.5997458376000001,0.07648580519999999,0.0024281208,0.0024281208,0.07345065419999999,0.6962636394,0.21185353980000002,0.0418850838,0.6750175824,1.3245398964,0.0279233892,0.014568724799999997,0.21063947940000002,0.0084984228,0.0042492114,0.020031996599999997,0.057667869000000004,0.036421812000000005
Guizhou,0.00535447584,0.00133861896,0.00847792008,0.015171014880000003,0.003569650560000001,0.0008924126400000002,0.00133861896,0.022310316,0.01070895168,0.50153590368,0.94328016048,0.11869088112000002,0.25076795184,0.99325526832,0.003569650560000001,0.0004462063200000001,0.0004462063200000001,0.02587996656,,0.2431824444,0.13252327704000003,0.51269106168,0.24184382544,0.01070895168,0.0066930947999999995,0.38462984784,,0.0004462063200000001,0.0004462063200000001,0.0004462063200000001,0.015171014880000003
Yunnan,0.008470532880000001,0.0024913332,0.012207532679999999,0.01544626584,0.0044843997600000005,0.00323873316,0.00149479992,0.017937599040000002,0.01295493264,0.08470532880000001,0.4447029762000001,0.08071919568000002,0.44370644291999994,0.3776861131200001,0.003986133120000001,0.00099653328,0.00099653328,0.02391679872,0.5697679028400001,0.07274692944000001,0.02715553188,,0.04783359744,0.0037369998,0.0037369998,0.2105176554,0.00074739996,0.0004982666400000001,0.0004982666400000001,0.0027404665200000005,0.006975732960000002
Tibet,0.00012743244,,0.0002238678,0.0005166179999999999,0.00012743244,0.00028930608,0.00016187363999999998,0.00019287072,0.00028930608,0.00032374727999999995,0.0005510592,9.643536e-05,0.013001553,0.0002238678,0.0037609790399999996,,3.099708e-05,3.099708e-05,0.00035474436,3.099708e-05,9.643536e-05,0.00294816672,0.0011331154800000001,3.099708e-05,0.00019287072,3.099708e-05,0.00019287072,,0.00920957688,,0.0002238678
Shaanxi,0.0363935106,0.007988819400000001,0.041719390200000005,0.11929970304000001,0.25262422236000004,0.007101172800000001,0.18835860852000005,0.033375512159999995,,0.0204158718,0.18214508232,0.13652004708000004,0.11574911664000001,0.12870875699999998,0.18338778756,0.0040831743600000005,0.00159776388,0.0337305708,0.02503163412,0.024321516839999998,0.0115394058,0.02148104772,0.03160021896,0.0037281157200000003,0.017752932000000003,0.012071993760000002,0.006923643480000001,0.060537498120000005,0.013669757640000002,0.00497082096,0.04509244728
Gansu,0.010987439400000005,0.010568870280000002,0.014545276920000003,0.028253415600000012,0.009522447480000005,0.00219748788,0.058704319080000025,0.01025494344,0.28964983104,0.00512747172,0.047821521960000016,0.07680743352000001,0.055565050680000005,0.045937960920000014,,0.00094178052,0.00041856912000000015,0.026579139120000005,0.00439497576,0.026474496840000004,0.009208520640000002,0.005859967680000002,0.01088279712,0.0010464228000000002,0.0020928456000000005,0.002825341560000001,0.019568106360000004,0.11144402820000003,0.13383747612000002,0.004813544880000001,0.018730968120000004
Qinghai,0.0012880879199999998,0.00028232064,0.00268204608,0.0029996568,0.00218798496,0.00031761072,0.00217033992,0.0009704772,0.008451974159999999,0.0007410916799999999,0.0023820804,0.00315846216,0.00949303152,0.00294672168,0.11112846191999998,0.0006705115199999999,5.293511999999999e-05,0.0009704772,0.0007940267999999999,0.0005822863199999999,0.0011645726399999998,0.0009704772,0.0008293168799999997,0.00015880535999999998,0.00019409544,0.00019409544,0.0022938552,0.004658290559999999,,0.01035763848,0.0011645726399999998
Ningxia,0.003528360000000001,0.00128304,0.00384912,0.004779324000000001,0.005420843999999999,0.0008019,0.08509762800000001,0.001828332,0.067808664,0.0007698239999999999,0.003239676,0.0077944680000000014,0.003913272,0.007473708000000001,0.09593931599999997,0.000416988,0.000288684,0.003528360000000001,0.0007698239999999999,0.004747248,0.0025340040000000003,0.001988712,0.001154736,0.00012830399999999998,0.00048114,0.00048114,0.0014434200000000002,,0.0049397040000000005,0.000224532,0.003720816
Xinjiang,0.0016474233600000002,0.0009984384,0.00408111696,0.0068018616,0.0010608408,0.00057410208,0.006090474239999999,0.0011981260799999998,0.0038814292799999994,0.00138533328,0.012829933439999998,0.0042433632,0.0119812608,0.00323244432,0.03933847296,0.000936036,0.00022464864,0.0031700419199999995,0.000312012,0.0014477356799999998,0.00063650448,0.00096099696,0.00170982576,0.0011981260799999998,0.000312012,0.00138533328,,0.002808108,0.0031326004799999995,6.24024e-05,0.006964107840000001
Taiwan,6.472224e-05,,0.00032361120000000003,3.236112e-05,,9.708335999999999e-05,,0.00019416671999999998,6.472224e-05,3.236112e-05,0.0028830815999999998,0.0031096094399999997,9.708335999999999e-05,0.00145772136,3.236112e-05,,,0.003530304,,0.0016842492000000001,0.00012944448,6.472224e-05,6.472224e-05,3.236112e-05,3.236112e-05,6.472224e-05,,,,,
Hong Kong,0.00022266576,,9.68112e-05,2.904336e-05,6.292728e-05,9.68112e-05,,0.00012585456,6.292728e-05,0.00035336087999999994,0.039102043680000004,0.00012585456,0.00025654967999999995,0.0005179399199999999,,2.904336e-05,2.904336e-05,0.0005808672000000001,6.292728e-05,0.00203787576,0.00025654967999999995,6.292728e-05,9.68112e-05,0.0005179399199999999,2.904336e-05,0.00035336087999999994,,,,,0.0005808672000000001
Macau,0.00028903392,3.211488e-05,6.422976e-05,0.00022480416,0.00022480416,0.00025691904,,0.00016057440000000005,0.00012845952,0.0004817232000000001,0.046459526400000006,0.00025691904,0.00016057440000000005,0.00051383808,,,6.422976e-05,0.00019268928,3.211488e-05,0.00012845952,0.00032114880000000005,,9.634464e-05,0.00012845952,6.422976e-05,0.00041749344,,,,,0.00032114880000000005
