,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Anhui,Guangdong,Shaanxi,Heilongjiang,Zhejiang,Sichuan,Hunan,Jilin,Shanghai,Gansu,Fujian,Yunnan,Hainan,Jiangxi,Chongqing,Guizhou,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Henan,0.37827134136,0.08953935696000001,0.794824002,,0.35815742784000004,0.033090631919999995,0.03114412416,0.91680515496,0.7273450663200001,0.6650568179999999,0.31663192896,0.005839523280000001,0.97065853632,0.07266962304000002,0.10316491128000002,0.00778603104,0.24331347,0.057097560960000016,0.13041601992000001,0.0389301552,0.01881624168,0.11095094232,0.02789994456,0.029197616400000008,0.043472006640000005,0.08824168512000001,0.028548780480000008,0.012976718400000002,0.025304600880000003,0.00454185144,0.14663691792000003
Hubei,0.003680964,0.0009465336,0.005959656000000001,0.065380932,0.0013321584,0.0012620448,0.0009114767999999999,0.0096756768,0.0168973776,0.036283788,0.0176335704,0.0004907952000000001,0.0130411296,0.0032602824000000003,0.0901310328,0.0009815904000000002,0.0038211912,0.0012620448,0.0041016456,0.0008063063999999999,0.0006310224,0.0188255016,0.0444520224,0.0015424992000000002,0.0034706232,,0.0002804544,0.0002804544,0.00024539760000000005,3.50568e-05,0.0016827263999999998
Hunan,0.018907032959999997,0.004726758239999999,0.030330032040000007,0.06184175364000001,0.01063520604,0.00433286172,0.0031511721600000005,0.09335347524,0.037814065919999994,2.04865580052,0.02599717032,0.0023633791199999996,0.33638762808,0.033087307680000004,,0.0015755860800000002,0.045298099800000005,0.0078779304,0.08783892396000001,0.050418754560000015,0.026784963360000004,0.28399939092,0.07326475272,0.22373322336,0.28124211528,0.10713985344000003,0.004726758239999999,0.0019694826,0.0027572756400000005,0.0011816895599999998,0.02048261904
Guangdong,0.032267289600000006,0.007887559680000001,0.05091061248,0.13910787072,0.0143410176,0.016133644800000003,0.0071705088,0.08461200383999999,0.06238342656,,0.041588951039999995,0.00932166144,0.13444704,0.12620095488000002,0.6808398105600001,0.007529034240000001,0.03872074752,0.01290691584,0.26566735104,0.07206361344,0.10684058112,0.39115125504,0.06955393536,0.17173368575999998,0.8837652095999999,0.02258710272,0.00860461056,0.0017926272,0.003943779840000001,0.00035852544000000003,0.020794475519999998
Guangxi,0.011640169799999996,0.00133030512,0.015631085159999995,0.02693867868,0.0046560679200000005,0.00532122048,0.00133030512,0.02261518704,0.011640169799999996,2.47070918412,0.0099772884,0.0033257628,0.06884328996,0.02926671264,0.1812540726,0.00266061024,0.01230532236,0.0023280339600000003,0.03724854336,0.11606912172,0.02228261076,0.041904611280000004,0.02028715308,0.18591014052000002,,0.00598637304,0.0009977288400000001,,0.00033257628,,0.00565379676
Hainan,0.012352668480000002,0.002800895760000001,0.006391787760000001,0.01809809568,0.006571332360000001,0.007504964280000002,0.004668159600000001,0.006643150200000002,0.00420134364,0.12661485192000002,0.01048540464,0.015692198040000004,0.009731317320000002,0.018636729480000003,0.012388577400000005,0.0052067934000000005,0.008330869440000001,0.0036627098400000007,0.006319969920000002,0.004704068520000001,,0.0070740572400000016,0.012029488200000002,0.010772676000000002,0.01888809192,0.00186726384,0.0029804403600000003,0.00093363192,0.0006822694800000001,0.00010772676000000002,0.01170630792
Chongqing,0.01761520608,0.00440380152,0.023976252719999997,0.034985756519999994,0.010030881240000001,0.005627079720000001,0.0036698346,0.056026141560000006,0.0146793384,0.28722572136,0.07046082432,0.0009786225599999999,0.20771263835999998,0.8606985415200001,0.09541569960000001,0.0017125894800000005,0.03376247832,0.0171258948,0.09957484548000001,0.11278625004,0.01785986172,0.0232422858,,0.31095731844,0.0354750678,0.06214253256,0.0097862256,0.00073396692,0.005382424079999999,0.008073636120000002,0.01052019252
Sichuan,0.04357033092,0.012238856999999999,0.08175556476,0.0930153132,0.04797631944,0.014197074119999998,0.00930153132,0.16155291240000005,0.029373256800000008,0.6467012038800001,0.33632379036,0.003916434240000001,0.36814481856,,0.05189275368,0.0034268799600000012,0.07539135912,0.10917060444,0.17477087796,0.56445608484,0.036227016720000005,0.02545682256,1.2743097908400003,0.4626287946,0.073433142,0.01321796556,0.03524790816,0.00636420564,0.024967268280000003,0.07490180484000003,0.03475835388
Guizhou,0.009947088359999998,0.0018420534,0.01915735536,0.02431510488,0.004052517479999999,0.00221046408,0.0018420534,0.11089161468,0.02136781944,0.64066617252,0.015104837879999998,0.00073682136,0.91329007572,0.26672933231999996,0.30872814984,0.00036841068,0.034262193239999995,0.00442092816,0.16652162735999998,0.46014493931999995,0.01215755244,0.08215558164,0.27593959931999995,,0.28514986632,0.0055261602000000005,0.00110523204,0.00294728544,0.00036841068,0.00073682136,0.0055261602000000005
Yunnan,0.010156926960000002,0.003532844160000001,0.022963487039999998,0.021417867720000004,0.006182477280000002,0.003753646920000001,0.0017664220800000005,0.07352731908000001,0.016339404240000004,0.32502166272000005,0.017885023560000005,0.0015456193200000005,0.30559101984000003,0.4683226539600001,0.05188864860000001,0.00198722484,0.024288303600000002,0.00485766072,0.0618247728,,0.005078463480000001,0.023405092560000004,0.0563047038,0.4839996499200001,0.19276080948000004,0.0044160552,0.002428830360000001,0.0008832110400000002,0.0015456193200000005,0.0033120414000000005,0.007286491080000001
Tibet,0.0001944,9.72e-05,0.00029160000000000004,0.000711504,6.2208e-05,0.00012830399999999998,6.2208e-05,0.000256608,0.00035380800000000005,0.0003888,0.000645408,3.1104e-05,0.00012830399999999998,0.015322607999999996,0.000322704,9.72e-05,9.72e-05,0.0018468,6.2208e-05,0.002783808,,6.2208e-05,0.0015202079999999999,0.000225504,0.0001944,6.2208e-05,0.000322704,6.2208e-05,0.0123444,,0.00015940799999999996
Shaanxi,0.0572160996,0.01590413616,0.06671979071999999,0.17106644016,0.31439761848000003,0.00795206808,0.198801702,0.11792335104,0.03374780112,0.11404429344,,0.00310324608,0.08320578551999999,0.15496835112,0.02094691104,0.00698230368,0.02831712048,0.25175083824,0.024438062880000003,0.02172272256,0.00620649216,0.01318879584,0.03180827232,0.0203650524,0.01144321992,0.02269248696,0.0164859948,0.06749560224,0.02463201576,0.004654869119999999,0.02463201576
Gansu,0.0186035454,0.009583644600000002,0.01736330904,0.03179515032,0.0129661074,0.0021422264399999997,0.0546831486,0.0597568428,0.00744141816,0.03258439164,0.35290361880000004,0.00033824628,0.0355158594,0.055810636200000006,0.00473544792,0.00033824628,0.022211505719999997,,0.010147388400000002,0.00518644296,0.00124023636,0.00868165452,0.009809142120000001,0.00349521156,0.00293146776,0.0022549752000000003,0.07351219151999999,0.11703321287999999,0.15356381112,0.0052991917200000006,0.01364259996
Qinghai,0.00237377952,0.00058133376,0.00416622528,0.0052804483200000005,0.0030762244800000005,0.0007266672,0.00465067008,0.00331844688,0.0016471123199999999,0.00336689136,0.01530845568,9.688896e-05,0.0018408902399999997,0.01165089744,0.00101733408,0.00021800016,0.00150177888,0.14056165872,0.0006782227200000001,0.00225266832,9.688896e-05,0.0010900008,0.0008962228800000002,0.0006782227200000001,0.00021800016,0.00024222240000000003,0.0065884492799999994,0.0063946713600000005,,0.01983801456,0.00150177888
Ningxia,0.005212972079999999,0.00147323124,0.005212972079999999,0.007026179759999999,0.005552948519999999,0.0007555032000000001,0.10078412687999998,0.00608180076,0.00234205992,0.00381529116,0.07555032,7.555031999999999e-05,0.006837303959999999,0.004344143399999999,0.00090660384,0.00030220127999999995,0.00260648604,0.12480912863999995,0.00211540896,0.00230428476,0.00022665096,0.00211540896,0.0006044025599999999,0.0004533019199999999,0.0015865567199999998,0.0007555032000000001,0.0043063682399999996,,0.00657287784,0.00030220127999999995,0.0020776338
Xinjiang,0.004011638400000001,0.0017778852,0.0050449392,0.010257030000000002,0.0023857092,0.0009573228,0.010652115600000001,0.004239572400000001,0.0019754280000000004,0.0129466512,0.009588423599999998,0.00028871640000000003,0.0046954404,0.0099379224,0.0012308436000000005,0.0004406724,0.00303912,0.050662130400000005,0.0014891688,0.0006686064000000001,0.0007749756000000001,0.0008053667999999999,0.0017778852,0.0012612348,0.0007749756000000001,0.0005166504,,0.0023249268000000004,0.0049537656,6.0782399999999996e-05,0.0022337532000000003
Taiwan,3.1833000000000005e-05,3.1833000000000005e-05,3.1833000000000005e-05,6.366600000000001e-05,,6.366600000000001e-05,6.366600000000001e-05,0.0018781470000000001,6.366600000000001e-05,0.00379067364,,3.1833000000000005e-05,0.0007767252,0.00032342328,3.1833000000000005e-05,,0.001846314,,0.00272108484,6.366600000000001e-05,,,0.00019354464,6.366600000000001e-05,6.366600000000001e-05,3.1833000000000005e-05,3.1833000000000005e-05,,,,0.00032342328
Hong Kong,0.0001266516,2.955204e-05,0.0001266516,0.00019419912,9.709955999999997e-05,2.955204e-05,6.33258e-05,0.00041795027999999985,6.33258e-05,0.033984846,6.33258e-05,,0.00019419912,0.00045172404,0.00032085072,,0.00058259736,,0.00116519472,6.33258e-05,0.00019419912,9.709955999999997e-05,0.0001266516,9.709955999999997e-05,0.00016042535999999998,,,,,,0.00058259736
Macau,0.00035328959999999995,0.00012778559999999998,0.0005111423999999999,0.0007742303999999999,0.0003833568,9.02016e-05,,0.00045100800000000003,0.0006765120000000001,0.06304340159999999,0.00022550400000000001,3.00672e-05,0.0006088608000000001,0.0001578528,0.0012252384,9.02016e-05,0.0008418816000000001,3.00672e-05,0.0003833568,0.00025557119999999997,0.0001578528,0.0010673856,0.00018792,0.00035328959999999995,0.0008719487999999999,,,,,,9.02016e-05
