,Hebei,Tianjin,Shandong,Henan,Liaoning,Inner Mongolia,Shanxi,Guangdong,Jiangsu,Heilongjiang,Anhui,Zhejiang,Shaanxi,Sichuan,Hubei,Shanghai,Jilin,Hunan,Gansu,Hainan,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.11084520816,0.05178833496,0.2943757987200001,0.40976384328,0.05814830592000001,0.028165585680000008,0.045428364000000006,0.38704966128,1.8834599714400004,0.03270842208,0.99578973888,,0.08903959344000001,0.13991936112000006,0.27347875128000004,2.17238436648,0.02180561472,0.23895319464000006,0.036342691200000006,0.034525556639999996,0.090856728,0.4542836400000001,0.6705226526400001,0.08449675704000002,0.06269114232,0.17626205232000006,0.014537076480000003,0.01090280736,0.00999424008,0.0018171345600000003,0.1907991288
Anhui,0.18041072976,0.11202924348,0.47721547872000003,0.81766798488,0.034918205759999994,0.01891402812,0.06256178532000001,0.35209190807999996,5.3613995094,0.01309432716,,2.7963663112800003,0.13676297255999995,0.06110686007999999,0.33317787996000003,2.5301149923599997,0.01309432716,0.12948834636,0.0218238786,0.01891402812,0.04510268244,0.17168117832000002,0.34481728188000005,0.024733729080000003,0.03346328052,0.032008355280000005,0.010184476680000002,0.0072746262,0.0072746262,0.00145492524,0.3782805624
Fujian,0.032913125280000004,0.01909773936,0.07354661327999999,0.08492398992000001,0.017878734719999997,0.01137737664,0.02153574864,1.3543141550400002,0.22226517936,0.0121900464,0.10930408272,0.63306974304,0.03982081823999999,0.07192127376,0.13124616624000002,0.27183803472,0.006501358079999999,0.14059186848,0.013002716159999999,0.02559909744,0.06338824128000001,,0.42583895424,0.043884167040000005,0.06745159008,0.07882896672,0.0048760185600000006,0.0032506790399999996,0.0024380092800000003,0.0008126697599999999,0.07029593424
Jiangxi,0.047558064600000005,0.02430745524,0.08771820804,0.11730989268,0.013738996440000002,0.00634107528,0.01690953408,3.99382058052,0.6108569186399999,0.0052842294,0.28957577112,2.03337147312,0.049671756359999986,0.0634107528,0.38469190032,0.63516437388,0.00634107528,0.7292236572,0.0105684588,0.026421147,0.059183369280000016,0.96278659668,,0.04438752696000001,0.10885512564,0.07820659512,0.00317053764,0.00211369176,0.00211369176,0.00105684588,0.13633311852
Shandong,1.5458665643999998,0.8162004527999999,,1.1420396387999998,0.2660129748,0.1153791216,0.2756279016,0.1837519344,1.8717057504,0.1271306988,0.432671706,0.4593798359999999,0.2328948936,0.10683252,0.17306868239999998,0.5491191527999999,0.0822610404,0.1046958696,0.050211284399999986,0.0202981788,0.0576895608,0.08012438999999999,0.09721759320000001,0.0438013332,0.0405963576,0.032049756,0.0309814308,0.0235031544,0.014956552800000003,0.0042733008,1.6900904663999998
Henan,0.9126113831999999,0.31664849508000004,1.32466925016,,0.0760509486,0.0760509486,0.78539888736,0.8503878798000001,1.7450235842399997,0.0276548904,1.16980186392,1.20022224336,0.86144983596,0.17975678760000002,1.0038725215200002,0.8130537777600001,0.02627214588,0.3664272978,0.10508858352,0.04009959108,0.09540937188,0.14933640816000002,0.20879442252,0.051161547239999994,0.06498899243999999,0.0553097808,0.05254429176,0.033185868480000005,0.03180312396,0.008296467120000001,1.175332842
Hubei,0.13739269248,0.057805462080000015,0.15247237824000004,0.6760725782400001,0.02010624768,0.014241925440000002,0.05948098272000001,1.9410906614400003,0.5462197286399999,0.009215363520000002,0.34096845024000005,0.7456066848000001,0.27394762464000005,0.20776455936,,0.3945851107200001,0.008377603200000002,1.09830377952,0.033510412800000014,0.04105025568,0.3392929296000001,0.18430727040000008,0.53030228256,0.055292181120000006,0.10974660192000002,0.09215363520000004,0.011728644480000005,0.008377603200000002,0.008377603200000002,0.0016755206400000005,0.26389450080000004
Hunan,0.06566322672000001,0.0252550872,0.08586729648000001,0.19951518888000006,0.0189413154,0.01136478924,0.026517841559999998,7.4237328824399995,0.27528045048,0.01010203488,0.12880094472000006,0.51267827016,0.09344382264,0.15026776884,0.84478266684,0.22477027608000005,0.008839280520000001,,0.02272957848,0.06187496364,0.21719374991999998,0.19825243452000005,0.6263261625600001,0.11491064676,0.65789502156,0.4192344475200001,0.01010203488,0.0050510174400000005,0.008839280520000001,0.00126275436,0.15658154064000002
Guangdong,0.07123717692,0.0313130448,0.11429261352000003,0.28651435991999996,0.048535219440000006,0.028964566440000006,0.04540391496,,0.20431761732,0.02818174032,0.12838348368,0.28338305544000003,0.10020174336,0.27868609872000005,0.44386241004,0.17065609416000002,0.023484783600000003,1.3488094047600003,0.04383826272000002,0.24424174944000004,0.18318131208000002,0.5448469795199999,0.7131545953200001,0.15656522400000006,1.6337581124400002,0.25911544571999995,0.017222174640000004,0.010176739559999998,0.018005000759999997,0.005479782840000003,0.15421674564
Guangxi,0.031209798960000004,0.009278588879999999,0.02867927472,0.051453992879999993,0.01096560504,0.005061048479999999,0.02024419392,6.495012216,0.054828025200000005,0.007591572719999998,0.025305242400000004,0.08350729991999999,0.02614875048,0.10628201808,0.08435080800000001,0.05061048480000001,0.0042175404,0.4554943632,0.01096560504,0.07169818680000001,0.11134306656,0.06241959792000001,0.06663713832000001,0.17544968064,,0.32137657848,0.0016870161600000002,0.0016870161600000002,0.0016870161600000002,,0.045549436320000004
