,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Heilongjiang,Anhui,Sichuan,Shanghai,Hubei,Shaanxi,Jilin,Zhejiang,Hainan,Hunan,Gansu,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.11390679432,0.035519322959999995,0.26700732432,1.00556428104,0.058790603519999984,0.06491462472,0.02204647632,1.622865618,0.33437155752,0.060015407759999986,1.5579509932799998,0.44582874336,1.4624162625600001,0.61117731576,0.15187572576,0.042868148399999986,,0.045317756880000004,0.5928052521599999,0.07226345015999999,0.40908461616,0.32947234056,1.14029274744,0.38458853136,0.11758120703999997,1.0668044930399998,0.015922455119999998,0.00979843392,0.00489921696,,0.14697650880000002
Anhui,0.08103289895999999,0.03053413584,0.27539441748000004,0.6876052513199999,0.03699327996,0.02759816124,0.01115670348,2.2507181283599995,0.12683410272,0.0205518222,,0.05519632247999999,0.55255041972,0.2231340696,0.05930668691999999,0.017615847599999998,0.73281926016,0.02113901712,0.07222497516,0.017615847599999998,0.07985850912,0.04227803424,0.16676335727999994,0.03992925456,0.02701096632,0.03758047488,0.00822072888,0.0058719492000000005,0.0035231695199999993,0.00058719492,0.14268836556
Fujian,0.03402925344,0.016320152159999997,0.06805850688,0.17292416544,0.02395937232,0.023612135040000003,0.00763922016,0.13125569184,0.5298840892799999,0.01875081312,0.11181040416,0.23751029952,0.112852116,0.18264680928,0.049307693759999986,0.016320152159999997,0.37466902512,0.02013976224,0.16563218255999995,0.0225704232,,0.16597941983999998,0.42744909168,0.10903250592,0.06840574415999999,0.26320585824000003,0.006597508319999999,0.0031251355199999995,0.0027778982399999995,0.0006944745599999999,0.06354442224
Jiangxi,0.0456269112,0.01333709712,0.07756574903999998,0.12178875528,0.02211150312,0.01719783576,0.01193319216,0.16074711792000002,0.6507099489599999,0.01825076448,0.18180569232000002,0.06106986575999999,0.14705904456000002,0.29236320792,0.030183956639999995,0.01123123968,0.49347259344,0.040011291359999986,0.41801270184,0.0245683368,0.30991201992,0.04492495872,,0.046679839919999994,0.07054622423999997,0.08037355896000001,0.006317572319999999,0.0070195248,0.0070195248,0.00315878616,0.07370501039999999
Shandong,1.19376546444,0.31339333836,,1.0757445634799998,0.20494169964,0.2511931338,0.0956926224,1.2751041934799998,0.19377756036,0.21690327744,0.39313719036,0.21770071596,0.27352141236,0.18660061368,0.17862622848,0.1315773558,0.30462151464000004,0.05342838084,0.10845163872,0.057415573439999985,0.10685676168,0.07735153644,0.09330030684,0.08931311424,0.059807889,0.06299764308,0.03030266376,0.02472059412,0.01515133188,0.00079743852,0.66267141012
Henan,0.52737912216,0.0945365904,0.82651990464,,0.44702302032,0.05672195424,0.04254146568,0.63271989432,0.32952754368000003,0.03511359072,0.6853902804,0.15395959008,0.24917144184,0.6124620535199999,0.41123416824000003,0.024309408959999997,0.30926970288000005,0.067526136,0.15666063551999998,0.07225296552,0.10601603352,0.07427874960000001,0.09858815856,0.06617561328,0.0641498292,0.061448783760000014,0.048618817919999995,0.022958886239999997,0.0202578408,0.0033763067999999998,0.43081674768
Hubei,0.08299703879999999,0.02383504704,0.11874960936,0.61843434552,0.05448010752,0.027665679600000003,0.016599407759999997,0.2149410492,0.40604705136,0.02255816952,0.24601173552,0.1510971732,0.1191752352,,0.14556403728,0.01362002688,0.20132102232,0.04128570648,0.58225614912,0.042562584,0.1000220724,0.2724005376,0.28431806112,0.06682325688000001,0.08427391631999999,0.10896021504,0.02426067288,0.00893814264,0.00766126512,0.00595876176,0.14088215304
Hunan,0.052838535600000014,0.015730556399999998,0.06937578720000001,0.15004530720000006,0.026620941600000003,0.0193606848,0.010890385200000002,0.094786686,1.1398603176000002,0.0193606848,0.0721992204,0.08671973399999999,0.0721992204,0.5489560836,0.0492084072,0.010890385200000002,0.13592814120000002,0.053645230800000006,,0.02016738,0.0842996484,0.123021018,0.3888270864,0.07461930600000001,0.28920022920000005,0.2746797156,0.013310470800000002,0.0052435188,0.0052435188,0.0020167379999999997,0.09317329560000001
Guangdong,0.1114075296,0.0402304968,0.15628000679999998,0.8788816223999999,0.060345745199999995,0.08046099359999999,0.0247572288,0.2506669416,,0.08046099359999999,0.2336463468,1.013499054,0.201152484,1.27654461,0.2057944644,0.046419804,0.29863407239999995,0.2290043664,2.6908013052,0.06344039879999999,0.603457452,0.557037648,1.1372851979999998,0.5137124975999999,2.5020274356,0.9082808316,0.0263045556,0.0108312876,0.0061893072,0.0015473268,0.22590971280000002
Guangxi,0.049609017000000005,0.011375315999999998,0.05055696,0.071727687,0.018010916999999998,0.016115031000000002,0.005371676999999999,0.05055696,1.5249243059999995,0.013271202,0.036969777,0.095426262,0.031914081000000004,0.072359649,0.030018195,0.010743353999999998,0.049924998,0.052452846,0.320404734,0.01263924,0.054664713,0.06098433299999999,0.058456485,0.16020236699999998,,0.225294453,0.003475791,0.0037917719999999992,0.00315981,0.000315981,0.045817244999999986
Hainan,0.036298426319999993,0.01303020432,0.029162838239999996,0.05232764592,0.02202725016,0.02254432176,0.009720946079999996,0.02657748024,0.20755254024,0.0237852936,0.02202725016,0.07094222352000001,0.02668089456,0.04281352848,0.02461260816,0.0175804344,0.02543992272,,0.05749836191999999,0.008583388559999999,0.021303349920000002,0.03960768456,0.03236868216,0.02109652128,0.05925640536,0.034230139919999986,0.010858503600000001,0.005170716,0.00237852936,0.00031024296000000003,0.05935981968
Chongqing,0.0325690956,0.010494486359999998,0.04089230892,0.05717685672,0.01845582084,0.01158012288,0.00832321332,0.06369067584,0.14040898992,0.00796133448,0.03039782256,1.78551019656,0.04921552224,0.23196433644,0.07708019291999997,0.00506630376,0.06694758540000001,0.04668237036,0.10711613663999998,0.0235221246,0.04089230892,,0.02569339764,0.13534268615999998,0.0470442492,0.4469203674,0.0217127304,0.0072375767999999984,0.00506630376,0.004704424919999999,0.06043376628
Sichuan,0.06923640240000001,0.0181935072,0.08793528479999999,0.13089217679999998,0.0520536456,0.0283010112,0.0181935072,0.1106771688,0.280483236,0.0232472592,0.05255902079999999,,0.0793439064,0.12381692400000001,0.27644023440000004,0.0181935072,0.09703203839999998,0.07075252799999998,0.0778277808,0.12937605119999998,0.07833315599999999,1.7753830775999997,0.042956892,0.6246437471999998,0.07024715279999999,0.40935391200000004,0.04851601919999999,0.017688131999999995,0.0490213944,0.0409353912,0.13392442799999998
Guizhou,0.01816183296,0.006243130079999999,0.026675192159999996,0.04937748336,0.00964847376,0.007378244639999998,0.0042566796,0.04114790279999999,0.2809408536,0.006526908719999999,0.02468874168,0.4625591832,0.034620994079999995,0.06470152991999999,0.03093187176,0.0031215650399999996,0.09393072983999998,0.04370191056,0.26788703616,0.00794580192,0.05476927751999999,0.4520593735199999,0.047107254239999986,0.53208495,0.21794199552,,0.0028377864000000003,0.0017026718399999995,0.0008513359199999997,0.00056755728,0.033769658159999986
Yunnan,0.0351625374,0.01179646416,0.035389392480000004,0.06760281384,0.01905582672,0.0136113048,0.007939927799999998,0.057394335240000004,0.14269184531999998,0.01179646416,0.03039858072,0.59413345452,0.03493568232,0.051722958239999985,0.042648755039999986,0.007939927799999998,0.06851023416,0.01950953688,0.08144097372,0.01451872512,0.046959001560000005,0.14155756992,0.034028262000000004,,0.13974272928,0.47684937816,0.0068056524,0.00499081176,0.00362968128,0.006351942240000001,0.051722958239999985
Tibet,0.0032230062,0.0007204366800000001,0.004512208679999999,0.017972999280000002,0.00182005056,0.0010616961600000002,0.00068251896,0.00314717076,0.004246784640000001,0.00068251896,0.0043605378000000005,0.16915094892000002,0.0011375316,0.0066356010000000005,0.01926220176,0.0008721075599999999,0.0026542404,0.00182005056,0.0054980694,0.02074099284,0.00109961388,0.020475568800000003,0.00174421512,0.01948970808,0.0006446012400000001,0.0033367593599999998,0.00147879108,0.0004929303599999999,0.05547362436000001,,0.00413303148
Shaanxi,0.13580793072,0.027836408160000003,0.13665145824000002,0.45719191584,0.52172177112,0.032054045760000004,0.31505752872,0.1433996784,0.1202026716,0.02404053432,0.10248859367999999,0.44749134936,0.06663867408,0.17756254296,,0.01518349536,0.08097864191999997,0.048924596159999986,0.058203398879999986,0.5187694248,0.0485028324,0.10501917624,0.04597224984,0.05145517872,0.02994522696,0.04091108472,0.05778163512,0.17376666912,0.046394013600000006,0.01518349536,0.16069199256
Gansu,0.032360387760000005,0.013792952160000002,0.034659213120000004,0.08328821112000001,0.02422608264,0.008664803280000001,0.070733088,0.0468606708,0.03412871496,0.0053049816000000005,0.017683272,0.14305767048,0.025817577119999997,0.03501287856,0.5220101894400001,0.0033598216799999993,0.028116402480000004,0.01803693744,0.01697594112,,0.01538444664,0.028823733360000003,0.009902632320000002,0.01573811208,0.01255512312,0.01078679592,0.07869056040000001,0.1847901924,0.1874426832,0.00389031984,0.05234248512
Qinghai,0.010931666040000001,0.0024428304,0.013740921000000001,0.0418334706,0.007633845,0.0018931935600000002,0.0050688730799999995,0.01429055784,0.011359161360000002,0.0012214152,0.0097713216,0.05655152376,0.006534571320000001,0.01416841632,0.05325370272,0.0009160613999999999,0.00873311868,0.00769491576,0.005007802319999999,0.24959619612,0.004152811679999999,0.00922168476,0.00232068888,0.006534571320000001,0.0023817596400000003,0.00146569824,0.013069142640000002,0.012580576559999999,,0.02253511044,0.0125195058
Ningxia,0.025403401439999997,0.004346589600000001,0.020670448320000003,0.037767034080000005,0.02018749392,0.00405681696,0.1864203984,0.02453408352,0.01680681312,0.00328408992,0.014585222880000002,0.02115340272,0.01120454208,0.0106249968,0.19791471312,0.0028977264000000003,0.01313635968,0.01139772384,0.0063749980799999995,0.24485788079999998,0.0065681798400000005,0.007920452159999999,0.00473295312,0.0077272704000000015,0.005795452800000001,0.00309090816,0.009562497120000001,,0.01188067824,0.00038636352,0.028977264
Xinjiang,0.03308197464,0.0092536992,0.043376715,0.14204428272,0.01746635724,0.00844400052,0.0167723298,0.03805583796,0.0364364406,0.00717161688,0.0219775356,0.1289734326,0.02394394668,0.02672005644,0.08871984107999999,0.005436548279999999,0.02637304272,0.0179290422,0.022440220559999998,0.2648871396,0.012723836399999999,0.04175731764,0.00682460316,0.012261151440000001,0.00589923324,0.00624624696,,0.0167723298,0.02695139892,0.00092536992,0.04464909864
Taiwan,0.00015949872,0.00045277055999999995,0.00171332496,0.0010341691199999997,3.0870720000000004e-05,0.0009364118400000001,0.000257256,0.004501979999999999,0.013063459679999999,0.00035501328,0.0006122692799999999,0.0011319264,0.006611479199999999,0.00067915584,0.0006122692799999999,0.00022638527999999997,0.00217124064,0.00045277055999999995,0.00067915584,6.174144000000001e-05,0.007779421439999998,0.0005505278400000001,0.0006122692799999999,0.00028812672000000004,0.0004836412799999999,0.00022638527999999997,3.0870720000000004e-05,3.0870720000000004e-05,,,0.00135831168
Hong Kong,0.0009303724800000002,0.00069777936,0.0017444484000000006,0.0008722242000000003,0.00029074140000000004,0.0008722242000000003,0.00017444484,0.0034307485200000005,0.5078670775200002,0.00034888968,0.0006396310800000001,0.00168630012,0.009885207600000005,0.0014537070000000005,0.0005233345200000001,0.00017444484,0.003721489920000001,0.0014537070000000005,0.0030818588400000004,0.00011629656000000002,0.012036693959999999,0.0012792621600000002,0.0008140759200000003,0.0005814828000000001,0.0037796382000000006,0.00069777936,,5.814828000000001e-05,,,0.008257055760000001
Macau,0.0017425335600000003,0.00134905824,0.0016863228,0.0017425335600000003,0.00185495508,0.00129284748,0.00050589684,0.00657665892,0.49038267024,0.00050589684,0.00106800444,0.0015739012800000006,0.006070762080000001,0.0035974886400000007,0.0012366367199999999,0.0007869506400000003,0.00741982032,0.00101179368,0.00342885636,0.00011242152,0.00511517916,0.00118042596,0.0023046411600000003,0.00050589684,0.00326022408,0.0007869506400000003,0.00022484304,5.621076000000001e-05,,,0.0039347532
