,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Anhui,Hunan,Inner Mongolia,Shaanxi,Jiangsu,Guangdong,Jilin,Sichuan,Zhejiang,Heilongjiang,Gansu,Guizhou,Shanghai,Jiangxi,Fujian,Yunnan,Guangxi,Hainan,Hubei,Chongqing,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Shandong,0.30687990480000005,0.14315097599999999,,0.24000155820000005,0.06397059240000001,0.0695624274,0.0729175284,0.021248972999999997,0.0518922288,0.043839986399999996,0.4719508740000001,0.05927345100000001,0.015657138,0.0272881548,0.21741054480000005,0.017446525200000004,0.014315097600000003,0.0158808114,0.105126498,0.030866929200000007,0.0232620336,0.012302037000000002,0.0107363232,0.0033551010000000005,0.007157548800000002,0.008052242400000001,0.0017893872000000004,0.0051444882,0.0051444882,0.0006710202,0.16596566280000002
Henan,0.12923937179999995,0.04976252819999999,0.2552567094,,0.10274709060000001,0.0236282508,0.3515597316,0.057996615599999995,0.0139621482,0.07267477139999999,0.5982243497999999,0.4009642559999999,0.0050120532,0.0386644104,0.7120695582,0.0021480228,0.0282823002,0.026492281200000002,0.20549418120000001,0.07195876379999998,0.0880689348,0.0153941634,0.0229122432,0.005370056999999999,0.0676627182,0.012530132999999995,0.004296045599999999,0.006802072199999999,0.0100241064,0.0025060266,0.1918900368
Hubei,0.00273571344,0.00177016752,0.004586343119999999,0.05700744036,0.00136785672,0.00128739456,0.014322264480000001,0.0989684568,0.0004827729599999999,0.014805037439999997,0.00961522812,0.07740459791999997,0.0009655459199999998,0.007120901159999999,0.014241802319999998,0.0005230040399999999,0.0018103986,0.00313802424,0.00828760248,0.02079946836,0.00510934716,0.00148854996,0.00305756208,0.00036207972,,0.04594389336,0.00028161756,0.0005230040399999999,0.00016092432,,0.00354033504
Hunan,0.00901200168,0.0058773924000000005,0.015281220239999999,0.02272591728,0.004701913920000001,0.0039182615999999995,0.02390139576,,0.00156730464,0.0058773924000000005,0.09482193072,2.3156926056000002,0.0011754784800000002,0.02586052656,0.42199677432,0.00078365232,0.00705287088,0.25233604704,0.03957444216,0.19865586312000005,0.10069932312,0.03761531136000001,0.13478819904,0.0117547848,0.08776905984000001,0.04349270376,,0.00078365232,0.00156730464,0.00039182616,0.041925399120000005
Guangdong,0.008951005440000001,0.004303368,0.016352798399999997,0.04716491328,0.0046476374400000004,0.01187729568,0.01876268448,0.32705596800000003,0.0037869638399999996,0.009983813759999998,0.03201705792,,0.005336176319999999,0.04148446752,0.06231276864,0.006196849920000001,0.012565834560000001,0.1101662208,0.02082830112,0.1790201088,0.09932173343999998,0.02633661216,0.32171979168000003,0.050263338240000004,0.015664259519999998,0.02100043584,0.007229658239999998,0.0013770777599999998,0.00361482912,0.00017213471999999997,0.01876268448
Guangxi,0.00521665596,0.00109824336,0.00713858184,0.012355237800000002,0.0019219258800000005,0.004667534280000001,0.00576577764,0.09417436812000002,0.00164736504,0.00329473008,0.01427716368,2.21762790468,0.0019219258800000005,0.030201692400000008,0.05299024212,0.00109824336,0.00247104756,0.12602342556,0.008785946880000001,0.032123618279999995,0.024985036439999997,0.05738321556,,0.0109824336,0.0043929734400000005,0.00933506856,0.0005491216800000001,0.00027456084000000003,0.00027456084000000003,,0.00631489932
Hainan,0.01125218304,0.0019305216,0.006039774720000001,0.016850695680000003,0.00532272384,0.008907978240000001,0.00187536384,0.0115831296,0.005515776,0.00432988416,0.00380588544,0.07178782464000001,0.010204185600000002,0.01831237632,0.00761177088,0.014754700800000001,0.00402651648,0.01318270464,0.00477114624,0.0064810368,0.0031715712,0.00132378624,0.01042481664,,0.00217873152,0.008963136,0.00057915648,0.000689472,0.0012962073599999998,2.757888e-05,0.01767806208
Chongqing,0.005913939600000001,0.0026284176000000003,0.007228148400000001,0.0124849836,0.003548363760000001,0.0028912593600000005,0.010645091280000005,0.07254432576,0.0010513670400000002,0.011696458319999999,0.039032001360000006,0.22302123336,0.0005256835200000001,0.30515928336,0.12655830744000002,0.0006571044000000001,0.006833885759999999,0.19686847824000006,0.02707270128,0.03009538152,0.08108668296,0.04258036512000001,0.02720412216,0.00275983848,0.055853874000000005,,0.00039426264,0.00039426264,0.0021027340800000003,0.0038112055200000003,0.0091994616
Sichuan,0.014939040600000003,0.005703997320000001,0.023902464960000005,0.05350892724,0.011407994640000002,0.010049900040000002,0.01928494332,0.053780546160000005,0.0032594270400000003,0.07225063272000001,0.09751119228000002,0.4508874072000001,0.0013580946000000002,,0.25314883344000005,0.0010864756800000005,0.0380266488,0.34848707436000004,0.045088740720000006,0.028791605520000006,0.09778281120000004,0.35364783384000004,0.08528834088000002,0.0095066622,0.014939040600000003,0.5410648886400001,0.004074283800000001,0.0024445702800000003,0.01113637572,0.0258037974,0.032865889320000015
Guizhou,0.003090558240000001,0.0015452791200000005,0.007284887280000002,0.009933937200000005,0.0019867874400000003,0.0013245249600000002,0.011258462160000005,0.18852405264000002,0.0008830166400000002,0.004194329040000001,0.045696111120000014,0.57109101192,,0.17859011544000006,0.30000490344,0.00022075416000000005,0.0019867874400000003,,0.024503711760000005,0.08256205584000002,0.11523367152,0.31015959480000005,0.18234293616,0.0026490499200000003,0.004856591520000001,0.13885436664,0.00022075416000000005,0.0004415083200000001,0.00022075416000000005,0.00022075416000000005,0.014128266240000003
Yunnan,0.004275588239999999,0.0015752167200000005,0.006075835920000001,0.007763568120000001,0.0021377941199999997,0.00236282508,0.004275588239999999,0.039942995399999986,0.0006750928799999999,0.005400743039999999,0.0191276316,0.14379478344000002,0.0006750928799999999,0.28095115356,0.10666467504000003,0.0007876083600000003,0.00270037152,0.32033157156000003,0.012826764719999998,0.013276826640000001,0.023290704359999997,,0.08967483756000001,0.0011251548,0.003150433440000001,0.01991523996,0.0007876083600000003,0.00045006192,0.0007876083600000003,0.0011251548,0.007313506200000002
Tibet,0.00012773376000000002,,9.580032e-05,0.00016166304000000004,3.1933440000000004e-05,,9.580032e-05,0.00012773376000000002,3.1933440000000004e-05,0.00012773376000000002,0.00019359648,0.0004849891200000001,3.1933440000000004e-05,0.00929861856,0.00016166304000000004,,0.0013930963200000002,9.580032e-05,6.386688000000001e-05,3.1933440000000004e-05,,0.0014888966399999998,,,9.580032e-05,0.00038719296,0.00025746336,,0.005085400320000001,,6.386688000000001e-05
Shaanxi,0.029256626519999995,0.009944940239999998,0.02810023812,0.06267625127999997,0.18224681183999994,0.005203747799999999,0.02104626888,0.015148688039999997,0.10881614843999997,,0.11020381451999996,0.09239543315999997,0.0008094718799999999,0.06198241823999999,0.08568838043999998,0.0008094718799999999,0.10638773279999998,0.017461464839999996,0.02752204391999999,0.010754412120000001,0.015726882239999997,0.012720272399999998,0.006475775039999999,0.0017345825999999995,0.0185022144,0.015264326879999996,0.00242841564,0.04764320207999999,0.011332606319999996,0.00185022144,0.04463659223999999
Gansu,0.009108126,0.01044398448,0.01111191372,0.02040220224,0.006375688199999999,0.00145730016,0.006497129880000001,0.004918388040000001,0.026777890440000004,0.10614002832,0.054588035160000006,0.03072474504,0.00048576672,0.03455015796,0.0370397124,,,0.005282713079999999,0.035157366360000004,0.00291460032,0.005707758959999999,0.00467550468,0.00200378772,0.00036432504,0.0028538794799999995,0.0070436174399999985,0.009836776080000002,0.08397692172,0.05974930656000001,0.00291460032,0.02319536088
Qinghai,0.0008370799199999997,0.00044754768,0.0014503860000000001,0.0017487511199999995,0.0004806993599999999,0.00022377384,0.00029007719999999987,0.00025692551999999995,0.0009696866399999996,0.003563805599999999,0.0019725249599999994,0.0014503860000000001,9.116711999999997e-05,0.00329859216,0.00109400544,0.00015747047999999995,0.04918051728,9.116711999999997e-05,0.0006464577599999999,0.00022377384,0.00012431879999999995,0.00032322888,0.00012431879999999995,9.116711999999997e-05,0.00022377384,0.0006133060799999999,0.0013592188799999994,0.0021962988,,0.00803099448,0.0011603087999999995
Ningxia,0.00252689868,0.0009550483199999998,0.00286514496,0.0037803996,0.0032033912400000002,0.00025865892000000005,0.002487105,0.00063669888,0.0505379736,0.03696832872,0.0037803996,0.00497421,0.00025865892000000005,0.0027059702399999997,0.00316359756,0.00021886524,0.06064556832,0.0009351514799999998,0.00356153436,0.00027855576000000005,0.0007361830800000001,0.0013529851199999999,0.0008953578000000002,0.0005969052,0.00063669888,0.00043773048,0.0014126756399999998,,0.0031238038800000005,5.969051999999999e-05,0.00469565424
Xinjiang,0.00135922536,0.0008358454800000001,0.0034293099600000002,0.00346055652,0.00080459892,0.00032027724,0.0005468148,0.00080459892,0.00333557028,0.00271845072,0.0015545163600000002,0.01201430232,0.00018747936000000002,0.0074132463599999995,0.00164825604,0.00018747936000000002,0.0183964122,0.00025778412,0.0034918030799999996,0.00032027724,0.0009373967999999999,0.00035152380000000007,0.0006405544799999999,0.00067961268,0.00067961268,0.00184354704,,0.0007421058,0.0024919131600000003,9.373968000000001e-05,0.006444603
Taiwan,,,,6.415199999999999e-05,,3.2075999999999996e-05,0.00016166304000000002,0.00016166304000000002,,3.2075999999999996e-05,0.0025917408,0.0030767299200000005,,0.00012958704,0.0010033372800000002,,,6.415199999999999e-05,0.00184629456,0.00019373903999999999,0.0025917408,9.622799999999999e-05,,3.2075999999999996e-05,9.622799999999999e-05,9.622799999999999e-05,,,,,6.415199999999999e-05
Hong Kong,9.477e-05,2.9160000000000005e-05,0.00016038000000000006,0.000127575,,9.477e-05,2.9160000000000005e-05,0.00016038000000000006,,2.9160000000000005e-05,0.00022599,0.029254770000000006,,0.00025879500000000003,0.000353565,0.000127575,2.9160000000000005e-05,9.477e-05,0.0006779700000000003,6.196500000000001e-05,0.00110079,0.000127575,0.000193185,0.0003207600000000001,,0.000127575,,,,,0.0003207600000000001
Macau,,,,,,2.812968e-05,,0.00015940152000000002,,,,0.045424744919999996,,,2.812968e-05,,,,9.37656e-05,,0.00015940152000000002,2.812968e-05,,,2.812968e-05,,,,,,2.812968e-05
