,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Sichuan,Zhejiang,Shanghai,Shaanxi,Heilongjiang,Hubei,Anhui,Hunan,Hainan,Jilin,Fujian,Yunnan,Jiangxi,Chongqing,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.07799828255999998,0.19170000432,0.01977421248,0.30265530767999993,0.25816332959999994,0.036252722880000005,0.047238396479999986,1.2292968758399998,0.017027794080000002,0.12578596271999998,,0.9255430008,0.06646332527999999,0.025816332959999997,0.15325014671999998,0.6162962889600001,0.14006733839999996,0.0302106024,0.0192249288,0.26365616639999995,0.08733610512000001,0.4202020152,0.07085759471999999,0.047787680159999985,0.0219713472,0.13951805471999998,0.0109856736,0.00933782256,0.006591404159999999,0.0010985673599999998,0.1208424096
Anhui,0.05952595068,0.17169389855999997,0.01700741448,0.44057302272,0.11216794788,0.020651860440000003,0.01700741448,1.67725501848,0.0080987688,0.036039521160000004,0.57055826196,0.29924950716,0.03725433648,0.00971852256,0.12593585484,,0.04737779748,0.01457778384,0.006883953480000001,0.05790619692000001,0.022271614199999998,0.13727413115999998,0.02348642952,0.016602476039999998,0.00890864568,0.01741235292,0.00364444596,0.0032395075199999996,0.00364444596,0.0008098768799999999,0.07612842671999999
Fujian,0.026899257600000004,0.047073700800000014,0.011149034399999999,0.0651245184,0.37393507439999996,0.0157502232,0.018935661600000004,0.1005182784,0.0074326895999999995,0.06016939200000001,0.2721780144000001,0.06919480080000001,0.0251295696,0.0102641904,0.0527367024,0.052382764800000016,0.0624699864,0.0184047552,0.00884844,,0.039110104799999997,0.2139552792,0.044596137599999995,0.039110104799999997,0.011149034399999999,0.04866642,0.0046011888,0.0030084696000000004,0.0030084696000000004,0.0007078752000000001,0.0576918288
Jiangxi,0.02350022868,0.03969941544,0.006388411680000001,0.051335451,0.4893979662,0.00866998728,0.00821367216,0.11681667072,0.0034223634000000005,0.03011679792,0.36094525992,0.08806881815999999,0.01870891992,0.00410683608,0.17568132120000002,0.13210322724,0.3239837352,0.013689453600000002,0.004563151200000001,0.20716706448,0.028519695,,0.02190312576,0.036961524720000014,0.005703939,0.024184701359999998,0.0015971029200000002,0.00205341804,0.00182526048,0.00022815756,0.04745677248
Shandong,0.8344723356,,0.13314153060000006,0.6082653204,0.129133926,0.0975183786,0.13091508359999998,0.8362534932000002,0.053880017400000015,0.08015209200000002,0.20038023,0.12022813800000005,0.0895031694,0.07792564500000003,0.08282382840000002,0.19102915260000006,0.0627858054,0.028498521600000007,0.054770596200000014,0.05877820080000001,0.037404309600000005,0.048091255200000016,0.0427477824,0.037849599000000005,0.023155048799999998,0.023600338200000005,0.013358682000000002,0.013358682000000002,0.007569919800000002,0.0017811576000000004,0.32639713020000005
Henan,0.33901601975999995,0.56969520696,0.04490005608,,0.25045168896,0.27351960768000005,0.03418995096000001,0.3489022706400001,0.027599117040000003,0.08073771552,0.26898840936,0.12151850039999999,0.22820762448,0.01771286616,0.35920044864,0.4263445692,0.08897625792000001,0.03995693064,0.012357813600000002,0.061789068,0.037897295039999994,0.059729432400000004,0.04654776456,0.03418995096000001,0.03418995096000001,0.03418995096000001,0.01482937632,0.02430370008,0.01194588648,0.00370734408,0.21543788376000006
Hubei,0.048767067360000006,0.06576165144,0.01083712608,0.35614737071999997,0.30565621511999996,0.022905743760000003,0.01551679416,0.13029181127999998,0.0073889496,0.07709137416,0.14359192056,0.06625424808000001,0.08324883216,0.00763524792,,0.13127700456,0.36501411024,0.022659445440000002,0.006157458,0.05270784048,0.03251137823999999,0.18423114336,0.14359192056,0.03965402952,0.012561214320000002,0.03103358832,0.0036944748,0.00591115968,0.00295557984,0.0017240882400000005,0.08103214728
Hunan,0.03714882588,0.054406941840000014,0.00848280276,0.087753132,0.93866600196,0.013747990679999995,0.01257794892,0.08424300672,0.00819029232,0.05820957756,0.12811957272,0.05089681656,0.02866602312,0.00789778188,0.36622307088,0.045631628640000005,,0.02808100224,0.00672774012,0.05908710888,0.054699452280000005,0.30450336804,0.07693024572000001,0.20007714096,0.00965284452,0.17024107608,0.00409514616,0.004972677480000001,0.00263259396,0.00117004176,0.06552233856
Guangdong,0.0817283844,0.12070653696,0.02577587508,0.23826967452,,0.0377207928,0.050923070279999996,0.2074643604,0.01634567688,0.24769987272,0.26341686972,0.13893825347999994,0.09870274116,0.036463433039999986,0.29170746431999994,0.10436086008,1.02411952452,0.10184614055999999,0.031433994,0.38286604692000004,0.16660016819999998,0.53940733704,0.14459637239999998,1.3227424675200001,0.024518515319999996,0.19866284208,0.008801518320000002,0.0125735976,0.00565811892,0.0031433994,0.19049000364
Guangxi,0.02287318176,0.033861278880000005,0.00605466576,0.03834621648,1.1808840700799998,0.007848640799999999,0.013006319039999995,0.039915944639999985,0.0031394563199999997,0.06032241071999999,0.049558560479999986,0.025115650559999998,0.016370022239999997,0.007175900159999998,0.03946745088,0.02063071296,0.23119853328,0.023545922400000002,0.00515767824,0.034758266399999994,0.10696576175999996,0.03946745088,0.0403644384,,0.006727406399999999,0.13993005311999998,0.0020182219199999995,0.0022424688,0.0029152094399999997,0.0006727406399999997,0.03677648831999999
Hainan,0.027275982119999997,0.02568322404,0.01141476624,0.03457612332,0.10333018044,0.015595756199999996,0.017984893319999997,0.02973148416,0.007764695639999999,0.047915472239999986,0.023559546599999998,0.02827145592,0.01911309696,0.016923054599999997,0.017321244119999996,0.015396661439999997,0.03059422812,,0.011082941639999998,0.01659123,0.01254296988,0.01221114528,0.02375864136,0.02236497804,0.005707383119999999,0.01353844368,0.003915530279999999,0.00238913712,0.00185821776,6.636491999999999e-05,0.06344486351999999
Chongqing,0.042473471039999995,0.05709096432,0.00910145808,0.07391487168000001,0.15224257152,0.02316734784,0.01572070032,0.07226006112000001,0.008549854559999999,1.14347409696,0.07419067344000001,0.04992011856,0.07253586288000001,0.01158367392,0.19030321440000006,0.037784841119999996,0.09901283184,0.03337201296,0.00441282816,0.0399912552,0.09515160720000003,0.026201167200000004,,0.04716210096,0.0165481056,0.2716647336,0.006067638720000001,0.0096530616,0.00579183696,0.007170845759999999,0.0565393608
Sichuan,0.05392210824,0.06547684572000001,0.01855760868,0.0840344544,0.24965235828000001,0.03081263328,0.02661091056,0.09418861764,0.01540631664,,0.105043068,0.06582698927999997,0.18662651748,0.0140057424,0.07493072183999999,0.033263638199999994,0.062325553679999986,0.04761952416,0.01155473748,0.0560229696,0.43557858863999993,0.02836162836,1.085445036,0.06582698927999997,0.08753589,0.27241168968,0.01190488104,0.02591062344,0.03046248972,0.044118088560000004,0.1120459392
Guizhou,0.012852464399999998,0.0188130276,0.0033528168,0.027940139999999995,0.2028454164,0.0068919012,0.0063330984,0.045449294399999986,0.0033528168,0.2618922456,0.12163274279999997,0.0296165484,0.0180679572,0.0024214788,0.0277538724,0.0154602108,0.1935320364,0.01862676,0.0024214788,0.04433168879999999,0.3134883707999999,0.0277538724,0.2665489356,0.149945418,0.00465669,,0.0011176055999999998,0.0011176055999999998,0.001862676,0.0005588027999999999,0.0281264076
Yunnan,0.0234655704,0.02654036928,0.006796923840000001,0.03544110288,0.15082697664000005,0.0113282064,0.013593847680000002,0.04272352128,0.005987766239999999,0.40749176736,0.06780740688000003,0.045150994080000006,0.028482347520000006,0.006635092319999999,0.029776999680000003,0.01763963568,0.054051727679999995,0.011490037920000001,0.006311429280000001,0.030100662720000008,,0.02055260304,0.08366689583999999,0.10713246624,0.007606081439999998,0.31508596944,0.0022656412800000003,0.0037221249600000003,0.0014564836800000003,0.006635092319999999,0.04563648864
Tibet,0.0016043832,0.00229961592,0.00048131496,0.00527663808,0.00452792592,0.000891324,0.00092697696,0.00377921376,0.000445662,0.07298160912,0.00194308632,0.0022283100000000003,0.00786147768,0.00028522367999999997,0.0028700632799999997,0.00119437416,0.0017648215199999996,0.00021391776000000002,0.00012478536000000006,0.0016043832,0.00921629016,0.00076653864,0.011658517920000002,0.00139046544,0.0064353592800000005,0.00139046544,0.0005347944,0.0018361274399999999,0.027916267680000002,,0.00352964304
Shaanxi,0.07980533100000001,0.07772345280000001,0.0148044672,0.24982538399999998,0.0973856358,0.30233497859999997,0.0215127414,0.0943784784,0.19592787060000005,0.18621243899999998,0.0582925896,0.037011168,,0.0099467514,0.0932218794,0.0351606096,0.0330787314,0.0205874622,0.008327512799999999,0.0275270562,0.026601777,0.0152671068,0.050890356000000005,0.0148044672,0.29632066379999994,0.0180429444,0.0955350774,0.0238259394,0.0238259394,0.0043950762,0.0964603566
Gansu,0.02052598644,0.020979599400000003,0.0068041944,0.03923752104,0.03243332664,0.01394859852,0.00408251664,0.034134375239999994,0.05012423207999999,0.09945464148,0.02483530956,0.017577502199999998,0.3067557642,0.00192785508,0.014402211479999996,0.009639275400000001,0.0107733078,0.0062371781999999995,0.00238146804,0.01202074344,0.0090722592,0.005443355519999999,0.02029917996,0.006463984679999999,,0.010092888359999998,0.12882608063999998,0.04694894136,0.13755813012,0.005556758760000001,0.0334539558
Qinghai,0.00648365796,0.00755787348,0.0007672968000000003,0.01538430084,0.00847862964,0.003107552040000001,0.0018031474800000002,0.009322656120000002,0.003721389480000001,0.03683024640000001,0.0077496976800000015,0.005025794040000001,0.028850359680000003,0.0006138374400000001,0.00437359176,0.0035295652800000007,0.003644659800000001,0.00222516072,0.0006522022800000001,0.0041050378800000014,0.0024937146000000004,0.0016113232800000002,0.007481143800000001,0.0026855388,0.16274365128000004,0.0018031474800000002,0.008593724160000003,0.013811342400000004,,0.01806983964,0.009591210000000005
Ningxia,0.0136692036,0.013312615680000002,0.0014857829999999999,0.017116220159999997,0.01182683268,0.01093536288,0.00261497808,0.01301545908,0.1313432172,0.01485783,0.011886263999999999,0.006002563319999999,0.11155258764,0.00184237092,0.006656307840000001,0.004873368239999999,0.005051662199999999,0.004457348999999999,0.00112919508,0.005943131999999999,0.0038630358,0.00231782148,0.006002563319999999,0.0026744094,0.15261962976,0.00481393692,,0.00528938748,0.0092118546,0.00047545055999999997,0.016700200919999998
Xinjiang,0.0152526726,0.018066272400000003,0.0023199858,0.0430431408,0.0160918164,0.0059727294000000005,0.004590610200000001,0.016782876000000002,0.0099710028,0.06811873200000003,0.012784602600000002,0.006861234599999999,0.041068684800000005,0.0022212630000000007,0.0094773888,0.0058740066,0.008736967800000002,0.006071452200000001,0.0013821192000000005,0.0049855014,0.005232308400000001,0.0021719016,0.0188560548,0.0018757332,0.102178098,0.003948912000000001,0.009033136200000002,,0.0272968542,0.0012833964000000002,0.0211760406
Taiwan,6.441119999999999e-05,3.2205599999999995e-05,,0.000129276,0.00016193519999999995,,0.000129276,9.707040000000002e-05,6.441119999999999e-05,6.441119999999999e-05,9.707040000000002e-05,0.0012959352,,,6.441119999999999e-05,,,,3.2205599999999995e-05,0.001716876,3.2205599999999995e-05,3.2205599999999995e-05,,3.2205599999999995e-05,,,3.2205599999999995e-05,,,,
Hong Kong,,0.00012938292,,,0.013607514,,3.1230359999999996e-05,,3.1230359999999996e-05,,,0.00022604832,,,,3.1230359999999996e-05,3.1230359999999996e-05,3.1230359999999996e-05,,0.0001933308,,,3.1230359999999996e-05,0.00022604832,,,3.1230359999999996e-05,,,,9.66654e-05
Macau,0.0013053150000000007,0.00071199,0.0006645240000000001,0.00071199,0.211603428,0.000569592,0.00071199,0.002681829,0.000213597,0.0011154510000000002,0.002041038,0.0025394310000000004,0.00045092699999999995,0.000355995,0.00118665,0.0006645240000000001,0.001827441,0.00045092699999999995,0.000213597,0.001637577,0.000640791,0.0009967860000000002,0.000403461,0.001708776,2.3733e-05,0.00030852900000000004,4.7466e-05,,,,0.0012103830000000002
