,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Sichuan,Zhejiang,Hunan,Heilongjiang,Shanghai,Gansu,Jilin,Jiangxi,Yunnan,Fujian,Hainan,Chongqing,Guizhou,Guangxi,Hubei,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Anhui,0.06780367440000001,0.0342186768,0.21988668239999998,0.557637696,0.0354860352,0.015208300799999996,0.1958068728,0.007604150399999998,2.4593089752,,0.0671699952,0.0266145264,1.6564374288,0.0456249024,0.0025347168,0.5170822272000001,0.012673584,0.0044357544,0.14257782,0.0177430176,0.0899824464,0.0082378296,0.0133072632,0.0177430176,0.0228124512,0.0202777344,0.003168396,0.0044357544,0.003168396,0.0006336792,0.057031128000000014
Fujian,0.015657348600000003,0.007613206200000002,0.03217656960000001,0.047115691200000004,0.0119225682,0.0074695607999999995,0.43380910799999994,0.005602170600000001,0.08345797740000001,0.041657166,0.030740115600000006,0.033038442,0.22207578840000006,0.046684755000000015,0.003591135000000001,0.06148023120000001,0.0084750786,0.0027292626000000003,0.16849605420000002,0.0360549954,,0.0101988234,0.025999817400000003,0.040651648200000015,0.031027406400000006,0.005027589,0.0017237448000000002,0.0017237448000000002,0.0015800994000000005,0.0005745816000000001,0.011635277400000005
Jiangxi,0.01731191616,0.0055083369600000005,0.03855835872,0.04367324304,0.0059017896,0.00432797904,1.27006512192,0.00354107376,0.16485665615999998,0.10701911808,0.020066084640000002,0.02203334784,1.1783906568,0.26676088992,0.0007869052799999999,0.11449471824000002,0.0051148843200000006,0.0011803579199999995,,0.033050021760000006,0.47096281008,0.014951200319999997,0.01888572672,0.030689305919999996,0.04918158,0.02282025312,0.00039345263999999996,0.0011803579199999995,0.0011803579199999995,0.00039345263999999996,0.0137708424
Shandong,0.6875492122800001,0.18038363364,,0.5728954327200001,0.13071277800000006,0.07133183028,0.09336627000000003,0.05265857628000001,0.8354413839600001,0.20204460827999998,0.09971517636,0.041454623880000006,0.19457530667999998,0.0354791826,0.01979364924,0.10681101288,0.02315483496,0.01979364924,0.04967085564,0.01979364924,0.03585264768,0.009336627,0.017179393680000002,0.01605899844,0.02278136988,0.00896316192,0.0074693016,0.00784276668,0.013818207960000002,0.00149386032,0.15050642724000002
Henan,0.34865887859999994,0.09923877,0.7555378356,,0.350643654,0.028448447400000004,0.7085648178,0.028448447400000004,0.9639392526,0.8613925235999998,0.35196683759999997,0.0747598734,0.9387987642,0.1085010552,0.0052927344000000005,0.23552668079999997,0.0555737112,0.0072775098,0.1197481158,0.039695508,0.1210712994,0.0185245704,0.0304332228,0.0291100392,0.0436650588,0.079391016,0.0112470606,0.019847754,0.019847754,0.004631142600000001,0.14819656320000002
Hubei,0.0027940788,0.0007405992000000001,0.005689148399999999,0.0595509084,0.0012792168,0.0009425808,0.035952724799999995,0.0011108988,0.012758504399999999,0.0172357632,0.0179090352,0.0026594244,0.0084495636,0.08580851639999998,0.0006732719999999999,0.0042752772,0.0015821891999999998,0.0006396084,0.0194238972,0.0012455532,0.0033326964,0.0006059447999999999,0.044772587999999995,0.0013128804,0.002861406,,0.0005049540000000001,0.0002019816,0.00016831799999999998,3.36636e-05,0.0015485256
Hunan,0.02063513232,0.0070347042,0.03001473792,0.057684574440000004,0.01125552672,0.006096743639999999,2.6192548638,0.0042208225200000005,0.10270668132,0.040332304080000006,0.03001473792,0.035642501279999995,0.43427573928,,0.00140694084,0.05111885052,0.00750368448,0.00140694084,0.29827145808,0.06331233780000001,0.11349322775999998,0.02860779708,0.06847112088,0.22088971188,0.30202330032,0.09567197712000002,0.00140694084,0.00187592112,0.0023449014,0.00187592112,0.02298003372
Guangdong,0.03156041232,0.008576199000000001,0.049398906240000005,0.13207346460000002,0.016123254119999996,0.016466302080000002,,0.006517911240000001,0.08198846243999999,0.05694596136000001,0.04631147460000001,0.11800849824,0.12692774520000005,0.63669701376,0.009605342880000005,0.03979356336,0.016123254119999996,0.00789010308,0.3650030294400001,0.07409835936000002,0.24665148324000005,0.10188524412,0.06243472872000001,0.16706435652,0.8469854132400001,0.018524589840000005,0.00205828776,0.003773527560000001,0.00891924696,0.00034304796000000004,0.021268973519999998
Guangxi,0.01242759024,0.0014620694400000005,0.014620694400000004,0.024489663120000005,0.00438620832,0.004020690960000001,2.7969388387199996,0.00219310416,0.02522069784,0.011696555520000002,0.008406899280000001,0.030337940880000008,0.06981381576000001,0.17508281544,0.0018275868,0.01242759024,0.003655173600000001,0.00219310416,0.03874484016,0.11696555520000003,0.042034496399999996,0.02668276728,0.01754483328,0.19116557928000005,,0.005848277760000001,0.0007310347200000001,0.00109655208,0.00109655208,,0.005482760400000001
Hainan,0.01312742376,0.0015353711999999999,0.010555677,0.019806288480000003,0.01193751108,0.0094041486,0.12486406284,0.00656371188,0.00955768572,0.00472126644,0.0128587338,0.01969113564,0.012474891,0.015008253480000002,0.0130506552,0.006218253360000001,0.0032626638,0.007983930240000001,0.008482925879999999,0.00487480356,0.0042990393600000005,,0.01274358096,0.01032537132,0.020151747,0.0015737554799999994,0.0011515284,0.00092122272,0.0026101310399999997,0.00023030568,0.01274358096
Chongqing,0.01953972072,0.0063372067199999995,0.0237645252,0.04039969284,0.0145227654,0.004752905039999999,0.30999502871999995,0.0031686033599999997,0.056242709639999985,0.016635167639999997,0.08476013987999999,0.89671475088,0.19645340832000002,0.1333453914,0.0007921508399999997,0.026669078279999998,0.020067821280000002,0.0007921508399999997,0.04462449731999999,0.12753628524,0.12304743048,0.013730614559999998,,0.33481575503999994,0.051753854879999985,0.05597865936,0.0010562011199999998,0.006073156439999999,0.006601256999999999,0.0063372067199999995,0.00976986036
Sichuan,0.041294448,0.013583700000000002,0.079328808,0.126600084,0.053248104,0.012497003999999999,0.760143852,0.008693568,0.168981228,0.033144228,0.396100692,,0.30264483600000003,0.07606871999999999,0.003260088,0.07552537200000001,0.109756296,0.003260088,0.033144228,0.6085497599999999,0.16137435600000002,0.032057532,1.4235717600000002,0.5965961040000001,0.126600084,0.014670396000000004,0.006520176,0.028797444,0.022277268,0.070091892,0.034774272
Guizhou,0.00897250608,0.0023406537600000003,0.01482414048,0.02301642864,0.004291198560000001,0.0019505448,0.7794377020800001,0.0019505448,0.09908767583999999,0.02067577488,0.018725230080000002,0.27853779744,0.7458883315200001,0.41702647824,0.00078021792,0.02964828096,0.0046813075200000005,0.00078021792,0.13770846288,0.50246034048,0.18881273664,0.01014283296,0.27073561824000003,,0.31676847552,0.006631852320000001,0.00078021792,0.00039010896,0.0011703268800000001,0.00078021792,0.006631852320000001
