,Hebei,Henan,Tianjin,Shandong,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Anhui,Heilongjiang,Shaanxi,Hubei,Sichuan,Zhejiang,Hainan,Hunan,Jilin,Fujian,Yunnan,Jiangxi,Gansu,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07530881364,0.33227858231999996,0.021270428280000003,0.17993632572,0.03104332776,0.2385737226,1.1675740496399998,0.01264728168,0.0258694398,0.9456717438,0.7381413489599999,0.02931869844,0.0632364084,0.20063187755999998,0.1034777592,,0.03851672148,0.18223583147999997,0.022995057599999997,0.28513871424000004,0.09657924192,0.4581765226799999,0.02184530472,0.09198023039999999,0.05231375603999999,0.2385737226,0.008048270159999999,0.00632364084,0.00459901152,0.00057487644,0.061511779079999995
Anhui,0.0601446384,0.4565524824,0.020699128799999997,0.1898071056,0.0218707776,0.0984184992,1.4899467240000002,0.007420442399999999,0.0113259384,0.3643827768,,0.0089826408,0.037102212,0.13786400880000002,0.0257762736,0.5557520807999999,0.016012533599999997,0.0492092496,0.0066393432,0.048037600800000003,0.0222613272,0.13044356640000002,0.0105448392,0.0222613272,0.0167936328,0.0171841824,0.0042960456,0.0035149464000000003,0.0027338472000000003,0.0011716487999999998,0.061316287200000014
Fujian,0.024580480320000004,0.06778253664000003,0.0111729456,0.047112587280000014,0.012290240160000002,0.39570849,0.10186002072,0.004282962479999999,0.0111729456,0.0940389588,0.05623715952000001,0.010428082560000005,0.029608305840000005,0.06592037904,0.054188786160000016,0.2770890508800001,0.018621576,0.07653467736000001,0.006145120080000001,,0.04115368296,0.23034889511999998,0.008565924959999999,0.053816354640000015,0.036312073199999996,0.07932791376000001,0.00391053096,0.00223458912,0.00148972608,0.00037243152,0.033332621039999996
Jiangxi,0.024808647600000008,0.05615775684000001,0.00654046164,0.04194916776000001,0.009021326400000002,0.5081262094800001,0.11863044216000003,0.003382997400000001,0.006765994800000001,0.10735378416,0.12246450587999999,0.008795793240000002,0.019846918080000005,0.17140520160000006,0.020523517560000003,0.35205726276000004,0.022553316000000004,0.28687817952000005,0.00586386216,0.20388197664,0.02097458388,,0.007442594280000002,0.020523517560000003,0.035408706120000015,0.034732106639999996,0.0015787321200000006,0.0022553316000000004,0.0011276658000000002,0.00022553316000000005,0.030221443440000006
Shandong,0.76075914096,0.6543529012799999,0.16824918239999997,,0.11731970015999997,0.11641024512,0.87034847328,0.05320311983999999,0.10413260207999998,0.14232971375999998,0.24509813328,0.11186296992,0.1114082424,0.09958532688,0.09503805168,0.18598355568,0.038651839199999996,0.06320712527999997,0.07412058575999997,0.05047475472,0.043653841919999985,0.053657847360000004,0.02637419616,0.0409254768,0.032740381439999994,0.03046674384,0.0136418256,0.01273237056,0.0063661852800000005,0.00045472752,0.21508611696
Henan,0.33872868359999997,,0.06021843263999999,0.5340204061200001,0.28101935231999997,0.22916459088,0.38723797656,0.026763747840000005,0.025927380719999997,0.13674602412,0.45874736532,0.01589097528,0.23251005936,0.3822197738400001,0.07527304080000001,0.26847384552,0.048091109400000005,0.1003640544,0.014218241040000003,0.06147298332,0.04098198888,0.06983665452,0.035963786160000004,0.04683655872000001,0.038891071080000006,0.03261831768,0.022581912239999998,0.0146364246,0.011290956119999999,0.0020909178,0.18149166504000006
Hubei,0.0559355868,0.39232960416,0.014048938080000002,0.08143180776,0.031740193439999995,0.29684885831999996,0.14387153256,0.0104066208,0.01014645528,0.06920402832000001,0.15037567056,0.0104066208,0.08585462160000001,,0.06530154552,0.13294458072000004,0.03304102104,0.38192298336,0.00624397248,0.0559355868,0.04214681424000001,0.18107520192,0.02029291056,0.15063583608,0.046049297040000006,0.048911117760000004,0.01014645528,0.005723641440000001,0.0044228138399999995,0.00156099312,0.05697624888
Hunan,0.029541642840000007,0.08614011744000001,0.00911097396,0.04500268956,0.014356686240000001,0.90916476516,0.07647696324,0.004693532040000001,0.0074544332400000015,0.05218103268,0.0427939686,0.007730523360000002,0.03395908476,0.35919324612,0.04113742788,0.11126431836000003,0.04113742788,,0.007178343120000001,0.054941933880000016,0.0455548698,0.27443357928,0.0069022530000000006,0.0704029806,0.20071751724,0.17034760404000002,0.00524571228,0.0030369913199999998,0.00248481108,0.0011043604800000002,0.04058524764
Guangdong,0.07097579640000001,0.25405355160000004,0.027859658399999997,0.1081220076,0.035819560800000004,,0.20297751120000004,0.0172464552,0.03316626,0.1658313,0.1087853328,0.0451061136,0.0902122272,0.3873819168000001,0.22685721840000006,0.2215506168,0.19435428360000004,1.1561758236000002,0.0318396096,0.3906985428,0.16782127559999999,0.5664797208,0.023216382,0.15986137320000002,1.303434018,0.26732005560000005,0.014593154400000002,0.009286552800000002,0.005969926800000001,0.0019899756,0.10613203200000003
Guangxi,0.021914277840000003,0.040697944560000004,0.006502038480000001,0.03010203,0.00794693592,1.38854643984,0.04286529072,0.0036122436,0.007706119680000002,0.026730602640000004,0.022155094080000003,0.00794693592,0.01709795304,0.04527345312,0.036363252240000005,0.03949386336,0.04310610696,0.2191427784,0.00457550856,0.033232641119999996,0.10740404304,0.038289782160000015,0.0052979572800000005,0.028416316320000006,,0.14954688504000002,0.00192652992,0.0016857136800000002,0.00144489744,,0.023359175279999998
