,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Shaanxi,Guangdong,Anhui,Heilongjiang,Sichuan,Zhejiang,Hubei,Jilin,Shanghai,Hunan,Jiangxi,Gansu,Hainan,Fujian,Chongqing,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.08511676991999999,0.03180187008,0.25160891328,0.4508382758399999,0.04863815423999999,0.0514442016,0.02057768064,2.1821694969599994,0.09166421376,0.30118241663999995,1.2131478086399998,0.030866520959999994,0.1449791136,,0.27499264127999995,0.022448378879999998,1.917465696,0.24693216767999995,0.7969174502399998,0.03460791744,0.032737219199999994,0.5415671404799999,0.09447026111999997,0.08605211903999999,0.05799164543999999,0.18613447488,0.01028884032,0.013094887679999999,0.007482792959999998,0.0028060473599999997,0.10662979967999996
Anhui,0.14148777708,0.0770477994,0.455282451,0.91196577108,0.05743563228,0.02941825068,0.01540955988,5.9326805538,0.12327647904,0.21433296924000003,,0.0140086908,0.054633894120000005,2.96704071144,0.33901031736000004,0.0140086908,1.65162464532,0.12047474088,0.3712303062,0.02241390528,0.019612167120000003,0.13868603891999998,0.04062520332,0.02381477436,0.02661651252,0.0280173816,0.0070043454000000005,0.00980608356,0.0070043454000000005,0.00140086908,0.17230689684
Fujian,0.030182842080000005,0.015091421040000002,0.05720701464,0.08212540752,0.017899127280000003,0.015793347600000004,0.007721192160000002,0.16074118224000006,0.032639585040000016,1.09991891952,0.09546201216,0.01087986168,0.07580806847999999,0.6226088587199999,0.10599091056,0.0066683023200000005,0.14845746744000002,0.12108233160000002,0.4853822162400001,0.011581788240000002,0.018952017119999998,,0.05755797792,0.04071174048,0.047380042800000015,0.07159650912000001,0.0024567429600000005,0.004913485920000001,0.0031586695200000003,0.0007019265600000001,0.047731006080000006
Jiangxi,0.0367747128,0.01681129728,0.06829589520000001,0.11242555056000003,0.014709885120000004,0.00945635472,0.005253530400000001,0.4518036144,0.039926831040000006,3.8067081278400003,0.3141611179200001,0.006304236479999999,0.04518036144,2.39350845024,0.4192317259200001,0.005253530400000001,0.3540879489600001,0.8836438132800002,,0.00945635472,0.023115533760000005,1.1904499886400002,0.03782541888,0.03047047632,0.08720860463999999,0.058839540480000015,0.00210141216,0.00210141216,0.00210141216,,0.06199165872000001
Shandong,1.3372337433600001,0.7303766630399999,,1.17970152192,0.24882930432,0.21571173504000002,0.09666749951999999,1.7767128384,0.20676104064,0.15037166591999998,0.42247277568,0.11725409664000001,0.10203791616,0.40099110912,0.14321111039999998,0.07518583295999999,0.3222249984,0.08682173568,0.07429076352000001,0.04385840256,0.02506194432,0.07160555519999999,0.048333749759999996,0.0402781248,0.038487985919999995,0.02953729152,0.02148166656,0.02953729152,0.015216180480000003,0.00358027776,0.8798532595199999
Henan,0.7950325089599999,0.23921332128000003,1.30863758112,,0.8419370817599999,0.05980333032000001,0.06097594464,1.6170351472799998,0.8911868832,0.5487835017599999,1.17144170568,0.021107057760000002,0.13367803248,0.95450805648,0.996722172,0.02227967208,0.4409029843199999,0.28611789407999993,0.17120169072,0.08794607399999999,0.03635104392,0.11257097471999998,0.0703568592,0.04338672984,0.0527676444,0.04573195848,0.03166058664,0.0469045728,0.03048797232,0.005863071599999999,0.5839619313600001
Hubei,0.09053474975999999,0.032481933119999994,0.12232557792,0.7774930800000001,0.05667060672,0.0207331488,0.01451320416,0.42226513056,0.26607540960000003,1.12926550464,0.34417027008,0.0076021545599999985,0.16448298048,0.6309788284800001,,0.0076021545599999985,0.19074496895999998,1.20528705024,0.52385755968,0.029717513280000003,0.034555248000000004,0.14374983168,0.33587701056,0.04423071744,0.08155038528,0.07325712576,0.0076021545599999985,0.00898436448,0.008293259519999999,0.00138220992,0.12232557792
Hunan,0.05083271316000001,0.02009665404,0.06383643048,0.18086988636,0.02482527852,0.01536802956,0.01063940508,0.18559851084000004,0.07447583556,6.904973896919999,0.10757620692,0.008275092840000001,0.10757620692,0.42439404708000006,0.97882526736,0.0059107806,0.11703345587999997,,0.77904088308,0.016550185680000003,0.055561337639999986,0.17495910575999998,0.1950557598,0.08038661616000001,0.6962899546799999,0.41730111036,0.007092936719999998,0.01063940508,0.0059107806,0.00118215612,0.08156877228
Guangdong,0.07629546815999999,0.02783753568,0.12784646015999998,0.35157776544,0.047426912639999985,0.051550992000000004,0.02680651584,0.21032804735999996,0.12887748,,0.15774603552000002,0.035054674560000006,0.34229858688000003,0.30621289248000005,0.59077436832,0.02680651584,0.15362195616,1.92903812064,1.0227716812799998,0.047426912639999985,0.30518187264,0.7949162966399999,0.20414192832,0.18455255136,2.31154648128,0.30621289248000005,0.013403257919999998,0.02165141664,0.01855835712,0.006186119039999999,0.14124971808
Guangxi,0.02479470912,0.009298015920000001,0.0309933864,0.0413245152,0.00826490304,0.0103311288,0.00413245152,0.04752319248,0.025827822,8.52318126,0.02169537048,0.006198677279999999,0.07335101447999999,0.07335101447999999,0.06715233720000001,0.0051655644,0.03822517656,0.49176173088,0.06715233720000001,0.0103311288,0.07851657888000001,0.056821208399999996,0.06611922432,0.16736428656000002,,0.3243974443200001,0.00206622576,0.00309933864,0.00206622576,0.00103311288,0.03305961216
Hainan,0.015537410279999997,0.007974226440000001,0.0152085762,0.02811531384,0.01307115468,0.011262567239999998,0.006494473079999999,0.028855190519999994,0.020058878879999995,0.26479364292,0.015126367679999997,0.0110981502,0.04003554924,0.028855190519999994,0.0275398542,0.00665889012,0.03222573984,0.04759873307999999,0.016770538079999998,0.00320613228,,0.01652391251999999,0.028690773479999994,0.013811031359999995,0.05442204023999998,0.02038771296,0.00254846412,0.0016441703999999998,0.0007398766799999999,0.0004932511199999998,0.0402821748
Chongqing,0.032143359600000004,0.010519644960000001,0.046169552880000006,0.07480636416,0.0350654832,0.01344176856,0.01227291912,0.08824813272,0.20922404976,0.27993944088000006,0.040909730400000004,0.0058442471999999995,3.0150471304799997,0.12097591704,0.39039571296,0.00467539776,0.054935923679999984,0.21214617336,0.04032530568,0.057858047279999984,0.032143359600000004,0.06896211696,,0.16772989464000002,0.08415715968000001,0.6399450683999999,0.014610618,0.01519504272,0.01285734384,0.00818194608,0.046753977599999996
Sichuan,0.05923126944000001,0.0240126768,0.08164310112,0.1240654968,0.05763042432,0.026413944480000003,0.022411831680000004,0.1320697224,0.6267308644799999,0.42902649216,0.04562408592,0.0120063384,,0.16408662479999994,0.16168535711999998,0.011205915840000002,0.10085324256000001,0.11766211632000001,0.04082155056,0.27374451551999995,0.04642450848,0.0840443688,3.65312856384,0.6955672046399999,0.10485535536,0.6155249486400001,0.016008451200000003,0.036019015200000004,0.06163253712,0.06963676272000001,0.0960507072
Guizhou,0.017533700639999997,0.011009532959999999,0.02772771264,0.03751396416,0.011009532959999999,0.00897073056,0.00448536528,0.07869777263999997,0.033436359359999994,0.5879906121599999,0.02731995216,0.00489312576,0.51704028864,0.27890816832,0.07258136543999999,0.0032620838399999995,0.04526141328,0.4057216776,0.06972704208,0.011825053919999998,0.028950994079999993,0.11050309008,0.65119348656,0.5892138935999999,0.39511990512,,0.00285432336,0.0040776048,0.00244656288,0.0016310419199999998,0.02976651504
Yunnan,0.021248823959999996,0.010974667319999996,0.029187945,0.04016261232,0.012142185120000001,0.01144167444,0.0060710925600000005,0.05183779031999999,0.03642655536,0.204315615,0.02148232752,0.00840612816,0.6465713576400001,0.08592931007999999,0.04156363368,0.005370581879999999,0.038061080279999986,0.07402062851999999,0.025685391600000003,0.0128426958,0.01657875276,0.03946210164,0.13823410752,,0.18236628036,0.51347432844,0.00420306408,0.00373605696,0.00256853916,0.013543206479999998,0.03315750552
Tibet,0.0027100656000000004,0.00115793712,0.0033999004799999994,0.00783455328,0.0014535806400000002,0.0013550328000000002,0.00046810224000000004,0.00416364624,0.0140430672,0.0076128206399999985,0.0021187785600000003,0.0005666500799999999,0.08196716592000003,0.0036462700799999997,0.0037694548799999997,0.0006898348800000001,0.00448392672,0.0036216331200000004,0.00125648496,0.008080922879999999,0.00051737616,0.00177386112,0.01197356256,0.016777769760000002,0.00083765664,0.0033013526399999996,0.0007637457599999999,0.004754933279999999,0.044149432320000015,,0.006799800959999999
Shaanxi,0.15873508439999998,0.03503119104,0.15764035967999998,0.7356550118399999,0.77670718884,0.02846284272,0.4433635116,0.16201925856,,0.123156531,0.08484116579999999,0.01149460956,0.5807514639600001,0.09250423884,0.24467097492,0.00930516012,0.05856777252000001,0.06732557028,0.029557567439999998,0.80079113268,0.0218944944,0.03229437924,0.18117694116,0.03667327812,0.025178668560000003,0.03338910396,0.30159666036,0.035578553400000004,0.07115710680000001,0.0054736236,0.11987235684
Gansu,0.03240854064,0.02280601008,0.03961043856,0.0735193746,0.03660964776,0.00930245148,0.13743621864,0.06031589507999999,1.042774803,0.03991051764,0.0180047448,0.00480126528,0.3060806616,0.0405106758,0.029107670760000003,0.00330086988,0.03660964776,0.01890498204,0.01020268872,,0.00480126528,0.014103716759999997,0.05041328544,0.01110292596,0.00990260964,0.01140300504,0.33218754156,0.10292712444,0.43931577312,0.00480126528,0.05341407624
Qinghai,0.009179736479999999,0.00290843136,0.01281527568,0.0268121016,0.009088848,0.0018177695999999999,0.00881618256,0.011179283040000002,0.070438572,0.00945240192,0.005453308800000001,0.0006362193600000001,0.07471033056000001,0.008270851680000002,0.007089301440000002,0.00118155024,0.0069984129599999995,0.0058168627200000005,0.004180870079999999,0.5219725406400001,0.00145421568,0.0025448774400000005,0.0109066176,0.003908204639999999,0.0018177695999999999,0.00281754288,0.028538982720000005,0.0209043504,,0.027175655520000005,0.00854351712
Ningxia,0.018997545600000002,0.006152614199999997,0.0182419614,0.0247183974,0.0251501598,0.0034540992,0.243406053,0.0162990306,0.26240359859999995,0.0104702382,0.006908198399999999,0.0029143962,0.020400773400000002,0.013708456199999998,0.008095544999999999,0.0018349902,0.0106861194,0.008419366800000001,0.0030223368,0.2948937192,0.004209683400000001,0.0022667526,0.008959069799999999,0.0038858615999999993,0.001619109,0.003238218,,0.0092828916,0.022127822999999998,0.000539703,0.021696060599999997
Xinjiang,0.0175408416,0.0072426700799999985,0.01986075936,0.050981607359999986,0.007921670399999999,0.0050925024,0.01035475488,0.01997392608,0.05392394207999999,0.01986075936,0.008996754240000002,0.0029989180800000003,0.05539510943999999,0.015843340799999998,0.0096191712,0.0029989180800000003,0.01793692512,0.00944942112,0.0031686681599999997,0.11837238912,0.00401741856,0.007186086719999998,0.0195212592,0.004753002239999999,0.0030555014399999995,0.0028291679999999995,0.009788921279999998,,0.02580201216,0.0023199177599999995,0.027952179839999997
Taiwan,0.00025888896,,3.236112e-05,9.708335999999999e-05,3.236112e-05,6.472224e-05,3.236112e-05,3.236112e-05,6.472224e-05,0.00042069456,6.472224e-05,3.236112e-05,9.708335999999999e-05,0.00012944448,6.472224e-05,,0.00281835936,3.236112e-05,,,3.236112e-05,0.0023322070800000003,,0.0001618056,3.236112e-05,,,,3.236112e-05,,0.00035597232000000005
Hong Kong,6.438528000000001e-05,,,3.2192640000000004e-05,3.2192640000000004e-05,,,,3.2192640000000004e-05,0.01237672872,,,6.438528000000001e-05,3.2192640000000004e-05,,,0.0004211870400000001,3.2192640000000004e-05,,3.2192640000000004e-05,,0.00016096319999999998,,3.2192640000000004e-05,3.2192640000000004e-05,,,,,,
Macau,0.0006351048,0.0003079296,0.00096228,0.0006735959999999999,0.00048114,0.0010007712,9.622799999999999e-05,0.0022902263999999995,0.001058508,0.16512724799999998,0.00038491199999999995,0.0005388768,0.0010200168,0.0027136296,0.0022324896,0.000288684,0.0025789104,0.0019053144,0.000577368,9.622799999999999e-05,0.00038491199999999995,0.0020592792000000003,0.000288684,0.00019245599999999997,0.0022517352,0.00034642079999999995,5.7736799999999986e-05,,1.92456e-05,1.92456e-05,0.0014819112
