,Hebei,Shandong,Tianjin,Henan,Guangdong,Liaoning,Shanxi,Jiangsu,Inner Mongolia,Zhejiang,Sichuan,Heilongjiang,Shaanxi,Shanghai,Hainan,Hubei,Anhui,Hunan,Jilin,Yunnan,Fujian,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.0734193396,0.1792921554,0.0175567986,0.2803767534,0.2590957854,0.0457540812,0.0377737182,1.1513003688,0.016492750199999996,,0.11385317880000001,0.023941089,0.0595867104,0.8624112281999999,0.0393697908,0.15269094539999994,0.6049115153999999,0.1457746308,0.0218129922,0.08778399299999999,0.2676081726,0.4218951905999999,0.06597100079999997,0.0207489438,0.050542298999999985,0.18248430059999998,0.007980362999999999,0.0090444114,0.005320241999999999,0.0010640484,0.1048087674
Anhui,0.05698999296,0.16596410111999998,0.01424749824,0.3966195456,0.1078189056,0.01848324096,0.02079364608,1.5945646003199998,0.00885655296,0.55526736384,0.03157553664,0.007316282879999999,0.03542621184,0.30805401600000004,0.01771310592,0.115520256,,0.04466783232,0.00847148544,0.021178713600000003,0.04890357504,0.11783066112,0.02079364608,0.007316282879999999,0.017328038400000002,0.016557903359999997,0.0038506752,0.0026954726400000005,0.00231040512,0.00115520256,0.07547323392000001
Fujian,0.02330795736,0.05257841544,0.008311364639999999,0.062154552959999984,0.37979322768,0.02132045712,0.015177274559999997,0.10226592143999999,0.0081306828,0.27553980599999994,0.06034773455999999,0.012828410639999998,0.024572730240000003,0.07769319119999997,0.02240454816,0.05745682512,0.048784096799999996,0.06468409871999999,0.005781818879999999,0.04173750504,,0.212301162,0.04282159608,0.011382955919999998,0.04101477768,0.058721597999999986,0.004517045999999999,0.00415568232,0.0036136368,0.0007227273599999999,0.05763750695999999
Jiangxi,0.0235387782,0.03631697208,0.004707755639999999,0.053578742760000006,0.52749281052,0.008742974760000001,0.00829461708,0.11253777767999998,0.00269014608,0.37079180136,0.024883851239999998,0.00403521912,0.016813413,0.08317034964,0.01972773792,0.16230548016000002,0.11141688347999998,0.28156862304,0.005380292159999999,0.02645310312,0.21005557308,,0.02196952632,0.005156113320000001,0.03878293932,0.02622892428,0.0017934307199999999,0.00201760956,0.0017934307199999999,0.00022417883999999998,0.04550830452
Shandong,0.7057800669600001,,0.12442452444,0.5618213168399999,0.13291766604,0.13249300896,0.10616427,0.7932594254399999,0.042890365079999986,0.20086279884,0.07261636067999999,0.06709581864,0.0913012722,0.12994506648,0.03524653764,0.08450675892000001,0.18175323024,0.06327390492,0.04713693588,0.042465708,0.06030130536,0.04926022128,0.0403424226,0.021232854,0.0403424226,0.02717805312,0.01358902656,0.010616427,0.0063698562,0.0012739712399999995,0.35331469056000003
Henan,0.32827568868,0.5459057920799999,0.044746376399999996,,0.25749505692,0.032136033960000004,0.25627470119999995,0.36692028648,0.02155961772,0.2684782584,0.0752552694,0.01138998672,0.25302041928,0.12244235723999998,0.043932805920000005,0.33844531968,0.4071920252399999,0.08867918232000001,0.01138998672,0.03986495352,0.06467885316000001,0.05898385979999999,0.04555994688,0.034169960159999985,0.03823781256,0.03091567824,0.021966402960000003,0.0122035572,0.01057641624,0.004881422879999999,0.22495223772
Hubei,0.045291312,0.06176088000000001,0.008234784,0.3104056080000001,0.29988338400000003,0.015325848,0.021959424,0.134730216,0.007548551999999999,0.13678891199999998,0.070453152,0.007319808,0.075256776,0.06244711200000001,0.026076816000000003,,0.112770792,0.3293913600000001,0.006176088000000001,0.032481647999999995,0.055584792000000015,0.161493264,0.124894224,0.011894688,0.040487688,0.028135512,0.005489856,0.0034311600000000004,0.002973672,0.0011437200000000002,0.08257658400000001
Hunan,0.028647525960000003,0.04922924364,0.0061188890400000005,0.07120161792,0.9512091144,0.014462828640000001,0.013906566,0.08288313336,0.0055626264,0.12043086156,0.055348132679999995,0.010568990159999998,0.029760051240000005,0.051454294200000014,0.03977277876,0.3226323312,0.041719698,,0.004728232440000001,0.05757318324,0.05256681948,0.26784046116000004,0.06730777943999999,0.00862207092,0.18996369156,0.15686606447999998,0.00445010112,0.00250318188,0.00333757584,0.00111252528,0.06480459756000001
Guangdong,0.0799351416,0.1195777728,0.0207961344,0.2248582032,,0.051990336,0.0344435976,0.2196591696,0.0168968592,0.24435457919999995,0.2398054248,0.0383428728,0.09943151759999999,0.14622282,0.1741676256,0.30284370720000003,0.10138115519999999,1.0222599816,0.030544322399999994,0.17611726319999998,0.3762800568,0.5601958704,0.15077197439999998,0.025345288799999997,1.3725448703999998,0.2320068744,0.011697825600000001,0.0103980672,0.006498792,0.003249396,0.2222586864
Guangxi,0.024330524040000003,0.030708428399999998,0.00614168568,0.03519658332,1.3216435145999998,0.01251959004,0.00921252852,0.04299179976,0.0047243736,0.0460626426,0.05409407772000001,0.00496059228,0.016771526279999997,0.026456492160000004,0.045353986560000004,0.038267426160000007,0.018188838359999997,0.20362050216,0.0056692483200000005,0.10346378184,0.0366138954,0.039920956919999986,0.03094464708,0.005905466999999999,,0.14858154971999998,0.0016535307600000005,0.0018897494399999998,0.003307061520000001,0.0007086560400000001,0.037086332760000014
