,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Sichuan,Shanghai,Zhejiang,Shaanxi,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08188678476000001,0.19440297755999997,0.025003598399999997,0.29504246112,0.28316575188000004,1.3258158051600002,0.040005757440000005,0.051257376720000004,0.02000287872,0.13189398155999998,1.31456418588,,0.07001007552000002,0.16814919924000002,0.02875413816,0.6488433784800001,0.035630127719999995,0.15814775988000002,0.022503238560000003,0.3312976788,0.07876133496,0.09188822412,0.4500647712000001,0.046881747,0.023128328519999998,0.15189686028000002,0.01000143936,0.008751259440000003,0.006250899599999999,0.00187526988,0.14377069080000002
Anhui,0.05982483744,0.1887914952,0.019124333280000003,0.453589956,0.12063040992,2.0644472592000005,0.025008743520000005,0.018143598240000003,0.01029771792,0.036777564,0.48938678496,0.7007351860800001,0.041681239200000005,0.14907172608000002,0.0098073504,,0.019124333280000003,0.055411529759999995,0.007355512800000002,0.05982483744,0.026479846080000004,0.02353764096,0.14416805087999998,0.02157617088,0.01078808544,0.018143598240000003,0.00441330768,0.0034325726400000005,0.00294220512,0.0004903675200000001,0.10984232448000003
Fujian,0.029110687200000002,0.04878549648000001,0.01064045808,0.06364198512000001,0.46035038448,0.11021908464000002,0.01726564896,0.02288702304,0.007629007680000002,0.061032061440000014,0.09154809216,0.3093763377600001,0.028307633760000006,0.06002824464000001,0.012246564960000001,0.05982748128,0.020477862720000004,0.06544885536,0.008231297759999999,,0.042160305599999996,0.03774351168,0.2399122152,0.04276259568,0.01244732832,0.05882366448000001,0.00481832064,0.0036137404799999997,0.00220839696,0.0008030534400000001,0.06966488592
Jiangxi,0.022790727,0.0407551824,0.006703155,0.0533571138,0.6134727456,0.1498825458,0.009384417,0.0099206694,0.004826271599999999,0.030834513,0.1391574978,0.44267635619999995,0.021450096000000002,0.19868151420000002,0.0050943978,0.13004120699999994,0.0195732126,0.3397158954,0.0032175144,0.2477486088,0.0203775912,0.0249357366,,0.0426320658,0.007775659799999998,0.027080746200000002,0.0018768834,0.0018768834,0.0018768834,0.0005362524,0.05764713299999999
Shandong,0.82475182692,,0.19619646984,0.6726736108800001,0.15571148399999998,0.9581446648799999,0.11522649816,0.142735527,0.05917036392,0.08512227791999999,0.17024455583999998,0.22993395804000002,0.10017438804,0.09446496696,0.07837478028,0.21851511588000003,0.03477556476,0.06799401467999999,0.05657517252,0.06487978500000001,0.050865751439999995,0.04256113896,0.055537095960000005,0.04100402412,0.025951914,0.0285471054,0.015052110119999998,0.013494995280000002,0.008823650760000001,0.0025951914000000003,0.570942108
Henan,0.36349176384000004,0.6256435464,0.05518984896,,0.2426450256,0.4186816128000001,0.32780867184,0.035683092,0.029973797280000002,0.08992139184,0.14653856448,0.26120023344,0.28736783424,0.43105175136,0.01712788416,0.49385399328,0.05090787792,0.10229153039999997,0.01284591312,0.06422956560000001,0.047577456,0.045674357759999985,0.06851153664,0.03711041568,0.039013513919999986,0.03520731744,0.02664337536,0.01332168768,0.01474901136,0.0047577456,0.36016134192000004
Hubei,0.051472454400000006,0.074131524,0.01398708,0.3642235632,0.3457606176,0.1642083192,0.0254564856,0.0204211368,0.0092314728,0.07636945680000001,0.08476170479999999,0.16784496,0.0987487848,,0.007273281600000001,0.14686434,0.026295710400000002,0.4137378264,0.00699354,0.0649000512,0.15917297040000006,0.041681498399999996,0.2067290424,0.046716847199999995,0.013147855200000001,0.037205632800000006,0.0058745735999999995,0.0033568991999999996,0.0033568991999999996,0.0016784495999999998,0.11021819039999999
Hunan,0.03843276336,0.05231126124,0.01174334436,0.09323503704,1.27860109956,0.10213151004000001,0.01636951032,0.015657792480000002,0.00925233192,0.06476632344000001,0.07081592508000001,0.15408691236,0.04021205796,0.42169282020000004,0.0106757676,0.054446414760000006,0.033450738480000006,,0.0064054605599999995,0.06725733587999999,0.07579794996,0.056581568280000015,0.33948940968,0.240204771,0.00925233192,0.19109624004,0.0053378838,0.0053378838,0.0035585891999999997,0.0017792945999999998,0.08255926944
Guangdong,0.08390576159999999,0.12306178368,0.02866780188,0.24262749395999997,,0.2482212114,0.040554451439999986,0.057335603759999985,0.019578011040000003,0.26500236371999997,0.1713075966,0.30136152708,0.10348377264,0.32093953812,0.04125366612,0.11327277816000003,0.20696754528,1.0341385117200002,0.03216387528,0.42162645204000004,0.15103037088,0.18738953424000002,0.59852776608,1.3991285746800002,0.025171728480000002,0.22654555632000006,0.01538272296,0.01118743488,0.00769136148,0.00279685872,0.22374869760000002
Guangxi,0.0236522592,0.036003994559999995,0.004730451839999999,0.042574066560000005,1.5008672476799996,0.04809292704,0.009986509440000001,0.010774918079999998,0.00367924032,0.057028224959999985,0.028119908160000002,0.045727701119999985,0.01787059584,0.045202095359999986,0.008672495039999999,0.02391506208,0.03442717728,0.2378366064,0.005256057599999999,0.04047164352,0.03968323488,0.10722357504,0.049406941439999984,,0.006570071999999999,0.14743241567999998,0.0015768172799999994,0.0013140143999999998,0.00210242304,0.0013140143999999998,0.039946037760000004
