,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Florida,0.038965198705015684,0.00017252431510436127,0.00010593567138525918,0.001021522230243451,0.008971545814906175,0.0006938218408444425,0.0015433355532184936,0.0037195998302125364,0.005850281823207219,0.007046175869388967,inf,0.0631748179728919,1.9198395705433242e-05,0.00018069421462303854,0.0007701719459844733,0.0062078207243123785,0.00823124577455879,0.003542080899336927,0.003098053694803841,0.010962836445659816,0.013742658740771815,0.0021728783136245613,0.007058022995580976,0.003125332619153565,0.0034729870108593276,0.002253318221486194,0.014318127214968241,0.0058742551939861285,0.0008612164448838895,0.0024273751149425054,0.0008395057621271783,0.002760747344701671,0.004939625625172612,0.0017973281906398882,0.0038773862653970126,0.016657142317159118,0.0016791984466911697,1.913703973022791e-05,0.0077385732363674424,0.0038908899695820256,0.0005878849849788549,0.005121778929886678,0.002645919865402551,0.003289182480316736,0.03411465036134358,0.002106249190292726,0.015443194609978018,0.003946959330613176,0.0011064489503254484,0.0028951439089507105,0.00952158398050909,0.0005295127569710544,0.009062977341572387,0.0031850621091473173,0.0011986511664538197
Georgia,0.06959843716335685,0.00017968960919617248,0.00010211043971099031,0.0010559383792372167,0.012808460471930225,0.0007184004978493863,0.0017235415550447112,0.00548317524140133,0.009829607882584855,0.0132226276583047,0.0631748179728919,inf,1.9145326536529773e-05,0.00017825429178563952,0.0008484736578565083,0.011058298124885518,0.01833595206132056,0.0052282286802195835,0.003929833588755099,0.02943567181601214,0.013499484548805007,0.0028890216217321366,0.013120598325650231,0.004375017651393959,0.005860356450014602,0.0031980671904566667,0.018798759747979423,0.009312569188970894,0.0009637443651390696,0.003108102523511205,0.0008835787635660758,0.0038926415865094166,0.007955738879285822,0.0019035266778950092,0.006160967883307873,0.047663093899805005,0.002175239864857764,1.9095571049355212e-05,0.01826267371953916,0.004455406474723816,0.000629970761766193,0.00891860931560177,0.002096059316172536,0.004630963937282494,0.2252223114335137,0.002708821277751144,0.045619949388842014,0.003950801795577836,0.001204836817774259,0.0041855021009502965,0.021016334503120907,0.000570218940290998,0.022204005579940005,0.005007142074599788,0.0013621765185966364
Guam,1.8542639287177906e-05,1.1044853951676226e-05,1.0005353940188196e-05,1.4871699273722804e-05,1.7763700314154783e-05,1.4149801178969565e-05,1.5715314394475912e-05,2.077342288985969e-05,2.033596199094777e-05,2.0058654531960403e-05,1.9198395705433242e-05,1.9145326536529773e-05,inf,1.0979830187070904e-05,1.462181237430685e-05,1.7990802412883282e-05,1.8449016888167262e-05,1.7421526230184914e-05,1.684491202943405e-05,1.8632359737162348e-05,1.7852854699582106e-05,2.139539503950467e-05,2.0088928672898833e-05,2.1058421403165168e-05,1.8448119177417155e-05,1.731747625840067e-05,1.7982420704157873e-05,1.7713808865635283e-05,1.4897875207560455e-05,1.6694504418340653e-05,1.455659967599771e-05,2.094560448720895e-05,2.0434463512215454e-05,1.5814311463778506e-05,2.0317793941029747e-05,1.9699276969626456e-05,1.6600314140718406e-05,0.0647068393397179,1.9128785577070165e-05,1.6864859167333083e-05,1.3972355374583862e-05,2.008710386169372e-05,2.2386738423122208e-05,2.1028936634783323e-05,1.94271325447432e-05,1.662888413805822e-05,1.8566931437971628e-05,1.677993215329596e-05,1.5140897443468734e-05,2.075823159548689e-05,1.9824656042669386e-05,1.3812521148617583e-05,1.9463823283168814e-05,1.7843724755034567e-05,1.544481041887951e-05
Hawaii,0.00019776466237491938,0.0006633158679274013,0.0007149988638941556,0.000485865623852401,0.00022359380554531856,0.0006205371395199285,0.0003438521813087732,0.00013327944399177643,0.00014324302526310341,0.0001489789759990303,0.00018069421462303854,0.00017825429178563952,1.0979830187070904e-05,inf,0.000418338758798479,0.00020454459930317276,0.0001896333248699029,0.00022101389571630887,0.00025863737930126047,0.00018603148081524818,0.00022722001801608974,0.00012047792876275997,0.0001485043260487268,0.00012823151729301135,0.00017684088579965614,0.00021029944586762394,0.0002180527893280041,0.00021770426398373612,0.0003798783460951548,0.00025765839632688745,0.0005116087912702059,0.00012794281011422188,0.00014036625549060462,0.00035733961254388825,0.00013953031009362514,0.00016075472536486064,0.0002403689135175262,1.094191866626042e-05,0.0001685222719427815,0.00027120779911691054,0.0005346004766218927,0.000145771907372193,0.00012226382013463732,0.00012911546422390748,0.00016939954049219848,0.0002540054002335914,0.00019111037746377034,0.00028727592719067534,0.00040291796898960164,0.00013059367652683973,0.0001551896922246124,0.0005214210644368183,0.00016202171607786623,0.0001967494612430253,0.000345193331161766
Idaho,0.001031017398568376,0.0006163003656428283,0.00015067312481571097,0.00811973655190041,0.0015249646503249863,0.009355260018227196,0.0086143859469744,0.0005633693217615642,0.0006315951511059251,0.0006820154466233606,0.0007701719459844733,0.0008484736578565083,1.462181237430685e-05,0.000418338758798479,inf,0.0014863171826135764,0.001199075240724463,0.0020754166583892976,0.002954423757048016,0.0010989592580691186,0.0012822100837428646,0.0004794881470483267,0.0006758946918677759,0.0005247100238093297,0.0011961171425234041,0.002133155813744699,0.0013053612815495258,0.0016919124126512153,0.15286366061476303,0.0035205829110702223,0.016742496616658966,0.000535764345023612,0.0006156972159144722,0.004906900100122712,0.0006336702860238665,0.0007421663047888109,0.003618975120247865,1.4606177151282354e-05,0.0009229854428527833,0.0024613216376537816,0.025999845135819162,0.0006782994624767343,0.00032537838824724384,0.000528914866130889,0.0007899058555100105,0.003767370322524735,0.0011025149419597725,0.0020813501660110426,0.02064192321592981,0.0005608762443389329,0.0007272424722008561,0.017276480248122127,0.000818675469051314,0.0016103016177360365,0.019055886482669076
Illinois,0.015740852838298427,0.0002287561700670642,0.00010663144455915364,0.0016471395115043841,0.0385455104234236,0.0010655164490454576,0.0036128049493963726,0.0035229336892518954,0.005038420059915478,0.006383427848931039,0.0062078207243123785,0.011058298124885518,1.7990802412883282e-05,0.00020454459930317276,0.0014863171826135764,inf,0.11498293359734849,0.052336694257695014,0.015720372409239774,0.05467656370680298,0.011769238260239219,0.0022280628676764635,0.006221449741671093,0.0029212326032523606,0.020745900000612147,0.014171221523608637,0.021450519094319276,0.20843151173779959,0.001790875869269026,0.012095345808511564,0.0014052268074404499,0.0029239628729309077,0.00458770596743472,0.0034477553363787116,0.004594235864430414,0.008513587854496988,0.007014913752667369,1.7961542155880817e-05,0.019064877163821877,0.010932947752429641,0.000988476017460317,0.00589810331023927,0.0010190148237768527,0.003006140206777635,0.009759485562409456,0.009974350228363854,0.04290870762120725,0.006113162379408337,0.00219941956638337,0.0032334974944456763,0.008006358183235111,0.0008886133914405819,0.012063482065295178,0.03322951085162453,0.0028436700655547747
Indiana,0.020436703714773505,0.0002098339789051253,0.00010195832112359099,0.0013298841395265732,0.02384514969861593,0.0008909118790012848,0.002617652937117679,0.005077073343731563,0.008002698299538905,0.010867638233530494,0.00823124577455879,0.01833595206132056,1.8449016888167262e-05,0.0001896333248699029,0.001199075240724463,0.11498293359734849,inf,0.019679321383496835,0.00844206394892254,0.39605562797644944,0.010460289866989528,0.00291222363942244,0.01051711533075968,0.004052451440471813,0.02457621540632766,0.009325892138142007,0.0187631182263977,0.04168878008616319,0.0014177469349974815,0.006913384731486575,0.0011439596510647394,0.0039986686146954754,0.0070664619904314925,0.0025709781094353456,0.006881537829792069,0.015692008563950758,0.004773444445513209,1.84182231117377e-05,0.0512627665673991,0.006948142755376637,0.0008278552873541631,0.00957693394129321,0.0011953322908793205,0.004202817440114819,0.017452848776459737,0.006044119698533777,0.10684042321152702,0.0045909805027820475,0.0017009827909516997,0.004481343235743513,0.014774566839337784,0.0007511986832704839,0.02625799452605022,0.02196095297221161,0.0021237289395808945
Iowa,0.007104841475863995,0.0002603303142220575,0.00010991411843457238,0.002082784294830405,0.018222248073422456,0.001324073642123341,0.005556179672785449,0.002431552956553113,0.0031418353003291157,0.003743513068139344,0.003542080899336927,0.0052282286802195835,1.7421526230184914e-05,0.00022101389571630887,0.0020754166583892976,0.052336694257695014,0.019679321383496835,inf,0.03599830750371032,0.013537012527445127,0.007255092006665107,0.0017096153705766317,0.0036649859405491697,0.0020929538362236457,0.015719442874201347,0.03946967083504616,0.01049488737350946,0.06639091391348438,0.0026120721719860617,0.03678779632261732,0.001820431923165851,0.002145650243340307,0.0029623101979232382,0.004559374864321327,0.003097821077339861,0.004379462256869907,0.017197175910983728,1.739880766425735e-05,0.00831362397215984,0.01307577224660695,0.0012802518593397333,0.0036741683856591203,0.0007860112879908405,0.0021332773986958687,0.004760904165790459,0.030188773146893846,0.011917900170094583,0.00614838370038275,0.0031175716345363067,0.0023491740235704623,0.004332955363261055,0.0011461098704585529,0.005890865630673633,0.052289835222121925,0.004513034854223262
Kansas,0.005970462232211544,0.00029042656083672004,0.000123126058957136,0.0035355521099594365,0.018218694194408188,0.0019452153588198962,0.01332457877164824,0.001625156770955176,0.0020553615850644707,0.002385103545752055,0.003098053694803841,0.003929833588755099,1.684491202943405e-05,0.00025863737930126047,0.002954423757048016,0.015720372409239774,0.00844206394892254,0.03599830750371032,inf,0.0069655436807821505,0.008702881838974368,0.0011877201753584502,0.002348569497877942,0.0014296849681060214,0.005728348345847748,0.01227484112744706,0.01058623140252063,0.02731219732224016,0.003781846665794717,0.12203564058539282,0.0028590154633052925,0.001439534854794736,0.0019339953167814435,0.010975597164058307,0.0019495890657004428,0.0029456798784233194,0.013803940688499872,1.6815869111125062e-05,0.004318887592636132,0.049292639833768796,0.001727731783061271,0.0022720407779091593,0.0007153118690913286,0.0014573377005585456,0.003384665916969083,0.04343700168816632,0.007250647357348235,0.013371428556419257,0.005596937697107814,0.0015467803980386491,0.0027494516961994106,0.0014822969954180105,0.0034382284090350127,0.010818505149030032,0.00803733691241451
Kentucky,0.028894039120079727,0.00020190962917566077,0.00010150124956724883,0.0012517952604748463,0.022633582150902387,0.000841998497363858,0.002355161039531879,0.005639259105040958,0.009486654879381124,0.013368520881967686,0.010962836445659816,0.02943567181601214,1.8632359737162348e-05,0.00018603148081524818,0.0010989592580691186,0.05467656370680298,0.39605562797644944,0.013537012527445127,0.0069655436807821505,inf,0.01152713628289387,0.0030807914746320813,0.012937272902443816,0.004436436795611732,0.0175429633629078,0.007009832665120342,0.020905168220733385,0.02842852750330155,0.0012864489771864589,0.005615813280500057,0.0010700220645306297,0.004279026595232353,0.00813383129984705,0.0023833581767183495,0.007508066311600497,0.023206390081703547,0.003894722461823566,1.8598102456022664e-05,0.06431420003859264,0.006301178502052797,0.0007724682470839106,0.010928668492790417,0.0013379520202336172,0.0046297776399595,0.027862399479586613,0.004899906660127588,0.27451820431485285,0.0044516975559722475,0.0015579357428795678,0.004782405887780797,0.019718061417714577,0.000700873549179522,0.03630961018317032,0.014478815087138313,0.0018977284558655708
Louisiana,0.04248794940833038,0.0002175241826727912,0.00012178934246616481,0.0019303393566712055,0.052444604953048826,0.0011542489702515543,0.003378848175973392,0.0021537829395366563,0.003028002938856538,0.0036206339940854635,0.013742658740771815,0.013499484548805007,1.7852854699582106e-05,0.00022722001801608974,0.0012822100837428646,0.011769238260239219,0.010460289866989528,0.007255092006665107,0.008702881838974368,0.01152713628289387,inf,0.001417753267378227,0.003584821589417424,0.0018531892438270875,0.003961369002744946,0.0035691771916515906,0.16194900852038735,0.015371872413345878,0.0014644388621363174,0.0055253058001805445,0.0014787353564977884,0.001755211967479227,0.002708173364469201,0.004405301918374247,0.0024353595278281725,0.006007319270930923,0.0029011423776151785,1.7801063440494995e-05,0.005820971548892425,0.01656254278427463,0.0009235311383117245,0.003041000632150223,0.0013125050505740094,0.0019169001844117463,0.008850801470251937,0.004297867921117804,0.017585916201632308,0.017977513470070053,0.002123468281644959,0.001865087595586127,0.004563039840884803,0.0008062558590048749,0.005319256240749118,0.004691325883961543,0.0022817235823062118
Maine,0.0020882052122458738,0.00013931330106346397,7.289421321558535e-05,0.0004766543082549541,0.0016451462936075648,0.0003750903571133125,0.0007089284904242979,0.03841887757007338,0.013780729413473356,0.010047285370984264,0.0021728783136245613,0.0028890216217321366,2.139539503950467e-05,0.00012047792876275997,0.0004794881470483267,0.0022280628676764635,0.00291222363942244,0.0017096153705766317,0.0011877201753584502,0.0030807914746320813,0.001417753267378227,inf,0.010172016366812083,0.0783484580464908,0.003562358254019275,0.001714328470644101,0.0016672829581117674,0.00183652765294269,0.0005367417542192455,0.0011586985621925353,0.0004412107689779262,0.1342413009538328,0.01824725593256484,0.000684933638616329,0.02378394389386121,0.005081682402521233,0.0011657500815943768,2.1384758013264774e-05,0.004995356347968441,0.0010735329505405244,0.00037246724420905735,0.013878857003864301,0.0013809536294938226,0.061511322735290606,0.0036613342784307416,0.0011500814250655115,0.002673628568126021,0.0009199118070899211,0.0005643350227782033,0.07717552399411588,0.007174848451539519,0.0003546959440663101,0.005976305685490899,0.002322062058900602,0.0006611039195971001
Maryland,0.006970207359531458,0.0001625228416369549,8.68332660871803e-05,0.000728265137172456,0.004324031700590123,0.0005351805477498413,0.001165170620067463,0.042508878575728395,0.44398774669122654,28.19326115169791,0.007058022995580976,0.013120598325650231,2.0088928672898833e-05,0.0001485043260487268,0.0006758946918677759,0.006221449741671093,0.01051711533075968,0.0036649859405491697,0.002348569497877942,0.012937272902443816,0.003584821589417424,0.010172016366812083,inf,0.02346866842370973,0.008172451220077662,0.00301174738765202,0.004603816655925631,0.004676251839859523,0.0007680347870551997,0.002135446952755971,0.0006472124574768869,0.018760517122964584,0.15752175110718056,0.0011672643371453918,0.057417044404816146,0.056620279589787395,0.0018725307707182933,2.0056611502091533e-05,0.032451161915654426,0.0021948520872889727,0.0005067996901366067,0.20032091698232246,0.0018744531877952254,0.026500368940624568,0.02232022883597302,0.0020219677554673557,0.01050483719187705,0.0018294243680021726,0.0008652210793521748,0.02202861349492103,0.2772094813384848,0.0004714362265919758,0.07795458569290295,0.004875466816331653,0.0010175806612646287
Massachusetts,0.0029245960105510416,0.00014460423224698626,7.716119076798522e-05,0.0005377259100470522,0.0021458143280610304,0.000414452733354292,0.0008127620404619285,0.3445942578010779,0.038942335109667194,0.022859215496925562,0.003125332619153565,0.004375017651393959,2.1058421403165168e-05,0.00012823151729301135,0.0005247100238093297,0.0029212326032523606,0.004052451440471813,0.0020929538362236457,0.0014296849681060214,0.004436436795611732,0.0018531892438270875,0.0783484580464908,0.02346866842370973,inf,0.004471112248264716,0.0019814203172167626,0.002215360304640601,0.002358597835267733,0.0005893326462223183,0.0013645011391809289,0.000490862930604914,0.3141022801135505,0.0618927344048416,0.0007968271829975327,0.06454269172192607,0.009004073854708677,0.0013147893317907529,2.1037150779671726e-05,0.00784105101797537,0.0013122384168461423,0.0004041825190070594,0.033173499975674,0.0016814805305010606,4.607112358421438,0.005893516910563807,0.0013345623704489895,0.00381798571587148,0.0011231646098936166,0.0006345369483973218,0.18750472283589734,0.014085226300271517,0.00038188687428883676,0.01040708724571554,0.002823438962964976,0.0007417835547837142
